Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,Branching_Logic,Unit,CDE_Reference,source_file,source_directory
misc_inflam_markers_5,MIS-C CRF,radio,d-dimer,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_6,MIS-C CRF,radio,Ferritin,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_7,MIS-C CRF,radio,Lactic acid dehydrogenase (LDH),"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_8,MIS-C CRF,radio,Interleukin 6 (IL-6),"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_9,MIS-C CRF,radio,Elevated neutrophils,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_10,MIS-C CRF,radio,Reduced lymphocytes,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_11,MIS-C CRF,radio,Low albumin,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_12,MIS-C CRF,radio,Other,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_1,MIS-C CRF,radio,"Cardiac (e.g. shock, elevated troponin, BNP, abnormal echocardiogram, arrhythmia)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_2,MIS-C CRF,radio,Renal (e.g. acute kidney injury or renal failure),"1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_3,MIS-C CRF,radio,"Respiratory (e.g. pneumonia, ARDS, pulmonary embolism)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_4,MIS-C CRF,radio,"Hematologic (e.g. elevated D-dimers, thrombophilia, or thrombocytopenia)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_5,MIS-C CRF,radio,"Gastrointestinal (e.g. elevated bilirubin, elevated liver enzymes, or diarrhea)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_6,MIS-C CRF,radio,"Dermatologic (e.g. rash, mucocutaneous lesions)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_multiorgans_7,MIS-C CRF,radio,"Neurological (e.g. CVA, aseptic meningitis, encephalopathy)","1, Yes | 0, No","Evidence of clinically severe illness requiring hospitalization, with multisystem (>=2) organ involvement, AND",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_no_other_dx,MIS-C CRF,radio,No alternative plausible diagnosis,"1, Yes | 0, No",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_covid_positive_1,MIS-C CRF,radio,Positive RT-PCR,"1, Yes | 0, No",SARS-CoV-2 Testing,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_covid_positive_2,MIS-C CRF,radio,Positive serology,"1, Yes | 0, No",SARS-CoV-2 Testing,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_covid_positive_3,MIS-C CRF,radio,"Positive antibody test ","1, Yes | 0, No",SARS-CoV-2 Testing,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_covid_positive_4,MIS-C CRF,radio,Exposure within 4-weeks prior to onset of symptoms,"1, Yes | 0, No",SARS-CoV-2 Testing,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_exposure_age,MIS-C CRF,calc,Age at exposure,"round(datediff([baseline_arm_1][dob],[definitive_diagnos_arm_1][misc_exposure_date],'M','ymd'),0)",Months,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_defin_dx,MIS-C CRF,radio," Definitive (Confirmed) Diagnosis","1, MIS-C|0, Not MIS-C|96, Unclear",,,,,[suspected_dx] = '2',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kawasaki_fever,Kawasaki CRF,radio," Fever for >= 5 days WITHOUT an alternative explanation","1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_dx_criteria_1,Kawasaki CRF,radio,Bilateral bulbar conjunctival injection without exudate,"1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_dx_criteria_2,Kawasaki CRF,radio,"Oral mucosal changes (injected or fissured lips, injected pharynx, strawberry tongue, cracked lips)","1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_dx_criteria_3,Kawasaki CRF,radio,"Peripheral extremity changes (erythema of palms or soles, edema of hands or feet (acute phase), and periungual desquamation (convalescent phase)","1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_dx_criteria_4,Kawasaki CRF,radio,Polymorphous rash,"1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_dx_criteria_5,Kawasaki CRF,radio,Cervical lymphadenopathy (at least one lymph node >1.5cm in diameter),"1, Yes | 0, No",Clinical diagnostic criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_criteria_num,Kawasaki CRF,radio,How many critical criteria were met?,"1, 0 or 1 (Incomplete Kawasaki)|2, 2-3 (Incomplete Kawasaki)|3, 4 or more criteria (Confirmed Kawasaki)",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_criteria_1,Kawasaki CRF,radio,6 month old or LESS,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria must be < =6 mos w/ >=7 days fever AND  Abnormal echocardiogram OR  Supplemetal laboratory criteria,,,,[kd_criteria_num] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_criteria_2,Kawasaki CRF,radio,Fever for 7 days or more,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria must be < =6 mos w/ >=7 days fever AND  Abnormal echocardiogram OR  Supplemetal laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_criteria_3,Kawasaki CRF,radio,Abnormal echocardiogram,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria must be < =6 mos w/ >=7 days fever AND  Abnormal echocardiogram OR  Supplemetal laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_criteria_4,Kawasaki CRF,radio,Negative echocardiogram with supplemental laboratory criteria,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria must be < =6 mos w/ >=7 days fever AND  Abnormal echocardiogram OR  Supplemetal laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_1,Kawasaki CRF,radio,Anemia for age,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria must be < =6 mos w/ >=7 days fever AND  Abnormal echocardiogram OR  Supplemetal laboratory criteria,,,,[kd_atyp_0_criteria(4)] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2,Kawasaki CRF,radio,"Platelet count >=450,000 after the seventh day of fever","1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_3,Kawasaki CRF,radio,Albumin <=3.0 g/dL,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_4,Kawasaki CRF,radio,Elevated ALT level,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_5,Kawasaki CRF,radio,"WBC count >=15,000/mm3","1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_6,Kawasaki CRF,radio,>=10 WBC/hpf on urinalysis,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_7,Kawasaki CRF,radio,Other,"1, Yes | 0, No",Incomplete KD with 0-1 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_2_criteria_1,Kawasaki CRF,radio,CRP >=3.0 mg/dL,"1, Yes | 0, No","Incomplete KD with 2-3 clinical criteria must have CRP >=3.0 mg/dL AND/OR ESR >=40 mm/hr ANDAbnormal echocardiogram OR=3 supplemental laboratory criteria ",,,,[kd_criteria_num] = '2',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_2_criteria_2,Kawasaki CRF,radio,ESR >=40 mm/hour,"1, Yes | 0, No","Incomplete KD with 2-3 clinical criteria must have CRP >=3.0 mg/dL AND/OR ESR >=40 mm/hr ANDAbnormal echocardiogram OR=3 supplemental laboratory criteria ",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_2_criteria_3,Kawasaki CRF,radio,Abnormal echocardiogram,"1, Yes | 0, No","Incomplete KD with 2-3 clinical criteria must have CRP >=3.0 mg/dL AND/OR ESR >=40 mm/hr ANDAbnormal echocardiogram OR=3 supplemental laboratory criteria ",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_2_criteria_4,Kawasaki CRF,radio,Supplemental laboratory criteria,"1, Yes | 0, No","Incomplete KD with 2-3 clinical criteria must have CRP >=3.0 mg/dL AND/OR ESR >=40 mm/hr ANDAbnormal echocardiogram OR=3 supplemental laboratory criteria ",,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_1,Kawasaki CRF,radio,Anemia for age,"1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,[kd_atyp_2_criteria(4)] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_2,Kawasaki CRF,radio,"Platelet count >=450,000 after the seventh day of fever","1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_3,Kawasaki CRF,radio,Albumin <=3.0 g/dL,"1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_4,Kawasaki CRF,radio,Elevated ALT level,"1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_5,Kawasaki CRF,radio,"WBC count >=15,000/mm3","1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_6,Kawasaki CRF,radio,>=10 WBC/hpf on urinalysis,"1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_atyp_0_supp_criteria_2_7,Kawasaki CRF,radio,Other,"1, Yes | 0, No",Incomplete KD with 2-3 Clinical Criteria : Supplemental laboratory criteria,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
kd_definitive_dx,Kawasaki CRF,radio,Definitive (Confirmed) Diagnosis,"0, Unclear|1, Confirmed Kawasaki|2, Incomplete (Atypical) Kawasaki",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_asthma,EHR Health History,radio,Asthma,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_lung_disease,EHR Health History,radio,Other Chronic Lung Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_smoker,EHR Health History,radio,Current Smoker,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_vaping,EHR Health History,radio,Current Vaping,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_hypertension,EHR Health History,radio,Hypertension,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_heart_condition,EHR Health History,radio,Cardiovascular Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_hiv,EHR Health History,radio,HIV,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_immunocomp,EHR Health History,radio,Immunocompromised,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_kidney_disease,EHR Health History,radio,Kidney Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_liver_disease,EHR Health History,radio,Liver Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_diabetes,EHR Health History,radio,Diabetes,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_diabetes_type,EHR Health History,radio,Diabetes Type,"1, Type I | 2, Type II",Health History in Medical Record,,,,[ehr_hh_diabetes] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_ibd,EHR Health History,radio,Irritable Bowel Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_lupus,EHR Health History,radio,Lupus,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_jia,EHR Health History,radio,Juvenile Idiopathic Arthritis,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_rheumatic_disease,EHR Health History,radio,Other Rheumatic Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_cancer,EHR Health History,radio,Cancer,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_sickle_cell_disease,EHR Health History,radio,Sickle Cell Disease,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ehr_hh_mental_illness,EHR Health History,radio,Serious Mental Illness,"1, Yes | 0, No",Health History in Medical Record,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
admit_age,Inpatient Admit Details,calc,Age at Admittance,"round(datediff([baseline_arm_1][dob],[medical_record_dat_arm_1][admit_date],'M','ymd'),0)",,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
icu,Inpatient Admit Details,radio,ICU stay during hospitalization?,"1, Yes | 0, No",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
los,Inpatient Admit Details,calc,Length of Stay,"round(datediff([discharge_date],[admit_date],'d','ymd'),0)",,,,,,days,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
discharge_disposition,Inpatient Admit Details,radio,Discharge disposition,"1, Home | 2, Other care facility | 3, Expired | 4, Other",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_0,Inpatient Admit Details,radio,No symptoms present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_1,Inpatient Admit Details,radio,Fever present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_2,Inpatient Admit Details,radio,Chills present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_3,Inpatient Admit Details,radio,Muscle ache present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_4,Inpatient Admit Details,radio,Skin rash present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_5,Inpatient Admit Details,radio,Headache present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_6,Inpatient Admit Details,radio,Congestion or runny nose present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_7,Inpatient Admit Details,radio,Sore throat present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_8,Inpatient Admit Details,radio,Cough present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_9,Inpatient Admit Details,radio,Shortness of breath or difficulty breathing present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_10,Inpatient Admit Details,radio,Wheezing present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_11,Inpatient Admit Details,radio,Apnea present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_12,Inpatient Admit Details,radio,Chest pain present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_13,Inpatient Admit Details,radio,Abdominal pain present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_14,Inpatient Admit Details,radio,Nausea/vomiting present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_15,Inpatient Admit Details,radio,Excessive fatigue present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_16,Inpatient Admit Details,radio,Diarrhea present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_17,Inpatient Admit Details,radio,Seizures present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_18,Inpatient Admit Details,radio,Loss of taste/smell present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_19,Inpatient Admit Details,radio,Conjunctivitis present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptoms_admit_20,Inpatient Admit Details,radio,Other symptom present at admission,"1, Yes | 0, No",Symptoms at admission per EMR,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
symptom_time_admit,Inpatient Admit Details,integer,Approximate days since symptoms started,,Symptoms at admission per EMR," ",,,[symptoms_admit(1)] = '1' or [symptoms_admit(2)] = '1' or [symptoms_admit(3)] = '1' or [symptoms_admit(4)] = '1' or [symptoms_admit(5)] = '1' or [symptoms_admit(6)] = '1' or [symptoms_admit(7)] = '1' or [symptoms_admit(8)] = '1' or [symptoms_admit(9),days,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
pneumonia_dx_admit,Inpatient Admit Details,radio,Pneumonia,"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
respfailure_dx_admit,Inpatient Admit Discharge Details,radio,Respiratory Failure,"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ards_dx_admit,Inpatient Admit Discharge Details,radio,Acute respiratory distress syndrome (ARDS),"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sepsis_dx_admit,Inpatient Admit Discharge Details,radio,Sepsis,"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
septicshock_dx_admit,Inpatient Admit Discharge Details,radio,Septic Shock,"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
cytostorm_dx_admit,Inpatient Admit Discharge Details,radio,Suspected cytokine storm syndrome,"1, Yes | 0, No",Diagnosis present at admission,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
