Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Field Annotation
mucus_membrane_changes_desc,form_1,"Symptoms ",text,Describe mucus membrane changes,,,,,,,
respiratory_symptoms,form_1,"Symptoms ",radio,Respiratory symptoms,"1, Yes | 0, No",,,,,,
covid_contacts,form_1,Other,radio,Known contact with suspected/confirmed COVID patients,"1, Yes | 0, No",,,,,,
others_in_contact_family,form_1,Other,text,"Others is contact (family, friends)with similar symptoms",,,,,,,
wheezing,form_1,"Symptoms ",radio,Wheezing,"1, Yes | 0, No",,,,,,
rhinorrhea_congestion,form_1,"Symptoms ",radio,Rhinorrhea/Congestion,"1, Yes | 0, No",,,,,,
joint_pain,form_1,"Symptoms ",radio,Joint pain,"1, Yes | 0, No",,,,,,
recent_ed_visit,form_1,Other,radio,"Recent CHOP ED visit (in the prior 7 days) ","1, Yes | 0, No",,,,,,
cerebral_palsy,form_1,Other,radio,Cerebral palsy,"1, Yes | 0, No",,,,,,
Inflammatory_bowel_disease,form_1,Other,radio,Inflammatory bowel disease,"1, Yes | 0, No",,,,,,
cardiac_history,form_1,Other,radio,Cardiac History,"1, Yes | 0, No",,,,,,
any_documented_past_medical_history,form_1,Other,radio,Any documented past medical history,"1, Yes | 0, No",,,,,,
tmax,form_1,"Symptoms ",text,Temperature Max,,,,,,,
rr_initial,form_1,"Symptoms ",text,Respiratory rate,,,,,,,
