variable_name,label,source_file,source_directory
30103-conditionsrisks-17,Do you have any of the following underlying conditions or risk factors? Current Vape Use,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-19,Do you have any of the following underlying conditions or risk factors? Other,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-2,Do you have any of the following underlying conditions or risk factors? Diabetes,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-20,Do you have any of the following underlying conditions or risk factors? I do not have any underlying conditions or risk factors,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-22,Do you have any of the following underlying conditions or risk factors? Chronic kidney disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-23,Do you have any of the following underlying conditions or risk factors? Chronic lung disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-3,Do you have any of the following underlying conditions or risk factors? Hypertension,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-4,Do you have any of the following underlying conditions or risk factors? Obesity,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-5,Do you have any of the following underlying conditions or risk factors? Cardiovascular disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-6,Do you have any of the following underlying conditions or risk factors? Renal disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-7,Do you have any of the following underlying conditions or risk factors? Liver disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-8,Do you have any of the following underlying conditions or risk factors? Immunosuppressive disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-9,Do you have any of the following underlying conditions or risk factors? Current smoker (tobacco),COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-999,Do you have any of the following underlying conditions or risk factors? Prefer not to answer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30106-currently_pregnant,Are you currently pregnant?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30107-alcohol_consume,Do you drink alcohol?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30108-employed_currently,Are you currently employed?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30109-health_professional,"Are you a health care or an allied healthcare professional(e.g. medical, nursing, long-term-care facility, dentistry, pharmacy, EMT/paramedic, other)?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30110-essential_worker,"Are you an essential worker (other than a healthcare professional) required to workin close contact with others (e.g. retail salesperson, cashier, bus/taxi driver, firefighter, police officer, security guard, custodial staff, restaurant staff, housekeeper, childcare worker, construction worker, other)?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30112-Insurance,Are you covered by health insurance or some other kind of health care plan?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30113-Insurance_Plan,What kind of plan are you covered by?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30117-Deaf,Are you deaf or do you have serious difficulty hearing?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30118-Blind,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30119-Concentrating,"Do you have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional condition)?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30120-Walking,Do you have serious difficulty walking or climbing stairs?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30121-Dressing,Do you have difficulty dressing or bathing?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30122-Errands,"Do you have difficulty doing errands alone such as visiting a doctor's office or shopping (because of a physical, mental, oremotional condition)?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30123-ColorBlind,Have you ever been told that you have color-blindness?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30124-ColorBlind_type,"If yes, what kind of color-blindness have you been told you have?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30132-covid_tested30,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30135-COVID_Result,What kind of COVID-19 test did you have?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-1,"Which of the following best describes why you were tested for the Coronavirus? I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-2,Which of the following best describes why you were tested for the Coronavirus? I came into contact with someone who has the coronavirus,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-3,Which of the following best describes why you were tested for the Coronavirus? I want to make sure I don't spread the coronavirus to others,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-4,Which of the following best describes why you were tested for the Coronavirus? I am required by my employer or school,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-5,Which of the following best describes why you were tested for the Coronavirus? Other,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30138-COVID_Why-999,Which of the following best describes why you were tested for the Coronavirus? Prefer not to answer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-1,Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-10,Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-11,Which of the following symptoms did you experience prior to getting tested? Fever or feverish feeling,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-12,Which of the following symptoms did you experience prior to getting tested? Headaches,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-13,Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-14,Which of the following symptoms did you experience prior to getting tested? Loss of balance,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-15,Which of the following symptoms did you experience prior to getting tested? Loss of taste,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-16,Which of the following symptoms did you experience prior to getting tested? Loss of smell,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-17,Which of the following symptoms did you experience prior to getting tested? Muscle aches (not due to exercise),COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-18,Which of the following symptoms did you experience prior to getting tested? New confusion,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-19,Which of the following symptoms did you experience prior to getting tested? Pinkeye or Conjunctivitis,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-21,Which of the following symptoms did you experience prior to getting tested? Runny nose,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-23,Which of the following symptoms did you experience prior to getting tested? Shortness of breath,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-25,Which of the following symptoms did you experience prior to getting tested? Sore throat,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-26,Which of the following symptoms did you experience prior to getting tested? Stomach or abdominal pain,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-28,Which of the following symptoms did you experience prior to getting tested? Unusual shivering or shaking,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-29,Which of the following symptoms did you experience prior to getting tested? Nausea or vomiting,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-3,Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-30,Which of the following symptoms did you experience prior to getting tested? Wheezing,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-31,Which of the following symptoms did you experience prior to getting tested? Other,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-4,Which of the following symptoms did you experience prior to getting tested? Chest pain,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-5,Which of the following symptoms did you experience prior to getting tested? Chills,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-6,Which of the following symptoms did you experience prior to getting tested? Cough,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-7,Which of the following symptoms did you experience prior to getting tested? Diarrhea,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-8,Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-9,Which of the following symptoms did you experience prior to getting tested? Excessive sweating,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30141-covid_tst_symptoms-998,Which of the following symptoms did you experience prior to getting tested? None of the above,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30144-Flu_Result,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30147-flu_why-1,"Which of the following best describes why you were tested for the Flu? I had Flu symptoms (fever, cough, chills, nausea, etc…)",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30147-flu_why-3,Which of the following best describes why you were tested for the Flu? Other,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30147-flu_why-999,Which of the following best describes why you were tested for the Flu? Prefer not to answer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-1,Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-10,Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-12,Which of the following symptoms did you experience prior to getting tested? Headaches,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-13,Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-15,Which of the following symptoms did you experience prior to getting tested? Loss of taste,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-16,Which of the following symptoms did you experience prior to getting tested? Loss of smell,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-21,Which of the following symptoms did you experience prior to getting tested? Runny nose,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-23,Which of the following symptoms did you experience prior to getting tested? Shortness of breath,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-3,Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-30,Which of the following symptoms did you experience prior to getting tested? Wheezing,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-5,Which of the following symptoms did you experience prior to getting tested? Chills,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-6,Which of the following symptoms did you experience prior to getting tested? Cough,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-7,Which of the following symptoms did you experience prior to getting tested? Diarrhea,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-8,Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30150-flu_tst_symptoms-9,Which of the following symptoms did you experience prior to getting tested? Excessive sweating,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-1,"In the last 14 days, did you experience any of the following symptoms? None",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-2,"In the last 14 days, did you experience any of the following symptoms? Fever or feeling feverish",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-3,"In the last 14 days, did you experience any of the following symptoms? Muscle aches (not due to exercise)",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-4,"In the last 14 days, did you experience any of the following symptoms? Pinkeye or Conjunctivitis",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-5,"In the last 14 days, did you experience any of the following symptoms? Fatigue (more than normal)",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-6,"In the last 14 days, did you experience any of the following symptoms? Chills",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30153-Symptoms-999,"In the last 14 days, did you experience any of the following symptoms? Prefer not to answer",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-1,"In the last 14 days, did you experience any of the following respiratory symptoms? None",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-2,"In the last 14 days, did you experience any of the following respiratory symptoms? Runny nose",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-21,"In the last 14 days, did you experience any of the following respiratory symptoms? Sore throat",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-3,"In the last 14 days, did you experience any of the following respiratory symptoms? Cough",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-4,"In the last 14 days, did you experience any of the following respiratory symptoms? Difficulty breathing",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-5,"In the last 14 days, did you experience any of the following respiratory symptoms? Wheezing",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-6,"In the last 14 days, did you experience any of the following respiratory symptoms? Shortness of breath",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-7,"In the last 14 days, did you experience any of the following respiratory symptoms? Chest pain",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30154-Symptoms_Resp-999,"In the last 14 days, did you experience any of the following respiratory symptoms? Prefer not to answer",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30155-Symptom_Resp_other,Are these symptoms consistent with any chronic respiratory conditions you have?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-1,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? None",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-2,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? Diarrhea",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-3,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? Stomach or abdominal pain",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-4,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? Change in or loss of appetite",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-5,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? Nausea or vomiting",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30156-Symptom_GI-999,"In the last 14 days, did you experience any of the following gastrointestinal symptoms? Prefer not to answer",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30157-Symtpom_GI_other,"Are these symptoms consistent with any chronic gastrointestinal conditions you have, such as Celiac, Crohn's, Diverticulitis, GERD, Irritable Bowel Syndrome, food allergies, or other similar chronic conditions?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
