NAME,LENGTH,VARNUM,LABEL,FORMAT,fmtvals
hbp,8,32,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
diabetes,8,33,Diabetes? Do not include pre-diabetes.,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
coronary_artery_disease,8,34,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
heart_attack,8,35,A heart attack (myocardial infarction)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
chf,8,36,"Congestive Heart failure (CHF, Heart Failure)?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
stroke,8,37,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
copd,8,38,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
asthma,8,39,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
cancer,8,40,Cancer (including leukemia or lymphoma) undergoing active treatment?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
immunodeficiency,8,41,Immunodeficiency (NOT including HIV)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
hiv,8,42,Chronic HIV infection?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
anemia,8,43,Anemia or other blood disorder (do not include leukemia or lymphoma)?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
ckd,8,44,Decreased kidney (renal) function or kidney (renal) failure?,CKDFMT,"0,No|1,Yes, But Not On Dialysis|2,Yes And On Dialysis|3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal|77,Don't Know"
premature,8,45,History of premature birth (being born before 37 weeks of pregnancy),PREMATUREFMT,"0,No|1,Yes, Between 32 - 37 Weeks|2,Yes, Between 28-32 Weeks|3,Yes, Less Than 28 Weeks|4,Yes, But Not Sure How Many Weeks|77,Dont Know"
chd,8,46,CHD,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
cf,8,47,CF,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
cld_bpd,8,48,CLD BPD,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
sc_anemia,8,49,Have you ever been told by a physician or healthcare provider that you have sickle cell anemia?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
cond_prev_activity,8,50,Do you have any serious physical or mental condition(s) that limit your ability to perform daily activities?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
hearing,8,51,Are you deaf or do you have serious difficulty hearing?,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
vision,8,52,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
memory,8,53,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years or older)",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
walk_stairs,8,54,Do you have serious difficulty walking or climbing stairs? (5 years or older),YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
dressing_bathing,8,55,Do you have difficulty dressing or bathing? (5 years or older),YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
doctor_shopping,8,56,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years old or older)",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
mental_illness,8,57,"Have you ever been told by a physician, psychologist, or healthcare provider that you have any mental illness (for example depression, anxiety, bipolar, schizophrenia, or other)?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
working,8,58,"We would like to know about what you do-are you working now, looking for work, retired, keeping house, a student, or what?",WORKINGFMT,"1,Working Now|2,Only Temporarily Laid Off, Sick Leave, Or Maternity Leave|3,Looking For Work, Unemployed|4,Retired|5,Disabled, Permanently, Or Temporarily|6,Keeping House|7,Student|99,Other (Specify)"
alcohol,8,59,How often did you have a drink containing alcohol in the past year?,ALCOHOLFMT,"0,Never|1,Monthly Or Less|2,Two To Four Times Per Month|3,Two To Three Times Per Week|4,Four Or More Times Per Week"
alcohol_how_many,8,60,How many drinks containing alcohol did you have on a typical day when you were drinking in the past year?,ALCOHOL_HOW_MANYFMT,"1,1 Or 2 Drinks|2,3 Or 4 Drinks|3,5 Or 6 Drinks|4,7 To 9 Drinks|5,10 Or More Drinks"
alcohol_six_or_more,8,61,How often did you have six or more drinks on one occasion in the past years?,ALCOHOL_SIX_OR_MOREFMT,"0,Never|1,Less Than Monthly|2,Monthly|3,Weekly|4,Daily Or Almost Daily"
education,8,62,What is the highest grade or level of school you have completed or the highest degree you have received?,EDUCATIONFMT,"1,Did Not Finish High School|2,High School Graduate|3,Ged Or Equivalent|4,Some College, No Degree|5,Associate Degree: Occupational, Technical, Or Vocational Program|6,Bachelor's Degree (Example: Ba, Ab, Bs, Bba)|7,Master's Degree (Example: Ma, Ms, Meng, Med, Mba)|8,Professional School Degree (Example: Md, Dds, Dvm, Jd)|9,Doctoral Degree (Example: Phd, Edd)|77,Don't Know|88,Prefer Not To Answer"
smoking,8,63,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
zip,8,64,Zipcode-3,,
education_additional,8,65,Please choose the highest level of education you have completed.,EDUCATION_ADDITIONALFMT,"0,Never Attended/Kindergarten Only|1,1st Grade|2,2nd Grade|3,3rd Grade|4,4th Grade|5,5th Grade|6,6th Grade|7,7th Grade|8,8th Grade|9,9th Grade|10,10th Grade|11,11th Grade|12,12th Grade, No Diploma"
insurance_work,8,66,Are you covered by insurance through a current or former employer or union (of yours or another family member's)? This would include extension of employer-based insurance after you left a job (ie. coverage under COBRA).,INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
insurance_direct,8,67,"Are you covered by insurance purchased directly from an insurance company (by you or another family member)? This would include coverage purchased through an exchange or marketplace, such as HealthCare.gov.",INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
medicare,8,68,"Are you covered by medicare, for people 65 and older, or people with certain disabilities?",INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
medicaid,8,69,"Are you covered by medicaid, Medical Assistance (MA), the Children's Health Insurance Program (CHIP), or any kind of state or government-sponsored assistance plan based on income or a disability? Sometimes different states have specific names for their med",INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
tricare,8,70,"Are you covered by TRICARE, Veterans Affairs (VA) healthcare or other military healthcare or health insurance?",INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
indian_health,8,71,Are you covered by Indian Health Service?,INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
insurance_not_covered,8,72,"Does this mean you currently have no health insurance or health coverage plan? In answering this question, please exclude plans that pay for only one type of service (such as, nursing home care, accidents, family planning, or dental care) and plans that on",INSURANCE_NCFMT,"0,I Do Not Have Health Insurance|1,I Have Some Kind Of Health Insurance"
weight,8,73,What is your weight (in pounds)?,BEST,
insurance_any,8,74,Are you covered by any other type of health insurance coverage or health coverage plan not listed in previous questions?,INSURANCEFMT,"0,Not Covered|1,Covered|77,Don't Know"
alcohol_often,8,75,How often did you have a drink containing alcohol in the past year?,ALCOHOLFMT,"0,Never|1,Monthly Or Less|2,Two To Four Times Per Month|3,Two To Three Times Per Week|4,Four Or More Times Per Week"
gender_additional,8,76,,GENDER_ADDITIONALFMT,"1,Trans Man/Transgender Man/Ftm|2,Trans Woman/Transgender Woman/Mtf|3,Genderqueer|4,Genderfluid|5,Gender Variant|77,Questioning Or Unsure Of Your Gender Identity|99,None Of These Describe Me, And I Want To Specify"
pregnancy,8,77,Are you currently pregnant?,PREGNANCYFMT,"0,No Or I Am Male|1,Yes|77,Don't Know|88,Prefer Not To Answer"
height_ft,8,78,What is your height in ft-in (feet)?,,
height_in,8,79,What is your height in ft-in (inches)?,,
smoking_amount,8,80,About how much do you smoke CIGARETTES?,SMOKINGFMT,"0,Not At All|1,Some Days|2,Every Day|77,Don't Know|88,Prefer Not To Answer"
smoking_ecig,8,81,About how much do you use E-CIGARETTES (eg. vaping tobacco)?,SMOKINGFMT,"0,Not At All|1,Some Days|2,Every Day|77,Don't Know|88,Prefer Not To Answer"
