Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Form Name,Field Annotation
new_loss_of_taste_or_smell,"Symptoms ",radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
chills,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
excessive_fatigue,"Symptoms ",radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
nausea_vomiting,"Symptoms ",radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
diarrhea,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
abdominal_pain,"Symptoms ",radio,Abdominal pain,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
skin_rash,"Symptoms ",radio,Skin rash,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
conjunctivitis,"Symptoms ",radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,,intake_form_cdes,
height_embedding,Health status,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,,,intake_form_cdes,height in feet and inches
height_feet,Health status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,,intake_form_cdes,
height_inches,Health status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,,intake_form_cdes,
weight_lbs,Health status,text,What is your weight?,,Weight in pounds,number,,,,,,intake_form_cdes,
health_status,Health status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,,intake_form_cdes,
record_id,Health status,text,Record ID,,,,,,,,,consent," @HIDDEN"
econsent,Health status,radio,"I understand that my rights include the right to obtain this electronic record in non-electronic form (as a hard copy paper version). I understand that I can request a copy of this electronic record by contacting Dr. Jokerst and providing a mailing address: jjokerst@ucsd.edu; 858-246-0896

I understand that I have the right to withdraw my agreement to use an electronic record by contacting Dr. Jokerst: jjokerst@ucsd.edu; 858-246-0896

","1, I agree | 2, I disagree",,,,,,,y,consent,
consent_pg1,Health status,descriptive,,,,,,,,,,consent,
consent_pg2,Health status,descriptive,,,,,,,,,,consent,
consent_pg3,Health status,descriptive,,,,,,,,,,consent,
consent_pg4,Health status,descriptive,,,,,,,,,,consent,
consent_pg5,Health status,descriptive,,,,,,,,,,consent,
consent_pg6,Health status,descriptive,,,,,,,,,,consent,
first_name,Health status,text,First name.,,,,,,y,,y,consent,
last_name,Health status,text,Last name.,,,,,,y,,y,consent,
consent_date,Health status,text,Today's Date.,,,date_mdy,,,,,y,consent,
consent_signature,Health status,file,"Please sign below to acknowledge the consent form. ",,,signature,,,y,,y,consent,
participant_email,Health status,text,"Please enter your email address. This is how you will upload pictures of your used Smart Masks. ",,,email,,,y,,y,consent,
participant_address,Health status,text,"Please enter your mailing address so we can mail you Smart Masks. ",,,,,,y,,y,consent,
download_consent,Health status,descriptive,"Here is a link to the consent form for your records. ",,,,,,,,,consent,
mask_able,Health status,yesno,Are you unable or unwilling to wear a face covering?,,,,,,,,,intake_form_cdes,
d1_times,Health status,radio,"How many hours did you wear the sticker + mask? Round to the nearest hour. ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_1,
day1_test,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_1,
d1_sticker_control,Health status,dropdown,The control lane (small lane) in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_1,
d1_sticker_test,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_1,
d1_sticker_picture,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_1,
d2_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_2,
day1_test_d2,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_2,
d1_sticker_control_d2,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,
d1_sticker_test_d2,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,
d1_sticker_picture_d2,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_2,
d3_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_3,
day1_test_d2_d3,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_3,
d1_sticker_control_d2_d3,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,
d1_sticker_test_d2_d3,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,
d1_sticker_picture_d2_d3,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_3,
d4_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_4,
day1_test_d2_d3_d4,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_4,
d1_sticker_control_d2_d3_d4,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,
d1_sticker_test_d2_d3_d4,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,
d1_sticker_picture_d2_d3_d4,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_4,
d5_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_5,
day1_test_d2_d3_d4_d5,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_5,
d1_sticker_control_d2_d3_d4_d5,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,
d1_sticker_test_d2_d3_d4_d5,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,
d1_sticker_picture_d2_d3_d4_d5,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_5,
