Id,Section,Label,Enumeration,ui,pattern,min,max,branching_logic,Units,CDE Reference,header,source_file,source_directory
wwtp_jurisdiction,WWTP,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located","AL, Alabama | AK, Alaska | AS, American Samoa | AZ, Arizona | AR, Arkansas | CA, California | CI, Chicago, IL | CO, Colorado | MP, Commonwealth of Northern Mariana Islands | CT, Connecticut | DE, Delaware | DC, District of Columbia | FM, Federated States of Micronesia | FL, Florida | GA, Georgia | GU, Guam | HI, Hawaii | HO, Houston, TX | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LC, Los Angeles County, CA | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NZ, New York City, NY | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | PH, Philadelphia, PA | PR, Puerto Rico | MH, Republic of the Marshall Islands | PW, Republic of Palau | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | VI, U.S. Virgin Islands | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming",radio,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,WWTP,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
industrial_input,WWTP,Approximate average percentage of wastewater from industrial sources that is received by the wastewater treatment plant specified in 'wwtp_name',,float,,0.0,100.0,,percent,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,WWTP,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
stormwater_input,WWTP,"Does the wastewater treatment plant specified in 'wwtp_name' treat water from a combined sewer system (i.e., a sewer system that collects both sewage and stormwater)?",Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,WWTP,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sample_type,Collection Method,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.","24-hr flow-weighted composite | 12-hr flow-weighted composite | 8-hr flow-weighted composite | 6-hr flow-weighted composite | 3-hr flow-weighted composite | 24-hr time-weighted composite | 12-hr time-weighted composite | 8-hr time-weighted composite | 6-hr time-weighted composite | 3-hr time-weighted composite | 24-hr manual composite | 12-hr manual composite | 8-hr manual composite | 6-hr manual composite | 3-hr manual composite | grab ",category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
collection_storage_temp,Collection Method,Temperature at which the sample was stored after collection and prior to reaching the lab,,float,,,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pretreatment,Collection Method,"Was the sample treated with any chemicals prior to reaching the lab (for example, addition of stabilizers)?",Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sample_collect_date,Sample,"The date of sample collection; for composite samples, specify the date on which sample collection began",,date,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
time_zone,Sample,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
flow_rate,Sample,"Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected. If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ",,float,,0.0,,,million gallons/day,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
ph,Sample,"pH of wastewater sample (if sludge, pH of influent at time of collection)",,float,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
collection_water_temp,Sample,Sample temperature at time of collection,,float,,0.0,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
composite_start_date,Sample,Composite start date,,date,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
composite_start_time,Sample,Composite start time,,time,time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
composite_end_date,Sample,Composite end date,,date,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
composite_end_time,Sample,Composite end time,,time,time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
composite_aliqots_obtained,Sample,Aliquot Number,,integer,,0.0,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sodium_thiosulfate_added,Sample,Sodium thiosulfate added,Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sample_id,Sample,An ID assigned to a wastewater sample. It must be unique for this NWSS reporting jurisdiction. Wastewater samples that are split and measured by different labs should have the same sample ID but different lab IDs. Wastewater samples for which multiple SARS-CoV-2 PCR targets are measured should also have the same sample ID.,,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Sample,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
solids_separation,Processing Method,"Process used to separate solid and liquid phases of the sample, either prior to or in the absence of the concentration method specified in 'concentration_method'",filtration | centrifugation | none,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
concentration_method,Processing Method,Method used to concentrate the sample prior to analysis of the concentrate,membrane filtration with addition of mgcl2 | membrane filtration with sample acidification | membrane filtration with acidification and mgcl2 | membrane filtration with no amendment | peg precipitation | ultracentrifugation | skimmed milk flocculation | beef extract flocculation | promega wastewater large volume tna capture kit | centricon ultrafiltration | amicon ultrafiltration | hollow fiber dead end ultrafiltration | none,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
extraction_method,Processing Method,Method used for nucleic acid extraction from the sample,qiagen allprep powerviral dna/rna kit | qiagen allprep powerfecal dna/rna kit | qiange allprep dna/rna kit | qiagen rneasy powermicrobiome kit | qiagen powerwater kit | qiagen rneasy kit | promega ht tna kit | promega automated tna kit | promega manual tna kit | promega wastewater large volume tna capture kit | nuclisens automated magnetic bead extraction kit | nuclisens manual magnetic bead extraction kit | phenol chloroform,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pre_conc_storage_temp,Processing Method,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,float,,,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pre_ext_storage_temp,Processing Method,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,float,,,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
ext_blank,Processing Method,Are extraction blanks included in the extraction process?,Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pasteurized,Processing Method,Was the sample pasteurized?,Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Processing Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pcr_target,SARSCoV2 Quantification Method,The PCR gene target used to quantify SARS-CoV-2,n1 | n2 | n3 | e_sarbeco | n_sarbeco | rdrp_sarsr | niid_2019-ncov_n | rdrp gene / ncov_ip2 | rdrp gene / ncov_ip4 | taqpath n | taqpath s | orf1b | orf1ab | n1 and n2 combined,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pcr_target_ref,SARSCoV2 Quantification Method,"A publication, website, or brief description of the PCR gene target used",,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
pcr_type,SARSCoV2 Quantification Method,The type of PCR used to quantify SARS-CoV-2,qpcr | ddpcr | qiagen dpcr | fluidigm dpcr | life technologies dpcr | raindance dpcr,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
lod_ref,SARSCoV2 Quantification Method,"A publication, website, or brief description of the method used to calculate the limit of detection",,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
quant_stan_type,SARSCoV2 Quantification Method,The type of nucleic acid used as a standard for SARS-CoV-2 quantification,DNA | RNA,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sars_cov2_units,SARSCoV2 Quantification Method,Units of SARS-CoV-2 sample concentration,copies/L wastewater | log10 copies/L wastewater | copies/g wet sludge | log10 copies/g wet sludge | copies/g dry sludge | log10 copies/g dry sludge,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sars_cov2_avg_conc,SARSCoV2 Quantification Method,"Concentration of SARS-CoV-2 back-calculated to unconcentrated sample basis; enter ""0"" if no amplification occurred, using the definition of amplification described in 'ntc_amplify'; otherwise, enter the estimated concentration; do not adjust for matrix recovery efficiency",,float,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sars_cov2_below_lod,SARSCoV2 Quantification Method,Was the concentration of SARS-CoV-2 below the limit of detection?,Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
lod_sewage,SARSCoV2 Quantification Method,SARS-CoV-2 limit of detection back-calculated to unconcentrated sample basis,,float,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
ntc_amplify,SARSCoV2 Quantification Method,"For qPCR, did any no-template controls on this instrument run have a Ct value less than 40? For ddPCR, did any no-template controls on this instrument run have 3 or more positive droplets?",Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
inhibition_detect,SARSCoV2 Quantification Method,Was molecular inhibition detected?,Yes | No | Not tested,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
inhibition_adjust,SARSCoV2 Quantification Method,Was inhibition incorporated into the SARS-CoV-2 concentration calculation?,Yes | No,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
num_no_target_control,SARSCoV2 Quantification Method,Number of no-template controls (NTC) per instrument run,0 | 1 | 2 | 3 | more than 3,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,SARSCoV2 Quantification Method,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sequencing_snv_and_indels,SARSCoV2 Sequencing Findings,Comma separated list of SNV (Single Nucleotide Variants) and INDELS (Insertions and Deletions),,list,,,,,,,SARSCoV2 Sequencing Findings,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sequencing_breadth_of_coverage,SARSCoV2 Sequencing Findings,Average Breadth of Coverage,,float,,,,,percent,,SARSCoV2 Sequencing Findings,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sequencing_mean_depth,SARSCoV2 Sequencing Findings,Mean Depth,,float,,,,,,,SARSCoV2 Sequencing Findings,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
