Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Form Name,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
headache,,radio,Headache,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
muscle_ache,,radio,Muscle ache,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
new_loss_of_taste_or_smell,,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
chills,,radio,Chills,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
excessive_fatigue,,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
nausea_vomiting,,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
diarrhea,,radio,Diarrhea,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
abdominal_pain,,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
skin_rash,,radio,Skin rash,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
conjunctivitis,,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
height_embedding,Health status,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,,,intake_form_cdes,,,,,height in feet and inches
height_feet,,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,,intake_form_cdes,,,,,
height_inches,,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,,intake_form_cdes,,,,,
weight_lbs,,text,What is your weight?,,Weight in pounds,number,,,,,,intake_form_cdes,,,,,
health_status,,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,,intake_form_cdes,,,,,
record_id,,text,Record ID,,,,,,,,,consent,,,,, @HIDDEN
econsent,,radio,"I understand that my rights include the right to obtain this electronic record in non-electronic form (as a hard copy paper version). I understand that I can request a copy of this electronic record by contacting Dr. Jokerst and providing a mailing address: jjokerst@ucsd.edu; 858-246-0896

I understand that I have the right to withdraw my agreement to use an electronic record by contacting Dr. Jokerst: jjokerst@ucsd.edu; 858-246-0896

","1, I agree | 2, I disagree",,,,,,,y,consent,,,,,
consent_pg1,,descriptive,,,,,,,,,,consent,,,,,
consent_pg2,,descriptive,,,,,,,,,,consent,,,,,
consent_pg3,,descriptive,,,,,,,,,,consent,,,,,
consent_pg4,,descriptive,,,,,,,,,,consent,,,,,
consent_pg5,,descriptive,,,,,,,,,,consent,,,,,
consent_pg6,,descriptive,,,,,,,,,,consent,,,,,
first_name,,text,First name.,,,,,,y,,y,consent,,,,,
last_name,,text,Last name.,,,,,,y,,y,consent,,,,,
consent_date,,text,Today's Date.,,,date_mdy,,,,,y,consent,,,,,
consent_signature,,file,Please sign below to acknowledge the consent form. ,,,signature,,,y,,y,consent,,,,,
participant_email,,text,Please enter your email address. This is how you will upload pictures of your used Smart Masks. ,,,email,,,y,,y,consent,,,,,
participant_address,,text,Please enter your mailing address so we can mail you Smart Masks. ,,,,,,y,,y,consent,,,,,
download_consent,,descriptive,Here is a link to the consent form for your records. ,,,,,,,,,consent,,,,,
mask_able,,yesno,Are you unable or unwilling to wear a face covering?,,,,,,,,,intake_form_cdes,,,,,
d1_times,,radio,How many hours did you wear the sticker + mask? Round to the nearest hour. ,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_1,,,,,
day1_test,,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_1,,,,,
d1_sticker_control,,dropdown,The control lane (small lane) in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_1,,,,,
d1_sticker_test,,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_1,,,,,
d1_sticker_picture,,file,Please upload a picture of your sticker within 10 minutes of activating the blister pack. ,,,,,,,,y,day_1,,,,,
d2_time,,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_2,,,,,
day1_test_d2,,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_2,,,,,
d1_sticker_control_d2,,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,,,,,
d1_sticker_test_d2,,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,,,,,
d1_sticker_picture_d2,,file,Please upload a picture of your sticker within 10 minutes of activating the blister pack. ,,,,,,,,y,day_2,,,,,
d3_time,,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_3,,,,,
day1_test_d2_d3,,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_3,,,,,
d1_sticker_control_d2_d3,,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,,,,,
d1_sticker_test_d2_d3,,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,,,,,
d1_sticker_picture_d2_d3,,file,Please upload a picture of your sticker within 10 minutes of activating the blister pack. ,,,,,,,,y,day_3,,,,,
d4_time,,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_4,,,,,
day1_test_d2_d3_d4,,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_4,,,,,
d1_sticker_control_d2_d3_d4,,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,,,,,
d1_sticker_test_d2_d3_d4,,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,,,,,
d1_sticker_picture_d2_d3_d4,,file,Please upload a picture of your sticker within 10 minutes of activating the blister pack. ,,,,,,,,y,day_4,,,,,
d5_time,,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_5,,,,,
day1_test_d2_d3_d4_d5,,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_5,,,,,
d1_sticker_control_d2_d3_d4_d5,,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,,,,,
d1_sticker_test_d2_d3_d4_d5,,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,,,,,
d1_sticker_picture_d2_d3_d4_d5,,file,Please upload a picture of your sticker within 10 minutes of activating the blister pack. ,,,,,,,,y,day_5,,,,,
