Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
covid_pandemic_challenges_wate_2,Having clean water to drink,,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_approval,Quality and Regulatory,,int,,,"""1""=[CLIA/CP certified] |""2""=[CLIA Waiver] |""3""=[FDA authorized (EUA)] |""4""=[FDA cleared] |""5""=[LDT] |""90""=[Other (specify)] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_collection_setting,Test Collection Setting,,int,,,"""1""=[Clinic] |""2""=[Drive-through] |""3""=[Home] |""4""=[Mobile unit] |""5""=[Lab] |""6""=[Mail-in] |""7""=[Community location (e.g., church, school, community center, etc.)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_performed_location,Test Performed Location,,int,,,"""1""=[Clinic] |""2""=[Drive-through] |""3""=[Home] |""4""=[Mobile unit] |""5""=[Lab] |""6""=[Mail-in] |""7""=[Community location (e.g., church, school, community center, etc.)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_result,Test result,,int,,,"""1""=[Positive] |""2""=[Negative] |""3""=[Failed] |""4""=[Lost] |""90""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_specimen_collector,Specimen Collector,,int,,,"""1""=[Self-collect] |""2""=[Health Care Provider collected] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_specimen_type,Specimen Type,,int,,,"""1""=[Anterior nasal swab] |""2""=[Mid-turbinate nasal swab] |""3""=[Nasopharyngeal swab] |""4""=[Oropharyngeal swab] |""5""=[Nasal lavage] |""6""=[Saliva] |""7""=[Sputum] |""8""=[Whole blood] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_study_setting,Study Setting,,int,,,"""1""=[Community health center] |""2""=[Nursing home or long-term care facility] |""3""=[Prison or correctional facility] |""4""=[Public housing] |""5""=[Rural] |""6""=[Urban] |""7""=[School] |""8""=[In-home] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___1,Participant Testing Disease Status,,bit,,,"""0""=[Asymptomatic] |""1""=[Asymptomatic] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___2,Participant Testing Disease Status,,bit,,,"""0""=[Pre-symptomatic illness] |""1""=[Pre-symptomatic illness] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___3,Participant Testing Disease Status,,bit,,,"""0""=[Mild/Moderate outpatient illness] |""1""=[Mild/Moderate outpatient illness] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___4,Participant Testing Disease Status,,bit,,,"""0""=[Acute illness] |""1""=[Acute illness] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___5,Participant Testing Disease Status,,bit,,,"""0""=[Severe/Critical inpatient illness] |""1""=[Severe/Critical inpatient illness] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___6,Participant Testing Disease Status,,bit,,,"""0""=[Exposed] |""1""=[Exposed] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_tar_dis_stat_2___9,Participant Testing Disease Status,,bit,,,"""0""=[Convalescent illiness] |""1""=[Convalescent illiness] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_test_type,Test Method Target,,int,,,"""1""=[Antibody] |""2""=[Antigen] |""3""=[Nucleic acid/PCR] |""4""=[Nucleic acid/Isothermal] |""5""=[Molecular/host response] |""6""=[Biochemical marker (eg, pH)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_vaccine,Have you received a COVID-19 vaccine?,,int,,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_employment,Please specify your employment status.,"NCIT:C179143
NCIT:C25172",integer,,,"""0""=[Yes - Employed] |
""1""=[No - Not Employed] |
""2""=[Student] |
""3""=[Keeping household] |
""4""=[Retired] |
""5""=[Disabled or government support] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_education,What is the highest level of education you have achieved outside or in the United States?,NCIT:C17953,integer,,,"""0""=[Have never gone to school] |
""1""=[Some school (Includes any education received below highschool graduate level)] |
""2""=[High school graduate or GED completed] |
""3""=[Some college (graduated or not) associates degree,technical degree,or vocational degree] |
""4""=[Bachelor's degree] |
""5""=[Other advanced degree (Master's,Doctorate or Professional Doctorate)] |
""97""=[Other] |
""98""=Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
hi_loss_covid,Did you lose health coverage because of the COVID-19 pandemic?,,int,,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
hlthstat_date_mdy,Date of Health Status Collection,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
household_famgen_3,What best describes the people at your home:,,int,,,"""1""=[Just me] |""2""=[Living with spouse, no kids] |""3""=[Family including kids] |""4""=[Family with 3 generations (parents, children, grandchildren)] |""5""=[Family with 4 generations] |""6""=[Living with roommates] |""90""=[None of these] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
household_homeless,"Are you currently living in transitional housing, staying in a shelter, or experiencing homelessness?",,int,,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
housing_date_mdy,"Date of Housing, Employment and Insurance Collection",,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
iden_date_mdy,Date of Identity Collection,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
jobloss_covid19_2,"Have you, or has anyone in your household, experienced a loss of employment income since the start of the COVID-19 pandemic (March 2020)?",,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_english,Do you speak a language other than English at home?,,int,,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___1,What languages are spoken at home?,,bit,,,"""0""=[Spanish] |""1""=[Spanish] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___2,What languages are spoken at home?,,bit,,,"""0""=[Vietnamese] |""1""=[Vietnamese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___3,What languages are spoken at home?,,bit,,,"""0""=[Mandarin] |""1""=[Mandarin] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___4,What languages are spoken at home?,,bit,,,"""0""=[Cantonese] |""1""=[Cantonese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___5,What languages are spoken at home?,,bit,,,"""0""=[Tagalog] |""1""=[Tagalog] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___6,What languages are spoken at home?,,bit,,,"""0""=[Hawaiian] |""1""=[Hawaiian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___7,What languages are spoken at home?,,bit,,,"""0""=[Ilokano] |""1""=[Ilokano] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___8,What languages are spoken at home?,,bit,,,"""0""=[Navajo] |""1""=[Navajo] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___9,What languages are spoken at home?,,bit,,,"""0""=[English] |""1""=[English] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___90,What languages are spoken at home?,,bit,,,"""0""=[Other] |""1""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
language_home___99,What languages are spoken at home?,,bit,,,"""0""=[Prefer not to answer] |""1""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
med_hx_date_mdy,Date of Medical History Collection  MM/DD/YYYY,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_asian_detail_3___1,,,bit,,,"""0""=[Japanese] |""1""=[Japanese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_asian_detail_3___2,,,bit,,,"""0""=[Filipino] |""1""=[Filipino] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_asian_detail_3___3,,,bit,,,"""0""=[Chinese, except Taiwanese] |""1""=[Chinese, except Taiwanese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_asian_detail_3___4,,,bit,,,"""0""=[Korean] |""1""=[Korean] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_asian_detail_3___5,,,bit,,,"""0""=[Other Asian] |""1""=[Other Asian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_ethnicity,Are you of Hispanic or Latino origin? May include Spanish origin.,NCIT:C16564,integer,,,"""0""=[No, not of Hispanic or Latino origin] |
""1""=[Yes, of Hispanic or Latino origin] |
""97""=[Other] |
""98""=[Don't Know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___1,Please specify your origin,,bit,,,"""0""=[Mexican, Mexican Am., Chicano] |""1""=[Mexican, Mexican Am., Chicano] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___2,Please specify your origin,,bit,,,"""0""=[Puerto Rican] |""1""=[Puerto Rican] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___3,Please specify your origin,,bit,,,"""0""=[Cuban] |""1""=[Cuban] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___4,Please specify your origin,,bit,,,"""0""=[Another Hispanic, Latino, or Spanish origin] |""1""=[Another Hispanic, Latino, or Spanish origin] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___5,Please specify your origin,,bit,,,"""0""=[Salvadoran] |""1""=[Salvadoran] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___6,Please specify your origin,,bit,,,"""0""=[Dominican] |""1""=[Dominican] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___7,Please specify your origin,,bit,,,"""0""=[Colombian] |""1""=[Colombian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic_detail_2___99,Please specify your origin,,bit,,,"""0""=[Prefer not to answer] |""1""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
