Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference
wwtp_jurisdiction,WWTP,category,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located",AL | AK | AS | AZ | AK | CA | CO | MP | CT | DE | DC | FM | FL | GA | GU | HI | ID | IL | IN | IA | KS | KY | LA | ME | MD | MA | MI | MN | MS | MO | MT | NE | NV | NH | NJ | NM | NY | NC | ND | OH | OK | OR | PA | PR | MH | PW | RI | SC | SD | TN | TX | VI | UT | VT | VA | WA | WV | WI | WY,,,,,,,NWSS DCIPHER Data Dictionary
capacity_mgd,WWTP,float,Wastewater treatment plant design capacity,,,,0,,,million gallons/day,NWSS DCIPHER Data Dictionary
sample_type,Collection Method,category,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.",grab | 48-hr flow-weighted composite | 47-hr flow-weighted composite | 46-hr flow-weighted composite | 45-hr flow-weighted composite | 44-hr flow-weighted composite | 43-hr flow-weighted composite | 42-hr flow-weighted composite | 41-hr flow-weighted composite | 40-hr flow-weighted composite | 39-hr flow-weighted composite | 38-hr flow-weighted composite | 37-hr flow-weighted composite | 36-hr flow-weighted composite | 35-hr flow-weighted composite | 34-hr flow-weighted composite | 33-hr flow-weighted composite | 32-hr flow-weighted composite | 31-hr flow-weighted composite | 30-hr flow-weighted composite | 29-hr flow-weighted composite | 28-hr flow-weighted composite | 27-hr flow-weighted composite | 26-hr flow-weighted composite | 25-hr flow-weighted composite | 24-hr flow-weighted composite | 23-hr flow-weighted composite | 22-hr flow-weighted composite | 21-hr flow-weighted composite | 20-hr flow-weighted composite | 19-hr flow-weighted composite | 18-hr flow-weighted composite | 17-hr flow-weighted composite | 16-hr flow-weighted composite | 15-hr flow-weighted composite | 14-hr flow-weighted composite | 13-hr flow-weighted composite | 12-hr flow-weighted composite | 11-hr flow-weighted composite | 10-hr flow-weighted composite | 9-hr flow-weighted composite | 8-hr flow-weighted composite | 7-hr flow-weighted composite | 6-hr flow-weighted composite | 5-hr flow-weighted composite | 4-hr flow-weighted composite | 3-hr flow-weighted composite | 2-hr flow-weighted composite | 1-hr flow-weighted composite | 48-hr time-weighted composite | 47-hr time-weighted composite | 46-hr time-weighted composite | 45-hr time-weighted composite | 44-hr time-weighted composite | 43-hr time-weighted composite | 42-hr time-weighted composite | 41-hr time-weighted composite | 40-hr time-weighted composite | 39-hr time-weighted composite | 38-hr time-weighted composite | 37-hr time-weighted composite | 36-hr time-weighted composite | 35-hr time-weighted composite | 34-hr time-weighted composite | 33-hr time-weighted composite | 32-hr time-weighted composite | 31-hr time-weighted composite | 30-hr time-weighted composite | 29-hr time-weighted composite | 28-hr time-weighted composite | 27-hr time-weighted composite | 26-hr time-weighted composite | 25-hr time-weighted composite | 24-hr time-weighted composite | 23-hr time-weighted composite | 22-hr time-weighted composite | 21-hr time-weighted composite | 20-hr time-weighted composite | 19-hr time-weighted composite | 18-hr time-weighted composite | 17-hr time-weighted composite | 16-hr time-weighted composite | 15-hr time-weighted composite | 14-hr time-weighted composite | 13-hr time-weighted composite | 12-hr time-weighted composite | 11-hr time-weighted composite | 10-hr time-weighted composite | 9-hr time-weighted composite | 8-hr time-weighted composite | 7-hr time-weighted composite | 6-hr time-weighted composite | 5-hr time-weighted composite | 4-hr time-weighted composite | 3-hr time-weighted composite | 2-hr time-weighted composite | 1-hr time-weighted composite | 48-hr manual composite | 47-hr manual composite | 46-hr manual composite | 45-hr manual composite | 44-hr manual composite | 43-hr manual composite | 42-hr manual composite | 41-hr manual composite | 40-hr manual composite | 39-hr manual composite | 38-hr manual composite | 37-hr manual composite | 36-hr manual composite | 35-hr manual composite | 34-hr manual composite | 33-hr manual composite | 32-hr manual composite | 31-hr manual composite | 30-hr manual composite | 29-hr manual composite | 28-hr manual composite | 27-hr manual composite | 26-hr manual composite | 25-hr manual composite | 24-hr manual composite | 23-hr manual composite | 22-hr manual composite | 21-hr manual composite | 20-hr manual composite | 19-hr manual composite | 18-hr manual composite | 17-hr manual composite | 16-hr manual composite | 15-hr manual composite | 14-hr manual composite | 13-hr manual composite | 12-hr manual composite | 11-hr manual composite | 10-hr manual composite | 9-hr manual composite | 8-hr manual composite | 7-hr manual composite | 6-hr manual composite | 5-hr manual composite | 4-hr manual composite | 3-hr manual composite | 2-hr manual composite | 1-hr manual composite,,,,,,,NWSS DCIPHER Data Dictionary
sample_matrix,Collection Method,category,Wastewater matrix from which the sample was collected,raw wastewater | post grit removal | primary sludge | primary effluent |  secondary sludge | secondary effluent | septage | holding tank,,,,,,,NWSS DCIPHER Data Dictionary
concentration_method,Processing Method,category,Method used to concentrate the sample prior to analysis of the concentrate,"membrane filtration with addition of mgcl2 | membrane filtration with sample acidification | membrane filtration with acidification and mgcl2 | membrane filtration with no amendment | membrane filtration with addition of mgcl2, membrane recombined with separated solids | membrane filtration with sample acidification, membrane recombined with separated solids | membrane filtration with acidification and mgcl2, membrane recombined with separated solids | membrane filtration with no amendment, membrane recombined with separated solids | peg precipitation | aloh3 precipitation | ultracentrifugation | skimmed milk flocculation | beef extract flocculation | promega wastewater large volume tna capture kit | centricon ultrafiltration | amicon ultrafiltration | hollow fiber dead end ultrafiltration | no liquid concentration, liquid recombined with separated solids | ceres nanotrap | zymo environ water rna kit/ zymo environ water rna kit (cat. r2042) | none",,,,,,,NWSS DCIPHER Data Dictionary
extraction_method,Processing Method,category,Method used for nucleic acid extraction from the sample,"qiagen allprep powerviral dna/rna kit | qiagen allprep powerfecal dna/rna kit | qiange allprep dna/rna kit | qiagen rneasy powermicrobiome kit | qiagen powerwater kit | qiagen rneasy kit | qiagen ez1 virus mini kit v2.0 | promega ht tna kit | promega automated tna kit | promega manual tna kit | promega wastewater large volume tna capture kit | nuclisens automated magnetic bead extraction kit | nuclisens manual magnetic bead extraction kit | phenol chloroform | chemagic viral dna/rna 300 kit | trizol, zymo mag beads w/ zymo clean and concentrator | 4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n) | qiagen qiaamp buffers with epoch columns | zymo quick-rna fungal/bacterial miniprep #r2014 | thermo magmax microbiome ultra nucleic acid isolation kit | zymo environ water rna kit/ zymo environ water rna kit (cat. r2042)",,,,,,,NWSS DCIPHER Data Dictionary
rec_eff_target_name,Processing Method,category,Name of the recovery efficiency control target that is spiked in,bcov vaccine | bcov culture | brsv vaccine | brsv culture | murine coronavirus | oc43 | phi6 | puro | ms2 coliphage | hep g armored rna | heat inactivated sars-cov-2 virus | [empty],"If 'rec_eff_percent' is equal to a value other than ""-1"", then this must have a non-empty value",,,,,,NWSS DCIPHER Data Dictionary
rec_eff_spike_matrix,Processing Method,category,Matrix into which the recovery efficiency control target is spiked,raw sample | raw sample post pasteurization | clarified sample | sample concentrate | lysis buffer | dewatered solids | [empty],"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",,,,,,NWSS DCIPHER Data Dictionary
rec_eff_spike_conc,Processing Method,float,"Spike concentration, on average, of the recovery control on a per sample volume basis",,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",,,,,log10 copies/mL,NWSS DCIPHER Data Dictionary
pcr_target,SARSCoV2 Quantification Method,category,The target of the PCR quantification,sars-cov-2 | delta | omicron,,,,,,,NWSS DCIPHER Data Dictionary
pcr_gene_target,SARSCoV2 Quantification Method,category,The PCR gene used to quantify PCR target,n1 | n2 | n3 | e_sarbeco | n_sarbeco | rdrp_sarsr | niid_2019-ncov_n | rdrp gene / ncov_ip2 | rdrp gene / ncov_ip4 | taqpath n | taqpath s | orf1b | orf1ab | n1 and n2 combined | n | s | orf1a | ddcov_n | ddcov_e | ip2 and ip4 combined | a1306s | p2046l | p2287s | t3646a | v2930l | g662s | p100l | a1918v | t19r | e156g | del 157/158 | l452r | p681r | d950n | i82t | d63g | r203m | g215c | d377y | k856r  | s2083i  | del2084/2084  | a2710t  | p3395h  | del3674/3676  | i3758v  | i1566v  | a67v  | del69/70  | del143/145  | n211i  | del212/212  | g339d  | s371l  | s373p  | s375f  | s477n  | e484a  | q493r  | g496s  | q498r  | y505h  | t547k  | n679k  | d796y  | n856k  | q954h  | n969k  | l981f  | t9i  | d3g  | q19e  | a63t ,,,,,,,NWSS DCIPHER Data Dictionary
pcr_gene_target_ref,SARSCoV2 Quantification Method,text,"A publication, website, or brief description of the PCR gene target used",,,,,,,,NWSS DCIPHER Data Dictionary
pcr_type,SARSCoV2 Quantification Method,category,The type of PCR used to quantify the PCR target,qpcr | ddpcr | qiagen dpcr | fluidigm dpcr | life technologies dpcr | raindance dpcr,,,,,,,NWSS DCIPHER Data Dictionary
lod_ref,SARSCoV2 Quantification Method,text,"A publication, website, or brief description of the method used to calculate the limit of detection",,,,,,,,NWSS DCIPHER Data Dictionary
quant_stan_type,SARSCoV2 Quantification Method,text,The type of nucleic acid used as a standard for the PCR target quantification,dna | rna,,,,,,,NWSS DCIPHER Data Dictionary
stan_ref,SARSCoV2 Quantification Method,text,"A publication, website, or brief description of the quantitative standard material used",,,,,,,,NWSS DCIPHER Data Dictionary
inhibition_method,SARSCoV2 Quantification Method,text,"A publication, website, or brief description of the method used to evaluate molecular inhibition",,,,,,,,NWSS DCIPHER Data Dictionary
num_no_target_control,SARSCoV2 Quantification Method,category,Number of no-template controls (NTC) per instrument run,0 | 1 | 2 | 3 | more than 3,,,,,,,NWSS DCIPHER Data Dictionary
sample_collect_date,Sample,date,"The date of sample collection; for composite samples, specify the date on which sample collection began",,[date not after tomorrow's date],date_ymd,,,,,NWSS DCIPHER Data Dictionary
sample_collect_time,Sample,time,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,time,,,,,NWSS DCIPHER Data Dictionary
flow_rate,Sample,float,"Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected. If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ",,,,0,,,million gallons/day,NWSS DCIPHER Data Dictionary
sample_id,Sample,text,An ID assigned to a wastewater sample. It must be unique for this NWSS reporting jurisdiction. Wastewater samples that are split and measured by different labs should have the same sample ID but different lab IDs. Wastewater samples for which multiple SARS-CoV-2 PCR targets are measured should also have the same sample ID. Note: do not include PII in this field.,,"jurisdiction id (a string 20 characters or less, containing only numbers, English alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)",,,,,,NWSS DCIPHER Data Dictionary
lab_id,Sample,text,"An ID assigned to a testing lab. It must be unique across labs used for this NWSS reporting jurisdiction's testing. If the same lab is used across multiple NWSS reporting jurisdictions, each NWSS reporting jurisdiction may assign that lab a different lab ID. Note: including PII in this field is discouraged.",,"jurisdiction id (a string 20 characters or less, containing only numbers, English alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)",,,,,,NWSS DCIPHER Data Dictionary
test_result_date,SARSCoV2 Quantification Method,date,The date on which this PCR target measurement was made,,[date not after tomorrow's date and not before 'sample_collect_date'],date_ymd,,,,,NWSS DCIPHER Data Dictionary
pcr_target_units,SARSCoV2 Quantification Method,category,Units of PCR target sample concentration,copies/L wastewater | log10 copies/L wastewater | copies/g wet sludge | log10 copies/g wet sludge | copies/g dry sludge | log10 copies/g dry sludge | micrograms/L wastewater | log10 micrograms/L wastewater | micrograms/g wet sludge | log10 micrograms/g wet sludge | micrograms/g dry sludge | log10 micrograms/g dry sludge,,,,,,,NWSS DCIPHER Data Dictionary
pcr_target_avg_conc,SARSCoV2 Quantification Method,float,"Concentration of the PCR target back-calculated to unconcentrated sample basis; enter ""0"" if no amplification occurred, using the definition of amplification described in 'ntc_amplify'; otherwise, enter the estimated concentration; do not adjust for matrix recovery efficiency",,"[any float other than 0];
0 (if no amplification observed)
[units specified in 'pcr_target_units']",,,,,,NWSS DCIPHER Data Dictionary
pcr_target_std_error,SARSCoV2 Quantification Method,float,"Standard error (SE) of the PCR target in wastewater sample, or best estimate that is consistently available. If sample replicates are always performed, use SE of sample replicates; else, if processing replicates are always performed, use SE of processing replicates; else, if qPCR is performed, use SE of PCR replicates; else, if digital PCR is performed, use error from multiple replicates if available, and Poisson error if not",,"[greater than or equal to 0];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]
[units specified in 'pcr_target_units']",,,,,,NWSS DCIPHER Data Dictionary
pcr_target_cl_95_lo,SARSCoV2 Quantification Method,float,"Lower bound of 95% confidence interval of the PCR target in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)",,"[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]
[units specified in 'pcr_target_units']

",,,,,,NWSS DCIPHER Data Dictionary
pcr_target_cl_95_up,SARSCoV2 Quantification Method,float,"Upper bound of 95% confidence interval of the PCR target in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)",,"[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]
[units specified in 'pcr_target_units']",,,,,,NWSS DCIPHER Data Dictionary
pcr_target_below_lod,SARSCoV2 Quantification Method,category,Was the concentration of the PCR target below the limit of detection?,yes | no | [empty],,,,,,,NWSS DCIPHER Data Dictionary
lod_sewage,SARSCoV2 Quantification Method,float,PCR target limit of detection back-calculated to unconcentrated sample basis,,[units specified in 'pcr_target_units'],,,,,,NWSS DCIPHER Data Dictionary
ntc_amplify,SARSCoV2 Quantification Method,category,"For qPCR, did any no-template controls on this instrument run have a Ct value less than 40? For ddPCR, did any no-template controls on this instrument run have 3 or more positive droplets?",yes | no,,,,,,,NWSS DCIPHER Data Dictionary
rec_eff_percent,SARSCoV2 Quantification Method,float,"Percent of spiked recovery control, specified in 'rec_eff_target_name', that was recovered",,"[greater than or equal to 0];
-1 (if not tested)",,,,,percent log10 copies/mL,NWSS DCIPHER Data Dictionary
inhibition_detect,SARSCoV2 Quantification Method,category,Was molecular inhibition detected?,yes | no | not tested,,,,,,,NWSS DCIPHER Data Dictionary
inhibition_adjust,SARSCoV2 Quantification Method,category,Was inhibition incorporated into the SARS-CoV-2 concentration calculation?,yes | no | [empty],,,,,,,NWSS DCIPHER Data Dictionary
