Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
nursing_home,,,Indicates that participant is living in a nursing home,"1, Yes | 0, No | (blank), Unknown",,,,,,,
vasc_access[1-11],,,Participant's vascular access type,"1, AVF | 2, AVG | 3, PDCATH | 4, CVCATH",,,,,,PLEASE USE YYYY/MM/DD FOR DATES IF POSSIBLE,
FDD_to_VA[1-11],,,First dialysis date to the date participant's vascular access type was recorded,,,,,,,mm/dd/yyyy,
first_dose_type,,,First COVID vaccince type,,,,,,,,
FDD_to_first_dose,,,First dialysis date to the date of first dose of COVID vaccine,,,,,,,,
second_dose_type,,,Second COVID vaccine type,,,,,,,,
FDD_to_second_dose,,,First dialysis date to the date of second dose of COVID vaccine,,,,,,,,
FDD_to_txt_dt,,,First dialysis date to dialysis treatment date,,,,,,,,
iso_shift,,,Indicates that the facility had an isolation shift (not necessarily the shift of the treatment),"1, Yes",,,,,,,
iso_clinic,,,Indicates that facility is a designated isolation clinic,"1, Yes",,,,,,,
shift,,,Dialysis shift,,,,,,,,
station_num,,,Dialysis station number,,,,,,,,
machine_num,,,Dialysis machine number,,,,,,,,
pod_num,,,Dialysis pod number,,,,,,,,
target_weight,,,Prescribed target weight,,,,,,,,
avg_qb,,,Average blood flow rate,,,,,,,,
avg_qd,,,Average dialysis flow rate,,,,,,,,
idwg,,,Intradialytic weight gain,,,,,,,,
pre_sbp,,,"Pre-treatment systolic blood pressure, sitting",,,,,,,,
post_sbp,,,"Post-treatment systolic blood pressure, sitting",,,,,,,,
pre_dbp,,,"Pre-treatment diastolic blood pressure, sitting",,,,,,,,
post_dbp,,,"Post-treatment diastolic blood pressure, sitting",,,,,,,,
pre_temp,,,Pre-treatment temperature,,,,,,,,
post_temp,,,Post-treatment temperature,,,,,,,,
pre_pulse,,,Pre-treatment pulse rate,,,,,,,,
post_pulse,,,Post-treatment pulse rate,,,,,,,,
pre_resp,,,Pre-treatment respiratory rate,,,,,,,,
post_resp,,,Post-treatment respiratory rate,,,,,,,,
txt_time,,,Total treatment time,,,,,,,,
min_sbp,,,Minimum systolic blood pressure during treatment,,,,,,,,
max_sbp,,,Maximum systolic blood pressure during treatment,,,,,,,,
min_dbp,,,Minimum diastolic blood pressure during treatment,,,,,,,,
max_dbp,,,Maximum diastolic blood pressure during treatment,,,,,,,,
min_pulse,,,Minimum pulse rate during treatment,,,,,,,,
max_pulse,,,Maximum pulse rate during treatment,,,,,,,,
pre_O2,,,Pre-treatment oxygen saturation,,,,,,,,
post_O2,,,Post-treatment oxygen saturation,,,,,,,,
ktv,,,Kt/V,,,,,,,,
O2_admin,,,Total oxygen administered during treatment,,,,,,,,
FDD_to_draw_dt,,,First dialysis date to  laboratory specimen draw date,,,,,,,mm/dd/yyyy,
covid_pcr,,,COVID PCR test result value,,,,,,,free text,
covid_igg,,,COVID IgG test result value,,,,,,,free text,
covid_igm,,,COVID IgM test result value,,,,,,,free text,
albumin,,,Albumin value,,,,,,,g/dL,
creatinine,,,Creatinine value,,,,,,,mg/dL,
chloride,,,Chloride value,,,,,,,mEq/L,
bun,,,BUN value,,,,,,,mg/mL,
sodium,,,Sodium value,,,,,,,mEq/L,
tsat,,,TSAT value,,,,,,,%,
potassium,,,Potassium value,,,,,,,mEq/L,
ferritin,,,Ferritin value,,,,,,,ng/mL,
URR,,,URR value,,,,,,,%,
npcr,,,NPCR,,,,,,,,
pth,,,PTH value,,,,,,,pg/mL,
total_calcium,,,Total calcium value,,,,,,,mg/dL,
platelets,,,Platelets value,,,,,,,10000/uL,
phosphorus,,,Phosphorus value,,,,,,,mg/dL,
hgb,,,Hemoglobin value,,,,,,,g/dL,
wbc,,,WBC value,,,,,,,10000/uL,
monocytes,,,Monocyte value,,,,,,,%,
eosinophils,,,Eosinophil value,,,,,,,%,
basophils,,,Basophil value,,,,,,,%,
lymphocytes,,,Lymphocyte value,,,,,,,%,
neutrophils,,,Neutrophil value,,,,,,,%,
hepb_absag,,,Hepatitis B surface antigen value,,,,,,,m[IU]/mL,
hepb_antihbc,,,Hepatitis B core antibody value,,,,,,,m[IU]/mL,
hepb_antihbs,,,Hepatitis B surface antibody value,,,,,,,m[IU]/mL,
NLR,,,Neutrophil-to-Lymphocyte Ratio,,,,,,,,
