Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
what other type of labs were run? (choice=neutralizing antibodies),,Health Status,checkbox,,,,,,,,
what other type of labs were run? (choice=pseudovirus neutralizing antibodies),,Health Status,checkbox,,,,,,,,
what other type of labs were run? (choice=adcc),,Health Status,checkbox,,,,,,,,
what other type of labs were run? (choice=other),,Health Status,checkbox,,,,,,,,
what other type of labs were run? (choice=none),,Health Status,checkbox,,,,,,,,
what was the date of the rbd elisa?,,Health Status,date,,,,,,,,
what was the date of the neutralizing antibodies?,,Health Status,date,,,,,,,,
what was the date of the pseudovirus neutralizing antibodies?,,Health Status,date,,,,,,,,
what was the date of the adcc?,,Health Status,date,,,,,,,,
how many other labs were run?,,Health Status,dropdown,,,,,,,,
other lab #1,,Health Status,text,,,,,,,,
other lab #1 date,,Health Status,date,,,,,,,,
other lab #2,,Health Status,text,,,,,,,,
other lab #2 date,,Health Status,date,,,,,,,,
other lab #3,,Health Status,text,,,,,,,,
other lab #3 date,,Health Status,date,,,,,,,,
received the covid-19 vaccine?,,Health Status,radio,,,,,,,,
vaccine type (choice=pfizer-biontech),,Health Status,checkbox,,,,,,,,
vaccine type (choice=moderna),,Health Status,checkbox,,,,,,,,
vaccine type (choice=johnson & johnson / janssen),,Health Status,checkbox,,,,,,,,
vaccine type (choice=other),,Health Status,checkbox,,,,,,,,
how many pfizer doses received?,,Health Status,dropdown,,,,,,,,
date of first pfizer vaccine,,Health Status,date,,,,,,,,
date of second pfizer vaccine,,Health Status,date,,,,,,,,
date of third pfizer vaccine,,Health Status,date,,,,,,,,
date of fourth pfizer vaccine,,Health Status,date,,,,,,,,
how many moderna doses received?,,Health Status,dropdown,,,,,,,,
date of first moderna vaccine,,Health Status,date,,,,,,,,
date of second moderna vaccine,,Health Status,date,,,,,,,,
date of third moderna vaccine,,Health Status,date,,,,,,,,
date of fourth moderna vaccine,,Health Status,date,,,,,,,,
how many j&j doses received?,,Health Status,dropdown,,,,,,,,
date of first j&j vaccine,,Health Status,date,,,,,,,,
date of second j&j vaccine,,Health Status,date,,,,,,,,
date of third j&j vaccine,,Health Status,date,,,,,,,,
other vaccine type,,Health Status,text,,,,,,,,
how many other vaccine doses received?,,Health Status,dropdown,,,,,,,,
date of first other vaccine,,Health Status,date,,,,,,,,
date of second other vaccine,,Health Status,date,,,,,,,,
date of third other vaccine,,Health Status,date,,,,,,,,
symptoms associated with:,,Health Status,radio,,,,,,,,
other,,Health Status,text,,,,,,,,
date of symptom onset,,Health Status,date,,,,,,,,
mucous membrane changes (only in acute phase of infection before respiratory intubation),,Health Status,radio,,,,,,,,
check all that apply: (choice=conjunctival injection),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=lip erythema),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=lip cracking),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=pharyngeal or tonsillar erythema),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=tongue erythema),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=mucositis),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=unknown),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,
other mucous membrane changes,,Health Status,text,,,,,,,,
peripheral extremity changes,,Health Status,radio,,,,,,,,
check all that apply: (choice=swelling),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=erythema),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,
other peripheral extremity changes,,Health Status,text,,,,,,,,
rash,,Health Status,radio,,,,,,,,
check all that apply: (choice=macular),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=maculopapular),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,
check all that apply: (choice=unsure),,Health Status,checkbox,,,,,,,,
other rash type,,Health Status,text,,,,,,,,
distribution of rash?,,Health Status,text,,,,,,,,
sore throat,,Health Status,radio,,,,,,,,
rhinorrhea/congestion,,Health Status,radio,,,,,,,,
arthralgias (joint pain),,Health Status,radio,,,,,,,,
loss of smell or taste,,Health Status,radio,,,,,,,,
chest pain,,Health Status,radio,,,,,,,,
other,,Health Status,radio,,,,,,,,
other symptoms,,Health Status,notes,,,,,,,,
respiratory conditions (choice=asthma),,Health Status,checkbox,,,,,,,,
respiratory conditions (choice=chronic lung disease / bpd),,Health Status,checkbox,,,,,,,,
respiratory conditions (choice=other),,Health Status,checkbox,,,,,,,,
respiratory conditions (choice=none),,Health Status,checkbox,,,,,,,,
underlying condition?,,Health Status,radio,,,,,,,,
underlying conditions (check all that apply) (choice=hematologic),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=oncologic),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=cardiac),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=diabetes),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=obesity),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=neurologic),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=prematurity),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=transplant),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=immunosuppressed),,Health Status,checkbox,,,,,,,,
underlying conditions (check all that apply) (choice=other),,Health Status,checkbox,,,,,,,,
other underlying condition,,Health Status,text,,,,,,,,
how many other respiratory conditions?,,Health Status,dropdown,,,,,,,,
respiratory condition #1,,Health Status,text,,,,,,,,
respiratory condition #2,,Health Status,text,,,,,,,,
respiratory condition #3,,Health Status,text,,,,,,,,
cardiovascular conditions (choice=congenital heart disease),,Health Status,checkbox,,,,,,,,
cardiovascular conditions (choice=other),,Health Status,checkbox,,,,,,,,
cardiovascular conditions (choice=none),,Health Status,checkbox,,,,,,,,
how many other cardiovascular conditions?,,Health Status,checkbox,,,,,,,,
cardiac condition #1,,Health Status,text,,,,,,,,
cardiac condition #2,,Health Status,text,,,,,,,,
cardiac condition #3,,Health Status,text,,,,,,,,
immunocompromised conditions (choice=malignancy),,Health Status,checkbox,,,,,,,,
immunocompromised conditions (choice=solid organ transplant),,Health Status,checkbox,,,,,,,,
immunocompromised conditions (choice=bmt),,Health Status,checkbox,,,,,,,,
immunocompromised conditions (choice=hiv),,Health Status,checkbox,,,,,,,,
immunocompromised conditions (choice=other),,Health Status,checkbox,,,,,,,,
immunocompromised conditions (choice=none),,Health Status,checkbox,,,,,,,,
how many other immuno conditions?,,Health Status,dropdown,,,,,,,,
other immuno #1,,Health Status,text,,,,,,,,
other immuno #2,,Health Status,text,,,,,,,,
other immuno #3,,Health Status,text,,,,,,,,
obesity,,Health Status,radio,,,,,,,,
other past medical history,,Health Status,radio,,,,,,,,
how many past medical histories?,,Health Status,dropdown,,,,,,,,
past medical history #1,,Health Status,text,,,,,,,,
past medical history #2,,Health Status,text,,,,,,,,
past medical history #3,,Health Status,text,,,,,,,,
past medical history #4,,Health Status,text,,,,,,,,
past medical history #5,,Health Status,text,,,,,,,,
past medical history #6,,Health Status,text,,,,,,,,
lab type,,Health Status,radio,,,,,,,,
date of labs,,Health Status,date,,,,,,,,
lab location,,Health Status,radio,,,,,,,,
other (specify),,Health Status,text,,,,,,,,
white blood cell count (wbc),,Health Status,text,,,,,,,,
units,,Health Status,dropdown,,,,,,,,
date of wbc,,Health Status,date,,,,,,,,
hemoglobin,,Health Status,text,,,,,,,,
units19,,Health Status,dropdown,,,,,,,,
date of hgb,,Health Status,date,,,,,,,,
hematocrit,,Health Status,text,,,,,,,,
date of hct,,Health Status,date,,,,,,,,
units21,,Health Status,dropdown,,,,,,,,
date of rbc,,Health Status,date,,,,,,,,
red blood cell count (rbcs),,Health Status,text,,,,,,,,
units33,,Health Status,dropdown,,,,,,,,
platelet count,,Health Status,text,,,,,,,,
date of plt,,Health Status,date,,,,,,,,
units2,,Health Status,dropdown,,,,,,,,
red cell distribution width (rdw),,Health Status,text,,,,,,,,
date of rdw,,Health Status,date,,,,,,,,
units20,,Health Status,dropdown,,,,,,,,
mean corpuscular volume (mcv),,Health Status,text,,,,,,,,
units23,,Health Status,dropdown,,,,,,,,
date of mcv,,Health Status,date,,,,,,,,
mch (mean corpuscular hemoglobin),,Health Status,text,,,,,,,,
units31,,Health Status,dropdown,,,,,,,,
date of mch,,Health Status,date,,,,,,,,
mchc (mean corpuscular hemoglobin concentration),,Health Status,text,,,,,,,,
units32,,Health Status,dropdown,,,,,,,,
date of mchc,,Health Status,date,,,,,,,,
absolute neutrophil count (anc),,Health Status,text,,,,,,,,
units3,,Health Status,dropdown,,,,,,,,
date of anc,,Health Status,date,,,,,,,,
absolute lymphocyte count,,Health Status,text,,,,,,,,
units4,,Health Status,dropdown,,,,,,,,
date of abs lymphocyte,,Health Status,date,,,,,,,,
absolute monocyte count,,Health Status,text,,,,,,,,
units24,,Health Status,dropdown,,,,,,,,
date of abs monocyte,,Health Status,date,,,,,,,,
absolute eosinophil count,,Health Status,text,,,,,,,,
units26,,Health Status,dropdown,,,,,,,,
date of abs eosinophil,,Health Status,date,,,,,,,,
absolute basophil count,,Health Status,text,,,,,,,,
units25,,Health Status,dropdown,,,,,,,,
date of abs basophil,,Health Status,date,,,,,,,,
"immature granulocytes, left shift",,Health Status,text,,,,,,,,
date of imm granulocytes,,Health Status,date,,,,,,,,
units34,,Health Status,dropdown,,,,,,,,
pt,,Health Status,text,,,,,,,,
date of pt,,Health Status,date,,,,,,,,
units41,,Health Status,dropdown,,,,,,,,
inr,,Health Status,text,,,,,,,,
date of inr,,Health Status,date,,,,,,,,
units42,,Health Status,dropdown,,,,,,,,
date of ptt,,Health Status,date,,,,,,,,
units40,,Health Status,dropdown,,,,,,,,
ptt,,Health Status,text,,,,,,,,
date of fibrinogen,,Health Status,date,,,,,,,,
units43,,Health Status,dropdown,,,,,,,,
fibrinogen,,Health Status,text,,,,,,,,
date of d-dimer,,Health Status,date,,,,,,,,
units44,,Health Status,dropdown,,,,,,,,
d-dimer,,Health Status,text,,,,,,,,
date of fdp,,Health Status,date,,,,,,,,
units45,,Health Status,dropdown,,,,,,,,
fdp,,Health Status,text,,,,,,,,
units13,,Health Status,dropdown,,,,,,,,
date of esr,,Health Status,date,,,,,,,,
erythrocyte sedimentation rate (esr),,Health Status,text,,,,,,,,
date of tropnonin,,Health Status,date,,,,,,,,
troponin,,Health Status,text,,,,,,,,
units5,,Health Status,dropdown,,,,,,,,
date of crp,,Health Status,date,,,,,,,,
crp,,Health Status,text,,,,,,,,
units14,,Health Status,dropdown,,,,,,,,
date of bnp,,Health Status,date,,,,,,,,
brain natriuretic peptide (bnp),,Health Status,text,,,,,,,,
units7,,Health Status,dropdown,,,,,,,,
date of ferritin,,Health Status,date,,,,,,,,
ferritin,,Health Status,text,,,,,,,,
units6,,Health Status,dropdown,,,,,,,,
sodium,,Health Status,text,,,,,,,,
date of sodium,,Health Status,date,,,,,,,,
units10,,Health Status,dropdown,,,,,,,,
potassium,,Health Status,text,,,,,,,,
date of potassium,,Health Status,date,,,,,,,,
units11,,Health Status,dropdown,,,,,,,,
chloride,,Health Status,text,,,,,,,,
date of chloride,,Health Status,date,,,,,,,,
units28,,Health Status,dropdown,,,,,,,,
co2/bicarbonate ,,Health Status,text,,,,,,,,
date of co2,,Health Status,date,,,,,,,,
units46,,Health Status,dropdown,,,,,,,,
units8,,Health Status,dropdown,,,,,,,,
blood urea nitrogen (bun),,Health Status,text,,,,,,,,
date of bun,,Health Status,date,,,,,,,,
units30,,Health Status,dropdown,,,,,,,,
serum (blood) creatinine,,Health Status,text,,,,,,,,
units12,,Health Status,dropdown,,,,,,,,
date of creatinine,,Health Status,date,,,,,,,,
blood glucose (fasting or nonfasting),,Health Status,text,,,,,,,,
fasting?,,Health Status,dropdown,,,,,,,,
date of glucose,,Health Status,date,,,,,,,,
calcium,,Health Status,text,,,,,,,,
date of calcium,,Health Status,date,,,,,,,,
units9,,Health Status,dropdown,,,,,,,,
albumin,,Health Status,text,,,,,,,,
date of albumin,,Health Status,date,,,,,,,,
units35,,Health Status,dropdown,,,,,,,,
magnesium,,Health Status,text,,,,,,,,
date of magnesium,,Health Status,date,,,,,,,,
units,,Health Status,dropdown,,,,,,,,
phosphorus,,Health Status,text,,,,,,,,
date of phosphorus,,Health Status,date,,,,,,,,
units,,Health Status,dropdown,,,,,,,,
lactate dehydrogenase (ldh),,Health Status,text,,,,,,,,
date of ldh,,Health Status,date,,,,,,,,
units47,,Health Status,dropdown,,,,,,,,
alanine aminotransferase (alt),,Health Status,text,,,,,,,,
date of alt,,Health Status,date,,,,,,,,
units27,,Health Status,dropdown,,,,,,,,
aspartate aminotransferase (ast),,Health Status,text,,,,,,,,
date of ast,,Health Status,date,,,,,,,,
units29,,Health Status,dropdown,,,,,,,,
units37,,Health Status,dropdown,,,,,,,,
alkaline phosphatase,,Health Status,text,,,,,,,,
date of alkaline phosphatase,,Health Status,date,,,,,,,,
bilirubin,,Health Status,text,,,,,,,,
date of bilirubin,,Health Status,date,,,,,,,,
units36,,Health Status,dropdown,,,,,,,,
amylase,,Health Status,text,,,,,,,,
date of amylase,,Health Status,date,,,,,,,,
units38,,Health Status,dropdown,,,,,,,,
lipase,,Health Status,text,,,,,,,,
date of lipase,,Health Status,date,,,,,,,,
units39,,Health Status,dropdown,,,,,,,,
date of sil-2r,,Health Status,date,,,,,,,,
soluble interleukin-2 receptor (sil-2r),,Health Status,text,,,,,,,,
units15,,Health Status,dropdown,,,,,,,,
date of il-6,,Health Status,date,,,,,,,,
il-6,,Health Status,text,,,,,,,,
units16,,Health Status,dropdown,,,,,,,,
pyuria,,Health Status,text,,,,,,,,
additional labs performed?,,Health Status,radio,,,,,,,,
how many other labs?,,Health Status,dropdown,,,,,,,,
name of other lab 1,,Health Status,text,,,,,,,,
other lab 1 value,,Health Status,text,,,,,,,,
date,,Health Status,date,,,,,,,,
units,,Health Status,dropdown,,,,,,,,
name of other lab 2,,Health Status,text,,,,,,,,
other lab 2 value,,Health Status,text,,,,,,,,
units 51,,Health Status,dropdown,,,,,,,,
name of other lab 3,,Health Status,text,,,,,,,,
other lab 3 value,,Health Status,text,,,,,,,,
units 52,,Health Status,dropdown,,,,,,,,
name of other lab 4,,Health Status,text,,,,,,,,
value of other lab 4,,Health Status,text,,,,,,,,
units 53,,Health Status,dropdown,,,,,,,,
name of other lab 5,,Health Status,text,,,,,,,,
value of other lab 5,,Health Status,text,,,,,,,,
units 54,,Health Status,dropdown,,,,,,,,
date of other lab 5,,Health Status,date,,,,,,,,
result,,Health Status,radio,,,,,,,,
respiratory pathogen panel: name of pathogen(s),,Health Status,notes,,,,,,,,
instrument used,,Health Status,text,,,,,,,,
other positive microbiology tests?,,Health Status,radio,,,,,,,,
how many other microbiology tests?,,Health Status,dropdown,,,,,,,,
other positive microbiologic test #1,,Health Status,text,,,,,,,,
date of other positive microbiologic test #1,,Health Status,date,,,,,,,,
source,,Health Status,text,,,,,,,,
results,,Health Status,notes,,,,,,,,
other positive microbiologic test #2,,Health Status,text,,,,,,,,
date of other positive microbiologic test #2,,Health Status,date,,,,,,,,
source,,Health Status,text,,,,,,,,
results,,Health Status,notes,,,,,,,,
other positive microbiologic test #3,,Health Status,text,,,,,,,,
date of other positive microbiologic test #3,,Health Status,date,,,,,,,,
source,,Health Status,text,,,,,,,,
results,,Health Status,notes,,,,,,,,
other positive microbiologic test #4,,Health Status,text,,,,,,,,
date of other positive microbiologic test #4,,Health Status,date,,,,,,,,
source,,Health Status,text,,,,,,,,
results,,Health Status,notes,,,,,,,,
chest x-ray,,Health Status,radio,,,,,,,,
chest x-ray date,,Health Status,date,,,,,,,,
chest x-ray results,,Health Status,radio,,,,,,,,
chest x-ray findings (choice=focal infiltrate),,Health Status,checkbox,,,,,,,,
chest x-ray findings (choice=diffuse infiltrate),,Health Status,checkbox,,,,,,,,
chest x-ray findings (choice=pleural effusion or empyema),,Health Status,checkbox,,,,,,,,
chest x-ray findings (choice=atelectasis),,Health Status,checkbox,,,,,,,,
chest x-ray findings (choice=other),,Health Status,checkbox,,,,,,,,
other,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
chest ct,,Health Status,radio,,,,,,,,
chest ct date,,Health Status,date,,,,,,,,
chest ct results,,Health Status,radio,,,,,,,,
chest ct findings (choice=focal infiltrate),,Health Status,checkbox,,,,,,,,
chest ct findings (choice=pleural effusion or empyema),,Health Status,checkbox,,,,,,,,
chest ct findings (choice=pulmonary embolism),,Health Status,checkbox,,,,,,,,
chest ct findings (choice=ards),,Health Status,checkbox,,,,,,,,
chest ct findings (choice=diffuse infiltrate),,Health Status,checkbox,,,,,,,,
notes,,Health Status,notes,,,,,,,,
cardiac mri,,Health Status,radio,,,,,,,,
cardiac mri results,,Health Status,radio,,,,,,,,
cardiac mri findings (copy and paste impressions),,Health Status,notes,,,,,,,,
echocardiogram,,Health Status,radio,,,,,,,,
echocardiogram date,,Health Status,date,,,,,,,,
echocardiogram results,,Health Status,radio,,,,,,,,
echocardiogram findings (choice=decreased myocardial function),,Health Status,checkbox,,,,,,,,
echocardiogram findings (choice=coronary abnormality),,Health Status,checkbox,,,,,,,,
echocardiogram findings (choice=pericarditis/pericardial effusion),,Health Status,checkbox,,,,,,,,
echocardiogram findings (choice=valvular disease),,Health Status,checkbox,,,,,,,,
notes,,Health Status,notes,,,,,,,,
electrocardiogram (ecg/ekg),,Health Status,radio,,,,,,,,
ekg date,,Health Status,date,,,,,,,,
ekg results,,Health Status,radio,,,,,,,,
ekg findings,,Health Status,notes,,,,,,,,
was other imaging performed?,,Health Status,radio,,,,,,,,
how many other imaging methods?,,Health Status,dropdown,,,,,,,,
other imaging method #1,,Health Status,text,,,,,,,,
other imaging method #1: results,,Health Status,notes,,,,,,,,
other imaging method #2,,Health Status,text,,,,,,,,
other imaging method #2: results,,Health Status,notes,,,,,,,,
other imaging method #3,,Health Status,text,,,,,,,,
other imaging method #3: results,,Health Status,notes,,,,,,,,
other imaging method #4,,Health Status,text,,,,,,,,
other imaging method #4: results,,Health Status,notes,,,,,,,,
other imaging method #5,,Health Status,text,,,,,,,,
other imaging method #5: results,,Health Status,notes,,,,,,,,
methylprednisolone,,Health Status,radio,,,,,,,,
methylprednisolone start date,,Health Status,date,,,,,,,,
methylprednisolone end date,,Health Status,date,,,,,,,,
methylprednisolone dose,,Health Status,radio,,,,,,,,
other dose,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
hydrocortisone,,Health Status,radio,,,,,,,,
hydrocortisone start date,,Health Status,date,,,,,,,,
hydrocortisone end date,,Health Status,date,,,,,,,,
hydrocortisone dose,,Health Status,radio,,,,,,,,
other dose,,Health Status,text,,,,,,,,
number of days,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
oral prednisone (upon discharge),,Health Status,radio,,,,,,,,
oral prednisone (upon discharge) start date,,Health Status,text,,,,,,,,
oral prednisone (upon discharge) end date,,Health Status,text,,,,,,,,
number of days,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
prednisolone (upon discharge),,Health Status,radio,,,,,,,,
prednisolone (upon discharge) start date,,Health Status,date,,,,,,,,
prednisolone (upon discharge) end date,,Health Status,date,,,,,,,,
number of days,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
dexamethasone,,Health Status,radio,,,,,,,,
dexamethasone start date,,Health Status,date,,,,,,,,
