Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,phi_id,branching_logic,required,form_name,Description
d1_sticker_control_d2,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,
d1_sticker_test_d2,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_2,
d1_sticker_picture_d2,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_2,
d3_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_3,
day1_test_d2_d3,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_3,
d1_sticker_control_d2_d3,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,
d1_sticker_test_d2_d3,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_3,
d1_sticker_picture_d2_d3,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_3,
d4_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_4,
day1_test_d2_d3_d4,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_4,
d1_sticker_control_d2_d3_d4,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,
d1_sticker_test_d2_d3_d4,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_4,
d1_sticker_picture_d2_d3_d4,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_4,
d5_time,Health status,radio,How many hours did you wear the sticker + mask? Round to the nearest hour.,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,day_5,
day1_test_d2_d3_d4_d5,Health status,dropdown,"Did you test with an established method (PCR, antigen, etc.) within 48 hours of wearing the sticker?","1, Did not test. | 2, Tested and was positive. | 3, Tested and was negative.",,,,,,,y,day_5,
d1_sticker_control_d2_d3_d4_d5,Health status,dropdown,The control lane in the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,
d1_sticker_test_d2_d3_d4_d5,Health status,dropdown,The test lane on the sticker was purple.,"1, True | 2, False",,,,,,,y,day_5,
d1_sticker_picture_d2_d3_d4_d5,Health status,file,"Please upload a picture of your sticker within 10 minutes of activating the blister pack. ",,,,,,,,y,day_5,
