Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Unit,CDE Reference,form_name,source_file,source_directory
csf culture result if positive,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine culture result if positive,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid 19 antibody,"Symptoms ",radio,,"1= Negative, 2= Positive (>0.05)",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
il6,"Symptoms ",,,,,,,,,pg/mL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
lab normal values,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
imaging,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
imaging,"Symptoms ",radio,,1= Normal 2= Abnormal,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
day of hospitalization,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
time,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
result,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
impression,"Symptoms ",radio,,"1=Normal 2= Abnormal ",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ejection fraction in %,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
lv dysfunction,"Symptoms ",radio,,0= Normal function 1= mild dysfunction 2= moderate dysfunction 3= severe dysfunction,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
disposition,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
admitted,"Symptoms ",radio,,0=No 1= yes,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
type of admission,"Symptoms ",radio,,"1, < 24 hours | 2, Full admit | 3, PICU | 4, Transferred",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
admit diagnosis,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date of admission,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
time of admission,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date of discharge,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
death,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
los in hospital in days,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
severe illness,"Symptoms ",radio,,0=No 1= yes,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
return visit date,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
medications,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
respiratory medication (albuterol/duoneb),"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pressor 1,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pressor 2,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pressor 3,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
steroid 1,"Symptoms ",radio,,"0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
steroid 2,"Symptoms ",radio,," 0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
steroid 3,"Symptoms ",radio,,"0= None,  1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
remdesivir,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ivig,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
number of doses of ivig,"Symptoms ",radio,,"1, 2, 3",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
aspirin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
anticoagulation,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
tocilizumab,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
anakinra,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
infliximab,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic - ceftriaxone,"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic - cefepime,"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic - clindamycin,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic -vancomycin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic -meropenem,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic- flagyl,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
antibiotic-azithromycin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
other meds,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
interventions,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
oxygen- non invasive (highest),"Symptoms ",radio,,"0= None, 1= nasal cannula, 2= face mask, 3= BIPAP/CPAP,4=high flow, 5= NIPPV",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
mechanical ventilation,"Symptoms ",radio,,"0= No, 1 =Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ecmo,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
redcap data,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
immunizations_utd,"Symptoms ",radio,,"1, Yes | 0, No",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
flu_vaccine,"Symptoms ",radio,,"0=No, 1=Yes,  2=DON'T KNOW",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_vaccine,"Symptoms ",radio,,"1, Yes | 0, No | 2, N/A (Not of Age)",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_asthma,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_diabetes,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_seizures,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_cardiac,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_malignancy,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_hematological,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_immunocompromised states (other than malignancy),"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_neurological,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_technology dependent disease,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_others,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pmh_other type,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_asthma,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_diabetes,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_hypertension,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_cardiac,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_seizures,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_obesity,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_not documented,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_none,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_hx_other,"Symptoms ",radio,,"0= None, 1= yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
family_other type,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_exposure,"Symptoms ",radio,,"0= None, 1= yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_mother,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_father,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_sister,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_brother,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_cousin,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_schoolmate,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_others,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
contact_unknown,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
"covid_if other, exposure_type","Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_positive,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_test_type_rt pcr,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_test_type_cepheid,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_test_type_labcorp,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_test_type_serology (igg),"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_epidemiological link,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
covid_test_type_other outside test,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief complaint,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_fever,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_cough,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_runny nose,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_sore throat,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_abdominal pain,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_nausea/vomiting,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_diarrhea,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_rash,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_red eye,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_redness/swelling of hands and feet,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_headache,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_seizures,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_malaise,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chief_complaint_obesity,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
