variable_name,description,datatype,units,value_constraints,label,source_file,source_directory,Digest (variable_name|source_file|source_directory)
height,Height of participant,categorical,feet and inches,"4'5""-5'6""; 5'7"" - 6'; over 6'"," ""Please provide your height""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,3458a9d4f46b242df67384f95506423985b5505f675d27677bd10bd5bd533404a8b3d5416ca91c280a02dfd022825221e0b36e22bf77a35467c11d75a162c023
consent,"Consent to participate in the study. ",categorical,,Agree; Disagree,"""I have read (or been informed of) the information given above and agree to join by clicking on the ""Agree. I do want to participate in the study and provide my anonymous data to the NIH"" bottom below. I have been offered the opportunity to ask questions concerning this process.""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,82d8ad453df772f528b400215d22f8bb3287b9d7d5586b4578721ffc7bb519b2f6f33889a690ead163d665b0c4d55fa2177ff420307bf468818bbda839ad4d1b
household_size,Number of people in the household of participant,categorical,,1; 2; 3; 4; 5 or more,"""How many people live in your household, including yourself?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,d0e736ae4b9611a0349be24b77200dceda1115cf59598123a2642412894e957a190662ebc68d378963ee05c8231ed2ebd823416a93cd5ca07c15f08ea563da71
age,Age of participant,categorical,years,20-29; 30-39; 40-49; 50-59; 60-79,"""Enter your age below""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,c127177fb9c3a423710946f93c2ac8b56629c1e09feb9a6c7f16884deb8e0cdbe272f44391a35e560b7e1974a704ba3445541fe771587381845e5621d5b9bcae
pregnant,Pregnancy status of participant,categorical,,Yes; No; Recode_NA,"""Are you currently pregnant?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,3a0d5c4faf916c758d0e93aac61539d6c51a3bb8634c35b970ff508c4b5b6d95b5e42ee0dbbe8c89f035ed523b41ca28441db7a995b2edb6a15a6fb15186df50
smoker,"Smoking status of participant. ",categorical,,Yes; No; Recode_NA,"""Are you a smoker?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,6ec40ff86b1036e7764988b55519ed99154b53811aa4cbb82f82a2e81138159815e0dac38a53d48e522c0b5f0d1e5e7163ed8b3589d47ceed7c212db4b049dbc
diagnosis_none,Indicates that the participant reported not being diagnosed with any of the conditions on the survey.,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,44980f5e8d008b9d103cf6a55036e2d5f5d23dbe134f920bedf2cf7861da476a60b9ec01e4eab96bf276d35898dd0655a13730357a4db7bd4ac014a16c4367e2
diagnosis_hypertension_htn,Indicates that the participant reported having been diagnosed with Hypertension,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,7e077d6be157dba4f626fa6d829f63ff943b4edcbcc2ddeef19304103be62d84b36d2defd4636f9485281dd82d944f3a58a385177ffea9616093a59af6827856
diagnosis_diabetes,Indicates that the participant reported having been diagnosed with Diabetes,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,dd03d1b5546645bcbb047b63ceba5cd051da7f2863d444bbba29bb42fad13c22a5ee7cc12dfac0516c434fe2c1ad8a1795ef62f4d8bebbdcea8eb66f324c220f
diagnosis_asthma,Indicates that the participant reported having been diagnosed with Asthma,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,43d5761ab46d150f593702bd198a7d2b15763e222f23665aa725f09e95bd2816877177ede6dfd8cb5225e9cd19eb4ba9cb6774b3713e8d9147627b7263d1724b
diagnosis_cardiovascular_disease,Indicates that the participant reported having been diagnosed with Cardiovascular Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,1ed7bfb5c9fa1bff83f72b54c2aed9956494931b4f61689e2cb967f8162f9f23014f7d38f068ab144e41f295501d2dc286ef89037edfc61c076b87404db5c1f0
diagnosis_depression,Indicates that the participant reported having been diagnosed with Depression,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,aa96d4e7bc5ba7819387b7814c1731e388f4ee42ab1c15de5cc68965f86c97e74044328d8ba9d7c8274b2d355a49b974e821da494613f75d8d4ae57b5af72b74
diagnosis_chronic_kidney_disease,Indicates that the participant reported having been diagnosed with Chronic kidney disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,bea842cec7ae64e457d747f399ef535aa3b89a222f4002159cda38b2f7dcf2a248decb9c21323b83a747f5562a5017a94d1f9c0a024a4d4150c21998b2c53c8f
diagnosis_cancer,Indicates that the participant reported having been diagnosed with Cancer,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,7b9735106d9c2f2bbfea464811ac74a811db3067c5990d227328552f17051a9a727c85de7ae7544827c5a70e341b0d1de9d84d03a44e2502c08ea1aeac98f732
diagnosis_chronic_lung_disease,Indicates that the participant reported having been diagnosed with Chronic Lung Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,3c270afbf15dafbce282ec9291cc4147379471ea7cb45bc527cb84d81bac72e3dd9a10f4b56713f02e8c0900fd39acd8bf8f55e8fa07bb7267a028300ff67076
diagnosis_immuno_compromised,Indicates that the participant reported having been diagnosed as Immuno - compromised,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,0f55b8da38c1eb8f8fb98c6f2d0a15f2cb85618b4ac0513dbe04371f892586f653514a6eda0f0d069e472ca335005d58411a5809bb29e1a2f284ebff2b545399
