variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name,source_file,source_directory,Digest (variable_name|source_file|source_directory)
32797-future_researchphone,Participant Phone number for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your phone number:",text,,,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,7c776557ad0b05c8eae65cb1f45fd401c2cae7e0f283b2781aa2bf915e0aec4cace0d66a06869e47c72cdf6eb995e275f2062780db0945cd44d427a81f36d30c
32799-future_researchemail,Participant Email for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your email address:",text,,,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5237d0fc3667aab61ab9ad26ed3817c008cb15110541601d0f0dfa3931dbddde07e7fd440a4f51f1a5cbef1998164290acbeb45df58a2cb591af46d2f432b2ad
34683-consent_invited,Invited by Research Staff member,Have you been invited by study staff to participate in an in-person observation appointment?,categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b3c5df77a6b85ad9cd414be1ded058d7fce5aa944e68b2ae9f0c3d21a0bf4898510a2e055f0656d1cd5e39ff91e5c3981808f6bc7ec59ce16d68036c3d2dfc97
34684-consent_travel,Willingness to travel for observation,Are you willing to travel to VCU to complete an in-person observation appointment (about 2 hours long)?,categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,a8aa919c231b90380ac3ece29aa91a28ea935cf1d4047d080957df67b4eb33d38c2da59e564559c7ab08e093272a49e81a34d1e6fbf42df97a6469baf7260447
29826-storage_permission,Storage permission,I agree that my data may be stored and used for future research as described earlier.,categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ab918ae5968e3dafd2d0cfaf59edb99e4f10e288b1e4a62d0fdf015abb2123f7bd636612d5b5b5cbc6d43caa4fdcee2d57b70ded954c57da357abad14aa4ede0
29829-consent,Consent/Agreement by participant,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",categorical,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f67c43c8c05249d8949e7742ce0d12213858646ec397e84de169dfc977dd74a2b2661a16b706f7023d817a7f680246f6c33846af1c1e410f8fec44bff3d4b2ac
shipment confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""Confirm Your Shipping Address""",,integer,De-identified Value in Days,days,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,36a8b4ce5bf861e3d23076532e353d6853b1f6a27b95c2dfb8b5b64cfb79ce8045427678608007e3280bedb392e80a5d97cabf065225d29bbd8e0032946167bb
32730-howreceive,How should at-home test kits be delivered to participant,Please let us know how you would like to receive your at-home COVID-19 test kit. There is no cost to you.,categorical,"1, Deliver to me; 2, I will pick-up from VCU; 3, Hospitalized at VCUHS – deliver to room",,true,,,Confirm Your Shipping Address,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b8dfb02edf96451f19839915e4d82757d1753e789b5aaa2a321445ce344d0e9d18dcfeef11d323d085d0058f8902e1862b0f6998e0c14e2f9f0f0046451f2e24
29858-shipping_placement,Where should at-home test kits be left for the participant,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),categorical,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",,true,,,Confirm Your Shipping Address,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,6cad842190bf6511bf95e1b15cee9bba41a79764c590b5768ce6291a7ae8eb246ec4010ffc77ac082a6a6eae74d8359eab9c8010b6bfbf4c7b20265e47d59321
32147-delivery_updates,How should delivery confirmation be provided to participant,How would you like to receive delivery confirmation updates for this kit delivery?,categorical,"1, Email me; 2, Text me; 3, I don't want to receive delivery confirmation",,true,,,Confirm Your Shipping Address,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1dc6a651c3aacde5a1a618a35de8509da3eca5b76984cefa56c5075b9e07aa895b4c20e12733f3f9e6c5b4be5167f12efca9454e68a42ed24367c6e3c8c52880
32150-preferred_time,"When should the kit be delivered, time that is good for participant","To avoid the kit being left unattended, please let us know what time we should deliver the kit when someone can receive it. (Orders placed after 3pm will arrive the next business day).",categorical,"1, Anytime between 9am - 7pm; 2, 8am - 12pm; 3, 12pm - 3pm; 4, 3pm - 7pm; 5, I am unable to receive a package at this time",,true,,,Confirm Your Shipping Address,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,bce6b9b95a9353714f5f4e2b1d6fb14bbfffd83651928b1b9a8d1651224f96a432264eec7e56f2d7133c44e80c5ee30222dd3eb584cbbfbbe14eddada1a4faed
kit received confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""I Received My Testing Kit""",,integer,De-identified Value in Days,days,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,662d66f53388bba26d6e9e95cbc8863578dbc971b31ac31f2065c895944073a6b28f62e7f8880c8cf0f74aa3eccbf8265fa806dc543c408801b2c49dd4240f28
29871-kitreceived_response,Participant confirmation of kit possession,Please confirm when you have received your kit. You can return to this page at any time.,categorical,"1, Yes, I received the kit; 2, No, still waiting to receive the kit",,true,,,I Received My Testing Kit,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,a6063cc91a8e678bacc7527cf44d8846f77b3139524e9443fff9219192757b70a425b201ef995ba28dc8b8e20b9101e2fcfddf73825c0cbfe168a62bfb4a3a53
29889-kit_date_deid,Number of days from day of Consent when Participant received the at-home test kits,Please confirm the date you received the test kit.,integer,De-identified Value in Days,days,true,,,I Received My Testing Kit,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,92dd5f28e412f51d031180f4a50a8f786f1c8491fc8a4b4fc7b69ac98c29a10435f2d41254e35cb07e1859a249bcbb82b5242bf3fbad3e668421f453a2f2fd2b
about you confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""About You""",,integer,De-identified Value in Days,days,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,c86abcc57dc1ed76fa400673415f1453e65038a42e6552ee76a0c36acd592cb38b13fb76c80fc5435a459b75354e5b7dad21752059f97186d6fa8778936f3d7d
30681-gender_specify,Other Gender Details,"Other Gender, please specify:",text,,,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,d6597ec80205602746664fe22f991e53017b3d4a386dd53da04dcd43c2320ae7a91af6a23be17d4cbd9f56f25b32f9efde6d941bdbce984734cccfa2a9e32c3a
32144-dob_pnta,Participant declines to share Date of Birth,Select this if you are not willing to share your date of birth:,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,12ddf0b8486a51b829a7036594140cf471ffecb3100d02b43f1828a237ac696c215421da4ad70537532cc08792deb3b705f87dc6f442f9abce63c72f859fd5dc
33470-_dob_validation,"System generated variable, not required",,text,,,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5b4cf69ecb3968ae7a833668c36fcb5a2fa21f4f482c7a5a9582d2aaf980b6b3fd5f1db89b423c3a34caff3516b5a729e1c4eaafc2bfe1e6a138fdf1e1b0dc9a
30072-household,Participant housing/living conditions,How would you describe your current household/living arrangements?,categorical,"1, House or single family home; 9, Townhome or Duplex; 2, High-rise apartment/condo building (Your front door is not exposed to the outside); 3, Garden-style apartment/condo (Your front door is exposed to the outside); 4, Nursing home or assisted living facility; 5, Mobile home; 6, Group home or rehab facility; 11, Military Base; 10, Homeless or Transient; 7, Other; 999, Prefer not to answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1f3ff4b6ed4b2b294d858e4c6bb2a4b0f840747f2c766f9eddf50283fe0c3b87b2fcaa110f9275d723ab53e5b4b2b22c74f5cfe601087d03086a966e210ad5d4
30426-housetype_specify,Other House Type Details,"Other House Type, please specify:",text,,,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1f03157fbf1a2e0bfb0f8eebe06e157b79ca0eadee7b8dd3c7292f6017416c971672bfd61b5dcfcbf71d13d4fbf4ed6695e67d472f30249eff4e6c61066f239b
30075-other_household,Total number of other people living in participant's home,"How many people, other than you, live in the same household with you?

Please enter the number below.",categorical,"1, Just Myself; 2, 1; 3, 2; 4, 3; 5, 4; 6, Other (5 or more); 999, Prefer not to answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b7d40e64b5bea7841566fa0021ef21f3468f07bd76c3a91f5ac5d353b3fbc6b8f6a12dfb0b5e76a2b4bc0e0e950526772402d619bb4e37fe197d962be06d54ee
30428-housecount_specify,Number of people other that the participant that live in the home:,Please provide the number of people other than you that live in the household:,integer,Number of people,people,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f76f0cc518078035bcb14552721b051195eb5d27e8e9160cbe8ba9de90a3810527e5b5e919552cffd521a1bc44913e9a9ccb1fbaa9a314a5ac449e0ea028b550
30429-dob_age_deid,Age of participant,What is your date of birth?,integer,Age in years; de-identification per RADx guideline,years,true,,Age,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f888d1c06cccdab347ef6ae684e8bbd5546ba98a431e8d1812552471df6b56595698f1ee8ce6306c936b7cb07325b21f31fc36f3331870cd151635a4d9b02a94
30081-general_health,General Health Response,How would you rate your general health?,categorical,"1, Excellent; 2, Very good; 3, Good; 4, Fair; 5, Poor; 999, Prefer not to answer",,true,,Health Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,6bc41717cca3abc3e07606bfc2c046d5f1238904efca32e708133db46ccedbef3667517d7bd2cb0629eb3327f8ae41f7b553817b41a964af02e53976bf719517
30082-race-1,Race selected; White,What is your race? White,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b7cd8a98a723b5571301f128fefbeb9f2fcf73d5f781f2671b4df4a2b8c68d4b2d9909293b31c9a9b039af61d02808f896121abaf82b71db6a769053c7b3bfd7
30082-race-2,Race selected; Black or African American,What is your race? Black or African American,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,cf45b77a29aaf1e3ca935e413c9a09b70276b6a6c795ab91d3b07f5f84c25601d43888a535ab3f2f35e303a4a925619de110697ca967113fc168f53b3cebc50b
30082-race-3,Race selected; Asian,What is your race? Asian,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,530881f5cc95bacf31cd10bbb834e4e6b442ad716742d9aa2b9dd371bad4c9c5afdeb887a1b3654105482540b082ae3e14711b30d791bcdf210ea314e5d55552
30082-race-4,Race selected; American Indian or Alaska Native,What is your race? American Indian or Alaska Native,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,31459f3c868297c5c7a75cf81e2ae9352f24869b6e69bf1ef0fa245a04259eafc467ccd79a21e7af57d4e468b7c7efda31062e3435a3a0b0783ae6ff39c0b452
30082-race-5,Race selected; Native Hawaiian or Other Pacific Islander,What is your race? Native Hawaiian or Other Pacific Islander,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,00f4c9ebf8333fdf34941e2293cbdb9e8c52d5712fba516594e122ecb1f455f6342a8ca46531cec45b6d0a334708a1a8d571f92740b3aff5155ea47ff6667e30
30082-race-6,Race selected; Other,What is your race? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,d71a3affcedecf68f16b069c1520507c28fc40b3b0ec06df043050dd3831402b119288e697e0b2e847b94c8d20672d358b9b776780c65375fc1815ecd70623fc
30082-race-998,Race selected; None of the above,What is your race? None of the above,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5669d0fe3536ad0c65843a1d0015a4da049ee9ac4bd76ee6f0c4063bc5f7453544e99426a78df0b162ebdb3a88611607523dd3f57b4e8204d56d931546e4f911
30082-race-999,Race selected; Prefer not to answer,What is your race? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Race,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,94df96113672b3c3f3f48198cea9e4feebd38e96290350727c234f60e235579432d79123c20478e01d833fab9546b24af6e0825ef0943c79982bf017ec5f83aa
30680-race_specify,Other Race Details,"Other race, please specify:",text,,,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,43d0f7e4f3948503a0916fa534013da11c8aab3e863081760517ecb30f75a227279e2d7d0a664b42b4c4d60fbe43998ea68954b32525f9c2ca65f19d7d14de3e
30085-ethnicity,Ethnicity,What is your ethnicity?,categorical,"1, Hispanic or Latino; 2, Non-Hispanic or Latino; 3, Unknown; 999, Prefer not to answer",,true,,Ethnicity,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,255e77e6380957f21d1b20f541f53bdcfc4a77cf0b940f26972e083afdd8c3bd8c526639c5397aa0cc0f3fd5e8def549e3e9a3cc5a7aab90dc7dd06042d5b1dd
30086-gender-1,Gender identity selected; Man,What terms best express how you describe your gender identity? Man,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,0d13bbde15f6e617621de326e2d20a4b33b545209bcb2a9b9b46d28e93bbd09426d19c946aaa8aaf6bf989424c7169039993a00aa58600eafcd59d45a8e6e75b
30086-gender-2,Gender identity selected; Woman,What terms best express how you describe your gender identity? Woman,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1790d68ce078396356dfec9d3b1d37d789e4c66bf880c43ff0e11f6483b5529586f7a3cf9f963db3e6818ec3ec63437141935e18b4da66ed0b6c98e187a8f8e3
30086-gender-3,Gender identity selected; Non-Binary,What terms best express how you describe your gender identity? Non-Binary,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5d139d52356c154d70b7bc7131523d96aa2d3fae8843d76d55d35eb0c45cec6acf740d62472a32298148e2a166c5e63c8fa21c5af51709f6b6e02d2a942c6946
30086-gender-5,Gender identity selected; Transgender,What terms best express how you describe your gender identity? Transgender,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f8b970d6840326cd71932860a1b267403396c3e23af763850490bab5d19f9315d5406019e9bb2c50afb53717e11c7e81610a25194f290996aa9305ce36dc5825
30086-gender-999,Gender identity selected; Prefer not to answer,What terms best express how you describe your gender identity? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,37c6e9ae98ceefdec42588a222526f5569b0be8fccc73dfa1b5c0000621ab3b82505540eab6a757b6920ef73cb4d120cfaf52d89849612aadc0a65432128e3e0
32726-gender_more-1,Closer description of gender identity selected; Trans man/Transgender Man/FTM,Are any of these a closer description to your gender identity? Trans man/Transgender Man/FTM,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,e40ef1fb2fc8bc4571956dfe19450f5d4dc2c652df085d19e63ea43e64e90b8f5173ad6da86df4c53426cc3b468968cc7c90772d11aa7f1c8280eb31e027c35b
32726-gender_more-3,Closer description of gender identity selected; Genderqueer,Are any of these a closer description to your gender identity? Genderqueer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,cfe422408f47fe89eb666591f098d433ecb4a681f93253f60c9af41ed42ac0712e9add9d7a396ee3921363d4d93c94de20ff73f9bd305cb2510bb941caeaf3c7
32726-gender_more-4,Closer description of gender identity selected; Genderfluid,Are any of these a closer description to your gender identity? Genderfluid,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,9255eb91d7d6931f7b7539310f6fa05c787b5387e0579cdb40676f97c1f65d4a9b572da64a574ecaad67c1dde277c7a42ad1a51981bff03bf53a6941eb976509
32726-gender_more-7,Closer description of gender identity selected; Questioning or unsure of your gender identity,Are any of these a closer description to your gender identity? Questioning or unsure of your gender identity,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,732e72ddf193be2f891ae075975cbaa1cf5f3f8230132678e8a45e85b9cfe8063263a343ba6883b85b87f190f0f48b1bd8e0265ed3573a794699821f30347d0f
32726-gender_more-999,Closer description of gender identity selected; Prefer not to answer,Are any of these a closer description to your gender identity? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,864082c7cecf461ab4cf959fc67f5de13f5055734fe87a3aec2c63a91cdd48388f20390e3fdb86532bea1eb0a0d5e2564241499e40190bdc542c6fc9d1ef9f99
32727-gender_specify,Other Gender Details,"Other Gender, please specify:",text,,,false,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,00232e8cf8503205d45f78b7fb32ccfa0966eca044d895d9f2a4c4148d1c1421e3ef6114ebbd9ca7a930e261cb5314d23e1fe7496abdc8e677d8eff660b81040
30090-birthsex,Sex at Birth,What was your biological sex assigned at birth?,categorical,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",,true,,Sex,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,a6eb96c69c5cdfabe6e1abba224f24171c727b37b9aafc09a740792391dd2cdb7f834836c0380aad5d33d5c79f68ff69e47d8648123e2aadb44e73b3eecd10c8
30091-education,Education Reached,What is the highest grade or year of school you completed?,categorical,"1, Never attended school or only attended kindergarten; 2, Grades 1 through 4 (Primary); 3, Grades 5 through 8 (Middle school); 4, Grades 9 through 11 (Some high school); 5, Grade 12 or GED (High school graduate); 6, 1 to 3 years after high school (Some college, Associate's degree, or technical school); 7, College 4 years or more (College graduate); 8, Advanced degree (Master's, Doctorate, etc.); 999, Prefer not to answer",,true,,Education,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,cd646510a69dc80f1918c3150f2ce4c1e986b91f3847e17f35a28b00006b869e19d0b8c08e40cea052529bcefb3398dbf4e9cad3c702dc99cb7dee6311884e79
32135-annual_income,Income level,What is your annual household income from all sources?,categorical,"1, Less than $10,000; 2, $10,000 - $24,999; 3, $25,000 - $34,999; 4, $40,000 - $49,999; 5, $50,000 - $74,999; 6, $75,000 - $99,999; 7, $100,000 - $149,999; 8, $150,000 - $199,999; 9, $200,000 or more; 999, Prefer not to answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,d317737a29a73168b0595c250670f775b195b93ea2fa0486ce03c79757507cd4db6159e8bdb9542a22c6495eec79970384d8c3aa3b286ca40a021178da54e090
