datatype,variable_name,description,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
text,what_is_your_current_age,What is your current age?,"[""18"",""19"",""21"",""22"",""23"",""26"",""27"",""30"",""32"",""33"",""35"",""36"",""37"",""41"",""47"",""52"",""55"",""57"",""60"",""63"",""73"",""77"",""80"",""81"",""94"",""95"",""98"",""100"",""34"",""44"",""45"",""46"",""50"",""53"",""61"",""65"",""66"",""72"",""74"",""84"",""86"",""88"",""48"",""71"",""76"",""85"",""20"",""25"",""28"",""29"",""38"",""40"",""49"",""51"",""54"",""56"",""58"",""64"",""68"",""69"",""75"",""79"",""82"",""83"",""89"",""92"",""93"",""96"",""97"",""31"",""78"",""24"",""39"",""42"",""43"",""59"",""87"",""90"",""91"",""99"",""62"",""67"",""70""]",survey__baseline_survey_origcopy.csv,RADx-DHT,550b67448728aeb90bedd222db512b7d2cc92eef65bc9a3db6a8e2835be6bbdbf3a751ad00215c69ed183c425c0b537a40d8c2bab67c6cec8582c3db8913b173
text,what_is_your_biological_sex_assigned_at_birth_for_example_on_your_birth_certificate,"What is your biological sex assigned at birth (for example, on your birth certificate)?","[""female"",""intersex"",""male"",""i_prefer_not_to_answer"",""none_of_these_describe_me""]",survey__baseline_survey_origcopy.csv,RADx-DHT,8c0a3a4b034a3e121c74ed0fc23a49a467cd4e9e9f8716fa461015de7f19f7f6af75e052d7bf5d107b2c3c29f5fb40f5461f26370a90c0c995e853167f96a990
text,what_is_your_current_gender__i_prefer_not_to_answer,What is your current gender? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7076965cc2f898a6478e454607f37e0e9da549a6c0a38a3f518473a7dcc8803594492f36ac7c2132e766bdd1b29d8b6d48bda295588b99f03478223328e3a93b
text,what_is_your_current_gender__female,What is your current gender? Please select all that apply. | Female,"[""""female""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,5ff4c844faa3acf41a306000369f373963086fdaa95acca0071914d605c77b40cb13841f7ca5f7aaa8ad8669732b5e4d951c3a7403e5407aeda271c747e2f108
text,what_is_your_current_gender__gender_queer,What is your current gender? Please select all that apply. | Gender Queer,"[""""gender_queer""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,f1eb76eea6695f66724c8fc2ee29aae985701bc7d258a058da2e79e02f99f65f40f3eef077f731f3a2fe8055b12fe512e30de8d948ad1a47b06eb0d2ac63fbfc
text,what_is_your_current_gender__male,What is your current gender? Please select all that apply. | Male,"[""""male""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,6f95ed6f88535defd8e7d0c4516f5ad9d7f62e45756e7abb47b89aa3b4d6077e5febe84ef77798ea5b2ae731ad4917f414ecb0b3b34f346210cf40c524ce71d1
text,what_is_your_current_gender__transgender_female_trans_woman_mtf,What is your current gender? Please select all that apply. | Transgender Female/Trans Woman/MtF,"[""""transgender_female_trans_woman_mtf""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,0321850321c9567c1aa02416a0e32a97ae10ef8ae048eb97dfae28adf41f5dd8ab2aa83e914fecd01cc1a5c1546c08eed81155ad5f0108442ec53e998219cb22
text,what_is_your_current_gender__transgender_male_trans_man_ftm,What is your current gender? Please select all that apply. | Transgender Male/Trans Man/FtM,"[""""transgender_male_trans_man_ftm""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,57c0670a06ddcea23ead8608bd85a718acf570ce93a578705773712a20a0a248c350d66fc753f7974c6e0dbecf302e634a0a76ea861a7c847feb6c42fa3d3d95
text,what_is_your_current_gender__other,What is your current gender? Please select all that apply. | Other," ",survey__baseline_survey_origcopy.csv,RADx-DHT,685c797a55e7a29566cfe72b22e212e99a4e2c6d621b7897601363af730865e24e00b293f6f0d3959857a171ccaa5857b5771e2aa8f6405051a9a9650e0ee858
text,are_you_currently_pregnant_or_plan_to_become_pregnant_in_the_next_year,Are you currently pregnant or plan to become pregnant in the next year?,"[""yes_i_am_currently_pregnant"",""yes_i_am_planning_to_become_pregnant_in_the_next_year"",""no"",""i_dont_know"",""i_prefer_not_to_answer""]",survey__baseline_survey_origcopy.csv,RADx-DHT,030cefaaf9bdacbdcf3cd1ae52c6f88ea982d6f26755dff1a75ca9b79a5408fb3adcb20c0831eeacacf7977995c9829a441df54ec0f28e6c12e4187fddeb5a61
text,which_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,Which racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,5d2837ef3d5809fc34c1ec44a61af35fad2b32acc5dec6b83b6787fb2181fb662562d7401fed570989c1133534230b8506e8541f8682c4cc7c19f5e1b14c5e34
text,which_racial_or_ethnic_groups_do_you_identify_with__american_indian_or_alaskan_native,Which racial or ethnic group(s) do you identify with? Please select all that apply. | American Indian or Alaskan Native,"[""""american_indian_or_alaskan_native""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,41e6348bed701b875d8c4391b0e096bcf39da2d5a9341014f1f1cbf1354eaa0c9ed7791bc85897d3d3a912f079834b879a1771d0e19df7a402b7c1daf9c86583
text,which_racial_or_ethnic_groups_do_you_identify_with__asian,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Asian,"[""""asian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,c2b90e0daea1a6d05f6bb8963b8a85c6ce10c44cd81dcf5ce3668412d6c0e9b7f9a0cf106788abbdd63b2da09f5f3d55fabf478bab4b92da29c715bdbb38bdc5
text,which_racial_or_ethnic_groups_do_you_identify_with__black_or_african_american,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Black or African American,"[""""black_or_african_american""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,a997ea2088ad7cd454b75649d74be87831112932dab48976d943ddf25ab2330738efc1ae29999925a7790b3a5f84826f28083f536105983bd5d2a97c085c4815
text,which_racial_or_ethnic_groups_do_you_identify_with__hispanic_latino_or_spanish,"Which racial or ethnic group(s) do you identify with? Please select all that apply. | Hispanic, Latino, or Spanish","[""""hispanic_latino_or_spanish""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,aba915c6ebfd453a5a86eb7d0d2daea5e254e4079239e612ff00b2c950d208a504adf43930e74824185c5fb1deedc35173dc1254636defd887f76b65add51c97
text,which_racial_or_ethnic_groups_do_you_identify_with__middle_eastern_or_north_african,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Middle Eastern or North African,"[""""middle_eastern_or_north_african""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,8c496833a453c5ddeef4288f6d085c9bceed32e6224b3b20f65c0e8eb58e20028424c081fb719dd1a6e0a629df317b772eed0f1527bf1024046927f0eebad9c9
text,which_racial_or_ethnic_groups_do_you_identify_with__native_hawaiian_or_other_pacific_islander,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Native Hawaiian or Other Pacific Islander,"[""""native_hawaiian_or_other_pacific_islander""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,ba7b13fe8e8eb991d815696e3bfe8e1846ab97675a3fc8e23751b4dcbc3f3850337c824690613dd7497ce7c07aeed19697a5d29ab0c173a4c1c00ecf276c2d32
text,which_racial_or_ethnic_groups_do_you_identify_with__white,Which racial or ethnic group(s) do you identify with? Please select all that apply. | White,"[""""white""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,ed74e3fd4e1e2993c573229be271d68587b2894b5ef002edc78c1db5a863541e8975c92515d4b091c77fcd5795ad8bb1d5c44b80cb0ae9d4c662e3bde7bf7942
text,which_racial_or_ethnic_groups_do_you_identify_with__other,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Other," ",survey__baseline_survey_origcopy.csv,RADx-DHT,e87ff0efa652441256fdf4de0cc75f0ce5469fb7593bf596a55dd7def7fcb2fbc68a552caed66ddbbe5ee13ecce1a0ae61b6b30a243c00475e81cd09afd95355
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,f3dd0afbcaac5b2c9180bc58c0ebd1abf34c80971ae6a6372e30b0cee7891a2f49de0e5b2f850eaecdf879cd0023993eaf84d876af6459db5c5ee441e3182d7a
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__bangladeshi,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bangladeshi,"[""""bangladeshi""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,ff95d81405428863447c18f7be206a28728c7fbd0ec0f60d4585163a0bac76179cab315954df5e8afef8ecaf1e8aec69012dc439bbaa1c836ea8f020698762cd
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__bhutanese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bhutanese,"[""""bhutanese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7dd6eca8454b602c0bc0e83d4465edad3db52bacd51724269f98fc00b4a9f3d927d7d2b7414da353068575203f9f4326f192a2088e9fc4b2f77a3384c7f0778b
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__burmese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Burmese,"[""""burmese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,f506065de9465e4b0d399ce535ddba8e9482295f20c6362311d99f6f3a18e5f7660f90fae7239a1fff053f42150bb57d13d620d0c38baf8b41b48bc8864b7e8f
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__cambodian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Cambodian,"[""""cambodian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,a7eb87977d629c83b9a620fcf9b33a56a212d02d014cbb119e674baac03d0905754df0d5fce78f462cf5813e882ac59326d94217d48148080ec87f38bbf4b8a1
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__chinese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Chinese,"[""""chinese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,c06360b66ae07f46f92ca076674b3432969a7875ac4514dc6958ba5beb754494f63fc90af37040deb4397bf96c43e96c20a8b2e5d6e6cd05d961fdb5bd42b09b
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__filipino,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Filipino,"[""""filipino""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,3166f1c439207e8d56b43c26275cccea7dfdcecce243ec6dc23279a1d2022758a735c18e6bf930c9ac0ef5bb437889b442fb900b174cd3dad4d1c8d7e858cef1
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__hmong,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Hmong,"[""""hmong""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,07e49d06a6eebdd39a778a97d5febd6a8836e9a740aa8ef08e33cbe21f9a81176c68b945f5f6f6b3f7cfc89d5cbc5e5b5ff71a13298cc110217d57890eecc5f3
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__indian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indian,"[""""indian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,ef12c6420ebc0d495ebce1d32e48aedde6dd28ba7fe266e2285f066226aff14158733496aeb6254f6de26c7cca893e209330fc05c44663c8496f94c29469fcdc
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__indonesian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indonesian,"[""""indonesian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,85cce17073b16e2ac4e9acf1d1659713d81e313bc1b584cab4fe6425a8f288ac54c8ac0eda8c52051526ce7770b2e9f7fe8c37f8898f0672489c8c4120be384f
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__japanese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Japanese,"[""""japanese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,209c0bdbf1ddbf4b026615b2d5e336d44998e5cfaa45064196ebe1ead94541797112ae84909978e52cc39ad0847ef64ab4d645ef9c7e802b08b3031c5a207a80
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__korean,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Korean,"[""""korean""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,b1334e94d9ec61a9e0dc6cb1aad0639af32608adc437de23748e3228f081e4b572341c667b29a101357ecd69f23cb5ef40108d2dff48b7e45069b28d38443181
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__laotian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Laotian,"[""""laotian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7983e4b166931ab04480a46159e5ec0fd1d4fa2c4d9029d23849bca5568b88395d5c38f88470b31a1dc8e795092e18848d05b1d3ed1b3b05f08be6cac5ef4fd1
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__malaysian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Malaysian,"[""""malaysian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,22be66bcab18788e2243f0b86b1309b6130557e576e499e855126c716fe7e8a843de861ae90eee381ff15cebec41ca633c1349589fb7978d1efd89bac4dadb86
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__mongolian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Mongolian,"[""""mongolian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,32f3933eec927a838cbae58822ec16f535f185d273a30744ae72ebfa4c600ffeb25fd880b64de73fd574057638b625e13aab559b9b6d1eda33313aeb09d72bf5
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__nepalese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Nepalese,"[""""nepalese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,c7d4de642d762fc8e77a4d7e96f39dfb092aed1b91c87198c518b5da4e0a5401161163eeeb225eea6b88ad34935c6f0980e3ca0b41b801fd23d7bf00fad8a051
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__pakistani,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Pakistani,"[""""pakistani""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,4136b33349844995b58d68d97dce71aa3fcad74e5f609558de6030e74420d47cead4d763b9943495493e30776a527cd9b768a920ddf7b3593d378ea2d7bcd852
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__sri_lankan,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Sri Lankan,"[""""sri_lankan""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,886db5b5e26138b718e16bbfe2ba786ba364967bf58c60e2c26ff65a630b15e4b818dd55f535db0c0476c3eb7eb2db1e884be8241d5e2c52429d7e3a99710f9c
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__thai,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Thai,"[""""thai""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,1de0e68a289c7e798795ae5223828007f474e68e1b530731a85e2de5820789792dc71907f007e581fdf3fd7699e8205d02af6905780fc6a2bf68631289540f85
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__vietnamese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Vietnamese,"[""""vietnamese""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7c1c09b622abb540ca16a2ec2ff07b9fb9061c095689f20c4754cfe9b0f469a0e53dfc2e04d8c747b2b3551a4da97f05a94b0dbb650d8d018002fe7393247f7f
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__i_don_t_know_i_m_not_sure,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure,"[""""i_don_t_know_i_m_not_sure""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,1fbaca44b2d0723645a796328f9f286f6ea41b390b07d46f312fe6d2c5c7eb4493ed49abed760500b724d31c81bbfe00b71db46fecfd886db6327eb4b31a4744
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__other,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Other," ",survey__baseline_survey_origcopy.csv,RADx-DHT,b9ab2caab77206ec96714fa5252ab25e9055739a2f24e7a95cc2d0648bf36f831c2dbd46240be475229e861d709c977c25c4b6cd876161a2a32c29b6dba42ae8
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer","[""""i_prefer_not_to_answer""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,8df5919cbfe8242b31e55413a48c9ac4542c98b48073912b10a500f6b4abc3d4e664f9df91f1761d6c0318f3cf0872eac7819d2a4b892094dacc41c9bd3b0596
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__argentine,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Argentine","[""""argentine""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,4acd9cb1503de3dfe497b10d8a5bb68e6a500ecce35dba17b27d6e9fb65da811e5c39452a866099e6fdae63551cf1992f483ca21ec70973fb97a653c4e5f0024
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__colombian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Colombian","[""""colombian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,4869ed213fb21da330c839c60ee849680bc63e9f1ac9c90e8c80f71d9c7c2890f8e8ee31ad22326ec2528f4370bf92e5b0089e0f1c1a2e5440cb8128d8b3eb6e
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__cuban,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Cuban","[""""cuban""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,a4e7b4b630bc50fae58db4412639718c8a042e8ea94f0bba3de56faacdf02e7ee3a5c54552659dc55fd5a6af803097d950257ceb5e2b8c26ec81b8c152b95554
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__dominican,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Dominican","[""""dominican""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,8b261ac1e5ffa70fa014ff8d4082b18c90ec72a30a28767c23bb69701eca9f289c4b6e872a3f221416785aba88488cfb8e0d35a53939041cd32405269e2f3553
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__ecuadorian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Ecuadorian","[""""ecuadorian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7a7a1f75e78f622f2af043e9694f1859f26176a99b4b3b88a95aad60f7a66ae19ff1ae032eea908f4a42998776f47c51c5601e58ac05a3700888e86d4a5d3330
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__guatemalan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Guatemalan","[""""guatemalan""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,547bd732f45239c5413e4a3937f98023ed3c9b290041e6565f07d103e4e977cd22ad3ac5093c9766f8f108c17c780bdc65634de90a8e32e5025793dff14a568e
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__honduran,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Honduran","[""""honduran""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,1537352a3e426c1b3282d4a20d9a53cfde838e5d813b7583622c61f990fd9470d78d87152b99f905af246ed56c7d2f97587821be8dc98b12cd42fb16f4e560ff
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__mexican_mexican_american_chicano,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Mexican, Mexican American, Chicano","[""""mexican_mexican_american_chicano""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,2fb78ad23c479e6cb534064c4df7171f63c6bfc9da76872fdb17536e7e0881f6d7b4690478da04abe0e8efb0db073588348f7e0d417765715bcb4f96aaf887a1
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__nicaraguan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Nicaraguan","[""""nicaraguan""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,589b88652d9bc426415f05d97cbbfb3e9885164e8acd92641464bc163025c7ecef46758eb07332ec2c8fc9f386ba1cb7a2d7d57489a4490fcb5db9293665b356
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__panamanian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Panamanian","[""""panamanian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,5ab6fae72ff212778a25b0b057f30af1ac561a046b91b1776e5877ad1435db5bce7999747b1d0c65fae7ad22f6b05f73fe12aa947a517e5758ba5df716cb3213
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__peruvian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Peruvian","[""""peruvian""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,96afe5f1e8246ba08941d197d308c3d05b1bc8a6fe6f476ca951095dfbbae95c10be7741fd6acc25f26d14344dde86b0f659600efceca247c6cdf70627affea3
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__puerto_rican,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Puerto Rican","[""""puerto_rican""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,a98a972fa39e6a456d943a1c19b440a9b0762e19e7cdbd555d1c2c2baea4872705488fd8203aa79f320b920649f1c3bddbdc347134f95780fbe80e6c31447c76
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__salvadoran,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Salvadoran","[""""salvadoran""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,4bc2acdc0c39d371bee1ed6b749f9796c20020a6d79f7f9037beb9e30ce81104e682a5c8b4b8827ea5419b121a8f67ee9ea542688153fcf453b953dc3d10ff07
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__spaniard,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Spaniard","[""""spaniard""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,58cc6c38247f7228d5ec8e0ac4542f87dcc5742d6ee159f133213f7d6c89c00b6adddf985953ce37e97645e49b3cd3a1dac9de59136c7c9ec3d68ef132c15605
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__venezuelan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Venezuelan","[""""venezuelan""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,7edfc79e9138f20328bbaa09c67ed6ea8605ee4ecf81581d28061f6998aa212876bc7dc9567a761854c48313ee9a95131632fcc37e3cbedd570c31f431bfc63c
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__i_don_t_know_i_m_not_sure,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure","[""""i_don_t_know_i_m_not_sure""""]",survey__baseline_survey_origcopy.csv,RADx-DHT,f645996ebb0ae4fd6733370800299533742f84c826326d436e57e0e5a286c94910af5668acdd5245281235d6e36e061754798f6e7ffaaea9a42785c739e37dc0
