variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
timeoffsetsleepspo2[map].value,"A map of SpO2 readings, where the keys are the offsets in seconds from the startTimeInSeconds and the values are the SpO2 measurements at that time. Only present if the user’s device is SpO2-enabled.",map,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,0c34218b2ba82387432c426f8a09c7c5fd8826783cb698d07fc2d1dc6a7826059087663d6f2379136f40a1a6f1cf0a1f43339d4151594b384737757bf0f2e8bc
awake[array].starttimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,c9a342b6bc5e3fd997f2b487de52d148b1c3b877a9673f56b2c62ae0f2d0e70a7d2735c84e8eede8176b2a35d1fc63011828dbdfda2c9cc6ef9655d416606808
awake[array].endtimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,c83a2a40482ec400e4788015c9f7f6449dd38cd60f3bdeca2c7f19d1e486f6330ddb876add6ecfbb046acbed742532ef41ffab8b4f1cbe74eeb51eba74709368
deep[array].starttimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,e880b617aac33062ff369ad1e79828b8cb09afcb347730c42f86317402f6510d389a6b0de8680db94a00368b9783c1c0c46d186843658108fb2978391baec853
deep[array].endtimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,658f67a0e12261ec3b6dee782a17e6cc09378f233f178da1ff43bacab270d0244f751a169f3045b1b035ff9534e137c8ec9791454fb0f0c1fbfc4efa810930a4
light[array].starttimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,0f02a142f71b68077613fd80307933ad72554972144763a3872cec4053572448647b56750cea7c8fa2ee46e37b8d523f14ee423f0c33817face94176ecc9de19
light[array].endtimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,0d4753b082f3993290bc446b7c8656c62e415041bce509b074e83fffbcc8bcb8b57df780f813def184cdec730168e91e9f2f0f22cd5aeddd8833e0cf2d4f50e6
rem[array].starttimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,e44b367595f163905c3b5689fac456c2347654e47e9be253e44111bc3c4f6c4f9984175112c0b1a05a1030aae547aac855b7eeaa9b2d69e53b615d543e70653b
rem[array].endtimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,2d7240f5c327a942e5129de14f6dc48d8a8f571d993328259518be5801d4f91dbe59ace1796c554c9f59f84887c3690d442f53dce32ac8e71ed3455105b465f4
unmeasurable[array].starttimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,201bb6d334fe8457355870d6d5dcfe8f13a0a041ccc37aadce538e2abd44a2f9b1b965b9383fcd7805673f97c94736886b188c907c31be2b52f1641a94afe9ff
unmeasurable[array].endtimeinseconds,"A map of sleep level time ranges, currently deep, light, and awake. Time ranges are represented as unix timestamps in seconds.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,cb84e0aa1216818ab9f82c47b8418907b63009e3f19f716fefcc809e88fe4a6d32d53f0f86f286da2ffc1a59de839c31f7dcf0fd01f3ce2a999259c3f4be9d24
