variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
rxcui,RxNorm RXCUI,int,medications_data_dictionary_origcopy.csv,RADx-DHT,e7dfcbd31421e7ca05a67d659182fe224d84c5e3b42792e77a1559e6fb096eadc625c961add011a2313f982a1f06dc3bf489ea45d43bbd01964ef809308e268a
generic_rxcui,RxNorm generic RXCUI,int,medications_data_dictionary_origcopy.csv,RADx-DHT,0136474330e7818822e28934a0a4ab0061bdd6cfe0fb28e13d1feea0c393a4ff9fb21108c5abd0ffa27bcbc9dffc6136436a014ac3814a55964b24f319486565
start_date,(not currently used),date,medications_data_dictionary_origcopy.csv,RADx-DHT,a82dc18422d4cc1fb983e040a88d0b86279c0619447f0c3ea22393a124b0b5f88b99c999a2a05c51baf38de4a5c9a59c1ed600a89eac717882dad1360097c493
end_date,(not currently used),date,medications_data_dictionary_origcopy.csv,RADx-DHT,36df151de580b472c9e772cb42be0b6105ac7763442137901ad009501fad05fef1857b1dbde39fe8f252e4aab299946f9106b0cb5d5a4e0564b838846fba8a30
dosage_value,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT,bca2ed3e3201404b8a88136fd37772feb5d1035cf19d5bc343b5f38a06686b8b34bcce0925399f5cfd020d3d0a24333f3d6685b1ad632578841ec23ab590906a
dosage_form,Form of medication dosage,text,medications_data_dictionary_origcopy.csv,RADx-DHT,ef8969a9ca25fd81f1b2ae5ffc60f301917e842e8f20989f3948e7d430bbdb6da10c2b871122ceaa376c091cc376dd38a93907c9cc3d2b777d5ebd5a7d8f71e5
frequency_number,Number of medication to take at interval,float,medications_data_dictionary_origcopy.csv,RADx-DHT,121433e257963fbbf370c7f1f9c366139906fe4abe991af6a0045002e70ce67dd268896f6d58abaa6d650d595156f090d0c1013e140b4c0ee7cfae84147288c7
frequency_every,Number of units in an interval to take medication,int,medications_data_dictionary_origcopy.csv,RADx-DHT,7f97f21f90954f2eab73d190c91f6cc98f9cd2233489b01647140913d8c41f949a04a2b7b2550e41e1cc59ed514dd8d99afc88e68e42a2a53cb7349e4b53e3e1
frequency_unit,Unit of time for determing when to take medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT,a8ddc63c548378e8eb69a86c531918756e1ecb307ad4838021fb52365f2f91a7ff537945ec709396925fd17b52fd6d96091c964ed2f667d5afd02ad5b1b05ce7
route,Route for administering medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT,b711c9d944a2d1eea3bb5afb90f81a7e4ad9599efc0ab25b3e407729b0af24e9bee0cc0ce4181a94b89cdd170492ce120d4b82d0cbad718f9a96543057d0db1a
strength_number,(not currently used),float,medications_data_dictionary_origcopy.csv,RADx-DHT,0db13ea35ee3e4bb2c368f1a3bbca500f0bd7718c6f8189ca50e701c1ec6942d473533ce5217fc63a6699f39a54305dda6a69c50220a3fc2abe0e3ffb83cec37
strength_unit,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT,d84292bcdcc6bcb27753c6f139bacd5dd27ff859f4142463b28fc71e268cc573bd5df60b9e5a131d60d535498040cf101929d2a50c5c31bdb577cb288fd8372f
strength,Strength of medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT,af62a17a8df02491a6a5dcbd784a5f03865a6e5b72f68195436ef5e9e839c3af652f820d2052e424f199b3caf26625e8da129c77ac217d8ba42cf31742b3ba8d
dosage_instructions,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT,33811a82f864618994f3720df552f5b425c31d62e62b4d70d6390ffc5a8a0c0a7c5f6e69799c945a238c60242269063466c51d3367e84cbfaee1ec5ba7d3b90d
can_refill,(not currently used),boolean,medications_data_dictionary_origcopy.csv,RADx-DHT,4cf1a726bc83dfac864b0935bd7d2a18c2f21e2ab9f767413836aceb46154d78c21a64da1d3e20f81792e1363f607f893e38910d260b72658041dcb90cfdcef7
has_pending_refill,(not currently used),boolean,medications_data_dictionary_origcopy.csv,RADx-DHT,db7fcf10c45953efa44181a3ca999efb2e03de9b3faa8ee868325f22e569e4ae57d05a90d68533329bb839d30d264e478f955251a68e9c8236a6a1a6c1fd5a4d
generic_product_indicator,(not currently used),int,medications_data_dictionary_origcopy.csv,RADx-DHT,b80efc3e23bb065217bb42f54c222bc1c7c351a452239d9cb026d9f5c5fab6cda384acd577a5b8f7d0d917162c59bd3624613b4ce50887bdfb9c6e29fb6fa86d
currently_taking,Whether medication is currently being taken,boolean,medications_data_dictionary_origcopy.csv,RADx-DHT,25319faac9b2bfcbf2764b11fa2035097de72784b5eaa7076fd58e6f872c40c9e70f06a898c6c42f79f75ce5d768af4c6c7f90fc62ee02c26badc3faa4e0b406
as_needed,"Whether medication is taken on an ""as-needed"" basis",boolean,medications_data_dictionary_origcopy.csv,RADx-DHT,921160844809de73d9d81e4c370658c1e66d354c82a1eacac25c5fe05aada829525fd3c22cc81ee772877260db7b20e89da56fff0b0794cebc55b1641aacc8b2
reason,Reason for taking medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT,f61ae5388fa096cbbaef05e374a91e60078ebcda4d4586dd0dc98b8baf02c8ede179599c607679e7b61ddaa16e66581df0d88a1abf84baae0776752d8a500565
variable_basis,"User-entered frequency for taking medication, if it is not taken on a regular schedule",text,medications_data_dictionary_origcopy.csv,RADx-DHT,e0b288f8fd9117f9a150170560998dd509a6a0142cb1d59be11e0d3a530f4ed441677e44666733a8d4d5bd6144b60f5605d71bccc3b971b01d19ae4a23c47ef3
