variable_name,description,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
chronic_oth,Do you currently have any of the following  conditions? -Other chronic condition,Other chronic condition,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,3c860cc2750f98fd6e70c3dff1681e0e70db8c9fdfbfffa9a392d4ecb1cab7135a6e5c2f43aaeaf6daed9d46650525854a0cb8f70d736d515129520862685fcc
oth_chronic_sp,Do you currently have any of the following  conditions? - Specify 'Other Chronic Condition,Specify 'Other Chronic Condition' ________,text,,Demographics_and_Clinical.csv,RADx-DHT,43b825f39cad7bab0af29719a13d8f93f2952ae8dc0c8f82ca654d45249639f9b0c206f86609a020164fc04b5d986898095808e2074522dee36c874800bc1f8b
preg,Current Pregnancy,"Are you Currently Pregnant? 	",radio,"1, Pregnant | 2, Not Pregnant | 3, Don't know | 4, Refused/Prefer not to answer",Demographics_and_Clinical.csv,RADx-DHT,98fa7f243fa0548f14c03d275b5018f1437e70782448138b2043bf1f58e75be036444aa6255e5a2d3ad4704625af5eb2158f326c6257110f51150f4257ff3efc
alc,Alcohol use,"How often do you have a drink containing alcohol? ",radio,"1, Never | 2, Monthly or less 2-4 times a month | 3, 2-3 times a week | 4, 4 or more times a week",Demographics_and_Clinical.csv,RADx-DHT,1e29007baddf4364af59eb4af8d7dd8c110c043e89699882142dc288eb9702e9879851092ff558d0b4af74aa8add87261a90170c3b53d029825448fd445973ec
smoke,Smoke cigarettes,"Do you now smoke cigarettes?

",radio,"1, Every day | 2, Some days | 3, Not at all | 4, DON'T KNOW | 5, REFUSED",Demographics_and_Clinical.csv,RADx-DHT,edda26f3aff55b6e0352f43202753ae8360b3da3fdb1c119dad9c8a9ee99e3e120a81b06c4a4d9ef6528dbe019b7892f641521b7f4c00d82c3745b80927ab81c
n_cig,Smoking per day,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",text,,Demographics_and_Clinical.csv,RADx-DHT,73dd5d785a359c0c2508a3e27040d7dd96e32413f36284e6a2d88c3e51e7a324d8f1f9298af77f86a20e15a4bc55e91a116da4d6458eb4cf710ffb94722e6537
e_cig,e cigarette use,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",radio,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",Demographics_and_Clinical.csv,RADx-DHT,21828c230bd4ebe1753b02aa129f3150772bb3de01838d556d16a64b2bf07a8be47b3a4ce81b2c23fcc9e5b05b1980a342b405b1e21268b374582b3e254c8408
fever,Are you currently experiencing any of the following symptoms in the past 24 hours? -Fever or chills,Fever or chills,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,7bbf3aa43ee641a5159c6bccdfd8fc58476e63bf697d4673068ceb0ac2fb5d56915d65d668add3cb82f630f69a9a022b9dcb05dcd56f9721b3f68abcb115f42d
cough,Are you currently experiencing any of the following symptoms in the past 24 hours? -Cough,Cough,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,ca86f3f1d74e76b769eb8507941a5b76a21dd0d1a3f8fe01b907729044c2829d760bfd0e1ccabb82c062caa0a27b480fdab9689252dd9b536ed9e1db7dabdc80
short_breath,"Are you currently experiencing any of the following symptoms in the past 24 hours? -Shortness of breath, difficulty breathing or chest discomfort","Shortness of breath, difficulty breathing or chest discomfort",radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,1f0d487967617f4d58bd4677b8137929540d9d9126b09aba9c5506809f838c9571307165edb4634ac579d9aba7212b7298dd9bbd705bdff10b8e47ab76772011
fatigue,Are you currently experiencing any of the following symptoms in the past 24 hours?-Fatigue,Fatigue,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,2416859b2c492af4e133c2578c8ee6a268a1866a7307145fefd36a4a8e7c56689b56f4cad83ebf359dbfbeea7180a80638461343e6bbb90bc0b97d12598318f2
muscleache,Are you currently experiencing any of the following symptoms in the past 24 hours?-Muscle or body aches,Muscle or body aches,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,4e9065381ab76ce6fa04b002453f730c4882bae846c4073291b77390a6a7a8ca2353ea80f3d3396963670af91ac4ae561061e017285bcc24662810aaf3a373ca
headache,Are you currently experiencing any of the following symptoms in the past 24 hours? - Headaches,Headache,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,ab05cd490fbe801faebfeca5fb2d8eb3a17ff8cda5b8e0116916d648668d705efd66c3c048b35f506283a62c78c1269d9ed52ae00687dd363eeaf451faddcbc7
loss_taste,Are you currently experiencing any of the following symptoms in the past 24 hours? - New loss of taste or smell,New loss of taste or smell,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,2548da1ac783aa4326d1a4e71e317ecf648f78f814e647dbba1e7e92b9d32ff2091dc1ff085310a2cffc683d2b33de84caaee72501250e66ac0025e89babbcbe
gisympt,"Are you currently experiencing any of the following symptoms in the past 24 hours?- Feeling sick to your stomach, vomiting, diarrhea","Feeling sick to your stomach, vomiting, diarrhea",radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,6aad9db216f8adc53f30eab4b279adf53db0d68191331061e5f97d40cae128976306433ac25a843dd22a676dc01c7a382f638b37114d9ad82c9757f7cee0f809
sorethroat,"Are you currently experiencing any of the following symptoms in the past 24 hours? - Congestion, sore throat, runny nose","Congestion, sore throat, runny nose",radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,2a2ceb13eebf249d2e5b29bfa842536a71c6b7b9adf680b3f3597f95efdfde37222736f1fe91fd61318304514217c4de6c89e37ef8541ac1d2c9b807cc2573e2
abd_pain,Are you currently experiencing any of the following symptoms in the past 24 hours? - Abdminal pain,Abdominal Pain,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,42b647c65289d4525a5c7278302bfebbf325a4250a7abc33641a8e3044343348ac22dca123798bbca0b8d351781d335d10c1015b1a3fa0e8759884ec73a6c719
rash,Are you currently experiencing any of the following symptoms in the past 24 hours? - Rash,Rash,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,956110a4a2fb7841149e52a13faa2c759a01c272b08c2059cf2ca0ba96f4e5c03f618eab33da95625371193d7cfd08dd2ebe0ac869d1453484334e50fedf4c0c
oth,Are you currently experiencing any of the following symptoms in the past 24 hours? - Other,Other,radio,"1, Yes | 2, No | 3, Don't know",Demographics_and_Clinical.csv,RADx-DHT,27a2941b81790778235c3325f4f96fa35d3609d01fe5661f8e8e08fcea18f856d7e9b6841b63b31b6551020ac13510b7fe5c4ef406e76228286e483f18271e70
sympt_oth,Other symptom details,Specify 'Other' Symptoms _______,text,,Demographics_and_Clinical.csv,RADx-DHT,f15966e7a420b5843e72417767ba4c9f985c597a8a2e2b8dd6b053c144344258de638df4ab4e85b0c5e93617a9961873080901d15ce6a34ed5f254c664c979e2
health,self rated health status,"Would you say your health in general is excellent, very good, good, fair, or poor?",radio,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor | 7, Refused | 9, Don't know",Demographics_and_Clinical.csv,RADx-DHT,d619a746d453b2fb96a929b895b2ff6a1e1f0d3277745be691c73bc2fb29c8a36f195526ecb920e8f78988ab676c790b4d61e6a97d3bac90b55a93e21de2a55a
disability,disability that interferes with daily activity,"Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook, bathing or dressing.",radio,"1, Yes | 2, No | 3, prefer not to answer",Demographics_and_Clinical.csv,RADx-DHT,818b006c69e9978505326f5ac3b14e5e6a13a191dad007d6c974fa389dbe6f3d0cde22f6c849e98736dd76945069c2600a9e0792a5d35c1303a8622046f6c2f2
high_risk_cond_v2,Medical History,"Indicate the subject's medical history by checking all appropriate boxes. ",checkbox,"1, Cancer | 2, Chronic kidney disease | 3, Chronic obstructive pulmonary disease | 4, Immunocompromised state from solid organ transplant | 5, Immunocompromised state from blood of bone marrow transplant, immune deficencies, HIV, corticosteroid use, or other immune weakening medications | 6, BMI >30 | 7, Serious heart conditions (i.e., heart failure, CAD, cardiomyopathies) | 8, Sickle cell disease | 9, Type 2 diabetes | 10, Type 1 diabetes | 11, Asthma (moderate-to-severe) | 12, Cerebrovascular disease | 13, Cystic Fibrosis | 14, Hypertension | 15, Neurologic conditions (i.e., dementia) | 16, Liver disease | 17, Pregnancy | 18, Pulmonary disease | 19, History of smoking | 20, Thalassemia",Demographics_and_Clinical.csv,RADx-DHT,dcc2e6562c0a2f9cd89b1c1137fc7dc53e682dd247e1a3e432284c92dce24dcf0f964406d7c785205579d12def9e90a7bb09d7fde2238e02e6bdec85fb63d471
risk_cond_other,Other Medical History,Specify any other medical conditions not listed above.,text,,Demographics_and_Clinical.csv,RADx-DHT,c86a6b5b990b025971867f49aee9b2174e1004c6d4b41590959b61317730cd079cb5d00e3197b832874b4b9e6aba16b7e13d21fa01f0ae49fe079e5d6ecb1fe8
covid_test_type_v2,Type of COVID test used initially,14. Type of initial testing method,dropdown,"1, rtPCR | 2, POCT | 3, Saliva",Demographics_and_Clinical.csv,RADx-DHT,6ec8d6e38b5f15d36def4fc2d82613c4da4ad4221bcfc782902a789c28a8d464d0db9f56e8d149b756e3a33111bfd20e4eb89f5adf78e287f5bfd6104143376f
souce_pt,Enrollment site,Source of Patient enrollment?,radio,"1, UI Health | 2, RUSH | 3, UTHouston | 4, Utah | 5, NW",Demographics_and_Clinical.csv,RADx-DHT,83141b00928f045500cc99c619265066053d9035d83b752e35b4eda0e7e96f5b52ef618721cde0e91365146804362fe5ef8418a04fa4a8ec94d809355c892ea3
enrolled,UI Health site,"If patient from UI Health, where was the patient enrolled from?",radio,"1, UIH | 2, ED | 3, UI Outpatient Clinic (Miles Square, Pilsen, and all other UI clinics) | 4, Other",Demographics_and_Clinical.csv,RADx-DHT,68fdb6401e27a588d8414ef5ed72a00d9e734d7a8f58cf3f76e6d00c1939eaf1f0d4e2b483e8405c69c889952871a95ca62c4280cc355a45ca576bcfd32e1ffb
other_site_type,Outside UI Health site,"If patient is from a site outside of UI Health, please specify where the patient was enrolled from - ",radio,"1, ED | 2, Inpatient | 3, Outpatient | 4, Other",Demographics_and_Clinical.csv,RADx-DHT,2d7c63fcb6f55e8bce926c547452fa5b6f267317ba8b166a7ff8bd24f12aead5abb727ea3efa744a73ce8a092440cb497f60535873ebd54d34e23d462890accf
covid_difficulty,Impact of COVID on activities,"Are there activities that you could previously do without difficulty that you are unable to do now because of your COVID symptoms? (like being out of breath, tired, dizzy, etc.)",radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,75ad83d8f7308497032e36c2cdc49e1dde25c8a9f96c0f477e5b6cbf150fc26eb275c626f86024de2ca46c66b360be93d0366f87bf333403fa66f8c63dc76a4b
consent_yn,Patient withdrawing from study,Does the patient want to withdraw from the study?,yesno,,Demographics_and_Clinical.csv,RADx-DHT,106eefc35447b8024f2248164218083403d504ddfdc70f8fd4814ffcd172ec278f2e03c534f1ef6c4f8be359b3440fb7f6197a6b4f80d3e87771d4eb7fcb4734
not_appl,"If the patient is Screen Failure then mark 'NA' ",Not applicable,checkbox,"1, NA",Demographics_and_Clinical.csv,RADx-DHT,1030092db026d40e9a5bb4452d258741aadc874360bc2f8d2c920337265004e38f70d7d6ddf81dd0b310f4429ba51b380173d04671167a336cb4237d5b7e49dc
monitor_dt_tm,Monitoring start data and time,"10.2 Please confirm the date and time at which monitoring began


{na_monitor}",text,,Demographics_and_Clinical.csv,RADx-DHT,1e31ae73e6469a9e7be337e4645260cadadfead52e4ee9b4a289e481fb97c5410e353e9b776fe525c53552e13d7f1aca29104abbda9c905ecbed0a254c1f1e0e
na_monitor,"If the patient is Screen Failure then mark the date of study participation start as 'NA' ",Not Applicable,checkbox,"1, NA",Demographics_and_Clinical.csv,RADx-DHT,d05913d6228589076603300ce53d817cd8c26b4bbc074febfa8c82ece99e4ec515b8567e7ae38462266972eae3803be665ff5600715a37d20441efa4bb494887
monitor_term_antic_dt,Anticipated Study end date,10.2.1 Anticipated date to end study participation,text,,Demographics_and_Clinical.csv,RADx-DHT,b98db2035d3d339ec9add08ee286214ff39200089c15c2c88f383d6a01106c58b2cc7e021012e9f5dd45ee98037da423b80b01d62e17cb6e0d6119150e35c6a3
comp_day7,Day 7 compliance call outcomes,Outcome of Day7 Call:,checkbox,"1, LVM | 2, Need extra patches | 3, patient withdrew/LTFU before call",Demographics_and_Clinical.csv,RADx-DHT,499f171335c6ade25d169c88320959f0411ad251bdd72a6aa188c3e636406e656b146bfc3dca96a5e7d8214c8330f3332cebe8709457b325647a972b5631607d
comp_patches,Day 7 Number of patches needed,"If 'Needs extra patches' is checked then, how many?",text,,Demographics_and_Clinical.csv,RADx-DHT,553aab9262abe5fc11233291986b1d2edb4cec7b5afdfa80c2884414a647e11f42e45e5bde121eaab38e103a56a858cbaa947ea834c62a3b7e185095ba3ba86e
day7_reported,Day 7 compliance call concerns,"Day 7 - Patient reported (check all that apply)- ",checkbox,"1, CE reported | 2, AE reported | 3, Other | 4, No issues",Demographics_and_Clinical.csv,RADx-DHT,10b90e22a2b80636b8fead389c7e65ea77fab41109c24925626d5e020764adf4299a0987c66a4f4c9d62ee91bb7b71f10f6a5c23d9f30df533eedb52764773dd
day7_oth,Day 7 Other concerns,If patient reported 'Other' then explain,text,,Demographics_and_Clinical.csv,RADx-DHT,e76040347b341a2adc72dd149d9911765d0bee69d5258e8650e80dc5e3c886d8ff78210e70282960e9aa41e5dc8b81b7fa103c6c01c6dac41beac3c5e5cdef12
comp_day18,Day 18 compliance call outcomes,Outcome of Day18 Call:,checkbox,"1, LVM | 2, Need extra patches | 3, patient withdrew/LTFU before call",Demographics_and_Clinical.csv,RADx-DHT,d0b49adaba75ea565409881972c237dcbc3a6ffcddef4765ca0edf3407dbd0cd3594fc623d007759d838049def6c4eb9d86eeb1712c10ec5911f2c7074b3a4b4
compd18_patches,Day 18 Number of patches needed,"If 'Needs extra patches' is checked then, how many?",text,,Demographics_and_Clinical.csv,RADx-DHT,b50822e69a32a523388f0bcecd36ff6b46a23a7bcf2fc27e6b6f680ff3a9dfdb147ccaa0567cecc37075e3e9430b549d99f1707fb9cf10644057d48bd2d9505a
day18_reported,Day 18 compliance call concerns,"On day 18, patient reported (check all that apply)- ",checkbox,"1, CE reported | 2, AE reported | 3, Other | 4, No issues",Demographics_and_Clinical.csv,RADx-DHT,d2cb1cdcc84c8fe6542267ef416dc0ea566b19197f360955c099c07751ed5d72bbc99966025b1d755b9d72d460f7c9ea846919eac1dfedc92c4315c0e51b2626
day7_oth_2,Day 18 Other concerns,If patient reported 'Other' then explain,text,,Demographics_and_Clinical.csv,RADx-DHT,b2685da83b4800db23cbe3905890398b96ed2980de230271f745d942a48d4395f5dd20092ddd002407c213663ad4b9d3d64ba89a990ff5e3b9020ecf9c7259bd
termination_dt_tm,Participation end data and time,2. Date and time study participation ended,text,,Demographics_and_Clinical.csv,RADx-DHT,d651cf6761755dfcb3be91078b7c7098030b52401eabc8fdb84d8bdb0edd3136897a3fe34435f7bbd129372a3f66b6398e15e27666f82dc9aa727a76a0b8c7ce
reason_monitoring,Reasons for study participation ending,What was the reason for study participation to end?,radio,"0, Screen Failure | 1, Lost to follow up | 2, Withdrew consent | 3, Completed 26-35 days of monitoring",Demographics_and_Clinical.csv,RADx-DHT,02fa940a95b008ac1973ddc34594de06f9692832283862a3da7237d875882ad13b12d80324587e6e74d122b8483fe3afcf73418a59958ba2aa05712e4430945e
lfu_actions,Actions taken when lost to follow up,"If lost to follow up, what actions were taken to follow up with the subject? (be specific and add dates)",notes,,Demographics_and_Clinical.csv,RADx-DHT,1d43e12c39b8ca5924795c83986b2a0954d7807da47f4f33cb509dd4088caf15357f091152caf70095e1fc467a9be59c7e0a3935158cf52fbb89be57843d330f
consent_rsn,Withdrawal reasons,"10.3 If withdrawing consent or not completed monitoring, then why?",checkbox,"1, Privacy concerns | 2, Not interested in remote monitoring | 3, Uncomfortable with device | 4, Did not like the device | 5, Felt well | 6, Medical indication | 7, Patch rash | 8, Ran out of patches | 9, Feeling Better | 10, Did not like device | 11, Unable to complete study expectations | 12, Technology issues | 13, Uncomfortable with technology | 14, No longer interested in study | 99, Other",Demographics_and_Clinical.csv,RADx-DHT,856f40e4f0cf650fcccf9e46671c95b17a960ac6b982061f5961276d83b4238a86c4493298f85e9457c2b7670c6caa369ed80eb3b94c9fcd929c03e4e7598e2b
other_reason,Other Withdrawal reasons,"If 'Other', specify here - ",notes,,Demographics_and_Clinical.csv,RADx-DHT,57aa1e231a5eff6b4b2eb4ed36cfb00c374d63045daae0474d3addb5cac7b834fdc86447435726adec3706b13354d2b93c79a431bf9bde1ec20ba0f1a8cf5298
consent_dt,Date consent withdrawn,"If consent withdrawn, enter date",text,,Demographics_and_Clinical.csv,RADx-DHT,e5d9b6ffb56fa4271b668074f95c2e06ddb9347ae804b849ad14aad70b200a359e12e84e4af44230bafcc9debbb28596cc12e06b4c15402c5e4fd43bc2b03072
termination_length,Duration of enrollment,2.1 Length of remote enrollment (days),calc,"roundup(datediff([monitor_dt_tm], [termination_dt_tm], ""d"", ""mdy""),0)",Demographics_and_Clinical.csv,RADx-DHT,00301b599c9153e3b4b5765c2cc5acd1dc8187d2022e809c01e43438de72b8fd431e8a261ec73d627f5dc6caf325fca9b9c16fef49032b15a629ebe4513b50ef
termination_early,Reasons for not completing monitoring,"Based on the monitoring end date entered, if the length of monitoring was < 26 days, please indicate why the patient did not complete the full monitoring time period",dropdown,"1, Did not like the device | 2, Felt well | 3, Medical indication | 99, Other",Demographics_and_Clinical.csv,RADx-DHT,a7d4485c431df185f40b42c98ae21d3be7112b29e965206095a14ebb97f0c618f6ebfb487b077a12f662ca4ea003e34db2c08694ec19b1d4fd8fb9d0e481efd8
termination_early_notes,Detailed reasons for not completing monitoring,2.2.1 Please briefly expand on the reason monitoring was ended early,notes,,Demographics_and_Clinical.csv,RADx-DHT,34516e5afa315e1836e6d5553cbf4ba89546c8b7870db69d2fa36de8bd23e138ac72970bd5a54fd60ff6aa8563cbfb2f63af9480af6ea341fe4be8af45630947
termination_survey_dt,When were survey questions asked,3. Date asked patient survey questions,text,,Demographics_and_Clinical.csv,RADx-DHT,7b1bb63c866474248688c5da073922687ef529a7b1bb7209cd97da0c3c4cd0351f12e05b87bfb9e2c7f1532896892fa047363d88f8c62b3a5da74de2a19404f0
outcome,health outcomes during monitoring,Did you have any of the following significant health outcomes during their remote monitoring:,checkbox,"1, ED visit | 2, Hospitalization | 3, Urgent Care | 4, PCP visit | 5, Death | 6, Other",Demographics_and_Clinical.csv,RADx-DHT,95325ea66083db323f940ef30572d10dfa98cbee0d08dfe79b1b68238f8f1ac2328eced216c0cf13bd451b69732df17c610844791bfa46bb8eea310a2532207c
covid_recovery,Has the participant recovered,Are you recovered from your illness now?,radio,"1, Yes - completely | 2, No - better but still have some problems | 3, No - still quite sick",Demographics_and_Clinical.csv,RADx-DHT,6d735a3a8c2ef77e3e265023f9efc8694ea7db334b67b4b22de40b3d8e907668017b0cbb5b97c546a6353d19484294a778636fe2b536f0506a5ded85fbf68d07
covid_return,return to previous living situation,"If you were hospitalized, did you return to your home or previous living situation?",radio,"1, Yes | 2, No | 3, N/A",Demographics_and_Clinical.csv,RADx-DHT,3136f05b9b0c525c221d591ed71ac81536129e6c93e0e278b54678b371ee38edad6b95095c38a6bb2c511beb5c4806ebe4822bcc8b71a3acc4b398f908e297a3
covid_rec_prob,lingering symptoms,Do you still have some problems or symptoms related to your COVID-19 infection?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,3bacab830e449300dc06041ea39283f133cc0c65574050b625947b24cf506cc583f49559d20d9a0d365c1022880884dce17a89e3233964ecbcad6def9a461d4b
