Id,Label,Terms,Datatype,Unit,Enumeration,Additional Missing Value Codes
covid_test_result_sent_datetime,Date and time result sent to participant,,datetime,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_specimen_collector,Specimen Collector,,int,,"""1""=[Self-collect] |""2""=[Health Care Provider collected] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_specimen_type,Specimen Type,,int,,"""1""=[Anterior nasal swab] |""2""=[Mid-turbinate nasal swab] |""3""=[Nasopharyngeal swab] |""4""=[Oropharyngeal swab] |""5""=[Nasal lavage] |""6""=[Saliva] |""7""=[Sputum] |""8""=[Whole blood] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_study_setting,Study Setting,,int,,"""1""=[Community health center] |""2""=[Nursing home or long-term care facility] |""3""=[Prison or correctional facility] |""4""=[Public housing] |""5""=[Rural] |""6""=[Urban] |""7""=[School] |""8""=[In-home] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_type,Test Method Target,,int,,"""1""=[Antibody] |""2""=[Antigen] |""3""=[Nucleic acid/PCR] |""4""=[Nucleic acid/Isothermal] |""5""=[Molecular/host response] |""6""=[Biochemical marker (eg, pH)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_vaccine,Have you received a COVID-19 vaccine?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_vaccine_course,Have you completed the COVID-19 vaccination course? MostCOVID-19 vaccines require two shots.,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
employed_ew,"Are you considered an essential worker? An essential worker is someone who was required to go to work even when stay at home orders were in place ",,int,,"""0""=[No] |""1""=[Yes] |""98""=[Unknown] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
employed_healthcare_2,"Would any of these describe where you work? If you work multiple jobs, select the closest match to your main job.",,int,,"""0""=[No] |""1""=[Nursing care facilities] |""10""=[Construction] |""2""=[Visiting nurse or home health aide service] |""3""=[Building cleaning services] |""4""=[Public transportation] |""5""=[Corrections facility] |""6""=[EMT or paramedic services] |""7""=[Meat packing farm facility] |""8""=[Agriculture and food production facility] |""9""=[Grocery store] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
family_income,"In 2019, what was your total household income before taxes?",,int,,"""1""=[Less than $15,000] |""2""=[$15,000 - $19,999] |""3""=[$20,000 - $24,999] |""4""=[$25,000 - $34,999] |""5""=[$35,000 - $49,999] |""6""=[$50,000 - $74,999] |""7""=[$75,000 - $99,999] |""8""=[$100,000 and above] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
fi_change_diet,"In the last 12 months, since (date 12 months ago) did (you/you or other adults in your household) ever cut the size of your meals or skip meals because there wasn't enough money for food?",,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
flu_vaccine_season_3,Have you received a flu vaccine in the last 12 months?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
gender_identity_term_2,What terms best express how you describe your gender identity?,,int,,"""0""=[Man] |""1""=[Woman] |""3""=[Transgender man/Female-to-male (FTM)] |""4""=[Transgender woman/Male-to-female (MTF)] |""5""=[Gender non-binary/Genderqueer/Gender nonconforming] |""6""=[Agender] |""7""=[Bigender] |""8""=[Two-spirit] |""96""=[None of these describe me] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
household_congregate_3,Do you live in any of these?,,int,,"""1""=[A group care setting] |""10""=[Homeless or in no consistent shelter] |""2""=[Nursing home] |""3""=[Residential care facility for people with intellectual and developmental disabilities] |""4""=[A psychiatric treatment facility] |""5""=[A group home] |""6""=[A board and care home] |""7""=[Prison or jail] |""8""=[A halfway house] |""9""=[Foster care] |""90""=[Somewhere else] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
household_famgen_3,What best describes the people at your home:,,int,,"""1""=[Just me] |""2""=[Living with spouse, no kids] |""3""=[Family including kids] |""4""=[Family with 3 generations (parents, children, grandchildren)] |""5""=[Family with 4 generations] |""6""=[Living with roommates] |""90""=[None of these] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
household_homeless,"Are you currently living in transitional housing, staying in a shelter, or experiencing homelessness?",,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
isolate_maintain_job,"If you were to test positive for COVID-19, would you be able to isolate without losing your job?",,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
jobloss_covid19_2,"Have you, or has anyone in your household, experienced a loss of employment income since the start of the COVID-19 pandemic (March 2020)?",,int,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_english,Do you speak a language other than English at home?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___1,What languages are spoken at home?,,bit,,"""0""=[Spanish] |""1""=[Spanish] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___2,What languages are spoken at home?,,bit,,"""0""=[Vietnamese] |""1""=[Vietnamese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___3,What languages are spoken at home?,,bit,,"""0""=[Mandarin] |""1""=[Mandarin] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___4,What languages are spoken at home?,,bit,,"""0""=[Cantonese] |""1""=[Cantonese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___5,What languages are spoken at home?,,bit,,"""0""=[Tagalog] |""1""=[Tagalog] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___6,What languages are spoken at home?,,bit,,"""0""=[Hawaiian] |""1""=[Hawaiian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___7,What languages are spoken at home?,,bit,,"""0""=[Ilokano] |""1""=[Ilokano] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___8,What languages are spoken at home?,,bit,,"""0""=[Navajo] |""1""=[Navajo] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___9,What languages are spoken at home?,,bit,,"""0""=[English] |""1""=[English] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___90,What languages are spoken at home?,,bit,,"""0""=[Other] |""1""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___99,What languages are spoken at home?,,bit,,"""0""=[Prefer not to answer] |""1""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
missed_procedure_2,"Since the start of the COVID-19 pandemic (March 2020), have you needed to postpone any medical care?",,int,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
positivemonth_covidtest_2,What month did you first test positive for COVID-19?,,int,,"""1""=[January] |""10""=[October] |""11""=[November] |""12""=[December] |""2""=[February] |""3""=[March] |""4""=[April] |""5""=[May] |""6""=[June] |""7""=[July] |""8""=[August] |""9""=[September] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
positiveyear_covidtest_3,What year did you first test positive for COVID-19?,,int,,"""1""=[2019] |""2""=[2020] |""3""=[2021] |""4""=[2022] |""5""=[2023] |""6""=[2024] |""7""=[2025] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
quarantine_maintain_job,"If you would be exposed to someone with COVID-19, would you be able to quarantine without losing your job? ",,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_asian_detail_3___1,,,bit,,"""0""=[Japanese] |""1""=[Japanese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_asian_detail_3___2,,,bit,,"""0""=[Filipino] |""1""=[Filipino] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_asian_detail_3___3,,,bit,,"""0""=[Chinese, except Taiwanese] |""1""=[Chinese, except Taiwanese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_asian_detail_3___4,,,bit,,"""0""=[Korean] |""1""=[Korean] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_asian_detail_3___5,,,bit,,"""0""=[Other Asian] |""1""=[Other Asian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_hispanic_detail_2___1,Please specify your origin,,bit,,"""0""=[Mexican, Mexican Am., Chicano] |""1""=[Mexican, Mexican Am., Chicano] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_hispanic_detail_2___2,Please specify your origin,,bit,,"""0""=[Puerto Rican] |""1""=[Puerto Rican] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_hispanic_detail_2___3,Please specify your origin,,bit,,"""0""=[Cuban] |""1""=[Cuban] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_hispanic_detail_2___4,Please specify your origin,,bit,,"""0""=[Another Hispanic, Latino, or Spanish origin] |""1""=[Another Hispanic, Latino, or Spanish origin] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___1,,,bit,,"""0""=[Native Hawaiian] |""1""=[Native Hawaiian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___10,,,bit,,"""0""=[Marshallese] |""1""=[Marshallese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___11,,,bit,,"""0""=[Palauan] |""1""=[Palauan] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___12,,,bit,,"""0""=[Pohnpeian] |""1""=[Pohnpeian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___13,,,bit,,"""0""=[Yapese] |""1""=[Yapese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___14,,,bit,,"""0""=[Other Pacific Islander] |""1""=[Other Pacific Islander] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___2,,,bit,,"""0""=[Pacific Islander] |""1""=[Pacific Islander] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___3,,,bit,,"""0""=[Samoan] |""1""=[Samoan] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___4,,,bit,,"""0""=[Tongan] |""1""=[Tongan] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___5,,,bit,,"""0""=[Maori] |""1""=[Maori] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___6,,,bit,,"""0""=[Fijian] |""1""=[Fijian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___7,,,bit,,"""0""=[Chamorro] |""1""=[Chamorro] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___8,,,bit,,"""0""=[Chuukese] |""1""=[Chuukese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
race_ethn_islander_detail_2___9,,,bit,,"""0""=[Kosraen] |""1""=[Kosraen] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
redcap_event_name,REDCap event name used to label longitudinal data,,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
redcap_repeat_instrument,REDCap instrument that may be repeated,,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
self_reported_weight_units_2,Please choose the units you would like to use for weight,,int,,"""1""=[Kilograms] |""2""=[Pounds] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
