Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required,source_file,source_directory
diagnoses (choice=kawasaki disease),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
diagnoses (choice=healthy control),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
"diagnoses (choice=negative control (immunocompromised, underlying conditions))",,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
diagnoses (choice=inflammatory control (respiratory virus or bacterial infection)),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
inflammatory control comment,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
negative control comment,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of covid diagnosis,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
covid-19 severity (old classification score),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
covid-19 severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
covid-19 severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
covid-19 world health organization (who) severity score,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
covid-19 diagnosis notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
sars cov-2 molecular test?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of molecular test (choice=antigen),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of molecular test (choice=pcr),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of molecular test (choice=idnow),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of molecular test (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many instruments were used to run sars cov-2 test(s)?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
instrument 1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
instrument 2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
instrument 3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
instrument 4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many antigen tests?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of antigen test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of antigen test #1,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of antigen test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of antigen test #2,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of antigen test #3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of antigen test #3,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of antigen test #4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of antigen test #4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many pcr tests?,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of pcr test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of pcr test #1,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of pcr test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of pcr test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
variant identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of pcr test #3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of pcr test #3,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many idnow tests?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of idnow test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of idnow test #1,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of idnow test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of idnow test #2,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of idnow test #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of idnow test #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
viral load or cycle threshold,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
varient identification,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other tests?,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other sars cov-2 test 1,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other sars cov-2 test 1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of other sars cov-2 test 1,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other sars cov-2 test 2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other sars cov-2 test 2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of other sars cov-2 test 2,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other sars cov-2 test 3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other sars cov-2 test 3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of other sars cov-2 test 3,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of mis-c diagnosis,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
confirmation of mis-c diagnosis (choice=pcr positive),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
confirmation of mis-c diagnosis (choice=antibody positive),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
confirmation of mis-c diagnosis (choice=direct contact with covid+ person),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
confirmation of mis-c diagnosis (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
confirmation of mis-c diagnosis (choice=none of the above),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mis-c severity (old classification scores),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mis-c severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mis-c severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mis-c diagnosis comment,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of kawasaki disease diagnosis,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of kawasaki disease,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
kd severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
kd severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
kawasaki disease diagnosis comments,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
control comments,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
alternative diagnosis identified?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what is the alternative diagnosis?,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
sars cov-2 antibody test?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of antibody test (choice=spike),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of antibody test (choice=nucleocapsid),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of antibody test (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many spike antibody tests?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of spike antibody test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of spike antibody test #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of spike antibody test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of spike antibody test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of spike antibody test #3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of spike antibody test #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many nucleocapsid antibody tests ?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of nucleocapsid antibody test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of nucleocapsid antibody test #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of nucleocapsid antibody test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of nucleocapsid antibody test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of nucleocapsid antibody test #3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of nucleocapsid antibody test #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other tests were run?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other antibody test #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other antibody test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of other antibody test #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other antibody test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other antibody test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result of other antibody test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=rbd elisa),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=neutralizing antibodies),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=pseudovirus neutralizing antibodies),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=adcc),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what other type of labs were run? (choice=none),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what was the date of the rbd elisa?,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what was the date of the neutralizing antibodies?,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what was the date of the pseudovirus neutralizing antibodies?,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
what was the date of the adcc?,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other labs were run?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #1 date,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #2 date,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab #3 date,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
received the covid-19 vaccine?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
vaccine type (choice=pfizer-biontech),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
vaccine type (choice=moderna),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
vaccine type (choice=johnson & johnson / janssen),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
vaccine type (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many pfizer doses received?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of first pfizer vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of second pfizer vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of third pfizer vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of fourth pfizer vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many moderna doses received?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of first moderna vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of second moderna vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of third moderna vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of fourth moderna vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many j&j doses received?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of first j&j vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of second j&j vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of third j&j vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other vaccine type,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other vaccine doses received?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of first other vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of second other vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of third other vaccine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
symptoms associated with:,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of symptom onset,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mucous membrane changes (only in acute phase of infection before respiratory intubation),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=conjunctival injection),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=lip erythema),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=lip cracking),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=pharyngeal or tonsillar erythema),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=tongue erythema),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=mucositis),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=unknown),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other mucous membrane changes,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
peripheral extremity changes,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=swelling),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=erythema),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other peripheral extremity changes,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
rash,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=macular),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=maculopapular),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
check all that apply: (choice=unsure),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other rash type,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
distribution of rash?,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
sore throat,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
rhinorrhea/congestion,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
arthralgias (joint pain),,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
loss of smell or taste,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest pain,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other symptoms,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory conditions (choice=asthma),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory conditions (choice=chronic lung disease / bpd),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory conditions (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory conditions (choice=none),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying condition?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
