Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
Date of Nucleocapsid Antibody Test #3,,Health Status,date,,,,,,,,
Result of Nucleocapsid Antibody Test #3,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
"How many other tests were run? ",,Health Status,dropdown,,,,,,,,
Name of Other Antibody Test #1,,Health Status,text,,,,,,,,
Date of Other Antibody Test #1,,Health Status,date,,,,,,,,
Result of Other Antibody Test #1,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Name of Other Antibody Test #2,,Health Status,text,,,,,,,,
Date of Other Antibody Test #2,,Health Status,date,,,,,,,,
Result of Other Antibody Test #2,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
What other type of labs were run? (choice=RBD ELISA),,Health Status,checkbox,,,,,,,,
What other type of labs were run? (choice=Neutralizing Antibodies),,Health Status,checkbox,,,,,,,,
What other type of labs were run? (choice=Pseudovirus Neutralizing Antibodies),,Health Status,checkbox,,,,,,,,
What other type of labs were run? (choice=ADCC),,Health Status,checkbox,,,,,,,,
What other type of labs were run? (choice=Other),,Health Status,checkbox,,,,,,,,
What other type of labs were run? (choice=None),,Health Status,checkbox,,,,,,,,
What was the date of the RBD ELISA?,,Health Status,date,,,,,,,,
What was the date of the neutralizing antibodies?,,Health Status,date,,,,,,,,
What was the date of the pseudovirus neutralizing antibodies?,,Health Status,date,,,,,,,,
What was the date of the ADCC?,,Health Status,date,,,,,,,,
How many other labs were run?,,Health Status,dropdown,,,,,,,,
Other lab #1,,Health Status,text,,,,,,,,
Other lab #1 date,,Health Status,date,,,,,,,,
Other lab #2,,Health Status,text,,,,,,,,
Other lab #2 date,,Health Status,date,,,,,,,,
Other lab #3,,Health Status,text,,,,,,,,
Other lab #3 date,,Health Status,date,,,,,,,,
Received the COVID-19 vaccine?,,Health Status,radio,,,,,,,,
Vaccine Type (choice=Pfizer-BioNTech),,Health Status,checkbox,,,,,,,,
Vaccine Type (choice=Moderna),,Health Status,checkbox,,,,,,,,
Vaccine Type (choice=Johnson & Johnson / Janssen),,Health Status,checkbox,,,,,,,,
Vaccine Type (choice=other),,Health Status,checkbox,,,,,,,,
How many Pfizer doses received?,,Health Status,dropdown,,,,,,,,
Date of First Pfizer Vaccine,,Health Status,date,,,,,,,,
Date of Second Pfizer Vaccine,,Health Status,date,,,,,,,,
Date of Third Pfizer Vaccine,,Health Status,date,,,,,,,,
Date of Fourth Pfizer Vaccine,,Health Status,date,,,,,,,,
How many Moderna doses received?,,Health Status,dropdown,,,,,,,,
Date of First Moderna Vaccine,,Health Status,date,,,,,,,,
Date of Second Moderna Vaccine,,Health Status,date,,,,,,,,
Date of Third Moderna Vaccine,,Health Status,date,,,,,,,,
Date of Fourth Moderna Vaccine,,Health Status,date,,,,,,,,
How many J&J doses received?,,Health Status,dropdown,,,,,,,,
Date of First J&J Vaccine,,Health Status,date,,,,,,,,
Date of Second J&J Vaccine,,Health Status,date,,,,,,,,
Date of Third J&J Vaccine,,Health Status,date,,,,,,,,
Other Vaccine Type,,Health Status,text,,,,,,,,
How many other vaccine doses received?,,Health Status,dropdown,,,,,,,,
"Date of First Other Vaccine ",,Health Status,date,,,,,,,,
Date of Second Other Vaccine,,Health Status,date,,,,,,,,
"Date of Third Other Vaccine ",,Health Status,date,,,,,,,,
Symptoms associated with:,,Health Status,radio,,,,,,,,
"Other ",,Health Status,text,,,,,,,,
Date of Symptom Onset,,Health Status,date,,,,,,,,
Mucous membrane changes (only in acute phase of infection before respiratory intubation),,Health Status,radio,,,,,,,,
Check all that apply: (choice=Conjunctival injection),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Lip erythema),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Lip cracking),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Pharyngeal or tonsillar erythema),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Tongue erythema),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Mucositis),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Unknown),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Other),,Health Status,checkbox,,,,,,,,
Other mucous membrane changes,,Health Status,text,,,,,,,,
Peripheral extremity changes,,Health Status,radio,,,,,,,,
Check all that apply: (choice=Swelling),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Erythema),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Other),,Health Status,checkbox,,,,,,,,
Other peripheral extremity changes,,Health Status,text,,,,,,,,
Rash,,Health Status,radio,,,,,,,,
Check all that apply: (choice=Macular),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Maculopapular),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Other),,Health Status,checkbox,,,,,,,,
Check all that apply: (choice=Unsure),,Health Status,checkbox,,,,,,,,
Other rash type,,Health Status,text,,,,,,,,
Distribution of rash?,,Health Status,text,,,,,,,,
Sore throat,,Health Status,radio,,,,,,,,
Rhinorrhea/congestion,,Health Status,radio,,,,,,,,
Arthralgias (joint pain),,Health Status,radio,,,,,,,,
Loss of smell or taste,,Health Status,radio,,,,,,,,
Chest pain,,Health Status,radio,,,,,,,,
Other,,Health Status,radio,,,,,,,,
Other symptoms,,Health Status,notes,,,,,,,,
Respiratory conditions (choice=Asthma),,Health Status,checkbox,,,,,,,,
Respiratory conditions (choice=Chronic Lung Disease / BPD),,Health Status,checkbox,,,,,,,,
Respiratory conditions (choice=Other),,Health Status,checkbox,,,,,,,,
Respiratory conditions (choice=None),,Health Status,checkbox,,,,,,,,
Underlying condition?,,Health Status,radio,,,,,,,,
Underlying conditions (check all that apply) (choice=Hematologic),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Oncologic),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Cardiac),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Diabetes),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Obesity),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Neurologic),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Prematurity),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Transplant),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Immunosuppressed),,Health Status,checkbox,,,,,,,,
Underlying conditions (check all that apply) (choice=Other),,Health Status,checkbox,,,,,,,,
Other underlying condition,,Health Status,text,,,,,,,,
How many other respiratory conditions?,,Health Status,dropdown,,,,,,,,
Respiratory condition #1,,Health Status,text,,,,,,,,
Respiratory condition #2,,Health Status,text,,,,,,,,
Respiratory condition #3,,Health Status,text,,,,,,,,
Cardiovascular conditions (choice=Congenital heart disease),,Health Status,checkbox,,,,,,,,
Cardiovascular conditions (choice=Other),,Health Status,checkbox,,,,,,,,
Cardiovascular conditions (choice=None),,Health Status,checkbox,,,,,,,,
How many other cardiovascular conditions?,,Health Status,checkbox,,,,,,,,
Cardiac condition #1,,Health Status,text,,,,,,,,
Cardiac condition #2,,Health Status,text,,,,,,,,
Cardiac condition #3,,Health Status,text,,,,,,,,
Immunocompromised conditions (choice=Malignancy),,Health Status,checkbox,,,,,,,,
Immunocompromised conditions (choice=Solid Organ Transplant),,Health Status,checkbox,,,,,,,,
Immunocompromised conditions (choice=BMT),,Health Status,checkbox,,,,,,,,
Immunocompromised conditions (choice=HIV),,Health Status,checkbox,,,,,,,,
Immunocompromised conditions (choice=Other),,Health Status,checkbox,,,,,,,,
Immunocompromised conditions (choice=None),,Health Status,checkbox,,,,,,,,
How many other immuno conditions?,,Health Status,dropdown,,,,,,,,
Other immuno #1,,Health Status,text,,,,,,,,
Other immuno #2,,Health Status,text,,,,,,,,
Other immuno #3,,Health Status,text,,,,,,,,
Obesity,,Health Status,radio,,,,,,,,
Other past medical history,,Health Status,radio,,,,,,,,
How many past medical histories?,,Health Status,dropdown,,,,,,,,
Past Medical History #1,,Health Status,text,,,,,,,,
Past Medical History #2,,Health Status,text,,,,,,,,
Past Medical History #3,,Health Status,text,,,,,,,,
Past Medical History #4,,Health Status,text,,,,,,,,
Past Medical History #5,,Health Status,text,,,,,,,,
Past Medical History #6,,Health Status,text,,,,,,,,
Lab Type,,Health Status,radio,,,,,,,,
Date of labs,,Health Status,date,,,,,,,,
Lab location,,Health Status,radio,,,,,,,,
Other (specify),,Health Status,text,,,,,,,,
White Blood Cell Count (WBC),,Health Status,text,,,,,,,,
Units,,Health Status,dropdown,,,,,,,,
Date of WBC,,Health Status,date,,,,,,,,
Hemoglobin,,Health Status,text,,,,,,,,
Units19,,Health Status,dropdown,,,,,,,,
Date of Hgb,,Health Status,date,,,,,,,,
"Hematocrit ",,Health Status,text,,,,,,,,
Date of Hct,,Health Status,date,,,,,,,,
Units21,,Health Status,dropdown,,,,,,,,
Date of RBC,,Health Status,date,,,,,,,,
Red Blood Cell Count (RBCs),,Health Status,text,,,,,,,,
units33,,Health Status,dropdown,,,,,,,,
"Platelet count ",,Health Status,text,,,,,,,,
Date of Plt,,Health Status,date,,,,,,,,
Units2,,Health Status,dropdown,,,,,,,,
Red Cell Distribution Width (RDW),,Health Status,text,,,,,,,,
Date of RDW,,Health Status,date,,,,,,,,
Units20,,Health Status,dropdown,,,,,,,,
Mean Corpuscular Volume (MCV),,Health Status,text,,,,,,,,
Units23,,Health Status,dropdown,,,,,,,,
Date of MCV,,Health Status,date,,,,,,,,
MCH (Mean Corpuscular Hemoglobin),,Health Status,text,,,,,,,,
Units31,,Health Status,dropdown,,,,,,,,
Date of MCH,,Health Status,date,,,,,,,,
MCHC (Mean Corpuscular Hemoglobin Concentration),,Health Status,text,,,,,,,,
Units32,,Health Status,dropdown,,,,,,,,
Date of MCHC,,Health Status,date,,,,,,,,
Absolute Neutrophil Count (ANC),,Health Status,text,,,,,,,,
units3,,Health Status,dropdown,,,,,,,,
Date of ANC,,Health Status,date,,,,,,,,
Absolute Lymphocyte Count,,Health Status,text,,,,,,,,
units4,,Health Status,dropdown,,,,,,,,
Date of Abs Lymphocyte,,Health Status,date,,,,,,,,
Absolute Monocyte Count,,Health Status,text,,,,,,,,
Units24,,Health Status,dropdown,,,,,,,,
Date of Abs Monocyte,,Health Status,date,,,,,,,,
Absolute Eosinophil Count,,Health Status,text,,,,,,,,
Units26,,Health Status,dropdown,,,,,,,,
Date of Abs Eosinophil,,Health Status,date,,,,,,,,
Absolute Basophil Count,,Health Status,text,,,,,,,,
Units25,,Health Status,dropdown,,,,,,,,
Date of Abs basophil,,Health Status,date,,,,,,,,
"Immature Granulocytes, Left Shift",,Health Status,text,,,,,,,,
Date of Imm granulocytes,,Health Status,date,,,,,,,,
Units34,,Health Status,dropdown,,,,,,,,
PT,,Health Status,text,,,,,,,,
Date of PT,,Health Status,date,,,,,,,,
Units41,,Health Status,dropdown,,,,,,,,
"INR ",,Health Status,text,,,,,,,,
Date of INR,,Health Status,date,,,,,,,,
Units42,,Health Status,dropdown,,,,,,,,
Date of PTT,,Health Status,date,,,,,,,,
units40,,Health Status,dropdown,,,,,,,,
PTT,,Health Status,text,,,,,,,,
Date of Fibrinogen,,Health Status,date,,,,,,,,
Units43,,Health Status,dropdown,,,,,,,,
Fibrinogen,,Health Status,text,,,,,,,,
Date of D-dimer,,Health Status,date,,,,,,,,
Units44,,Health Status,dropdown,,,,,,,,
D-dimer,,Health Status,text,,,,,,,,
Date of FDP,,Health Status,date,,,,,,,,
Units45,,Health Status,dropdown,,,,,,,,
FDP,,Health Status,text,,,,,,,,
units13,,Health Status,dropdown,,,,,,,,
Date of ESR,,Health Status,date,,,,,,,,
Erythrocyte Sedimentation Rate (ESR),,Health Status,text,,,,,,,,
Date of tropnonin,,Health Status,date,,,,,,,,
Troponin,,Health Status,text,,,,,,,,
units5,,Health Status,dropdown,,,,,,,,
Date of CRP,,Health Status,date,,,,,,,,
CRP,,Health Status,text,,,,,,,,
units14,,Health Status,dropdown,,,,,,,,
Date of BNP,,Health Status,date,,,,,,,,
Brain Natriuretic Peptide (BNP),,Health Status,text,,,,,,,,
units7,,Health Status,dropdown,,,,,,,,
Date of ferritin,,Health Status,date,,,,,,,,
Ferritin,,Health Status,text,,,,,,,,
units6,,Health Status,dropdown,,,,,,,,
Sodium,,Health Status,text,,,,,,,,
Date of sodium,,Health Status,date,,,,,,,,
units10,,Health Status,dropdown,,,,,,,,
Potassium,,Health Status,text,,,,,,,,
Date of potassium,,Health Status,date,,,,,,,,
units11,,Health Status,dropdown,,,,,,,,
Chloride,,Health Status,text,,,,,,,,
Date of chloride,,Health Status,date,,,,,,,,
units28,,Health Status,dropdown,,,,,,,,
CO2/bicarbonate ,,Health Status,text,,,,,,,,
Date of CO2,,Health Status,date,,,,,,,,
units46,,Health Status,dropdown,,,,,,,,
units8,,Health Status,dropdown,,,,,,,,
Blood Urea Nitrogen (BUN),,Health Status,text,,,,,,,,
Date of BUN,,Health Status,date,,,,,,,,
units30,,Health Status,dropdown,,,,,,,,
Serum (blood) Creatinine,,Health Status,text,,,,,,,,
units12,,Health Status,dropdown,,,,,,,,
Date of creatinine,,Health Status,date,,,,,,,,
Blood Glucose (fasting or nonfasting),,Health Status,text,,,,,,,,
Fasting?,,Health Status,dropdown,,,,,,,,
Date of glucose,,Health Status,date,,,,,,,,
Calcium,,Health Status,text,,,,,,,,
Date of calcium,,Health Status,date,,,,,,,,
units9,,Health Status,dropdown,,,,,,,,
Albumin,,Health Status,text,,,,,,,,
Date of albumin,,Health Status,date,,,,,,,,
units35,,Health Status,dropdown,,,,,,,,
Magnesium,,Health Status,text,,,,,,,,
Date of magnesium,,Health Status,date,,,,,,,,
Units,,Health Status,dropdown,,,,,,,,
Phosphorus,,Health Status,text,,,,,,,,
Date of phosphorus,,Health Status,date,,,,,,,,
Units,,Health Status,dropdown,,,,,,,,
Lactate Dehydrogenase (LDH),,Health Status,text,,,,,,,,
Date of LDH,,Health Status,date,,,,,,,,
units47,,Health Status,dropdown,,,,,,,,
Alanine Aminotransferase (ALT),,Health Status,text,,,,,,,,
Date of ALT,,Health Status,date,,,,,,,,
units27,,Health Status,dropdown,,,,,,,,
Aspartate Aminotransferase (AST),,Health Status,text,,,,,,,,
Date of AST,,Health Status,date,,,,,,,,
units29,,Health Status,dropdown,,,,,,,,
units37,,Health Status,dropdown,,,,,,,,
"Alkaline Phosphatase ",,Health Status,text,,,,,,,,
Date of alkaline phosphatase,,Health Status,date,,,,,,,,
Bilirubin,,Health Status,text,,,,,,,,
Date of bilirubin,,Health Status,date,,,,,,,,
units36,,Health Status,dropdown,,,,,,,,
Amylase,,Health Status,text,,,,,,,,
Date of amylase,,Health Status,date,,,,,,,,
units38,,Health Status,dropdown,,,,,,,,
Lipase,,Health Status,text,,,,,,,,
Date of lipase,,Health Status,date,,,,,,,,
units39,,Health Status,dropdown,,,,,,,,
Date of sIL-2R,,Health Status,date,,,,,,,,
Soluble Interleukin-2 Receptor (sIL-2R),,Health Status,text,,,,,,,,
units15,,Health Status,dropdown,,,,,,,,
Date of IL-6,,Health Status,date,,,,,,,,
IL-6,,Health Status,text,,,,,,,,
units16,,Health Status,dropdown,,,,,,,,
"Pyuria ",,Health Status,text,,,,,,,,
Additional labs performed?,,Health Status,radio,,,,,,,,
How many other labs?,,Health Status,dropdown,,,,,,,,
Name of other lab 1,,Health Status,text,,,,,,,,
Other lab 1 value,,Health Status,text,,,,,,,,
Date,,Health Status,date,,,,,,,,
"Units ",,Health Status,dropdown,,,,,,,,
Name of other lab 2,,Health Status,text,,,,,,,,
Other lab 2 value,,Health Status,text,,,,,,,,
units 51,,Health Status,dropdown,,,,,,,,
Name of other lab 3,,Health Status,text,,,,,,,,
Other lab 3 value,,Health Status,text,,,,,,,,
units 52,,Health Status,dropdown,,,,,,,,
Name of other lab 4,,Health Status,text,,,,,,,,
Value of other lab 4,,Health Status,text,,,,,,,,
units 53,,Health Status,dropdown,,,,,,,,
Name of other lab 5,,Health Status,text,,,,,,,,
Value of other lab 5,,Health Status,text,,,,,,,,
units 54,,Health Status,dropdown,,,,,,,,
Date of other lab 5,,Health Status,date,,,,,,,,
"Result ",,Health Status,radio,,,,,,,,
Respiratory Pathogen Panel: Name of Pathogen(s),,Health Status,notes,,,,,,,,
Instrument Used,,Health Status,text,,,,,,,,
Other Positive Microbiology Tests?,,Health Status,radio,,,,,,,,
How many other microbiology tests?,,Health Status,dropdown,,,,,,,,
Other Positive Microbiologic Test #1,,Health Status,text,,,,,,,,
Date of Other Positive Microbiologic Test #1,,Health Status,date,,,,,,,,
Source,,Health Status,text,,,,,,,,
Results,,Health Status,notes,,,,,,,,
Other Positive Microbiologic Test #2,,Health Status,text,,,,,,,,
Date of Other Positive Microbiologic Test #2,,Health Status,date,,,,,,,,
Source,,Health Status,text,,,,,,,,
"Results ",,Health Status,notes,,,,,,,,
Other Positive Microbiologic Test #3,,Health Status,text,,,,,,,,
Date of Other Positive Microbiologic Test #3,,Health Status,date,,,,,,,,
Source,,Health Status,text,,,,,,,,
"Results ",,Health Status,notes,,,,,,,,
Other Positive Microbiologic Test #4,,Health Status,text,,,,,,,,
Date of Other Positive Microbiologic Test #4,,Health Status,date,,,,,,,,
Source,,Health Status,text,,,,,,,,
Results,,Health Status,notes,,,,,,,,
Chest X-ray,,Health Status,radio,,,,,,,,
Chest X-ray Date,,Health Status,date,,,,,,,,
Chest X-Ray Results,,Health Status,radio,,,,,,,,
Chest X-ray Findings (choice=Focal infiltrate),,Health Status,checkbox,,,,,,,,
Chest X-ray Findings (choice=Diffuse infiltrate),,Health Status,checkbox,,,,,,,,
Chest X-ray Findings (choice=Pleural effusion or empyema),,Health Status,checkbox,,,,,,,,
Chest X-ray Findings (choice=Atelectasis),,Health Status,checkbox,,,,,,,,
Chest X-ray Findings (choice=Other),,Health Status,checkbox,,,,,,,,
Other,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Chest CT,,Health Status,radio,,,,,,,,
Chest CT Date,,Health Status,date,,,,,,,,
Chest CT Results,,Health Status,radio,,,,,,,,
Chest CT Findings (choice=Focal infiltrate),,Health Status,checkbox,,,,,,,,
Chest CT Findings (choice=Pleural effusion or empyema),,Health Status,checkbox,,,,,,,,
Chest CT Findings (choice=Pulmonary embolism),,Health Status,checkbox,,,,,,,,
Chest CT Findings (choice=ARDS),,Health Status,checkbox,,,,,,,,
Chest CT Findings (choice=Diffuse infiltrate),,Health Status,checkbox,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Cardiac MRI,,Health Status,radio,,,,,,,,
Cardiac MRI Results,,Health Status,radio,,,,,,,,
Cardiac MRI Findings (copy and paste impressions),,Health Status,notes,,,,,,,,
Echocardiogram,,Health Status,radio,,,,,,,,
Echocardiogram date,,Health Status,date,,,,,,,,
Echocardiogram Results,,Health Status,radio,,,,,,,,
Echocardiogram Findings  (choice=Decreased myocardial function),,Health Status,checkbox,,,,,,,,
Echocardiogram Findings  (choice=Coronary abnormality),,Health Status,checkbox,,,,,,,,
Echocardiogram Findings  (choice=Pericarditis/Pericardial effusion),,Health Status,checkbox,,,,,,,,
Echocardiogram Findings  (choice=Valvular disease),,Health Status,checkbox,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Electrocardiogram (ECG/EKG),,Health Status,radio,,,,,,,,
EKG date,,Health Status,date,,,,,,,,
EKG Results,,Health Status,radio,,,,,,,,
EKG Findings,,Health Status,notes,,,,,,,,
