Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
nw_penn_symptoms___2,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___3,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___4,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___5,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___6,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___7,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___8,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___9,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___10,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___11,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
nw_penn_symptoms___12,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):",,,,,,,,,,,,,
odor_discrim,scentinel_9_odors, ,radio,"<div class=""rich-text-field-label""><div style=""font-size: 14pt;"">On the back of your SCENTinel card, there are three boxes: A, B, and C.</div> <div style=""font-size: 14pt;""> </div> <div style=""font-size: 14pt;"">From the bottom left corner, peel up (but do not remove) the box labeled <span style=""color: blue;"">A</span>.<br /><br />Smell odor <span style=""color: blue;"">A</span> and then close it. <br /><br />Repeat with odor <span style=""color: blue;"">B.</span><br /><br />Repeat with odor <span style=""color: blue;"">C</span>.<br /><br /><br />Which odor smells <em>STRONGEST</em>?</div></div>","1, A | 2, B | 3, C",,,,,,,y,,,,,
odor_intensity,scentinel_9_odors, ,slider,"<div class=""rich-text-field-label""><div style=""font-size: 14pt;"">Now rate the INTENSITY of <span style=""color: blue;"">ODOR [odor_discrim]</span>.</div> <div style=""font-size: 14pt;""> </div> <h4 style=""font-size: 14pt;"">(To rate the intensity, click on the slider first. Then move the slider.)</h4></div>","<div style=""font-size: 14pt"">No <br>smell</div> |  | <div style=""font-size: 14pt"">Very <br>strong<br> smell</div>",,number,,,,,y,RH,,,,
odor_ident_flower,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 2, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 3, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt=""Orange""> | 4, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate"">",,,,,,[odor_sn] = '1' OR [odor_manual_sn] = '1',y,LH,,,, @RANDOMORDER
odor_ident_2_flower_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected POPCORN which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 2, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 3, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate"">",,,,,,([odor_sn] = '1'  OR [odor_manual_sn]='1') and [odor_ident_flower] = '2',y,LH,,,, @RANDOMORDER
odor_ident_2_flower_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected ORANGE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 2, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 3, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate"">",,,,,,([odor_sn] = '1'  OR [odor_manual_sn]='1')  and [odor_ident_flower] = '3',y,LH,,,, @RANDOMORDER
odor_ident_2_flower_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected CHOCOLATE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 2, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 3, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange"">",,,,,,([odor_sn] = '1'  OR [odor_manual_sn]='1') and [odor_ident_flower] = '4',y,LH,,,, @RANDOMORDER
odor_ident_bubblegum,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum""> | 2, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate""> | 3, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 4, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee"">",,,,,,[odor_sn] = '2'  OR [odor_manual_sn]='2',y,LH,,,, @RANDOMORDER
odor_ident_2_bubblegum_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected CHOCOLATE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum""> | 2, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 3, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee"">",,,,,,([odor_sn] = '2'  OR [odor_manual_sn]='2') and [odor_ident_bubblegum] = '2',y,LH,,,, @RANDOMORDER
odor_ident_2_bubblegum_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected POPCORN which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum""> | 2, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate""> | 3, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee"">",,,,,,([odor_sn] = '2'  OR [odor_manual_sn]='2') and [odor_ident_bubblegum] = '3',y,LH,,,, @RANDOMORDER
odor_ident_2_bubblegum_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected COFFEE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum""> | 2, <img src=""https://i.postimg.cc/134h3Rh8/Sml-20201010-Chocolate17630-Edit.jpg"" alt=""Chocolate""> | 3, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn"">",,,,,,([odor_sn] = '2'  OR [odor_manual_sn]='2')  and [odor_ident_bubblegum] = '4',y,LH,,,, @RANDOMORDER
odor_ident_orange,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 2, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 3, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh""> | 4, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody"">",,,,,,[odor_sn] = '3'  OR [odor_manual_sn]='3',y,LH,,,, @RANDOMORDER
odor_ident_2_orange_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected COFFEE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 2, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh""> | 3, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody"">",,,,,,([odor_sn] = '3'  OR [odor_manual_sn]='3') and [odor_ident_orange] = '2',y,LH,,,, @RANDOMORDER
odor_ident_2_orange_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected PLAY DOH which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 2, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 3, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody"">",,,,,,([odor_sn] = '3'  OR [odor_manual_sn]='3') and [odor_ident_orange] = '3',y,LH,,,, @RANDOMORDER
odor_ident_2_orange_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected WOODY which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 2, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 3, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh"">",,,,,,([odor_sn] = '3'  OR [odor_manual_sn]='3') and [odor_ident_orange] = '4',y,LH,,,, @RANDOMORDER
odor_ident_coffee,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 2, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas""> | 3, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 4, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana"">",,,,,,[odor_sn] = '4'  OR [odor_manual_sn]='4',,LH,,,, @RANDOMORDER
odor_ident_2_coffee_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected NATURAL GAS which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 2, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 3, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana"">",,,,,,([odor_sn] = '4'  OR [odor_manual_sn]='4') and [odor_ident_coffee] = '2',,LH,,,, @RANDOMORDER
odor_ident_2_coffee_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected FLOWER which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 2, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas""> | 3, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana"">",,,,,,([odor_sn] = '4'  OR [odor_manual_sn]='4') and [odor_ident_coffee] = '3',,LH,,,, @RANDOMORDER
odor_ident_2_coffee_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected BANANA which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HxDfzQJM/Sml-20201010-Coffee17608-Edit.jpgg"" alt=""Coffee""> | 2, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas""> | 3, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower"">",,,,,,([odor_sn] = '4'  OR [odor_manual_sn]='4') and [odor_ident_coffee] = '4',,LH,,,, @RANDOMORDER
odor_ident_banana,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 2, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 3, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 4, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas"">",,,,,,[odor_sn] = '5'  OR [odor_manual_sn]='5',,LH,,,, @RANDOMORDER
odor_ident_2_banana_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected LEMON which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 2, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn""> | 3, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas"">",,,,,,([odor_sn] = '5'  OR [odor_manual_sn]='5') and [odor_ident_banana] = '2',,LH,,,, @RANDOMORDER
odor_ident_2_banana_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected POPCORN which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 2, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 3, <img src=""https://i.postimg.cc/SQthQPmp/20201010-Natural-Gas17577-Edit-Recovered.jpg"" alt=""Natural Gas"">",,,,,,([odor_sn] = '5'  OR [odor_manual_sn]='5') and [odor_ident_banana] = '3',,LH,,,, @RANDOMORDER
odor_ident_2_banana_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected NATURAL GAS which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 2, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 3, <img src=""https://i.postimg.cc/CMBhZC0x/popcorn.jpg"" alt=""Popcorn"">",,,,,,([odor_sn] = '5'  OR [odor_manual_sn]='5') and [odor_ident_banana] = '4',,LH,,,, @RANDOMORDER
odor_ident_strawberry,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh""> | 4, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon"">",,,,,,[odor_sn] = '6'  OR [odor_manual_sn]='6',,LH,,,, @RANDOMORDER
odor_ident_2_strawberry_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected COCONUT which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 2, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh""> | 3, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon"">",,,,,,([odor_sn] = '6'  OR [odor_manual_sn]='6') and [odor_ident_strawberry] = '2',,LH,,,, @RANDOMORDER
