Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference
new_loss_of_taste_or_smell,,,,,,,,,,
chills,,,,,,,,,,
excessive_fatigue,,,,,,,,,,
nausea_vomiting,,,,,,,,,,
diarrhea,,,,,,,,,,
abdominal_pain,,,,,,,,,,
skin_rash,,,,,,,,,,
conjunctivitis,,,,,,,,,,
height_feet,,,,,,,,,,
height_inches,,,,,,,,,,
weight_lbs,,,,,,,,,,
health_status,,,,,,,,,,
protocol_id,,,,,,,,,,
technology_platform,,,,,,,,,,
technology_description,,,,,,,,,,
biorecognition_type,,,,,,,,,,
analyte_type,,,,,,,,,,
signal_detection,,,,,,,,,,
surface,,,,,,,,,,
immobilization_reagent_name,,,,,,,,,,
immobilization_reagent_id,,,,,,,,,,
immoblization_reagent_source,,,,,,,,,,
capture_antigen_name,,,,,,,,,,
capture_antigen_region,,,,,,,,,,
capture_antigen_source,,,,,,,,,,
capture_antigen_source_url,,,,,,,,,,
capture_antibody_name,,,,,,,,,,
capture_antibody_clonality,,,,,,,,,,
capture_antibody_clone,,,,,,,,,,
capture_antibody_modification,,,,,,,,,,
capture_antibody_modification_role,,,,,,,,,,
capture_antibody_expression_system,,,,,,,,,,
capture_antibody_host_organism_name,,,,,,,,,,
capture_antibody_target_organism_name,,,,,,,,,,
capture_antibody_target_organism_taxonomy_id,,,,,,,,,,
capture_antibody_purity,,,,,,,,,,
capture_antibody_purification_method,,,,,,,,,,
capture_antibody_formulation,,,,,,,,,,
capture_antibody_source,,,,,,,,,,
capture_antibody_source_url,,,,,,,,,,
detector_antibody_name,,,,,,,,,,
detector_antibody_role,,,,,,,,,,
detector_antibody_clonality,,,,,,,,,,
detector_antibody_modification,,,,,,,,,,
detector_antibody_modification_role,,,,,,,,,,
detector_antibody_host_organism_name,,,,,,,,,,
detector_antibody_target_organism_name,,,,,,,,,,
detector_antibody_target_organism_taxonomy_id,,,,,,,,,,
detector_antibody_target_organism_subtype,,,,,,,,,,
detector_antibody_purity,,,,,,,,,,
detector_antibody_purification_method,,,,,,,,,,
detector_antibody_formulation,,,,,,,,,,
detector_antibody_source,,,,,,,,,,
detector_antibody_source_url,,,,,,,,,,
detector_molecular_beacon_source_id,,,,,,,,,,
detector_molecular_beacon_name,,,,,,,,,,
detector_molecular_beacon_role,,,,,,,,,,
detector_molecular_beacon_modification_role,,,,,,,,,,
detector_molecular_beacon_sequence,,,,,,,,,,
detector_molecular_beacon_expression_system,,,,,,,,,,
detector_molecular_beacon_host_organism_name,,,,,,,,,,
detector_molecular_beacon_host_organims_taxonomy_id,,,,,,,,,,
detector_molecular_beacon_host_organism_subtype,,,,,,,,,,
detector_molecular_beacon_target_organism_name,,,,,,,,,,
detector_molecular_beacon_target_organism_taxonomy_id,,,,,,,,,,
detector_molecular_beacon_target_organism_subtype,,,,,,,,,,
detector_molecular_beacon_purity,,,,,,,,,,
detector_molecular_beacon_purification_method,,,,,,,,,,
detector_molecular_beacon_formulation,,,,,,,,,,
detector_molecular_beacon_source,,,,,,,,,,
detector_molecular_beacon_source_url,,,,,,,,,,
sample_id,,,,,,,,,,
sample_media,,,,,,,,,,
protocol_id,,,,,,,,,,
sample_concentration,,,,,,,,,,
sample_concentration_unit,,,,,,,,,,
target_analyte_type,,,,,,,,,,
antigen_name,,,,,,,,,,
antigen_region,,,,,,,,,,
total_fluorescence_intensity,,,,,,,,,,
result_intepret,,,,,,,,,,
sample_id,,,,,,,,,,
sample_media,,,,,,,,,,
protocol_id,,,,,,,,,,
sample_concentration,,,,,,,,,,
sample_concentration_unit,,,,,,,,,,
total_fluorescence_intensity,,,,,,,,,,
result_intepret,,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
