Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Unit,CDE Reference
target_condition,Clinical Performance,text,"A particular disease, a disease stage, health status, or any other identifiable condition within a patient, such as staging a disease already known to be present, or a health condition that should prompt clinical action, such as the initiation, modification, or termination of treatment.",,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
reference_standard,Clinical Performance,text,"The best available method for establishing the presence or absence of the target condition; the reference standard can be a single test or method, or a combination of methods and techniques, including clinical follow-up.",,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
"study_population ",Clinical Performance,text,The subjects/patients (and specimen types) included in the study,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
stratification,Clinical Performance,text,"Stratification of subjects, e.g., days since onset of symptoms, asymptomatic vs. symptomatic, co-infections, PCR Cycle Threshold, n x LOD concentration ranges for contrived samples, number of subjects in each category in a separate data elements.",,,,
true_positives,Clinical Performance,integer,True Positives (TP). The number of subjects/specimens with true positive test results,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
false_positives,Clinical Performance,integer,False Positives (FP). The number of subjects/specimens with false positive test results,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
true_negatives,Clinical Performance,integer,True Negatives (TN). The number of subjects/specimens with true negative test results.,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
false_negatives,Clinical Performance,integer,False Negatives (FN). The number of subjects/specimens with false negative test results,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
clinical_sensitivity,Clinical Performance,float,The proportion of subjects with the target condition in whom the test is positive; calculated as 100xTP/(TP+FN). Used for comparison with a reference (Gold) standard.,,PCR is Gold standard for COVID-19. For comparison with a non-reference standard use percent agreement metrics.,,
clinical_sensitiviy_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval.,,Example: 95,,
clinical_sensitivity_ci_min,Clinical Performance,float,Lower bound of confidence interval.,,,,
clinical_sensitvity_ci_max,Clinical Performance,float,Upper bound of confidence interval.,,,,
clinical_specificity,Clinical Performance,float,The proportion of subjects without the target condition in whom the test is negative; calculated as 100xTN/(FP+TN).,,PCR is Gold standard for COVID-19. For comparison with a non-reference standard use percent agreement metrics.,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
positive_predictive_value,Clinical Performance,float,The proportion of test positive patients who have the target condition; calculated as 100xTP/(TP+FP),,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
negative_predictive_value,Clinical Performance,float,The proportion of test negative patients who do not have the target condition; calculated as 100xTN/(TN+FN),,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
clinical_cutoff,Clinical Performance,float,,,,,
invalid_test_rate,Clinical Performance,float,,,,,
invalid_test_detail,Clinical Performance,text,,,,,
turnaround_time,Clinical Performance,integer,TAT,,,minutes,
price_per_test,Clinical Performance,float,,,,USD,
Calibration Curve,Clinical Performance,,,,,,
Quality Control Samples,Clinical Performance,,,,,,
Selectivity and Specificity,You have clinical_ sensitivity and specificity - do you need a separate one for analytical selectivity and specificity?,,,,,,
Sample Size Impact,This came up yesterday in Gail's meeting too,,,,,,
"Accuracy, Precision, and Recovery",Accuracy is accounted for through specificity and sensitivity - how about precision?,,,,,,
Stability,This came up yesterday in Gail's meeting too,,,,,,
Dilution Effects,This came up yesterday in Gail's meeting too,,,,,,
Partial and Cross Validations,Cross is covered how about partial?,,,,,,
Linearity,This could be important when you have multiple maxima and minima,,,,,,
"repeatability,",This is important,,,,,,
intermediate precision,This is important,,,,,,
reproducibility,This is more important,,,,,,
Range,This is more important,,,,,,
