Concept,label,variable_name,value_constraints
Medical History,Immunocompromised,dht_immuno_compromised,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Autoimmune disease,dht_autoimmune,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic obstructive pulmonary disease (COPD),dht_copd,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Depression,dht_depression,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Alcohol or substance use disorder,dht_alc_sub_abuse,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Intravenous drug use,dht_iv_drug_use,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Other mental health disorder,dht_other_mental_health_disorder,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Other chronic condition,dht_other_chronic_cond,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Coronary artery disease,dht_coronary_artery_disease,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,heart attack (myocardial infarction)?,dht_heart_attack,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,Congestive Heart failure,dht_chf,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,dht_stroke,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Immunodeficiency (NOT including HIV)?,dht_immunodeficiency,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic HIV infection?,dht_hiv,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Anemia or other blood disorder (do not include leukemia or lymphoma)?,dht_anemia,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic Heart Disease,dht_chd,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,"Chronic obstructive pulmonary disease (COPD) including emphysema, chronic bronchitis, obstructive pulmonary disease?",dht_copd_opd,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Alzheimers,dht_alz,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Anxiety,dht_anxiety,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Arrhythmia,dht_arrhythmia,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Arthritis,dht_arthritis,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Atrial Fibrillation,dht_af,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic Pain,dht_chronic_pain,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Fibromyalgia,dht_fibromyalgia,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Gastroesophageal reflux disease,dht_gerd,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Gestational Diabetes,dht_gestational_diabetes,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,High Cholesterol,dht_cholesterol,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Hypo/Hyper Thyroidism,dht_thyroid,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,immunocompromised from solid organ transplant,dht_immuno_compromised_solid_organ,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Inflammatory Bowel Disease,dht_ibd,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Insomnia,dht_insomnia,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Irritable bowel syndrome,dht_ibs,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,"Liver disease (cirrhosis, hepB, hepC)",dht_liver_disease,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Lupus,dht_lupus,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Migraines,dht_migraines,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Multiple Sclerosis,dht_ms,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Neurodegenerative disease,dht_neurodegenerative,"0, No; 1:Yes; 98:Don't know; 99, Prefer not to answer"
Medical History,Neurological Condition,dht_neurological_condition,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,No chronic condition,dht_no_chronic_condition,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Obesity (BMI >= 30),dht_obesity,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Osteoporosis,dht_osteoporosis,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Polycystic ovary syndrome,dht_pcos,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Psoriasis,dht_psoriasis,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Renal disease,dht_renal,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Restless leg,dht_rls,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Rheumatoid Arthritis,dht_ra,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Seasonal Allergies,dht_seasonal_allergies,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,"Serious heart condition (heart failure, CAD, cardiomyopathies)",dht_heart_condition,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Sleep Apnea,dht_sleep_apnea,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Substance use,dht_substance_use,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Thalassemia,dht_thalassemia,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Type 1 Diabetes,dht_t1d,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Type 2 Diabetes,dht_t2dm,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Cough,dht_cough,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,"Fever, feeling hot/feverish, or having chills",dht_fever_chills,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Shortness of breath or difficulty breathing,dht_diff_breath,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Headache,dht_headache,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,"Muscle, body, or joint aches (not due to exercise)",dht_body_pain,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,New loss of taste or smell,dht_olfactory,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Fatigue (more than normal),dht_fatigue,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,"Nausea, vomiting, or diarrhea",dht_nausea_vomiting_diarrhea,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Stomach or abdominal pain,dht_abdom_pain,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Skin rash,dht_skin_rash,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Pink eye or conjunctivitis,dht_conjunctivitis,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,"Congestion, runny nose, sore throat",dht_congestion_sorethroat_runnynose,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Red or painful eyes,dht_red_eyes,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,A temperature greater than 100.4°F,dht_high_temp,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Other,dht_other_symp,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,None of the above,dht_no_symp,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Wheezing,dht_wheezing,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Bluish lips or face,dht_blue_lips,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Loss of balance,dht_balance,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Slurred speech,dht_slurred_peech,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,New confusion,dht_confusion,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Unusual shivering or shaking,dht_neuro_shakes,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Tingling or numbness or swelling of hands and feet,dht_numb_extremities,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Excessive sweating,dht_sweating,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Seizures,dht_seizures,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Red or purple rash or lesions on toes,dht_rash_toes,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Symptoms,Change in or loss of appetite,dht_appetite,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Health Status,Self-report health status,dht_health_status,"1,Excellent;2,Very Good;3,Good;4,Fair;5,Poor;98,Don't know;99,Prefer not to state"
Health Status,What is your height in inches?,dht_height,integer
Health Status,What is your weight in pounds?,dht_weight,integer
Health Status Categorical,Approximately what is your height?,dht_height_category,"""1, 5'1"""" - 5'6""""; 2, 5'7""""-5'11""""; 3, 6' and over"""
Health Status Categorical,Approximately what is your weight?,dht_weight_category,"""1, 100-150; 2, 151-200; 3, over 200 """
