Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,,,,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
disqualify,descriptive,"Thank you for your interest in our COVID Candy Study.

Unfortunately, due to your non-COVID-related smell/taste disorder, we are unable to recruit you as a participant. Have a nice day!",,,,,,,,,,[noncovid_smell_loss] = '1' or [noncovid_smell_loss_kid] = '1',,,,,,
pickup_location,radio,Please select a preferred sample pickup location:,"1, Front Office, 110 Parker Food Science Building (2015 Fyffe Rd., Columbus, OH 43210) | 2, 4151 (4th Floor) Postle Hall (305 W. 12th Ave., Columbus, OH 43210) | 3, 4th floor Front Desk, Department of Otolaryngology - Head & Neck Surgery (915 Olentangy River Rd., Columbus, OH 43212)",Please record the pickup address you selected.,,,,,,,,[noncovid_smell_loss] = '0' or [noncovid_smell_loss_kid] = '0',y,,,,,
pickup_time,radio,Please select a preferred sample pickup time:,"1, Monday 8:30am-4pm | 2, Tuesday 8:30am-4pm | 3, Wednesday 8:30am-4pm | 4, Thursday 8:30am-4pm | 5, Friday 8:30am-4pm",,,,,,,,,[pickup_location] = '1',y,,,,,
pickup_time_2,radio,Please select a preferred sample pickup time:,"1, Monday 9am-5pm | 2, Tuesday 9am-5pm | 3, Wednesday 9am-5pm | 4, Thursday 9am-5pm | 5, Friday 9am-5pm",,,,,,,,,[pickup_location] = '2',y,,,,,
pickup_time_3,radio,Please select a preferred sample pickup time:,"1, Monday 9am-5pm | 2, Tuesday 9am-5pm | 3, Wednesday 9am-5pm | 4, Thursday 9am-5pm | 5, Friday 9am-5pm",,,,,,,,,[pickup_location] = '3',y,,,,,
par_zerodate,text,Baseline Date,,,date_ymd,,,,,,,,,,,,, @HIDDEN @MC-PARTICIPANT-ZERODATE
par_code,text,Code,,,,,,,,,,,,,,,, @MC-PARTICIPANT-CODE @HIDDEN
par_joindate,text,Install Date,,,datetime_seconds_ymd,,,,,,,,,,,,, @MC-PARTICIPANT-JOINDATE @HIDDEN
par_pushids,notes,Push Notification IDs,,,,,,,,,,,,,,,, @MC-PARTICIPANT-PUSHNOTIFICATIONIDS @HIDDEN
consent_page1,descriptive,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,,,,,
page1,descriptive,<center>Click on Next Page to go to Page 2</center>,,,,,,,,,,,,,,,,
consent_page2,descriptive,,,,,,,,,,,,,,,,,
page2,descriptive,<center>Click on Next Page to go to Page 3</center>,,,,,,,,,,,,,,,,
consent_page3,descriptive,,,,,,,,,,,,,,,,,
page3,descriptive,<center>Click on Next Page to go to Page 4</center>,,,,,,,,,,,,,,,,
consent_page4,descriptive,,,,,,,,,,,,,,,,,
page4,descriptive,<center>Click on Next Page to go to Page 5</center>,,,,,,,,,,,,,,,,
consent_page5,descriptive,,,,,,,,,,,,,,,,,
page5,descriptive,<center>Click on Next Page to go to Page 6</center>,,,,,,,,,,,,,,,,
consent_page6,descriptive,,,,,,,,,,,,,,,,,
page6,descriptive,<center>Click on Next Page to go to Page 7</center>,,,,,,,,,,,,,,,,
consent_page7,descriptive,,,,,,,,,,,,,,,,,
page7,descriptive,<center>Click on Next Page to go to Page 8</center>,,,,,,,,,,,,,,,,
consent_page8,descriptive,,,,,,,,,,,,,,,,,
page8,descriptive,<center>Click on Next Page to provide your consent</center>,,,,,,,,,,,,,,,,
agree,yesno,Do you agree to participate in the study?,,,,,,,,,,,y,,,,,
first_name_2,text,First Name,,,,,,y,,,,,y,,,,,
last_name_2,text,Last Name,,,,,,y,,,,,y,,,,,
signature,file,Please click on the link to the right to add your signature.,,,signature,,,y,,,,,y,,,,,
today_s_date,text,Today's date,,,date_mdy,,,,,,,,y,,,,,
parental_consent_page1,descriptive,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,,,,,
page1_v2,descriptive,<center>Click on Next Page to go to Page 2</center>,,,,,,,,,,,,,,,,
parental_consent_page2,descriptive,,,,,,,,,,,,,,,,,
page2_v2,descriptive,<center>Click on Next Page to go to Page 3</center>,,,,,,,,,,,,,,,,
parental_consent_page3,descriptive,,,,,,,,,,,,,,,,,
page3_v2,descriptive,<center>Click on Next Page to go to Page 4</center>,,,,,,,,,,,,,,,,
parental_consent_page4,descriptive,,,,,,,,,,,,,,,,,
page4_v2,descriptive,<center>Click on Next Page to go to Page 5</center>,,,,,,,,,,,,,,,,
parental_consent_page5,descriptive,,,,,,,,,,,,,,,,,
page5_v2,descriptive,<center>Click on Next Page to go to Page 6</center>,,,,,,,,,,,,,,,,
parental_consent_page6,descriptive,,,,,,,,,,,,,,,,,
page6_v2,descriptive,<center>Click on Next Page to go to Page 7</center>,,,,,,,,,,,,,,,,
parental_consent_page7,descriptive,,,,,,,,,,,,,,,,,
page7_v2,descriptive,<center>Click on Next Page to go to Page 8</center>,,,,,,,,,,,,,,,,
parental_consent_page8,descriptive,,,,,,,,,,,,,,,,,
page8_v2,descriptive,<center>Click on Next Page to provide your consent</center>,,,,,,,,,,,,,,,,
first_name_participant,"I have read (or someone has read to me) this form and I am aware that I am being asked to provide permission for my child to participate in a research study.  I have had the opportunity to ask questions and have had them answered to my satisfaction.  I voluntarily agree to permit my child to participate in this study. 

I am not giving up any legal rights by signing this form.  I will be given a copy of this combined consent and HIPAA research authorization form.<br><br> ",First name of child participant,,,,,,y,,,,,y,,,,,
last_name_participant,,Last name of child participant,,,,,,y,,,,,y,,,,,
first_name_parent,,First name of person authorized to provide permission for participant,,,,,,y,,,,,y,,,,,
last_name_parent,,Last name of person authorized to provide permission for participant,,,,,,y,,,,,y,,,,,
signature_v2,,Please click on the link to the right to add your signature.,,,signature,,,y,,,,,y,,,,,
relationship,,Relationship to child participant,,,,,,,,,,,y,,,,,
today_s_date_v2,,Today's date,,,date_mdy,,,,,,,,y,,,,,
child_assent,,,,,,,,,,,,,,,,,,
first_name_child,Child Name: [consent280_firstname] [consent280_lastname],First name,,,,,,y,,,,,y,,,,,
last_name_child,,Last name,,,,,,y,,,,,y,,,,,
signature_v3,,Please click on the link to the right to sign your name.,,,signature,,,y,,,,,y,,,,,
today_s_date_v3,,Today's date,,,date_mdy,,,,,,,,y,,,,,
first_name,Contact Information,First Name,,,,,,y,,,,,y,,,,,
last_name,,Last Name,,,,,,y,,,,,y,,,,,
address_street,,Address Number and Street,,,,,,y,,,,,y,,,,,
address_city,,City,,,,,,y,,,,,y,,,,,
address_state,,State,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming | AS, American Samoa | DC, District of Columbia | FM, Federated States of Micronesia | GU, Guam | MH, Marshall Islands | MP, Northern Mariana Islands | PW, Palau | PR, Puerto Rico | VI, Virgin Islands | AE, Armed Forces Africa, Canada, Europe, or Middle East | AA, Armed Forces Americas | AP, Armed Forces Pacific",,autocomplete,,,,,,,,y,,,,,
phone,,Phone number,,Include Area Code,phone,,,y,,,,,y,,,,,
email,,E-mail,,,email,,,y,,,,,y,,,,,
dob,,Date of birth,,,date_mdy,,,y,,,,,y,,,,,
comments,General Comments,Comments,,,,,,,,,,,,,,,,
record_id_a1246d,,Record ID,,,,,,,,,,,,,,,, @HIDDEN
study_id,,Study ID,,,,,,,,,,,,,,,, @HIDDEN
race_60e05e,Race,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,,,,y,,,,,
ethnicity_11ae57,Ethnicity,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,,,,y,,,,,
age,Age,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",integer,0,120,,,,,,y,,,,,
sex,Sex,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,,,,y,,,,,
education,Education,How many years of education have you completed?,,Years of education from 0 - 20+,integer,,,,,,,,y,,,,,
zip,Domicile,Zip or Postal Code:,,5-digit zip code,,,,,,,,,y,,,,,
employment,Employment,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,,,,y,,,,,
insurance,Insurance Status,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,,,,y,,,,,
deaf,Disability Status,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,,,,,y,,,,,
blind,,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,,,,,y,,,,,
memory_dis,,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,,,,,y,,,,,
walking_climbing_dis,,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,,,,,y,,,,,
dress_bathe_dis,,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,,,,,y,,,,,
errand_dis,,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,,,,,y,,,,,
vaping,Medical History,Vaping Use,"1, Yes | 0, No",,,,,,,,,,y,,,,,
nicotine,,Nicotine Use,"1, Yes | 0, No",,,,,,,,,,y,,,,,
alcohol_use,,Alcohol Use,"1, Yes | 0, No",,,,,,,,,,y,,,,,
asthma,,Asthma,"1, Yes | 0, No",,,,,,,,,,y,,,,,
cancer,,Cancer,"1, Yes | 0, No",,,,,,,,,,y,,,,,
cardiovascular_disease,,Cardiovascular disease,"1, Yes | 0, No",,,,,,,,,,y,,,,,
chronic_kidney_disease,,Chronic kidney disease,"1, Yes | 0, No",,,,,,,,,,y,,,,,
chronic_lung_disease,,Chronic lung disease,"1, Yes | 0, No",,,,,,,,,,y,,,,,
diabetes,,Diabetes,"1, Yes | 0, No",,,,,,,,,,y,,,,,
hypertension,,Hypertension,"1, Yes | 0, No",,,,,,,,,,y,,,,,
immunosuppressive_conditio,,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,,,,y,,,,,
serious_mental_illness,,Serious mental illness,"1, Yes | 0, No",,,,,,,,,,y,,,,,
sickle_cell_disease,,Sickle cell disease,"1, Yes | 0, No",,,,,,,,,,y,,,,,
pregnancy_status_a51e67,,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,,,,,[sex] = '2',y,,,,,
prior_smell_or_taste_disor,,Prior smell or taste disorder (non-COVID-related),,,,,,,,,,,y,,,,,
cough,Current Symptoms ,Cough,"1, Yes | 0, No",,,,,,,,,,y,,,,,
fever,,Fever,"1, Yes | 0, No",,,,,,,,,,y,,,,,
shortness_of_breath_or_dif,,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,,,,y,,,,,
headache,,Headache,"1, Yes | 0, No",,,,,,,,,,y,,,,,
muscle_ache,,Muscle ache,"1, Yes | 0, No",,,,,,,,,,y,,,,,
now_loss_of_taste_or_smell,,Loss of taste or smell,"1, Yes | 0, No",,,,,,,,,,y,,,,,
chills,,Chills,"1, Yes | 0, No",,,,,,,,,,y,,,,,
excessive_fatigue,,Excessive fatigue,"1, Yes | 0, No",,,,,,,,,,y,,,,,
nausea_vomiting,,Nausea/vomiting,"1, Yes | 0, No",,,,,,,,,,y,,,,,
diarrhea,,Diarrhea,"1, Yes | 0, No",,,,,,,,,,y,,,,,
abdominal_pain,,Abdominal pain,"1, Yes | 0, No",,,,,,,,,,y,,,,,
skin_rash,,Skin rash,"1, Yes | 0, No",,,,,,,,,,y,,,,,
conjunctivitis,,Conjunctivitis,"1, Yes | 0, No",,,,,,,,,,y,,,,,
height_embedding,Health status,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,,,,height in feet and inches
height_feet,,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,,,,y,,,,,
height_inches,,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,,,,y,,,,,
weight_lbs,,What is your weight?,,Weight in pounds,number,,,,,,,,y,,,,,
health_status,,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,y,,,,,
cs_date, ,COVID Survey Date ,,,,,,,,,,,,,,,, @HIDDEN-SURVEY @TODAY @READONLY
dx_covid,,Have you had corona virus 2019 (COVID-19)?,"1, I had a confirmed case of COVID-19. | 2, I had a suspected/possible case of COVID-19. | 4, I do not think that I have had a case of COVID-19.","If you have previously completed this survey, please only report new cases.",,,,,,,,,y,,,,,
cs_confirm,,How was your diagnosis confirmed?,"1, PCR test | 2, Antigen test (quick test) | 3, Other",,,,,,,,,[daily_covid_tested] = '1',y,,,,,
covid_pos,,When was your diagnosis confirmed?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[daily_covid_tested] = '1',y,RH,,,,
cs_suspect,,Why do you think you may have had COVID-19?,,,,,,,,,,[dx_covid] = '2',y,,,,,
covid_pos_2,,When did your possible COVID-19 symptoms start?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[dx_covid] = '2',y,RH,,,,
cs_past_sx,,"When you were ill with possible/confirmed COVID-19, which did you experience? Please check all that apply","1, Cough | 2, Fever | 3, Shortness of breath or difficulty breathing | 4, Headache | 5, Muscle ache | 6, New loss of smell or taste | 7, Chest pain or tightness in chest | 8, Chills | 9, Excessive fatigue | 10, Nausea/vomiting | 11, Diarrhea | 12, Abdominal pain | 13, Skin rash | 14, Conjunctivitis",,,,,,,,,[dx_covid] = '2' or [dx_covid] = '1',y,,,,, @RANDOMORDER
cs_fat_severity,,Please describe the severity of fatigue that you experienced.,"1, Mild - I could perform daily activities with some difficulty. | 2, Significant - I had significant difficulty performing daily activities. | 3, Severe - I struggled to even get out of bed.",,,,,,,,,[cs_past_sx(3)] = '1',y,,,,,
cs_sob_severity,,Please describe the severity of the shortness of breath that you experienced.,"1, Mild  - slight shortness of breath during ordinary activity | 2, Significant  - breathing was comfortable only at rest | 3, Severe  - breathing was difficult even at rest",,,,,,,,,[cs_past_sx(4)] = '1',y,,,,,
other_symp,,Did you have any other symptoms not listed above?,,,,,,,,,,[dx_covid] = '1' or [dx_covid] = '2',y,,,,,
other_sx_des,,Please describe these symptoms.,,,,,,,,,,[other_symp] = '1',y,,,,,
cs_hospital,,Were you hospitalized for your symptoms?,,,,,,,,,,[dx_covid] = '1' or [dx_covid] = '2',y,RH,,,,
cs_hos_tx,,What treatments did you receive while in the hospital?,"0, None | 1, Oxygen and fluids: Breathing support administered through an oxygen mask, no pressure applied | 2, Non-invasive ventilation: Breathing support administered through an oxygen mask, which pushes oxygen into your lungs | 3, Invasive ventilation: Breathing support administered through an inserted tube. People are usually asleep for this procedure | 4, Other",,,,,,,,,[cs_hospital] = '1',y,,,,,
cs_how_feel_v2,,How do you feel right now?,"1, I feel as healthy as normal. | 2, I'm not feeling quite right.",,,,,,,,,,y,,,,,
cs_temperature_v2,,"If you are able to measure it, what is your temperature?",,,number,,,,,,,,,RH,,,,
vaccine_status,,Have you received at least one dose/shot of a COVID-19 vaccine?,"1, -No | 2, -Yes, Pfizer-BioNtech | 3, -Yes, Moderna | 4, -Yes, Johnson & Johnson | 5, -Yes, Oxford-AstraZeneca | 6, -Yes, another COVID-19 vaccine | 7, -Yes, but I don't know which COVID-19 vaccine",,,,,,,,,,y,,,,,
first_shot_date,,If Yes - When did you receive your first vaccine dose?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[vaccine_status] = '2' or [vaccine_status] = '3' or [vaccine_status] = '4' or [vaccine_status] = '5' or [vaccine_status] = '6' or [vaccine_status] = '7',y,RH,,,,
last_shot_date,,When did you receive your last vaccine dose?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[vaccine_status] = '2' or [vaccine_status] = '3' or [vaccine_status] = '4' or [vaccine_status] = '5' or [vaccine_status] = '6' or [vaccine_status] = '7',y,RH,,,,
booster,,Did you receive a booster shot?,,,,,,,,,,[vaccine_status] = '2' or [vaccine_status] = '3' or [vaccine_status] = '4' or [vaccine_status] = '5' or [vaccine_status] = '6' or [vaccine_status] = '7',y,RH,,,,
booster_date,,If Yes - When did you receive your booster shot?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[booster] = '1',y,RH,,,,
daily_feel,,How do you feel right now?,"1, I feel as healthy as normal. | 2, I'm not feeling quite right.",,,,,,,,,,y,,,,,
smell_loss_now,,Are you currently experiencing smell or taste loss?,,,,,,,,,,,y,,,,,
daily_temperature,,"If you are able to measure it, what is your temperature?",,,number,,,,,,,,,RH,,,,
daily_covid_tested,,Have you been tested for COVID-19 since you last reported?,,"If you have previously completed this survey, please only report new cases.",,,,,,,,,y,,,,,
daily_testtype,,What type of test for COVID-19 have you been tested?,"1, PCR test | 2, Antigen test (quick test) | 3, Other | 4, Unsure",,,,,,,,,[daily_covid_tested] = '1',y,,,,,
daily_testday,,When was your test?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[daily_covid_tested] = '1',y,RH,,,,
daily_testresult,,What was your test result?,"1, Positive | 0, Negative",,,,,,,,,"[daily_covid_tested] = ""1""",y,,,,,
daily_symptom_day,,When did you start not feeling right?,,Please provide approximate date if unsure.,date_mdy,,,,,,,[daily_feel] = '2',y,RH,,,,
daily_covidsymptom,,Please check all that you are currently experiencing,"1, Cough | 2, Fever | 3, Shortness of breath or difficulty breathing | 4, Headache | 5, Muscle ache | 6, New loss of smell or taste | 7, Chest pain or tightness in chest | 8, Chills | 9, Excessive fatigue | 10, Nausea/vomiting | 11, Diarrhea | 12, Abdominal pain | 13, Skin rash | 14, Conjunctivitis | 15, Congestion | 16, Sore throat",,,,,,,,,[daily_feel] = '2',,,,,, @RANDOMORDER
daily_fat_severity,,Please describe the severity of fatigue that you experienced.,"1, Mild - I could perform daily activities with some difficulty. | 2, Significant - I had significant difficulty performing daily activities. | 3, Severe - I struggled to even get out of bed.",,,,,,,,,[daily_covidsymptom(9)] = '1',y,,,,,
daily_sob_severity,,Please describe the severity of the shortness of breath that you experienced.,"1, Mild  - slight shortness of breath during ordinary activity | 2, Significant  - breathing was comfortable only at rest | 3, Severe  - breathing was difficult even at rest",,,,,,,,,[daily_covidsymptom(3)] = '1',y,,,,,
daily_other_symp,,Did you have any other symptoms not listed above?,,,,,,,,,,[daily_feel] = '2',y,,,,,
daily_other_sx_des,,Please describe these symptoms.,,,,,,,,,,[daily_other_symp] = '1',y,,,,,
daily_househood_covid,,Do you have anyone in your household who have recently tested positive for COVID-19? ,,,,,,,,,,,y,,,,,
daily_househood_testtype,,What type of test for COVID-19 was the person tested?,"1, PCR test | 2, Antigen test (quick test) | 3, Other | 4, Unsure",,,,,,,,,[daily_househood_covid] = '1',y,,,,,
daily_booster,,Did you receive a booster shot since last reported?,"1, Yes | 0, No",,,,,,,,,,y,,,,,
daily_booster_date,,When did you receive your booster shot?,,,date_mdy,,,,,,,[daily_booster] = '1',y,,,,,
daily133_uuid,MyCap App Fields - Do Not Modify,UUID,,,,,,,,,,,,,,,, @MC-TASK-UUID
daily133_startdate,,Start Date,,,,,,,,,,,,,,,, @MC-TASK-STARTDATE
daily133_enddate,,End Date,,,,,,,,,,,,,,,, @MC-TASK-ENDDATE
daily133_scheduledate,,Schedule Date,,,,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE
daily133_status,,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,,,,, @MC-TASK-STATUS
daily133_supplementaldata,,Supplemental Data (JSON),,,,,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA
daily133_serializedresult,,Serailized Result,,,,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT
age10,,Are you at least 10 years old?,,,,,,,,,,,y,,,,,
first_candy_id,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please </span>randomly select<span style=""font-weight: normal;""> a bag of candy and remove a single piece for today's evaluation.</span></p></div>","<div class=""rich-text-field-label""><p>Please randomly select a bag of candy and remove a single piece. Select the candy number you are evaluating today:</p></div>","327, 327 | 938, 938 | 183, 183 | 571, 571 | 294, 294 | 785, 785 | 806, 806",,,,,,,,,,y,,,,,
limechoice_ortho,Unwrap the candy and smell it.,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Lime | 2, Pineapple | 3, Peach | 4, Raspberry",,,,,,,,,[first_candy_id] = '327',y,LH,,,,
grapechoice_ortho,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Orange | 2, Grape | 3, Lime | 4, Apple",,,,,,,,,[first_candy_id] = '938',y,LH,,,,
raspberrychoice_ortho,,"<div class=""rich-text-field-label""><p>Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Apple | 2, Grape | 3, Raspberry | 4, Peach",,,,,,,,,[first_candy_id] = '183',y,LH,,,,
pineapplechoice_ortho,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Pineapple | 2, Lime | 3, Raspberry | 4, Orange",,,,,,,,,[first_candy_id] = '571',y,LH,,,,
orangechoice_ortho,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Grape | 2, Orange | 3, Peach | 4, Pineapple",,,,,,,,,[first_candy_id] = '294',y,LH,,,,
applechoice_ortho,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Orange | 2, Pineapple | 3, Raspberry | 4, Apple",,,,,,,,,[first_candy_id] = '785',y,LH,,,,
peachchoice_ortho,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Apple | 2, Grape | 3, Peach | 4, Lime",,,,,,,,,[first_candy_id] = '806',y,LH,,,,
aroma_1,,"<div class=""rich-text-field-label""><p>Rate the FRUIT AROMA INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,[age10] = '1',y,LH,,,,
sweet_1,,"<div class=""rich-text-field-label""><p>Now taste the candy and rate the SWEETNESS INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,[age10] = '1',y,LH,,,,
sour_1,,"<div class=""rich-text-field-label""><p>Rate the SOURNESS INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,[age10] = '1',y,LH,,,,
flavor_1,,"<div class=""rich-text-field-label""><p>Please ignore the sweetness and sourness of the candy and rate its FRUIT FLAVOR INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,[age10] = '1',y,LH,,,,
aroma_kid_1,,"<div class=""rich-text-field-label""><p>How strong does the fruit candy smell?</p></div>","1, I can't smell anything | 2, I can smell it a little bit | 3, I can smell it easily | 4, It smells really strong",,,,,,,,,[age10] = '0',y,LH,,,,
sweet_kid_1,,"<div class=""rich-text-field-label""><p>Now taste the candy.</p> <p>How SWEET is the candy?</p></div>","1, I can't taste anything | 2, It tastes a little bit sweet | 3, It tastes pretty sweet | 4, It tastes really sweet",,,,,,,,,[age10] = '0',y,LH,,,,
sour_kid_1,,"<div class=""rich-text-field-label""><p>How SOUR is the candy?</p></div>","1, I can't taste anything | 2, It tastes a little bit sour | 3, It tastes pretty sour | 4, It tastes really sour",,,,,,,,,[age10] = '0',y,LH,,,,
flavor_kid_1,,"<div class=""rich-text-field-label""><p>How strong is the candy's FRUIT FLAVOR in your mouth?</p></div>","1, I can't taste any fruit flavor | 2, I can taste it a little bit | 3, I can taste it easily | 4, It tastes really strong",,,,,,,,,[age10] = '0',y,LH,,,,
limechoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Lime | 2, Pineapple | 3, Peach | 4, Raspberry",,,,,,,,,[first_candy_id] = '327',y,LH,,,,
