Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference,Form Name
walking_climbing_dis,,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
dress_bathe_dis,,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
errand_dis,,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
nicotine,,radio,Nicotine Use,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
alcohol_use,,radio,Alcohol Use,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
asthma,,radio,Asthma,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
cancer,,radio,Cancer,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
cardiovascular_disease,,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
chronic_kidney_disease,,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
chronic_lung_disease,,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
diabetes,,radio,Diabetes,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
hypertension,,radio,Hypertension,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
immunosuppressive_conditio,,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
serious_mental_illness,,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
sickle_cell_disease,,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
pregnancy_status,,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant 2, Not applicable",,,,,[sex] = '2',,RADx-rad Minimum CDE,form_1
cough,"Symptoms ",radio,Cough,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
fever,,radio,Fever,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
shortness_of_breath_or_dif,,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
headache,,radio,Headache,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
muscle_ache,,radio,Muscle ache,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
new_loss_of_taste_or_smell,,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
chills,,radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
excessive_fatigue,,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
nausea_vomiting,,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
diarrhea,,radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
abdominal_pain,,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
skin_rash,,radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
conjunctivitis,,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
height_feet,,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 99 Not Recorded",,,,,,,RADx-rad Minimum CDE,form_1
height_inches,,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 99, Not Recorded",,,,,,,RADx-rad Minimum CDE,form_1
weight_lbs,,text,What is your weight?,,Weight in pounds,number,,,,,RADx-rad Minimum CDE,form_1
health_status,,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor | 6, Not Applicable",,,,,,,RADx-rad Minimum CDE,form_1
"",,,,,,,,,,,,
Vital Signs (VS),,,,,,,,,,,,
Study ID,,,,,,,,,,,,
Date of ED visit,,,,,,,,,,,,
Date and Time of VS,,,,,,,,,,,,
Day of hospitalization,,,,,,,,,,,,
Temperature in centigrade,,,,,,,,,,,,
Heart rate/min,,,,,,,,,,,,
Respiratory rate/min,,,,,,,,,,,,
Systolic BP mmHg,,,,,,,,,,,,
Diastolic BP mmHg,,,,,,,,,,,,
Pulse ox in percent,,,,,,,,,,,,
weight in kg,,,,,,,,,,,,
"",,,,,,,,,,,,
Labs,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
Day of Hospitalization,,,,,,,,,,,,
Date and Time of Order,,,,,,,,,,,,
"WBC ",,,,,,,,,,K/CUMM,,
"Absolute lymphocyte count ",,,,,,,,,,K/CUMM,,
"Absolute neutrophil count ",,,,,,,,,,K/CUMM,,
Hemoglobin,,,,,,,,,,gm/dL,,
Platelets,,,,,,,,,,K/CUMM,,
"D dimer ",,,,,,,,,,mg/L FEU,,
ESR,,,,,,,,,,mm/hr,,
PT,,,,,,,,,,Second(s),,
PTT,,,,,,,,,,Second(s),,
INR,,,,,,,,,,,,
"Fibrinogen ",,,,,,,,,,mg/dL,,
"CRP ",,,,,,,,,,mg/dL,,
Albumin,,,,,,,,,,gms.dL,,
"ALT ",,,,,,,,,,Units/Liter,,
AST,,,,,,,,,,Units/Liter,,
Bilirubin,,,,,,,,,,mg/dL,,
Ferritin,,,,,,,,,,ng/mL,,
"LDH ",,,,,,,,,,Units/Liter,,
CPK,,,,,,,,,,Units/Liter,,
Serum Sodium,,,,,,,,,,mMol/L,,
Serum Potassium,,,,,,,,,,mMol/L,,
Serum Chloride,,,,,,,,,,mMol/L,,
Serum Bicarbonate,,,,,,,,,,mMol/L,,
Blood Urea Nitrogen,,,,,,,,,,mg/dL,,
Creatinine,,,,,,,,,,mg/dL,,
Serum Glucose,,,,,,,,,,mg/dL,,
Troponin,,,,,,,,,,ng/L,,
Brain Natriuretic Peptide,,,,,,,,,,pg/mL,,
Capillary blood gas pH,,,,,,,,,,,,
Capillary blood gas PCO2,,,,,,,,,,mmHg,,
Capillary blood gas PO2,,,,,,,,,,mmHg,,
Capillary blood gas base excess,,,,,,,,,,,,
Capillary blood gas HCO3,,,,,,,,,,mEq/L,,
Capillary blood gas Lactate,,,,,,,,,,mmol/L,,
"CSF nucleated cell count ",,,,,,,,,,mg/dL,,
CSF RBC,,,,,,,,,,cells/CUMM,,
CSF Protein,,,,,,,,,,mg/dL,,
CSF Glucose,,,,,,,,,,mg/dL,,
Urine pH,,,,,,,,,,,,
Urine Specific gravity,,,,,,,,,,,,
Urine glucose,,radio,,1= Negative 2= Positive,,,,,,,,
Urine protein,,radio,,1= Negative 2= Positive,,,,,,,,
Urine Leukocyte Esterase,,radio,,1= Negative 2= Positive ( Trace/1+/2+ and 3+),,,,,,,,
Urine Nitrite,,radio,,1= Negative 2= Positive,,,,,,,,
Urine Red cell count/HPF,,radio,,"1= < 5, 2= 5-10 , 3= >10-50 4= >50",,,,,,,,
Urine white cell count/HPF,,radio,,"1= < 5, 2= 5-10 , 3= >10-20 4= >20-50 5= >50-100 ",,,,,,,,
Blood culture,,radio,," 1= Negative 2= Positive",,,,,,,,
Blood culture result if positive,,,,,,,,,,,,
CSF culture,,radio,," 1= Negative 2= Positive",,,,,,,,
CSF culture result if positive,,,,,,,,,,,,
Urine culture,,radio,," 1= Negative 2= Positive",,,,,,,,
Urine Culture Result if positive,,,,,,,,,,,,
COVID 19 antibody,,radio,,"1= Negative, 2= Positive (>0.05)",,,,,,,,
IL6,,,,,,,,,,pg/mL,,
"",,,,,,,,,,,,
Lab normal values,,,,,,,,,,,,
"",,,,,,,,,,,,
Imaging,,,,,,,,,,,,
Study  ID,,,,,,,,,,,,
Imaging,,radio,,1= Normal 2= Abnormal,,,,,,,,
Day of hospitalization,,,,,,,,,,,,
Date,,,,,,,,,,,,
Time,,,,,,,,,,,,
"Result ",,,,,,,,,,,,
Impression,,radio,,"1=Normal 2= Abnormal ",,,,,,,,
Ejection fraction in %,,,,,,,,,,,,
LV dysfunction,,radio,,0= Normal function 1= mild dysfunction 2= moderate dysfunction 3= severe dysfunction,,,,,,,,
"",,,,,,,,,,,,
Disposition,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
Admitted,,radio,,0=No 1= yes,,,,,,,,
Type of admission,,radio,,"1, < 24 hours | 2, Full admit | 3, PICU | 4, Transferred",,,,,,,,
Admit diagnosis,,,,,,,,,,,,
Date of admission,,,,,,,,,,,,
Time of admission,,,,,,,,,,,,
"Date of discharge ",,,,,,,,,,,,
Death,,radio,,"0= No, 1= Yes",,,,,,,,
LOS in hospital in days,,,,,,,,,,,,
Severe Illness,,radio,,0=No 1= yes,,,,,,,,
Return visit date,,,,,,,,,,,,
"",,,,,,,,,,,,
Medications,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
Respiratory medication (albuterol/Duoneb),,radio,,"0= None, 1= Yes",,,,,,,,
Pressor 1,,radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
Pressor 2,,radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
Pressor 3,,radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
Steroid 1,,radio,,"0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
Steroid 2,,radio,," 0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
Steroid 3,,radio,,"0= None,  1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
Remdesivir,,radio,,"0= No, 1= Yes",,,,,,,,
IVIG,,radio,,"0= No, 1= Yes",,,,,,,,
Number of doses of IVIG,,radio,,"1, 2, 3",,,,,,,,
Aspirin,,radio,,"0= No, 1= Yes",,,,,,,,
Anticoagulation,,radio,,"0= No, 1= Yes",,,,,,,,
Tocilizumab,,radio,,"0= No, 1= yes",,,,,,,,
Anakinra,,radio,,"0= No, 1= Yes",,,,,,,,
Infliximab,,radio,,"0= No, 1= Yes",,,,,,,,
Antibiotic  - ceftriaxone,,radio,,"0= None, 1= Yes",,,,,,,,
Antibiotic  - Cefepime,,radio,,"0= None, 1= Yes",,,,,,,,
Antibiotic - Clindamycin,,radio,,"0= No, 1= yes",,,,,,,,
Antibiotic -vancomycin,,radio,,"0= No, 1= Yes",,,,,,,,
Antibiotic -Meropenem,,radio,,"0= No, 1= Yes",,,,,,,,
Antibiotic- Flagyl,,radio,,"0= No, 1= Yes",,,,,,,,
Antibiotic-Azithromycin,,radio,,"0= No, 1= Yes",,,,,,,,
Other meds,,,,,,,,,,,,
"",,,,,,,,,,,,
Interventions,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
Oxygen- non invasive (highest),,radio,,"0= None, 1= nasal cannula, 2= face mask, 3= BIPAP/CPAP,4=high flow, 5= NIPPV",,,,,,,,
"Mechanical ventilation ",,radio,,"0= No, 1 =Yes",,,,,,,,
ECMO,,radio,,"0= No, 1= Yes",,,,,,,,
"",,,,,,,,,,,,
REDCap Data,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
immunizations_UTD,,radio,,"1, Yes | 0, No",,,,,,,,
flu_vaccine,,radio,,"0=No, 1=Yes,  2=DON'T KNOW",,,,,,,,
covid_vaccine,,radio,,"1, Yes | 0, No | 2, N/A (Not of Age)",,,,,,,,
pmh_Asthma,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Diabetes,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Seizures,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Cardiac,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Malignancy,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Hematological,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Immunocompromised states (other than malignancy),,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Neurological,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Technology dependent disease,,radio,,"0=None, 1= Yes",,,,,,,,
pmh_Others,,radio,,"0=No, 1= Yes",,,,,,,,
pmh_other type,,,,,,,,,,,,
family_hx_Asthma,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Diabetes,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Hypertension,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Cardiac,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Seizures,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Obesity,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Not documented,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_None,,radio,,"0=None, 1= Yes",,,,,,,,
family_hx_Other,,radio,,"0= None, 1= yes",,,,,,,,
family_Other type,,,,,,,,,,,,
Covid_exposure,,radio,,"0= None, 1= yes",,,,,,,,
contact_Mother,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Father,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Sister,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Brother,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Cousin,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Schoolmate,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Others,,radio,,"0=No, 1= Yes",,,,,,,,
contact_Unknown,,radio,,"0=No, 1= Yes",,,,,,,,
"covid_if other, exposure_Type",,,,,,,,,,,,
covid_positive,,radio,,"0= No, 1= Yes",,,,,,,,
covid_test_type_RT PCR,,radio,,"0= No, 1= Yes",,,,,,,,
covid_test_type_Cepheid,,radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_Labcorp,,radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_Serology (IgG),,radio,,"0=No, 1= Yes",,,,,,,,
covid_Epidemiological link,,radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_Other outside test,,radio,,"0=No, 1= Yes",,,,,,,,
"",,,,,,,,,,,,
Chief complaint,,,,,,,,,,,,
chief_complaint_Fever,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Cough,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Runny nose,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Sore throat,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Abdominal pain,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Nausea/vomiting,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Diarrhea,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Rash,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Red eye,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Redness/Swelling of hands and feet,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Headache,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Seizures,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Malaise,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Obesity,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_Others,,radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_other_Type,,,,,,,,,,,,
fever_duration in days,,,,,,,,,,,,
"",,,,,,,,,,,,
Physical exam,,,,,,,,,,,,
weight_kg_1,,,,,,,,,,,,
height_cms,,,,,,,,,,,,
Body Mass Index,,,,,,,,,,,,
body_weight_category_1,,,,"1, Obese (? 95th percentile) | 2, Overweight (85th to < 95th percentile) | 3, Normal (5th to < 85th percentile) | 4, Underweight (< 5th percentile)",,,,,,,,
PE_Irritability,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_alertness,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_conjunctival erythema,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_strawberry_tongue,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_cracked lips,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_lymphadenopathy,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_cardiac_murmur,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_gallop,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_lungs_clear,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_abd_tenderness,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_organomegaly,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_neural_focus,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_meningeal_signs,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
PE_rash,,radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
"",,,,,,,,,,,,
FAMILY STRENGTHS SURVEY,,,,,,,,,,,,
Study ID,,,,,,,,,,,,
lang_pref,,radio,,"1= English, 2= Spanish",,,,,,,,
Age of caretaker,,radio,,"1= 18-29 years, 2= 30-44 years, 3= 45-64, 4=?65 years",,,,,,,,
no_of_adults,,,How many adults (over the age of 18 years) live in your household (including yourself)?,,,,,,,,,
dependent_children,,,"How many dependent children (between 0-18 years old) live in your household? ",,,,,,,,,
Age groups,,,"Please choose the age groups of the children in your household. ",,,,,,,,,
age_groups___1,,radio,,"Infants/Toddler; 0= No, 1= Yes",,,,,,,,
age_groups___2,,radio,,"Preschool; 0= No, 1= Yes",,,,,,,,
age_groups___3,,radio,,"Schoolage; 0= No, 1= Yes",,,,,,,,
age_groups___4,,radio,,"Adolescent/Teenager; 0= No, 1= Yes",,,,,,,,
age_groups___5,,radio,," Young adult; 0= No, 1= Yes",,,,,,,,
marital_status,,radio,,"1, Married | 2, Widowed | 3, Separated | 4, Divorced | 5, Never married | 6, Living with partner",,,,,,,,
gender_identify,,radio,,"1, Male | 2, Female | 3, Non-binary/third gender | 4, Gender fluid or genderqueer | 5, Different identity | 6, Prefer not to answer",,,,,,,,
hispanic,,radio," Do you identify as Hispanic or Latino/a/x?; ","1, Yes | 2, No | 3, Prefer not to answer",,,,,,,,
Race,,," What do you identify as your race(s)? ;",,,,,,,,,
American Indian or Alaska Native,,radio,," 0= No, 1= yes",,,,,,,,
Black or African American,,radio,,"0= No, 1= yes",,,,,,,,
Asian,,radio,,"0= No, 1= yes",,,,,,,,
White,,radio,,"0= No, 1= yes",,,,,,,,
Native Hawaiian / Pacific Islander,,radio,,"0= No, 1= yes",,,,,,,,
Some Other Race,,radio,," 0= No, 1= yes",,,,,,,,
Prefer not to answer,,radio,,"0= No, 1= yes",,,,,,,,
other_race,,,,,,,,,,,,
primary_language,,radio," Is English the primary language spoken in your home?","0= No, 1= Yes",,,,,,,,
"Food, Housing and Job security",,,,,,,,,,,,
food_a,,radio,a) We worried whether our food would run out before we got money to buy more.,"1, Often true | 2, Sometimes true | 3, Never True",,,,,,,,
food_b,,radio,"b) The food we bought just didn't last, and we didn't have money to get more.","1, Often true | 2, Sometimes true | 3, Never True",,,,,,,,
type_of_housing,,radio,"What is your housing situation today? What is your housing situation today? ","1= I have housing, 2= Staying with friends, 3= I do not have a house (staying in a shelter, hotel, car, staying outside on the ",,,,,,Please specify:,,
losing_your_housing,,radio," Are you worried about losing your housing?","0= No, 1= yes",,,,,,,,
no_of_rooms,,Integer,"How many separate rooms are in your home (house, apartment, or mobile unit)?",,,,,,,,,
clothing,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?, ","1= Yes, 2= No",,,,,,,,
utilities,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
phone,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
internet,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
child_care,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
school_supplies,,radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
Employment status,,radio,"Are you working now, looking for work, retired, a student or what?","1, Working now | 2, Only temporarily laid off, maternity leave or sick leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping House (home maker, stay at home parent) | 7, Student | 8, Other | 9, Prefer not to answer/Don't Know",,,,,,,,
other_occupation,,,,,,,,,,,,
Pandemic related job loss,,radio,"Have you or another adult in your household lost your job or experienced a decrease in income because of the COVID pandemic? ","0= No, 1= Yes",,,,,,,,
job_lost_12 months,,radio,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off? ","1, Very likely | 2, Fairly likely | 3, Not too likely | 4, Not at all likely | 5, Will be leaving labor force (vol.) | 6, Not applicable",,,,,,,,
Health systems and services,,,,,,,,,,,,
needed_child_health,,radio,"During the past 12 months, was there any time when your child needed health care but it was not received? By health care, we mean medical care as well as other kinds of care like dental care, vision care, and mental health services."," 0= No, 1= Yes",,,,,,,,
Health Care,,radio,Which types of care were not received? Check all that apply.,"1, Medical Care for a child's illness or problem | 2, Medical Care for a check-up or well check or shots | 3, Dental Care | 4, Vision Care | 5, Hearing Care | 6, Mental Health Services | 7, Other",,,,,,,,
health_care___1,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___2,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___3,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___4,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___5,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___6,,radio,,"0=No, 1= Yes",,,,,,,,
health_care___7,,radio,,"0=No, 1= Yes",,,,,,,,
other_health_care,,radio,,"0=No, 1= Yes",,,,,,,,
Health Insurance,,radio,Is this child CURRENTLY covered by ANY kind of health insurance or health coverage plan?,"1= No, the child does not have health insurance coverage. | 2= Yes, insurance through a current or former employer or union. | 3= Yes, insurance purchased ",,,,,,,,
other_health_insurance,,,,,,,,,,,,
covid19,,radio,"Have you or anyone in your household been diagnosed with COVID19, hospitalized with COVID 19 or died of COVID19?","0= No, 1= Yes",,,,,,,,
"Environment, safety and transportation",,,,,,,,,,,,
lack_of_transportation,,radio," Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living? ","1, Yes | 2, No",,,,,,,,
neighborhood_help,,radio,"a) People in this neighborhood help each other out. ","1, Definitely agree | 2, Somewhat agree | 3, Somewhat disagree | 4, Definitely disagree",,,,,,,,
children_safe,,radio,"b) Children are safe in our neighborhood. ","1, Definitely agree | 2, Somewhat agree | 3, Somewhat disagree | 4, Definitely disagree",,,,,,,,
Social Environment (Family Relationships and Social Support),,,,,,,,,,,,
support_needs,,radio,a)My child gets the support he/she needs from our family.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
my_problems,,radio,b) I have people I can turn to for help with my problems.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
who_will_listen,,radio,c) I have someone who will listen to me when I need to talk.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
less_courtesy,,radio,d)You are treated with less courtesy or respect than other people.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
poorer_service,,radio,e)You receive poorer service than other people at restaurants or stores,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
not_smart,,radio,f)People act as if they think you are not smart.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
afraid,,radio,g) People act as if they are afraid of you.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
threatened,,radio,h) You are threatened or harassed.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
What do you think is the main reason for these experiences?,,radio,,"1, Your Ancestry or National Origins | 2, Your Gender | 3, Your Race | 4, Your Age | 5, Your Religion | 6, Your Height | 7, Your Weight | 8,Some other Aspect of Your Physical Appearance | 9, Your Sexual Orientation | 10, Your Education or Income Level | 11, A physical disability | 12, Your shade of skin color | 13, Your tribe | 14, Other",,,,,,,,
main_reason_for_these_experiences___1,,radio,,"0=No, 1= Yes",,,,,,,,
