variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,required,Custom Alignment,question_id,Matrix Group Name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
race_ethn_asian_detail_2,sociodemographics,Demographics,checkbox,,"1, Japanese | 2, Filipino | 3, Chinese | 4, Korean | 5, Other Asian |99, Prefer not to answer",Check all that apply,,,,[race_ethn_race(3)] = '1',,,,," @NONEOFTHEABOVE = '99' | detail from RADx-UP projects",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ff2187997161f5ec005ff02893a4cab6b51999957693f1c13f9d828c08c76633260850e21934c60e016e6b2634a4e00c14e3db3e51bc66438beb21c6bb5949f8
race_ethn_islander_detail_2,sociodemographics,Demographics,checkbox,,"1, Native Hawaiian | 2, Pacific Islander | 3, Samoan  | 4,  Tongan  | 5, Maori  | 6, Fijian | 7, Chamorro | 8, Chuukese | 9, Kosraen | 10, Marshallese | 11, Palauan | 12, Pohnpeian | 13, Yapese  | 14, Other Pacific Islander |99, Prefer not to answer",Check all that apply,,,,[race_ethn_race(4)] = '1',,,,," @NONEOFTHEABOVE = '99' | detail from RADx-UP projects",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,57e77cdbf2db56eb2ddcbc585e049ff394d7ea5b8b1085f0c3cfa6adf9a492675681f0d9cc1d563747575c55996a270ddca12c732ca8d574137117a0969bf915
race_ethn_orig_other,sociodemographics,Demographics,text,"Specify other origin.

Print race of origin.",,,,,,[race_ethn_race(15)] = '1',,,,,"PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,70ad5ea6a0666d0c699f8ff01cc43ebc381162c5fc7f63012f2c08c2341a9935934c11a575150c69a0810d99593294b39be520c4fd3613435d2f86e2074735de
race_ethn_hispanic,sociodemographics,Demographics,radio,"Are you of Hispanic, Latino, or Spanish origin?","0, No, not of Hispanic, Latino, or Spanish origin | 1, Yes, of Hispanic, Latino, or Spanish origin | 99, Prefer not to answer",,,,,,,,,,"PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire | Reduced to OMB, Added 99, Prefer not to answer",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,3f20870a5eccb3e09edb46b785e65e655bcabe0f559f4ef35e09be2311d8380e26e959d14b79a360e645c40f53c39c88642b3ad8509941560e4c98679519c525
race_ethn_hispanic_detail_2,sociodemographics,Demographics,checkbox,Please specify your origin,"1, Mexican, Mexican Am., Chicano | 2, Puerto Rican | 3, Cuban | 4, Another Hispanic, Latino, or Spanish origin |5,Salvadoran | 6,Dominican | 7,Colombian| 99, Prefer not to answer",,,,,[race_ethn_hispanic] = '1',,,,," @NONEOFTHEABOVE = '99'|PX011901",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,051e19c90084ad7268e830f7cbf46936ccff2ae028d1db87e82a64092fb165bb752401ead36fa24dce8ab11dd036254353c0190e640aef07a33e2b7e3453563e
race_ethn_hispanic_other,sociodemographics,Demographics,text,"Please specify other Hispanic, Latino, or Spanish origin. For example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc. ",,,,,,[race_ethn_hispanic_detail_2(4)]='1',,,,,PX011901,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c42d3122d43b06c9949ef6ec2babcd6e7051fe357afb238484a5dc68118a7d4a89fc66faf4ddc00534865b1c3ce1c784fef4869f5de228b22ddbbe644a8a1762
age_yrs,sociodemographics,Demographics,text,"Age

For babies less than 1 year old, do not write the age in months. Write 0 as the age.",,Years,integer,0,110,,,,,,"Census | https://www2.census.gov/programs-surveys/acs/methodology/questionnaires/2020/quest20.pdf | Census ACS ",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c7c29a20127de142cd27342ab7f2ce32ddcf4f9b96112f91266c68717820c95d2da6eccd518c803241d4c1fa284f2649a5676fac4f2b98e8a3cfb952a3226d75
bio_sex_birth_2,sociodemographics,Demographics,radio,What was your sex assigned at birth on your birth certificate?,"1, Female | 0, Male | 3, Intersex| 96, None of these describe me | 99, Prefer not to answer",,,,,,,,,,"PX011601 |https://www.phenxtoolkit.org/protocols/view/11601 | HHS/CDC COVID Lab Reporting Specifications | Removed 'Biological' term ",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ead4a80d91afe631f5314eff954d8f24fcd0f764a73251811885910c86a995e65c09039dc697a7628291b69f936f07eb8f42039901e9b2991f0f3872ba52283c
gender_identity_term,sociodemographics,Demographics,radio,What terms best express how you describe your gender identity?,"1, Woman | 0, Man | 2, Non-binary | 3,  Transgender man/Female-to-male (FTM) | 4, Transgender woman/Male-to-female (MTF) | 5, Gender non-binary/Genderqueer/Gender nonconforming | 6, Agender | 7, Bigender | 96, None of these describe me | 99, Prefer not to answer",,,,,,,,,,"PX011801 @NONEOFTHEABOVE='96,99' | Modified based on RADx-UP project feedback to conform to MTPC",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,60fdef0155b622cadf4dfb0bcb1949d76839ccd584a38f614b9a35bcda0f0db3becac127893675721ab7a7ea2db5169b52d7890d033cbad0bbbd08f4df219203
pregnancy_status,sociodemographics,Demographics,radio,Are you currently pregnant?,"1, Pregnant | 0, Not Pregnant | 98, Don't know| 99,Prefer not to answer",,,,,"[bio_sex_birth_2] = '1' ",,,,,PX240602|https://www.phenxtoolkit.org/protocols/view/240602 . Consider [gender_identity_term] = '1' and [age_yrs] >= 18 as additional recruitment restraints.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,31e79dc950039661ee2abe3874966c38f1730c8f6dcacf1507e1349f0deea041fbf45e73ab38c355e83f67443312810be3c9c2c584a08c28cc9f95050233d4be
sex_orient_id,sociodemographics,Demographics,radio,Which of the following best represents how you think of yourself at this time?,"1, Gay | 2, Lesbian | 3, Straight; that is, not gay or lesbian, etc. | 4, Bisexual | 96, None of these describe me| 99, Prefer not to answer",,,,,,,,,,PX011701,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,57665dfafdb0b566e7b4945bfd4a774e71e9b4c5e185c54563a9e8f4b296914bc89b9fa035e8c3312ea5ec763a72f9ce5d3b24af97f1768968de676a781c3bd5
edu_years_of_school,sociodemographics,Demographics,radio,What is the highest level of education you have achieved outside or in the United States?  Grades roughly equivalent to years of school.,"0, Have never gone to school|1,5th grade or less|2,6th to 8th grade|3,9th to 12th grade, no diploma  |4,High school graduate or GED completed  |5,Some college level/ Technical / Vocational degree  |6,Bachelor's degree  |7,Other advanced degree (Master's, Doctoral degree)| 98, Prefer not to answer |99,Don't know",,,,,,,,,,Recommendation from RADx-UP projects,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,488652ca9a8138a3cb978b01bd674ab947e8dee8de95ddd8806d9f9c48cc3bcfb22a0c7afa031cf6da422bfedc9cb28c12dd2635d6884651c0e8b5982ca3b562
housing_date_mdy,housing_employment_and_insurance,Housing,text,"Date of Housing, Employment and Insurance Collection",,MM/DD/YYYY,date_mdy,01/01/1900,,,,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,55d6462ff0773c774d91d5f335e7702ff1c1c887216de6a9e61fe18f54ec7f5c27b8d882b2d744c38eb10f086b6d9bb94d60edcffbfd372b6a7703d8a08791e9
household_famgen_3,housing_employment_and_insurance,Housing,radio,What best describes the people at your home:,"1, Just me | 2, Living with spouse, no kids | 3, Family including kids | 4, Family with 3 generations (parents, children, grandchildren) | 5, Family with 4 generations | 6, Living with roommates| 90, None of these | 99, Prefer not to answer",,,,,,,,,," @NONEOFTHEABOVE = '90'|||Recommendation from RADx-UP projects.  Update, added roommates as an option",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,088abdfec7b6f8eb0639df7814d4be8026c56e8234bb12688135664a07410d83eb68c68edf7d1a8d711642d13256e81ddee989b57b842b268b3a31ddc29c1274
household_homeless,housing_employment_and_insurance,Housing,radio,"Are you currently living in transitional housing, staying in a shelter, or experiencing homelessness?","1, Yes | 0, No | 98, Prefer not to answer | 99, Don't know",,,,,[household_famgen_3] = '90',,,,,Recommendation from RADx-UP projects,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,0a1889ad8d2f2563c6cb02eb2e56f275e6491737960bd58cd0b04a566694f89d164867177da260eee489c35b78bced18dce68e63673dbb7ddaff3b397dc156a3
household_congregate_3,housing_employment_and_insurance,Housing,radio,Do you live in any of these?,"1, A group care setting | 2, Nursing home | 3, Residential care facility for people with intellectual and developmental disabilities | 4, A psychiatric treatment facility | 5, A group home  | 6, A board and care home | 7, Prison or jail | 8, A halfway house  | 9, Foster care |10, Homeless or in no consistent shelter| 90, Somewhere else | 99, Prefer not to answer",,,,,[household_homeless] = '1',,,,,https://loinc.org/sars-cov-2-and-covid-19/  HHS/CDC COVID Lab Reporting Specification request,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,80811c94a4fdd3683a6070b06ae24e35da93718f1092aadb4761a4e00785ea04fefc53087ad34f72bb5c2b6beb7b53dad6c8fa26caa54fa04feef4b0e6eb0120
household_other,housing_employment_and_insurance,Housing,text,Where do you stay/live?,,,,,,[household_congregate_3] = '90',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,66b01b586477243671b4441a1d878ab2b601e5432aba857ab4a23867b6162177640dfb8235d97f61aa86f738cf04d7f2eac083aefa7faa09ecd07eb230281558
jobloss_covid19_2,housing_employment_and_insurance,Employment,radio,"Have you, or has anyone in your household, experienced a loss of employment income since the start of the COVID-19 pandemic (March 2020)?","1, Yes | 0, No| 99, Prefer not to answer",,,,,,,RV,,,CENSUS,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,f36884aafd128c547149503f787193dae28935601da1005e75728b8301535be5f0d2cecf2ec0138330671a298230919976e61f554a1d207be96fc57e1f49ed36
current_employment_status,housing_employment_and_insurance,Employment,radio,"We would like to know about what you do -- are you working now, looking for work, retired, keeping house, a student, or something else?","1, Working now | 2, Only temporarily laid off, sick leave or maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 96, Other (Specify)| 98, Prefer not to answer | 99, Don't know",,,,,,,,,,"PX011301|https://www.phenxtoolkit.org/protocols/view/11301|Panel Study of Income Dynamics (PSID), 2007||Added 99, Prefer not to answer",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,4a589cd5944711007be6c23cde51f60fbd439cc23477a46daa671ff20d4a078d819224d72b4425b2827ea812e3471336e9c86e8123b7565e441f4f1eaba258d1
cur_employ_stat_specify,housing_employment_and_insurance,Employment,text,"Current employment status, Other - specify",,,,,,[current_employment_status] = '96',,,,,"PX011301|https://www.phenxtoolkit.org/protocols/view/11301|Panel Study of Income Dynamics (PSID), 2007",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,5b60b414ccffd378d39a6223b3a9d73c7b7e3fcbac7ecfbdc66f7645042cd3ed40f9487d787fd88333f05f605d76755a18c83b507ba593534ce0f8a37541555a
employed_ew,housing_employment_and_insurance,Employment,radio,"Are you considered an essential worker? An essential worker is someone who was required to go to work even when stay at home orders were in place ","1, Yes | 0, No | 99, Prefer not to answer | 98, Don't know",,,,,[current_employment_status] = '1',,,,,LOINC95418-0|https://loinc.org/sars-cov-2-and-covid-19/|No source:  Novel item as per CDC testing reporting| Novel Question-- Modified based on feedback from RADx-Up projects,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b13639e537413e7ef42e4ec50685e61f4af7385762568d724eee1c5d544524cbf8c97c9353848172b1e5a811afa12c05af2a406b5a66ad70f2468c51938a28a1
employed_healthcare_2,housing_employment_and_insurance,Employment,radio,"Would any of these describe where you work? If you work multiple jobs, select the closest match to your main job.","1, Nursing care facilities | 2, Visiting nurse or home health aide service | 3, Building cleaning services | 4, Public transportation | 5, Corrections facility | 6, EMT or paramedic services| 7, Meat packing farm facility | 8, Agriculture and food production facility | 9, Grocery store | 10, Construction | 0, No| 99, Prefer not to answer",,,,,"[current_employment_status] = '1' ",,,,,https://loinc.org/sars-cov-2-and-covid-19/  |Recommendation from RADx-UP projects,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,5bcd2fbc52723231d0347c91e85f6b8d79ebf16520c1b473a45d093edcf04414e42b6f44d7860f541e8bfc3ba5d7857cf194d9250830aa7ad45c14bdcb6e4d8e
hi_coverage_type,housing_employment_and_insurance,Employment,radio,What is the primary kind of health insurance or health care plan that you have now?,"0, I do NOT have health insurance| 1, Private (purchased directly or through Employment)| 2, Public (Medicare, Medicaid, Tricare) | 98, Don't know | 99, Prefer not to answer","Exclude plans that pay for only one type of 
Service (such as, nursing home care, accidents, 
family planning, or dental care) and plans that 
only provide extra cash when hospitalized.
",,,,,,,,,Adapted for CEAL Program from DMACS COVID 19 Survey. https://detroitsurvey.umich.edu/COVID 19-survey-and-resources/.  Further simplified.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8ec9bd8399de8bd6c9f7ac80c32c6c1c5e0dd6c2c7227eb4d316d3bf383526561f6bb436edf7884017710849990146606fc7c22a08a44bef817aedfec2b0bd61
hi_loss_covid,housing_employment_and_insurance,Employment,radio,Did you lose health coverage because of the COVID-19 pandemic?,"1, Yes | 0, No | 98, Prefer not to answer | 99, Don't know",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,86b70763f23130fd4385e581098bd813b089ce96e6979e082734127b1150d09d50e41929c90e4691dedfcf1368a2d22ac3d296d322f88ff37fd023988c013e15
covid_pandemic_challenges,housing_employment_and_insurance,Employment,descriptive,"The COVID-19 pandemic may cause challenges for some people, whether they get COVID-19 or not. In the past 6 months have you or your family experienced any of the below challenges? ",,,,,,,,,,,Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources/. Modified Timeframe.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b17637f868a2c8830cb76245b738f5d5ed1c1e0b53a52b71bd292750a0afb1c0e51184ba22ca88a5e96b7aba503f908fdc77db01b8c03cda1cb16290a31fa4f6
cov_pan_chal_hlth_2,housing_employment_and_insurance,Employment,radio,Getting the health care I need (including for mental health),"0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources. This question 'covid_pandemic_challenges_healthcare' can also be submitted with the variable name synonym 'cov_pan_chal_hlth'.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,82399ebe04df2ff8104e56718cc6c74a2a1dfee0e14c2e883616047c7f327dd1e8f61dfe21c8a1a83b81ef8fa18d6d99633ca42711bbe163d03b2c27b415c14a
covid_pandemic_challenges_abod_2,housing_employment_and_insurance,Employment,radio,Having a place to stay/live,"0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,"Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources/. ",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e083ed4d86eac0550bbaddaa26bbbf0fc524fef694b17258e6b6c77b43baa753af578ce601c274850279500c81dec556270fe8f41099161b4afcf509bd50981c
covid_pandemic_challenges_food_2,housing_employment_and_insurance,Employment,radio,Getting enough food to eat,"0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,"Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources/. ",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cfb412be14912485600a82bf8ca7e281fa4dcc2e46a802f4e5cbf7047231b589905fb4452e1a1ef378ac1d973574abdd3e50a76aab9abd8cd784cfc9fc873c5b
covid_pandemic_challenges_wate_2,housing_employment_and_insurance,Employment,radio,Having clean water to drink,"0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,"Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources/. ",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,42a49fdf2e2fc8fe329699c8e3406589f1bd4920f27cff732ba4a25bd5f384260648fc48bcb97bf7d48b1380303b707683fd931b8db6e12ee23694bd078346b5
cov_pan_chal_med_2,housing_employment_and_insurance,Employment,radio,Getting the medicine I need,"0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources. This question 'covid_pandemic_challenges_medications' can also be submitted with the variable name synonym 'cov_pan_chal_med'.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cfb21df47ed91f3194b2d223a18b6b8cc8253169a60f404f9041c41a1ad8d715fa6fa02b5c3d700a91b492db3c9277aee1c17266c55d5cce7d99f36a18a70eca
cov_pan_chlng_trans_2,housing_employment_and_insurance,Employment,radio,"Getting to where I need to go ","0, No, not a challenge | 1, Yes, a minor challenge | 2, Yes, this is a major challenge| 99, Prefer not to answer",,,,,,,,,,Adapted for CEAL Program from DMACS COVID 19 Survey.| https://detroitsurvey.umich.edu/COVID 19-survey-and-resources. This question 'covid_pandemic_challenges_transportation' can also be submitted with the variable name synonym 'cov_pan_chlng_trans'.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,be8d4691a987e51fc501706543e5e0bd17f79ed1d9b8e24a14a8ff2525e0039f0f489a1561c65930573902011ceb43edb45478b08fab506597c149a7daacd9ce
language_home,housing_employment_and_insurance,Spoken Language,checkbox,What languages are spoken at home?,"9, English| 1, Spanish |10, Albanian|11, Apache|12, Arabic|13, Bengali/Bangla|14, Bhutanese|15, Burmese| 4, Cantonese |16, Cape Verdean Creole|17, Creole|18, Chamoru|19, Chuukese|20, Dakota|21, Fijian|22, French| 6, Hawaiian|23, Hmong| 7, Ilokano|24, Karen|25, Khmer/Cambodian|26, Kinyarwanda|27, Korean|28, Kosraean|29, Lakota|30, Lingala|31, Mam| 3,Mandarin|32, Marshallese|33, Mixteco|34, Nakota| 8, Navajo|35, Nepali|36, Portuguese|37, Pohnpeian|38, Russian|39, Sign Language |40, Somali|41, Samoan|42, Swahili| 5,  Tagalog|43, Thai|44, Tongan|45, Triqui|2, Vietnamese|46, Zapoteco| 90, Other| 99, Prefer not to answer",,,,,,,,RV,,Required as tier 1 for projects funded January 2022 or later.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ba8812c0f597d7baa02adc47ea10c9616322e332495e35f569c86ce61d3ffc16777de03ed02146dfcfb6e8f085884dc1f10d3a06d037abf74f3ad06857cf7ebf
language_home_other,housing_employment_and_insurance,Spoken Language,text,Specify other languages spoken at home.,,,,,,[language_home(90)] = 1,,,,,Required as tier 1 for projects funded January 2022 or later.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ec3685d8e9f7134e6575a83c922bf0e948942372d8797623ee73c83948bc4e707edda3bd0baefadb9f7b4eaa3f52028946857f57f569f3dee44f151d9df6a53d
language_pref,housing_employment_and_insurance,Spoken Language,dropdown,What is your preferred language at home?,"9, English| 1, Spanish |10, Albanian|11, Apache|12, Arabic|13, Bengali/Bangla|14, Bhutanese|15, Burmese| 4, Cantonese |16, Cape Verdean Creole|17, Creole|18, Chamoru|19, Chuukese|20, Dakota|21, Fijian|22, French| 6, Hawaiian|23, Hmong| 7, Ilokano|24, Karen|25, Khmer/Cambodian|26, Kinyarwanda|27, Korean|28, Kosraean|29, Lakota|30, Lingala|31, Mam| 3,Mandarin|32, Marshallese|33, Mixteco|34, Nakota| 8, Navajo|35, Nepali|36, Portuguese|37, Pohnpeian|38, Russian|39, Sign Language |40, Somali|41, Samoan|42, Swahili| 5,  Tagalog|43, Thai|44, Tongan|45, Triqui|2, Vietnamese|46, Zapoteco| 90, Other| 99, Prefer not to answer",,,,,,,,,,Required as tier 1 for projects funded January 2022 or later.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cb5441ac77d2760a5ff31057c77487574c2d30b703bbadb5851c079d422252fa01966f33169a03b2e39e396bac6e0e686f71e318161388e77bd4b8fbb62c55e9
language_pref_other,housing_employment_and_insurance,Spoken Language,text,Specify other preferred language.,,,,,,[language_pref] = 90,,,,,Required as tier 1 for projects funded January 2022 or later.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,3588d58031599136c6e422779fd2702186e671265b8ec297fe96d953d2854dab328620098f96f108cb6ad7806abbf4de8fcf66401ad206e503873099450c2135
family_income,housing_employment_and_insurance,Family Income,radio,"In 2019, what was your total household income before taxes?","1, Less than $15,000 | 2, $15,000 - $19,999 | 3, $20,000 - $24,999 | 4, $25,000 - $34,999 | 5, $35,000 - $49,999 | 6, $50,000 - $74,999 | 7, $75,000 - $99,999 | 8, $100,000 and above | 99, Prefer not to answer",,,,,,,,,,PX011102|https://www.phenxtoolkit.org/protocols/view/11102| Annual Family Income|NHIS| Simpified to basic question for minimum dataset and conform to CEAL question 25.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cd9d335a65f95a0320476965c7847d5f64b3c14b487cc06341491b86f2ebbe709c144679c1ec8f8cc36a636179b472696a5cbbfbb9d1522af4b452a70bdad9e6
work_ppe_date_mdy,work_ppe_and_distancing,Family Income,text,Date of Work PPE and Distancing Collection,,MM/DD/YYYY,date_mdy,01/01/1900,,"[current_employment_status] = '1' ",,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,5bf8769abf5b422a46457d292d1e7649b2e938208c326fa7295f54bb277e09f509da66cbe99e7d1e36468cf10785521d4f37e532c10070674bdafd38ef3a53a5
work_wash_2,work_ppe_and_distancing,Family Income,radio,"In your workplace, do you have access to necessary facilities to wash?","1,Yes, all of the time|2, Yes, most of the time|3, Some of the time|4, Rarely|5,Not at all| 99, Prefer not to answer",,,,,"[current_employment_status] = '1' ",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,44110fe9493ccd9280d779620cfaf7e0406b00f3a6e0e65296c58a091fb1def4f1fe540cbde24387435890d02392836d2af580f81413714eb153f7c7bcad32fd
