Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
new_loss_of_taste_or_smell,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,New loss of taste or smell,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
chills,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Chills,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
excessive_fatigue,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Excessive fatigue,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
nausea_vomiting,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Nausea/vomiting,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
diarrhea,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Diarrhea,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
abdominal_pain,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Abdominal pain,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
skin_rash,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Skin rash,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
conjunctivitis,"Diagnosis1DSC, Diagnosis2DSCÉ",integer,Conjunctivitis,"0-absent, 1-present",,,,,,,RADx-rad Minimum CDE
height_feet,Height_Feet,integer,Height Feet,Height provided in feet,,,,,,foot,RADx-rad Minimum CDE
height_inches,Height_Inches,integer,Height Inches,Height provided in inches,,,,,,inch,RADx-rad Minimum CDE
weight_lbs,WeightLbsNBR,float,What is your weight?,Weight provided in pounds,Weight in pounds,,,,,pound,RADx-rad Minimum CDE
health_status,Health Status,N/A Exeption,"Would you say that (your) health in general is excellent, very good, good, fair or poor?",N/A Exeption,Variance Exception given by NIH for this CDE,,,,,,RADx-rad Minimum CDE
DiagnosisClusterDSC,"Diagnosis1DSC, Diagnosis2DSCÉ",text,N/A,Pipe-separated ICD10 codes,,,,,,,
