Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
new_loss_of_taste_or_smell,Symptoms,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
excessive_fatigue,Symptoms,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
nausea_vomiting,Symptoms,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
abdominal_pain,Symptoms,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
skin_rash,Symptoms,radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
conjunctivitis,Symptoms,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE
height_feet,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,foot,RADx-rad Minimum CDE
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,inch,RADx-rad Minimum CDE
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,,pound,RADx-rad Minimum CDE
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad Minimum CDE
education_parent_A,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+ (parent A),,,,,,PreVAIL Minimum CDE
education_parent_B,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+ (parent B),,,,,,PreVAIL Minimum CDE
employment_parent_A,Employment,radio,Are you employed? (parent A),"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,PreVAIL Minimum CDE
employment_parent_B,Employment,radio,Are you employed? (parent B),"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,PreVAIL Minimum CDE
year,Clinical data,integer,Year of admission,,Year,,,,,,
dx_misc,Clinical data,radio,Enrollment group = MIS-C,"1, Yes | 0, No",,,,,,,
dx_covid,Clinical data,radio,Enrollment group = COVID/No MIS-C,"1, Yes | 0, No",,,,,,,
dx_kd,Clinical data,radio,Enrollment group = KD/No MIS-C,"1, Yes | 0, No",,,,,,,
r_inf_stat,Clinical data,radio,Tested COVID+ at admission,"1, Yes | 0, No",,,,,,,
r_inf_contact6wk,Clinical data,radio,COVID+ contact within 6 weeks of admission,"1, Yes | 0, No",,,,,,,
r_allergies,Clinical data,radio,Allergies,"1, Yes | 0, No",,,,,,,
r_prevkd,Clinical data,radio,Previous history of KD,"1, Yes | 0, No",,,,,,,
r_familykd,Clinical data,radio,History of KD in 1st/2nd relative,"1, Yes | 0, No",,,,,,,
r_familyimm,Clinical data,radio,History of autoimmune disease in 1st/2nd relative,"1, Yes | 0, No",,,,,,,
r_gestwk,Clinical data,radio,Gestational age at birth,"1, Yes | 0, No",,,,,,,
criteria,Clinical data,integer,Number of classic KD criteria,,,,,,,,
cpl_kd,Clinical data,radio,Meet complete KD criteria,"1, Yes | 0, No",,,,,,,
inc_kd,Clinical data,radio,Meet incomplete KD criteria,"1, Yes | 0, No",,,,,,,
ds_hospinf,Clinical data,radio,Infection other than coronavirus at admission,"1, Yes | 0, No",,,,,,,
rds_highesttemp,Clinical data,float,Highest temperature recorded before immunosupression (deg C),,Temperature in C,,,,,C,
