Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,
parent_enroll,basic_data,,radio,Have parents been enrolled?,"0, No, parents declined participation | 1, One parent has been consented | 2, Both parents have been consented",,,,,,[cohort_type] = '10' and [enrolled] = '1',y,
parent_biospecimen,basic_data,,radio,Have parents provided biospecimens?,"0, Neither parent has provided specimens | 1, One parent has provided a specimen | 2, Both parents have provided specimens",,,,,,"[parent_enroll] = '1' or [parent_enroll] = '2' ",y,
zip_code,clinical_data_abstraction,,text,Zip code,,,zipcode,,,y,,y,
insurance,clinical_data_abstraction,,radio,Insurance,"1, Private | 2, Self-pay | 3, US government (e.g. Medicaid) | 4, Unknown",,,,,,,y,
date_dx_mildasx,clinical_data_abstraction,,text,Date of SARS-CoV-2 infection diagnosis,,,date_mdy,,,y,[cohort_type] = '8',,
admission_date,clinical_data_abstraction,,text,Date of admission for acute illness (COVID-19 or MIS-C),,,date_mdy,,,y,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
discharge_date,clinical_data_abstraction,,text,Date of discharge for acute illness (COVID-19 or MIS-C),,,date_mdy,,,y,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
icu_stay,clinical_data_abstraction,,yesno,ICU stay?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
icu_admission,clinical_data_abstraction,,text,Date of ICU admission,,,date_mdy,,,y,[icu_stay]='yes',y,
icu_discharge,clinical_data_abstraction,,text,Date of ICU discharge,,,date_mdy,,,y,[icu_stay]='yes',y,
discharge_location,clinical_data_abstraction,,radio,Disposition,"1, Discharged home | 2, Transferred to other acute care facility | 3, Discharged to rehabilitation | 4, Discharged to chronic care facility | 5, Died",,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
rehab_facility,clinical_data_abstraction,,yesno,Was the patient admitted from a rehabilitation facility?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
chronic_care_facility,clinical_data_abstraction,,yesno,Was the patient admitted from a chronic care facility?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
neuro_function_pre_illness,clinical_data_abstraction,,yesno,"Was the neurologic function normal at baseline (pre-illness)? ",,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
neuro_func_disc,clinical_data_abstraction,,yesno,Was neurologic function at discharge the same as the pre-illness baseline?,,,,,,,([cohort_type] = '9' or [cohort_type] = '10') and [discharge_location] <> '5',y,
reinfection,clinical_data_abstraction,,yesno,Was this person diagnosed with a subsequent SARS-CoV-2 REINFECTION?,,,,,,,,,
reinfection_when,clinical_data_abstraction,,text,When was the subsequent SARS-CoV-2 infection diagnosed?,,,date_mdy,,,y,[reinfection] = '1',,
reinfection_sev,clinical_data_abstraction,,radio,What was the severity or clinical presentation of the subsequent (initial) SARS-CoV-2 infection?,"1, Asymptomatic | 2, Mildly or moderately symptomatic but not requiring hospitalization | 3, Severe COVID-19 requiring hospitalization | 4, MISC requiring hospitalization | 5, Other",,,,,,[reinfection] = '1',,
reinfection_notes,clinical_data_abstraction,,notes,Additional details about reinfection:,,,,,,,[reinfection] = '1',,
vacc_rec,clinical_data_abstraction,,radio,Was the participant vaccinated against Covid?,"1, Yes | 0, No | 2, Unsure",,,,,,,,
vacc_rec_date,clinical_data_abstraction,,text,"Approximately when was the first vaccine given? [Note: If unsure of the exact date but the approximate month is known, may provide the 15th of that month]",,,date_mdy,,,,[vacc_rec] = '1',,
vacc_brand,clinical_data_abstraction,,radio,"What vaccine did the participant get? ","1, Pfizer | 2, Moderna | 3, J&J | 4, Unsure",,,,,,[vacc_rec] = '1',,
vacc_series,clinical_data_abstraction,,radio,Did the participant complete the primary vaccine series?,"1, Yes | 0, No | 2, Unsure",,,,,,[vacc_brand] = '1' or [vacc_brand] = '2',,
booster,clinical_data_abstraction,,radio,"Did the participant get a booster? ","1, Yes | 0, No | 2, Unsure",,,,,,[vacc_rec] = '1',,
booster_date,clinical_data_abstraction,,text,"Approximately when did the participant get the booster? [Note: If unsure of the exact date but the approximate month is known, may provide the 15th of that month]",,,date_mdy,,,,[booster] = '1',,
booster_brand,clinical_data_abstraction,,radio,"What vaccine booster did the participant get? ","1, Pfizer | 2, Moderna | 3, J&J | 4, Unsure",,,,,,[booster] = '1',,
sec_booster,clinical_data_abstraction,,radio,Did the participant get a second booster?,"1, Yes | 0, No | 2, Unsure",,,,,,[booster] = '1',,
sec_booster_date,clinical_data_abstraction,,text,"Approximately when did the participant get the booster? [Note: If unsure of the exact date but the approximate month is known, may provide the 15th of that month]",,,date_mdy,,,,[sec_booster] = '1',,
sec_booster_brand,clinical_data_abstraction,,radio,What vaccine did the participant get?,"1, Pfizer | 2, Moderna | 3, J&J | 4, Unsure",,,,,,[sec_booster] = '1',,
gen_med_questions,clinical_data_abstraction,Baseline Health at Time of Diagnosis,descriptive,General medical questions:,,,,,,,,,
prescription_meds,clinical_data_abstraction,,checkbox,Prescription meds prior to diagnosis:,"1, Diuretics | 2, Beta-agonist bronchodilators | 3, Inhaled steroids | 4, Systemic glucocorticoids in the last 3 months (i.e. oral or IV) | 5, Statins | 6, Immunosuppressive drugs | 7, Chemotherapeutic agents | 8, None of the above",,,,,,,y,
steroid_when,clinical_data_abstraction,,radio,When were systemic glucocorticoids last taken prior to diagnosis?,"1, 1-7 days before diagnosis | 2, 8-30 days before diagnosis | 3, 31-90 days before diagnosis",,,,,,[prescription_meds(4)] = '1',,
immunosuppressive_drugs,clinical_data_abstraction,,checkbox,Please specify which immunosuppressive drug(s).,"1, Cyclosporine, tacrolimus | 2, Abatacept, belatacept | 3, Anti-CD20 drugs (e.g. rituximab) | 4, Eculizumab | 5, IL-2 receptor antagonists (e.g. basiliximab) | 6, Anti-TNF-α drugs (e.g. infliximab, adalimumab, etanercept) | 7, IL-1 inhibitors (e.g. anakinra) | 8, IL-6 inhibitors (e.g. tocilizumab) | 9, IL-17 inhibitors (e.g. secukinumab) | 10, Pan-lymphocyte depleting agents (e.g. alemtuzumab) | 11, Anti-proliferative agents (e.g. sirolimus, everolimus) | 12, Glucocorticoids as part of the regimen | 13, Antimetabolites (e.g. azathioprine, mycophenylate, leflunomide) | 14, Other",,,,,,[prescription_meds(6)] = '1',y,
immunosup_drugs,clinical_data_abstraction,,notes,Please specify which other immunosuppressive drug(s).,,,,,,,[immunosuppressive_drugs(14)] = '1',y,
chemo_agents,clinical_data_abstraction,,notes,Please specify which chemotherapeutic agents.,,,,,,,[prescription_meds(7)] = '1',y,
mech_med_support,clinical_data_abstraction,,descriptive,"Check if any of the following forms of mechanical medical support were needed at baseline (before COVID-19/MISC diagnosis) or at time of hospital discharge (if relevant) ",,Check all that apply,,,,,,,
feed_tube,clinical_data_abstraction,,checkbox,Chronic gastrostomy or other feeding tube use,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
tracheostomy,clinical_data_abstraction,,checkbox,Tracheostomy,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
mech_ventil,clinical_data_abstraction,,checkbox,Invasive or non-invasive mechanical ventilator support,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
chronic_oxgn,clinical_data_abstraction,,checkbox,Chronic oxygen need,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
dialysis,clinical_data_abstraction,,checkbox,Dialysis,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
cardiac_assist,clinical_data_abstraction,,checkbox,Cardiac assist device,"0, Not present at baseline or discharge | 1, Present at baseline (prior to diagnosis) | 2, Present at discharge",,,,,,,y,devices
device_check,clinical_data_abstraction,,descriptive,"<div style=""background-color:#FFCCCC;padding:10px"">You checked both not present and present. Please confirm status of device use at baseline and discharge.</div>",,,,,,,"([feed_tube(0)] = '1' and [feed_tube(1)] = '1') or ([feed_tube(0)] = '1' and [feed_tube(2)] = '1') or ([tracheostomy(0)] = '1' and [tracheostomy(1)] = '1') or ([tracheostomy(0)] = '1' and [tracheostomy(2)] = '1') or  ([mech_ventil(0)] = '1' and [mech_ventil(1)] = '1') or ([mech_ventil(0)] = '1' and [mech_ventil(2)] = '1') or  ([chronic_oxgn(0)] = '1' and [chronic_oxgn(1)] = '1') or ([chronic_oxgn(0)] = '1' and [chronic_oxgn(2)] = '1') or  ([dialysis(0)] = '1' and [dialysis(1)] = '1') or ([dialysis(0)] = '1' and [dialysis(2)] = '1') or  ([cardiac_assist(0)] = '1' and [cardiac_assist(1)] = '1') or ([cardiac_assist(0)] = '1' and [cardiac_assist(2)] = '1') ",,
vent_support,clinical_data_abstraction,,checkbox,Invasive or non-invasive mechanical ventilator support,"1, For primary lung failure | 2, For sleep apnea",,,,,,[mech_ventil(1)] = '1' or [mech_ventil(2)] = '1',,
cardiac_assist_device,clinical_data_abstraction,,checkbox,Which cardiac assist device?,"1, Pacemaker | 2, Ventricular assist device | 3, Other",,,,,,[cardiac_assist(1)] = '1' or [cardiac_assist(2)] = '1',,
cardiac_assist_device_oth,clinical_data_abstraction,,text,Which other cardiac assist device?,,,,,,,[cardiac_assist_device(3)] = '1',,
system_based_q,clinical_data_abstraction,,descriptive,System based questions:,,,,,,,,,
underlying_resp_disorder,clinical_data_abstraction,"Respiratory system disorders include:
-	Asthma
- Chronic restrictive lung disease 
-	Tracheomalacia / Bronchomalacia
-	Bronchopulmonary dysplasia
-	Cystic fibrosis
-	Obstructive sleep apnea
-	Recurrent aspiration into lungs
-	Pulmonary hypertension
-	Other
",yesno,Pre-existing respiratory system disorder?,,,,,,,,y,
resp_disorder_which,clinical_data_abstraction,,checkbox,Which pre-existing respiratory system disorder(s)?,"1, Asthma | 2, Chronic restrictive lung disease  | 3, Tracheomalacia / Bronchomalacia | 4, Bronchopulmonary dysplasia | 5, Cystic fibrosis | 6, Obstructive sleep apnea | 7, Recurrent aspiration into lungs | 8, Pulmonary hypertension | 9, Other chronic lung disease",Check all that apply,,,,,[underlying_resp_disorder] = '1',y,
asthma_hosp,clinical_data_abstraction,,yesno,Prior hospitalization for asthma?,,,,,,,[resp_disorder_which(1)] = '1',y,
asthma_hosp_within_year,clinical_data_abstraction,,yesno,Was the hospitalization within the last year?,,,,,,,[asthma_hosp] =1,y,
bronchodilators,clinical_data_abstraction,,radio,On bronchodilators for asthma?,"1, Routine/scheduled | 2, PRN only | 3, No",,,,,,[resp_disorder_which(1)] = '1',y,
asthma_steroids,clinical_data_abstraction,,radio,"On inhaled steroids for asthma? ","1, Routine/scheduled | 2, PRN only | 3, No",,,,,,[resp_disorder_which(1)] = '1',y,
lung_dz_desc,clinical_data_abstraction,,text,What other chronic lung disease(s)?,,,,,,,[resp_disorder_which(9)] = '1',y,
cv_disorder,clinical_data_abstraction,"Cardiovascular system disorders include:
- Congenital heart disease
- Acquired heart disease
- Cardiac repair (surgery or interventional catheterization)
- Systemic hypertension
- Other",yesno,Pre-existing disorder of the cardiovascular system?,,,,,,,,y,
cv_disorder_which,clinical_data_abstraction,,checkbox,Which pre-existing disorder(s) of the cardiovascular system?,"1, Congenital heart disease | 2, Rheumatic heart disease | 3, Coronary artery dilatation from Kawasaki disease | 4, Prior myocarditis | 5, Prior cardiac repair (surgery or interventional catheterization) | 6, Systemic hypertension (not pulmonary) | 7, Other cardiovascular disorder (specify below)",Check all that apply,,,,,[cv_disorder] = '1',y,
specific_cardio_dz,clinical_data_abstraction,,text,What other cardiovascular disorder(s)?,,,,,,,[cv_disorder_which(7)] ='1',y,
neurologic_disorder,clinical_data_abstraction,"Neurologic and neuromuscular disorders include:
- Muscular dystrophy
- Static encephalopathy
- Spastic quadriplegia (e.g. cerebral palsy)
- Seizure disorder (excluding simple febrile seizures)
- Neuromuscular weakness
- Other",yesno,Pre-existing neurologic and/or neuromuscular disorder?,,,,,,,,y,
neurologic_disorder_which,clinical_data_abstraction,,checkbox,Which pre-existing neurologic and/or neuromuscular disorder(s)?,"1, Muscular dystrophy | 2, Static encephalopathy | 3, Cerebral palsy (e.g., spastic quadriplegia) | 4, Seizure disorder / epilepsy (not including simple febrile seizures) | 5, Neuromuscular disorder | 6, Other neurologic or muscular disorder",Check all that apply,,,,,[neurologic_disorder]='1',y,
specific_neuro_disorder,clinical_data_abstraction,,text,What other neurologic or muscular disorder(s)?,,,,,,,[neurologic_disorder_which(6)]='1',y,
renal_disorder,clinical_data_abstraction,"Renal disorders include:
- Chronic kidney disease
- Receiving hemodialysis or peritoneal dialysis
- Other",yesno,Pre-existing renal disorder?,,,,,,,,y,
renal_disorder_which,clinical_data_abstraction,,checkbox,Which renal disorder(s)?,"1, Chronic kidney disease | 2, Other renal disorder",Check all that apply,,,,,[renal_disorder] ='1',y,
specific_renal_disorder,clinical_data_abstraction,,text,What other renal disorder(s)?,,,,,,,[renal_disorder_which(2)] = '1',y,
gastro_hep_disorder,clinical_data_abstraction,"Gastrointestinal and hepatic disorders include:
- Chronic liver disease
- Gastroesophageal reflux (GERD)
- Inflammatory bowel disease (IBD)
- Celiac disease
- Peptic ulcer disease 
- Other",yesno,Pre-existing gastrointestinal or hepatic disorder?,,,,,,,,y,
gastro_hep_disorder_which,clinical_data_abstraction,,checkbox,Which gastrointestinal or hepatic disorder(s)?,"2, Gastroesophageal reflux | 5, Peptic ulcer disease | 3, Inflammatory bowel disease | 4, Celiac disease | 1, Chronic liver disease | 6, Other underlying gastrointestinal / hepatic disorder(s) (specify)",Check all that apply,,,,,[gastro_hep_disorder]='1',y,
specific_gastro_hep_disorder,clinical_data_abstraction,,text,What other gastrointestinal or hepatic disorder(s)?,,,,,,,[gastro_hep_disorder_which(6)]='1',y,
endo_disorder,clinical_data_abstraction,"Endocrine disorders include:
- Diabetes mellitus
- Adrenal insufficiency
- Hypothyroidism
- Other",yesno,Pre-existing endocrine disorder?,,,,,,,,y,
endo_disorder_which,clinical_data_abstraction,,checkbox,Which endocrine disorder(s)?,"1, Type 1 diabetes mellitus | 2, Type 2 diabetes mellitus | 3, Adrenal insufficiency | 4, Hypothyroidism | 5, Other endocrine disorder(s) (specify)",Check all that apply,,,,,[endo_disorder]='1',y,
insulin_dependent,clinical_data_abstraction,,yesno,Insulin dependent?,,,,,,,[endo_disorder_which(2)]='1',,
specific_endo_disorder,clinical_data_abstraction,,text,What other endocrine disorder(s)?,,,,,,,[endo_disorder_which(5)]='1',y,
met_genetic_disorder,clinical_data_abstraction,"Metabolic or genetic disorders include:
- Morbid obesity
- Trisomy 21
- Mitochondrial disorder
- Fatty acid oxidation defect
- Other",yesno,Pre-existing metabolic or genetic disorder?,,,,,,,,y,
met_genetic_disorder_which,clinical_data_abstraction,,checkbox,Which metabolic or genetic disorder(s)?,"1, Morbid obesity | 2, Trisomy 21 | 3, Mitochondrial disorder | 4, Fatty acid oxidation defect | 5, Other underlying metabolic or genetic disorder (specify)",Check all that apply,,,,,[met_genetic_disorder]='1',y,
specific_genetic_disorder,clinical_data_abstraction,,text,What other metabolic or genetic disorder(s)?,,,,,,,[met_genetic_disorder_which(5)]='1',y,
rheum_disorder,clinical_data_abstraction,"Rheumatologic or autoimmune disorders include:
- Systemic lupus erythematosus
- Chronic arthritis (such as rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis/spondyloarthritis)
- Psoriasis
- Scleroderma
- Vasculitis
- History of Kawasaki Disease (prior to this illness)
- Other
",yesno,Pre-existing rheumatologic or autoimmune disorder?,,,,,,,,y,
rheum_disorder_which,clinical_data_abstraction,,checkbox,Which rheumatologic or autoimmune disorder(s)?,"1, Systemic lupus erythematosus | 2, Chronic inflammatory arthritis (such as rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis/spondyloarthritis) | 3, Psoriasis | 4, Scleroderma | 6, Prior Kawasaki Disease | 5, Other vasculitis (specify) | 7, Other underlying rheumatolog/autoimmune disorder (specify)",Check all that apply,,,,,[rheum_disorder]='1',y,
specific_rheum_disorder,clinical_data_abstraction,,text,What other rheumatologic or autoimmune disorder(s)?,,,,,,,[rheum_disorder_which(5)]='1' or [rheum_disorder_which(7)]='1',y,
hem_disorder,clinical_data_abstraction,"Hematologic disorders include:
- Congenital bleeding disorder (e.g. hemophilia, von Willebrand)
- Hemoglobinopathy (e.g. sickle cell anemia or thalassemia)
- Bone marrow failure (pre-transplant)
- Chronic thrombocytopenia
- History of deep venous thrombosis or thrombotic disorder
- Other",yesno,Pre-existing hematologic disorder?,,,,,,,,y,
hem_disorder_which,clinical_data_abstraction,,checkbox,Which hematologic disorder(s)?,"1, Congenital bleeding disorder (e.g., hemophilia, von Willebrand) (specify) | 2, Hemoglobinopathy (e.g., sickle cell anemia or thalassemia) (specify) | 3, Bone marrow failure (no prior transplant) | 4, Chronic thrombocytopenia | 5, Prior deep venous thrombosis or thrombotic disorder | 6, Other underlying hematologic disorder (specify)",Check all that apply,,,,,[hem_disorder]='1',y,
specific_hem_disorder,clinical_data_abstraction,,text,What other hematologic disorder?,,,,,,,[hem_disorder_which(1)]='1' or [hem_disorder_which(2)]='1' or [hem_disorder_which(6)]='1',y,
non_onco_immunosup_disorder,clinical_data_abstraction,"Non-oncologic immunosuppression disorders include:
- Solid organ transplant
- HIV or AIDS
- Primary immunodeficiency
- Bone marrow transplant for non-oncologic disease
- Other disorder requiring treatment that suppresses immune system",yesno,Pre-existing non-oncologic immunosuppressive disorder?,,,,,,,,y,
non_onco_immsup_dis_which,clinical_data_abstraction,,checkbox,Which non-oncologic immunosuppressive disorder(s)?,"1, Solid organ transplant | 2, HIV positive | 3, AIDS | 4, Primary immunodeficiency | 5, Bone marrow transplant for non-oncologic disease | 6, Other disorder (not previously mentioned) requiring treatment that suppresses the immune system?",Check all that apply,,,,,[non_onco_immunosup_disorder]='1',y,
transplant_type1,clinical_data_abstraction,,text,What type of solid organ transplant?,,,,,,,[non_onco_immsup_dis_which(1)]='1',y,
time_since_transplant,clinical_data_abstraction,,radio,Time since transplant,"1, < 6 months | 2, >= 6 months",,,,,,[organ_transplant]='1',y,
