Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier? ,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number,Matrix Group Name,CDE Reference,the files are transposed for uploading
pregnancy_status,medical history,,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,,[sex] = '2',Y,,,,,
cough,symptoms,Symptoms,radio,Cough,"1, Yes | 0, No",,,,,,,Y,,,,,
fever,symptoms,,radio,Fever,"1, Yes | 0, No",,,,,,,Y,,,,,
shortness_of_breath_or_dif,symptoms,,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,Y,,,,,
headache,symptoms,,radio,Headache,"1, Yes | 0, No",,,,,,,Y,,,,,
muscle_ache,symptoms,,radio,Muscle ache,"1, Yes | 0, No",,,,,,,Y,,,,,
new_loss_of_taste_or_smell,symptoms,,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,Y,,,,,
chills,symptoms,,radio,Chills,"1, Yes | 0, No",,,,,,,Y,,,,,
excessive_fatigue,symptoms,,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,Y,,,,,
nausea_vomiting,symptoms,,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,Y,,,,,
diarrhea,symptoms,,radio,Diarrhea,"1, Yes | 0, No",,,,,,,Y,,,,,
abdominal_pain,symptoms,,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,Y,,,,,
skin_rash,symptoms,,radio,Skin rash,"1, Yes | 0, No",,,,,,,Y,,,,,
conjunctivitis,symptoms,,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,Y,,,,,
height_feet,health status,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,Y,,,,,
height_inches,health status,,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,Y,,,,,
weight_lbs,health status,,text,What is your weight?,,Weight in pounds,number,,,,,Y,,,,,
health_status,health status,,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,Y,,,,,
Participant REDCap ID,,,,,,,,,,,,,,,,,
shifting_days_for_date,,,,,,,,,,,,,,,,,
shifting_years_for_age,,,,,,,,,,,,,,,,,
shifting_dates,,,date,,,,,,,,,,,,,,
Date of First Sample Collection,,,date,,,,,,,,,,,,,,
Type of samples collected (choice=Whole blood),,,checkbox,,,,,,,,,,,,,,
Type of samples collected (choice=Plasma),,,checkbox,,,,,,,,,,,,,,
Type of Sample Collection (choice=Prospective),,,checkbox,,,,,,,,,,,,,,
Type of Sample Collection (choice=Retrospective),,,checkbox,,,,,,,,,,,,,,
Diagnoses (choice=COVID-19),,,checkbox,,,,,,,,,,,,,,
"Diagnoses (choice=MIS-C (for MIS-C, also check COVID-19))",,,checkbox,,,,,,,,,,,,,,
Diagnoses (choice=Kawasaki Disease),,,checkbox,,,,,,,,,,,,,,
Diagnoses (choice=Healthy control),,,checkbox,,,,,,,,,,,,,,
"Diagnoses (choice=Negative control (immunocompromised, underlying conditions))",,,checkbox,,,,,,,,,,,,,,
Diagnoses (choice=Inflammatory control (respiratory virus or bacterial infection)),,,checkbox,,,,,,,,,,,,,,
Inflammatory Control comment,,,notes,,,,,,,,,,,,,,
Negative Control comment,,,notes,,,,,,,,,,,,,,
Date of COVID diagnosis,,,date,,,,,,,,,,,,,,
COVID-19 Severity (old classification score),,,radio,,,,,,,,,,,,,,
COVID-19 Severity (on date of sample collected (+ or - 1 day)),,,radio,,,,,,,,,,,,,,
COVID-19 Severity (highest severity throughout entire hospitalization),,,radio,,,,,,,,,,,,,,
COVID-19 World Health Organization (WHO) Severity Score,,,radio,,,,,,,,,,,,,,
COVID-19 diagnosis notes,,,notes,,,,,,,,,,,,,,
SARS CoV-2 Molecular Test?,,,radio,,,,,,,,,,,,,,
Type of Molecular Test (choice=Antigen),,,checkbox,,,,,,,,,,,,,,
Type of Molecular Test (choice=PCR),,,checkbox,,,,,,,,,,,,,,
Type of Molecular Test (choice=IDnow),,,checkbox,,,,,,,,,,,,,,
Type of Molecular Test (choice=Other),,,checkbox,,,,,,,,,,,,,,
How many instruments were used to run SARS CoV-2 test(s)?,,,dropdown,,,,,,,,,,,,,,
Instrument 1,,,text,,,,,,,,,,,,,,
Instrument 2,,,text,,,,,,,,,,,,,,
Instrument 3,,,text,,,,,,,,,,,,,,
Instrument 4,,,text,,,,,,,,,,,,,,
How many antigen tests?,,,dropdown,,,,,,,,,,,,,,
Date of Antigen Test #1,,,date,,,,,,,,,,,,,,
Result of Antigen Test #1,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
Date of Antigen Test #2,,,date,,,,,,,,,,,,,,
Result of Antigen Test #2,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
Date of Antigen Test #3,,,date,,,,,,,,,,,,,,
Result of Antigen Test #3,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification ,,,text,,,,,,,,,,,,,,
Date of Antigen Test #4,,,text,,,,,,,,,,,,,,
Result of Antigen Test #4,,,text,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
How many PCR tests?,,,text,,,,,,,,,,,,,,
Date of PCR Test #1,,,date,,,,,,,,,,,,,,
Result of PCR Test #1,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
Date of PCR Test #2,,,date,,,,,,,,,,,,,,
Result of PCR Test #2,,,text,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Variant Identification,,,text,,,,,,,,,,,,,,
Date of PCR Test #3,,,date,,,,,,,,,,,,,,
Result of PCR Test #3,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
How many IDnow tests?,,,dropdown,,,,,,,,,,,,,,
Date of IDnow Test #1,,,date,,,,,,,,,,,,,,
Result of IDnow Test #1,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
Date of IDnow Test #2,,,text,,,,,,,,,,,,,,
Result of IDnow Test #2,,,radio,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
Date of IDnow Test #3,,,text,,,,,,,,,,,,,,
Result of IDnow Test #3,,,text,,,,,,,,,,,,,,
Viral Load or Cycle Threshold,,,text,,,,,,,,,,,,,,
Varient Identification,,,text,,,,,,,,,,,,,,
How many other tests?,,,text,,,,,,,,,,,,,,
Other SARS CoV-2 Test 1,,,dropdown,,,,,,,,,,,,,,
Date of Other SARS CoV-2 Test 1,,,date,,,,,,,,,,,,,,
Result of Other SARS CoV-2 Test 1 ,,,radio,,,,,,,,,,,,,,
Other SARS CoV-2 Test 2,,,text,,,,,,,,,,,,,,
Date of Other SARS CoV-2 Test 2,,,date,,,,,,,,,,,,,,
Result of Other SARS CoV-2 Test 2,,,radio,,,,,,,,,,,,,,
Other SARS CoV-2 Test 3,,,text,,,,,,,,,,,,,,
Date of Other SARS CoV-2 Test 3,,,date,,,,,,,,,,,,,,
Result of Other SARS CoV-2 Test 3,,,radio,,,,,,,,,,,,,,
Date of MIS-C diagnosis,,,date,,,,,,,,,,,,,,
Confirmation of MIS-C diagnosis (choice=PCR positive),,,checkbox,,,,,,,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Antibody positive),,,checkbox,,,,,,,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Direct contact with COVID+ person),,,checkbox,,,,,,,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Other),,,checkbox,,,,,,,,,,,,,,
Confirmation of MIS-C diagnosis (choice=None of the above),,,checkbox,,,,,,,,,,,,,,
Other,,,notes,,,,,,,,,,,,,,
MIS-C Severity (old classification scores),,,radio,,,,,,,,,,,,,,
MIS-C Severity (on date of sample collected (+ or - 1 day)),,,radio,,,,,,,,,,,,,,
MIS-C Severity (highest severity throughout entire hospitalization),,,radio,,,,,,,,,,,,,,
MIS-C diagnosis comment,,,notes,,,,,,,,,,,,,,
Date of Kawasaki Disease diagnosis,,,date,,,,,,,,,,,,,,
Type of Kawasaki Disease,,,radio,,,,,,,,,,,,,,
KD Severity (on date of sample collected (+ or - 1 day)),,,radio,,,,,,,,,,,,,,
KD Severity (highest severity throughout entire hospitalization),,,radio,,,,,,,,,,,,,,
Kawasaki Disease diagnosis comments,,,notes,,,,,,,,,,,,,,
Control comments,,,notes,,,,,,,,,,,,,,
Alternative diagnosis identified?,,,radio,,,,,,,,,,,,,,
What is the alternative diagnosis?,,,text,,,,,,,,,,,,,,
SARS CoV-2 Antibody Test?,,,radio,,,,,,,,,,,,,,
Type of Antibody Test (choice=Spike),,,checkbox,,,,,,,,,,,,,,
Type of Antibody Test (choice=Nucleocapsid),,,checkbox,,,,,,,,,,,,,,
Type of Antibody Test (choice=Other),,,checkbox,,,,,,,,,,,,,,
How many spike antibody tests?,,,dropdown,,,,,,,,,,,,,,
Date of Spike Antibody Test #1,,,date,,,,,,,,,,,,,,
Result of Spike Antibody Test #1,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Date of Spike Antibody Test #2,,,date,,,,,,,,,,,,,,
Result of Spike Antibody Test #2,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Date of Spike Antibody Test #3,,,date,,,,,,,,,,,,,,
Result of Spike Antibody Test #3,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
How many nucleocapsid antibody tests ?,,,dropdown,,,,,,,,,,,,,,
Date of Nucleocapsid Antibody Test #1,,,date,,,,,,,,,,,,,,
Result of Nucleocapsid Antibody Test #1,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Date of Nucleocapsid Antibody Test #2,,,date,,,,,,,,,,,,,,
Result of Nucleocapsid Antibody Test #2,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Date of Nucleocapsid Antibody Test #3,,,date,,,,,,,,,,,,,,
Result of Nucleocapsid Antibody Test #3,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
How many other tests were run? ,,,dropdown,,,,,,,,,,,,,,
Name of Other Antibody Test #1,,,text,,,,,,,,,,,,,,
Date of Other Antibody Test #1,,,date,,,,,,,,,,,,,,
Result of Other Antibody Test #1,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Name of Other Antibody Test #2,,,text,,,,,,,,,,,,,,
Date of Other Antibody Test #2,,,date,,,,,,,,,,,,,,
Result of Other Antibody Test #2,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
What other type of labs were run? (choice=RBD ELISA),,,checkbox,,,,,,,,,,,,,,
What other type of labs were run? (choice=Neutralizing Antibodies),,,checkbox,,,,,,,,,,,,,,
What other type of labs were run? (choice=Pseudovirus Neutralizing Antibodies),,,checkbox,,,,,,,,,,,,,,
What other type of labs were run? (choice=ADCC),,,checkbox,,,,,,,,,,,,,,
What other type of labs were run? (choice=Other),,,checkbox,,,,,,,,,,,,,,
What other type of labs were run? (choice=None),,,checkbox,,,,,,,,,,,,,,
What was the date of the RBD ELISA?,,,date,,,,,,,,,,,,,,
What was the date of the neutralizing antibodies?,,,date,,,,,,,,,,,,,,
What was the date of the pseudovirus neutralizing antibodies?,,,date,,,,,,,,,,,,,,
What was the date of the ADCC?,,,date,,,,,,,,,,,,,,
How many other labs were run?,,,dropdown,,,,,,,,,,,,,,
Other lab #1,,,text,,,,,,,,,,,,,,
Other lab #1 date,,,date,,,,,,,,,,,,,,
Other lab #2,,,text,,,,,,,,,,,,,,
Other lab #2 date,,,date,,,,,,,,,,,,,,
Other lab #3,,,text,,,,,,,,,,,,,,
Other lab #3 date,,,date,,,,,,,,,,,,,,
Received the COVID-19 vaccine?,,,radio,,,,,,,,,,,,,,
Vaccine Type (choice=Pfizer-BioNTech),,,checkbox,,,,,,,,,,,,,,
Vaccine Type (choice=Moderna),,,checkbox,,,,,,,,,,,,,,
Vaccine Type (choice=Johnson & Johnson / Janssen),,,checkbox,,,,,,,,,,,,,,
Vaccine Type (choice=other),,,checkbox,,,,,,,,,,,,,,
How many Pfizer doses received?,,,dropdown,,,,,,,,,,,,,,
Date of First Pfizer Vaccine,,,date,,,,,,,,,,,,,,
Date of Second Pfizer Vaccine,,,date,,,,,,,,,,,,,,
Date of Third Pfizer Vaccine,,,date,,,,,,,,,,,,,,
Date of Fourth Pfizer Vaccine,,,date,,,,,,,,,,,,,,
How many Moderna doses received?,,,dropdown,,,,,,,,,,,,,,
Date of First Moderna Vaccine,,,date,,,,,,,,,,,,,,
Date of Second Moderna Vaccine,,,date,,,,,,,,,,,,,,
Date of Third Moderna Vaccine,,,date,,,,,,,,,,,,,,
Date of Fourth Moderna Vaccine,,,date,,,,,,,,,,,,,,
How many J&J doses received?,,,dropdown,,,,,,,,,,,,,,
Date of First J&J Vaccine,,,date,,,,,,,,,,,,,,
Date of Second J&J Vaccine,,,date,,,,,,,,,,,,,,
Date of Third J&J Vaccine,,,date,,,,,,,,,,,,,,
Other Vaccine Type,,,text,,,,,,,,,,,,,,
How many other vaccine doses received?,,,dropdown,,,,,,,,,,,,,,
Date of First Other Vaccine ,,,date,,,,,,,,,,,,,,
Date of Second Other Vaccine,,,date,,,,,,,,,,,,,,
Date of Third Other Vaccine ,,,date,,,,,,,,,,,,,,
Symptoms associated with:,,,radio,,,,,,,,,,,,,,
Other ,,,text,,,,,,,,,,,,,,
Date of Symptom Onset,,,date,,,,,,,,,,,,,,
Mucous membrane changes (only in acute phase of infection before respiratory intubation),,,radio,,,,,,,,,,,,,,
Check all that apply: (choice=Conjunctival injection),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Lip erythema),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Lip cracking),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Pharyngeal or tonsillar erythema),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Tongue erythema),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Mucositis),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Unknown),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Other),,,checkbox,,,,,,,,,,,,,,
Other mucous membrane changes,,,text,,,,,,,,,,,,,,
Peripheral extremity changes,,,radio,,,,,,,,,,,,,,
Check all that apply: (choice=Swelling),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Erythema),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Other),,,checkbox,,,,,,,,,,,,,,
Other peripheral extremity changes,,,text,,,,,,,,,,,,,,
Rash,,,radio,,,,,,,,,,,,,,
Check all that apply: (choice=Macular),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Maculopapular),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Other),,,checkbox,,,,,,,,,,,,,,
Check all that apply: (choice=Unsure),,,checkbox,,,,,,,,,,,,,,
Other rash type,,,text,,,,,,,,,,,,,,
Distribution of rash?,,,text,,,,,,,,,,,,,,
Sore throat,,,radio,,,,,,,,,,,,,,
Rhinorrhea/congestion,,,radio,,,,,,,,,,,,,,
Arthralgias (joint pain),,,radio,,,,,,,,,,,,,,
Loss of smell or taste,,,radio,,,,,,,,,,,,,,
Chest pain,,,radio,,,,,,,,,,,,,,
Other,,,radio,,,,,,,,,,,,,,
Other symptoms,,,notes,,,,,,,,,,,,,,
Respiratory conditions (choice=Asthma),,,checkbox,,,,,,,,,,,,,,
Respiratory conditions (choice=Chronic Lung Disease / BPD),,,checkbox,,,,,,,,,,,,,,
Respiratory conditions (choice=Other),,,checkbox,,,,,,,,,,,,,,
Respiratory conditions (choice=None),,,checkbox,,,,,,,,,,,,,,
Underlying condition?,,,radio,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Hematologic),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Oncologic),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Cardiac),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Diabetes),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Obesity),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Neurologic),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Prematurity),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Transplant),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Immunosuppressed),,,checkbox,,,,,,,,,,,,,,
Underlying conditions (check all that apply) (choice=Other),,,checkbox,,,,,,,,,,,,,,
Other underlying condition,,,text,,,,,,,,,,,,,,
How many other respiratory conditions?,,,dropdown,,,,,,,,,,,,,,
Respiratory condition #1,,,text,,,,,,,,,,,,,,
Respiratory condition #2,,,text,,,,,,,,,,,,,,
Respiratory condition #3,,,text,,,,,,,,,,,,,,
Cardiovascular conditions (choice=Congenital heart disease),,,checkbox,,,,,,,,,,,,,,
Cardiovascular conditions (choice=Other),,,checkbox,,,,,,,,,,,,,,
Cardiovascular conditions (choice=None),,,checkbox,,,,,,,,,,,,,,
How many other cardiovascular conditions?,,,checkbox,,,,,,,,,,,,,,
Cardiac condition #1,,,text,,,,,,,,,,,,,,
Cardiac condition #2,,,text,,,,,,,,,,,,,,
Cardiac condition #3,,,text,,,,,,,,,,,,,,
Immunocompromised conditions (choice=Malignancy),,,checkbox,,,,,,,,,,,,,,
Immunocompromised conditions (choice=Solid Organ Transplant),,,checkbox,,,,,,,,,,,,,,
Immunocompromised conditions (choice=BMT),,,checkbox,,,,,,,,,,,,,,
Immunocompromised conditions (choice=HIV),,,checkbox,,,,,,,,,,,,,,
Immunocompromised conditions (choice=Other),,,checkbox,,,,,,,,,,,,,,
Immunocompromised conditions (choice=None),,,checkbox,,,,,,,,,,,,,,
How many other immuno conditions?,,,dropdown,,,,,,,,,,,,,,
Other immuno #1,,,text,,,,,,,,,,,,,,
Other immuno #2,,,text,,,,,,,,,,,,,,
Other immuno #3,,,text,,,,,,,,,,,,,,
Obesity,,,radio,,,,,,,,,,,,,,
Other past medical history,,,radio,,,,,,,,,,,,,,
How many past medical histories?,,,dropdown,,,,,,,,,,,,,,
Past Medical History #1,,,text,,,,,,,,,,,,,,
Past Medical History #2,,,text,,,,,,,,,,,,,,
Past Medical History #3,,,text,,,,,,,,,,,,,,
Past Medical History #4,,,text,,,,,,,,,,,,,,
Past Medical History #5,,,text,,,,,,,,,,,,,,
Past Medical History #6,,,text,,,,,,,,,,,,,,
Lab Type,,,radio,,,,,,,,,,,,,,
Date of labs,,,date,,,,,,,,,,,,,,
Lab location,,,radio,,,,,,,,,,,,,,
Other (specify),,,text,,,,,,,,,,,,,,
White Blood Cell Count (WBC),,,text,,,,,,,,,,,,,,
Units,,,dropdown,,,,,,,,,,,,,,
Date of WBC,,,date,,,,,,,,,,,,,,
Hemoglobin,,,text,,,,,,,,,,,,,,
Units19,,,dropdown,,,,,,,,,,,,,,
Date of Hgb,,,date,,,,,,,,,,,,,,
Hematocrit ,,,text,,,,,,,,,,,,,,
Date of Hct,,,date,,,,,,,,,,,,,,
Units21,,,dropdown,,,,,,,,,,,,,,
Date of RBC,,,date,,,,,,,,,,,,,,
Red Blood Cell Count (RBCs),,,text,,,,,,,,,,,,,,
units33,,,dropdown,,,,,,,,,,,,,,
Platelet count ,,,text,,,,,,,,,,,,,,
Date of Plt,,,date,,,,,,,,,,,,,,
Units2,,,dropdown,,,,,,,,,,,,,,
Red Cell Distribution Width (RDW),,,text,,,,,,,,,,,,,,
Date of RDW,,,date,,,,,,,,,,,,,,
Units20,,,dropdown,,,,,,,,,,,,,,
Mean Corpuscular Volume (MCV),,,text,,,,,,,,,,,,,,
Units23,,,dropdown,,,,,,,,,,,,,,
Date of MCV,,,date,,,,,,,,,,,,,,
MCH (Mean Corpuscular Hemoglobin),,,text,,,,,,,,,,,,,,
Units31,,,dropdown,,,,,,,,,,,,,,
Date of MCH,,,date,,,,,,,,,,,,,,
MCHC (Mean Corpuscular Hemoglobin Concentration),,,text,,,,,,,,,,,,,,
Units32,,,dropdown,,,,,,,,,,,,,,
Date of MCHC,,,date,,,,,,,,,,,,,,
Absolute Neutrophil Count (ANC),,,text,,,,,,,,,,,,,,
units3,,,dropdown,,,,,,,,,,,,,,
Date of ANC,,,date,,,,,,,,,,,,,,
Absolute Lymphocyte Count,,,text,,,,,,,,,,,,,,
units4,,,dropdown,,,,,,,,,,,,,,
Date of Abs Lymphocyte,,,date,,,,,,,,,,,,,,
Absolute Monocyte Count,,,text,,,,,,,,,,,,,,
Units24,,,dropdown,,,,,,,,,,,,,,
Date of Abs Monocyte,,,date,,,,,,,,,,,,,,
Absolute Eosinophil Count,,,text,,,,,,,,,,,,,,
Units26,,,dropdown,,,,,,,,,,,,,,
Date of Abs Eosinophil,,,date,,,,,,,,,,,,,,
Absolute Basophil Count,,,text,,,,,,,,,,,,,,
Units25,,,dropdown,,,,,,,,,,,,,,
Date of Abs basophil,,,date,,,,,,,,,,,,,,
"Immature Granulocytes, Left Shift",,,text,,,,,,,,,,,,,,
Date of Imm granulocytes,,,date,,,,,,,,,,,,,,
Units34,,,dropdown,,,,,,,,,,,,,,
PT,,,text,,,,,,,,,,,,,,
Date of PT,,,date,,,,,,,,,,,,,,
Units41,,,dropdown,,,,,,,,,,,,,,
INR ,,,text,,,,,,,,,,,,,,
Date of INR,,,date,,,,,,,,,,,,,,
Units42,,,dropdown,,,,,,,,,,,,,,
Date of PTT,,,date,,,,,,,,,,,,,,
units40,,,dropdown,,,,,,,,,,,,,,
PTT,,,text,,,,,,,,,,,,,,
Date of Fibrinogen,,,date,,,,,,,,,,,,,,
Units43,,,dropdown,,,,,,,,,,,,,,
Fibrinogen,,,text,,,,,,,,,,,,,,
Date of D-dimer,,,date,,,,,,,,,,,,,,
Units44,,,dropdown,,,,,,,,,,,,,,
D-dimer,,,text,,,,,,,,,,,,,,
Date of FDP,,,date,,,,,,,,,,,,,,
Units45,,,dropdown,,,,,,,,,,,,,,
FDP,,,text,,,,,,,,,,,,,,
units13,,,dropdown,,,,,,,,,,,,,,
Date of ESR,,,date,,,,,,,,,,,,,,
Erythrocyte Sedimentation Rate (ESR),,,text,,,,,,,,,,,,,,
Date of tropnonin,,,date,,,,,,,,,,,,,,
Troponin,,,text,,,,,,,,,,,,,,
units5,,,dropdown,,,,,,,,,,,,,,
Date of CRP,,,date,,,,,,,,,,,,,,
CRP,,,text,,,,,,,,,,,,,,
units14,,,dropdown,,,,,,,,,,,,,,
Date of BNP,,,date,,,,,,,,,,,,,,
Brain Natriuretic Peptide (BNP),,,text,,,,,,,,,,,,,,
units7,,,dropdown,,,,,,,,,,,,,,
Date of ferritin,,,date,,,,,,,,,,,,,,
Ferritin,,,text,,,,,,,,,,,,,,
units6,,,dropdown,,,,,,,,,,,,,,
Sodium,,,text,,,,,,,,,,,,,,
Date of sodium,,,date,,,,,,,,,,,,,,
units10,,,dropdown,,,,,,,,,,,,,,
Potassium,,,text,,,,,,,,,,,,,,
Date of potassium,,,date,,,,,,,,,,,,,,
