Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,inch,RADx-rad Minimum CDE
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,,pound,RADx-rad Minimum CDE
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad Minimum CDE
snum,eligibility_criteria,text,"Study ID  
",,,,,,,,
essworker,eligibility_criteria,radio,"Is one of the patient's household members an essential worker?

<i>According to the U..S Department of Homeland Security, essential workers are those who conduct a range of operations and services that are typically essential to continue critical infrastructure operations. Critical infrastructure is a large, umbrella term encompassing sectors from energy to defense to agriculture.</i>

Examples of essential workers: health care, food service, public transportation, public safety officers and first responders, and electricity industry. ","0, No | 1, Yes | 2, Unknown",,,,,,,nlm-covid-cde?
enrollstudy,eligibility_criteria,yesno,Is this patient enrolled in any other MIS-C studies?,,,,,,,,nih_all_cde
stduiesenrolled,eligibility_criteria,checkbox,Which studies is this subject enrolled in:,"0, Overcoming COVID | 1, IKDR | 2, PRISM | 4, MISTIC | 3, Other",,,,,[enrollstudy] = '1',,nih_all_cde
otherstudyenroll,eligibility_criteria,text,Other study patient enrolled in:,,,,,,[stduiesenrolled(3)] = '1',,nih_all_cde
substudy,eligibility_criteria,checkbox,Was the patient enroll in the following Sub-Studies?,"0, Photography Sub-Study | 1, Genetic Sub-Study",Click all that apply,,,,,,nih_all_cde
gender,demographics,dropdown,Sex:,"1, Male | 2, Female",,,,,,,nih_all_cde
ethmo,demographics,radio,Ethnicity of Mother,"1, Hispanic or Latino(a) | 2, Non-Hispanic or Non-Latino(a) | 3, Unknown",,,,,,,nih_all_cde
racemo,demographics,radio,"Race of Mother

If you checked Hispanic or Latino(a) and the individual is not Asian or Black, choose White. 

***Most Hispanic residents in the US are classified as White","0, Unknown | 1, Asian | 2, Black or African American | 3, White | 6, More than one race | 7, American Indian or Alaskan native | 8, Native Hawaiian or other Pacific Islander | 9, Other",,,,,,,nlm-covid-cde
racemoothr,demographics,text,Specify Other Race of Mother,,,,,,[racemo] = '9',,nlm-covid-cde
racemospcfy,demographics,text,Specify Race of Mother if Mixed,,,,,,[racemo] = '6',,nlm-covid-cde
asianmo,demographics,checkbox,Specify Asian Nationality of Mother,"1, Cambodian | 2, Chinese | 3, Filipino | 4, Indian | 5, Indonesian | 6, Japanese | 7, Korean | 8, Malaysian | 9, Pakistan | 10, Singaporean | 11, Thai | 12, Vietnamese | 13, Other",Please choose all the apply,,,,[racemo] = '1',,nlm-covid-cde
racemoasianspec,demographics,text,Specify Other Asian Nationality of Mother,,,,,,[asianmo(13)] = '1',,nlm-covid-cde
ethfa,demographics,radio,Ethnicity of Father,"1, Hispanic or Latino | 2, Non-Hispanic or Non-Latino | 3, Unknown",,,,,,,nih_all_cde
racefa,demographics,radio,"Race of Father

If you checked Hispanic or Latino(a) and the individual is not Asian or Black, choose White. 

***Most Hispanic residents in the US are classified as White","0, Unknown | 1, Asian | 2, Black or African American | 3, White | 6, More than one race | 7, American Indian or Alaskan native | 8, Native Hawaiian or other Pacific Islander | 9, Other",,,,,,,nlm-covid-cde
racefaothr,demographics,text,Specify Other Race of Father,,,,,,[racefa] = '9',,nlm-covid-cde
racefaspcfy,demographics,text,Specify Race of Father if Mixed,,,,,,[racefa] = '6',,nlm-covid-cde
asianfa,demographics,checkbox,Specify Asian Nationality of Father,"1, Cambodian | 2, Chinese | 3, Filipino | 4, Indian | 5, Indonesian | 6, Japanese | 7, Korean | 8, Malaysian | 9, Pakistan | 10, Singaporean | 11, Thai | 12, Vietnamese | 13, Other",Please choose all the apply,,,,[racefa] = '1',,nlm-covid-cde
racefaasianspcfy,demographics,text,Specify Other Asian Nationality of Father,,,,,,[asianfa(13)] = '1',,nlm-covid-cde
feveronset,clinical_data,text,Date of FEVER onset:,,MM-DD-YYYY,date_mdy,,,,,nih-cde
hospadmindate,clinical_data,text,Date of hospital admission: ,,MM-DD-YYYY,date_mdy,,,,,nlm-covid-cde
hospdishdate,clinical_data,text,Date of hospital discharge:,,MM-DD-YYYY,date_mdy,,,,,nlm-covid-cde
readmithos,clinical_data,yesno,Was the patient readmitted to the hospital within 7 days of hospital discharge?,,,,,,,,nih_all_cde
whyreadmit,clinical_data,notes,Why was the patient readmitted to the hospital?,,,,,,[readmithos] = '1',,nih_all_cde
datereadmit,clinical_data,text,Date of hospital readmission: ,,MM-DD-YYYY,date_mdy,,,[readmithos] = '1',,nih_all_cde
icuadmin,clinical_data,yesno,Was the patient admitted to the Intensive Care Unit (ICU)?,,,,,,,,nih_all_cde
dateicu,clinical_data,text,Date of ICU admission:,,MM-DD-YYYY,date_mdy,,,[icuadmin] = '1',,nih_all_cde
dateicudis,clinical_data,text,Date of ICU discharge:,,MM-DD-YYYY,date_mdy,,,[icuadmin] = '1',,nih_all_cde
comorbid,clinical_data,checkbox,Co-morbid Conditions: ,"1, Hypertension | 2, Obesity (BMI >95th percentile) | 3, Diabetes Mellitus: Type 1 | 4, Diabetes Mellitus: Type 2 | 5, Asthma | 6, Congenital heart disease | 7, Other | 8, None of the above",Click all that apply,,,,,,nlm-covid-cde
othercomor,clinical_data,text,"Other Co-morbid conditions, please describe:",,,,,,[comorbid(7)] = '1',,nlm-covid-cde
kdfeatures,clinical_data,checkbox,KD clinical features at the time of MIS-C diagnosis:,"1, Skin Rash | 2, Erythema of the lips, oral mucosa, pharynx | 3, Bilateral conjunctival injection | 4, Enlarged cervical lymph nodes | 5, Swollen dorsa hands/feet, palm/sole erythema | 6, Periungual desquamation | 7, Peripheral gangrene (in youngest babies) | 8, Strawberry tongue | 9, Other | 10, None of the above",Click all that apply,,,,,,
otherkdfeatures,clinical_data,text,"Other KD clinical features, please describe:",,,,,,[kdfeatures(9)] = '1',,
def,clinical_data,descriptive,"Definitions:

Hypovolemic shock: dehydration with reduced intravascular volume
Distributive shock: reduced peripheral vascular resistance (vasodilation)
Cardiogenic shock: reduced cardiac output (pump failure)
",,,,,,,,
otherfeatures,clinical_data,checkbox,Other clinical features at the time of MIS-C diagnosis:,"1, Cough | 2, Abdominal pain | 3, Vomitting | 4, Respiratory distress | 5, Diarrhea | 6, Hypoxia | 7, Hypovolemic Shock | 8, Distributive Shock | 9, Cardiogenic Shock | 10, COVID toes | 11, Other | 12, None of the above",Click all that apply,,,,,,
otherpresentfeat,clinical_data,text,"Other clinical feature, please describe:",,,,,,[otherfeatures(11)] = '1',,
sarsvo2pcr,clinical_data,yesno,Was this subject tested for SARS-CoV-2-PCR:,,,,,,,,nlm-covid-cde
sarspcr,clinical_data,radio,SARS-CoV-2-PCR,"0, Negative | 1, Positive",,,,,[sarsvo2pcr] = '1',,nlm-covid-cde
testingsite,clinical_data,radio,Collection method:,"1, Nasal/NP Swab | 2, Stool | 3, Other",,,,,[sarsvo2pcr] = '1',,nlm-covid-cde
othertestingsite,clinical_data,text,Other:,,,,,,[testingsite] = '3',,nlm-covid-cde
datepossars,clinical_data,text,Date of POSITIVE test: ,,MM-DD-YYYY,date_mdy,,,[sarspcr] = '1',,nlm-covid-cde
sarsvo2anti,clinical_data,yesno,Was this subject tested for SARS-CoV-2 Antibody:,,,,,,,,nlm-covid-cde
timeanittest,clinical_data,radio,How many times was the subject tested for SARS-CoV-2 Antibody?,"1, 1 | 2, 2 | 3, 3 | 4, More than 3",,,,,,,nlm-covid-cde
sarsantibody1,clinical_data,radio,Result of first SARS-CoV-2 Antibody test,"0, Negative | 1, Positive",,,,,[timeanittest] = '1' or [timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodytest1,clinical_data,text,Date of first Antibody Test:,,MM-DD-YYYY,date_mdy,,,[timeanittest] = '1' or [timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
brandsarstest1,clinical_data,text,Brand of first Antibody test:,,,,,,[timeanittest] = '1' or [timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodyclass1,clinical_data,checkbox,Antibody class of first test,"1, IgG | 2, IgM | 3, IgA",,,,,[timeanittest] = '1' or [timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
viralantigen1,clinical_data,radio,First test measures antibody directed to which viral antigen:,"0, Nucleocapsid | 1, RBD of spike protein | 2, Other",,,,,[timeanittest] = '1' or [timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
otherviralanti1,clinical_data,text,"Other viral antigen measured in antibody test, please specify: ",,,,,,[viralantigen1] = '2',,nlm-covid-cde
sarsantibody2,clinical_data,radio,Result of second SARS-CoV-2 Antibody test,"0, Negative | 1, Positive",,,,,[timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodytest2,clinical_data,text,Date of second Antibody Test:,,MM-DD-YYYY,date_mdy,,,[timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
viralantigen2,clinical_data,radio,Second test measures antibody directed to which viral antigen:,"0, Nucleocapsid | 1, RBD of spike protein | 2, Other",,,,,[timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodyclass2,clinical_data,checkbox,Antibody class of second test,"1, IgG | 2, IgM | 3, IgA",,,,,[timeanittest] = '2' or [timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
otherviralanti2,clinical_data,text,"Other viral antigen measured in antibody test, please specify: ",,,,,,[viralantigen2] = '2',,nlm-covid-cde
sarsantibody3,clinical_data,radio,Result of third SARS-CoV-2 Antibody test,"0, Negative | 1, Positive",,,,,[timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodytest3,clinical_data,text,Date of third Antibody Test:,,MM-DD-YYYY,date_mdy,,,[timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
viralantigen3,clinical_data,radio,Third test measures antibody directed to which viral antigen:,"0, Nucleocapsid | 1, RBD of spike protein | 2, Other",,,,,[timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
sarsantibodyclass3,clinical_data,checkbox,Antibody class of third test,"1, IgG | 2, IgM | 3, IgA",,,,,[timeanittest] = '3' or [timeanittest] = '4',,nlm-covid-cde
otherviralanti3,clinical_data,text,"Other viral antigen measured in antibody test, please specify: ",,,,,,[viralantigen3] = '2',,nlm-covid-cde
covidposcontact,clinical_data,yesno,COVID19 Status positive in close contacts:,,,,,,,,
preorgandys,clinical_data,yesno,Did the patient experience organ involvement at MIS-C PRESENTATION:,,,,,,,,
preorgandysloc,clinical_data,checkbox,Which organ(s) did the patient experience organ involvement at presentation:,"0, Liver | 1, Renal | 2, Coagulopathy | 3, CNS (i.e. stroke, ICH, other) | 4, Cardiac | 5, Pulmonary | 6, G.I. | 7, Other",,,,,[preorgandys] = '1',,
otherpresorgdys,clinical_data,text,Other organ involvement at presentation,,,,,,[preorgandysloc(7)] = '1',,
hosorgandys,clinical_data,yesno,Did the patient experience new organ involvement during HOSPITALIZATION?,,,,,,,,
hosorgandysloc,clinical_data,checkbox,Which organ(s) did the patient experience organ involvement  during hospitalization:,"0, Liver | 1, Renal | 2, Coagulopathy | 3, CNS (i.e. stroke, ICH, other) | 4, Cardiac | 5, Pulmonary | 6, G.I. | 7, Other",Click all that apply,,,,[hosorgandys] = '1',,
otherhosorgdys,clinical_data,text,Other organ involvement  during hospitalization,,,,,,[hosorgandysloc(7)] = '1',,
commentsclinical,clinical_data,notes,Comments:,,,,,,,,
labdescription,laboratory_results,descriptive,"Laboratory Results:
1. At MIS-C Diagnosis 
2. After treatment, Before discharge
3. Follow-up visit
",,,,,,,,nih_all_cde
cbcdt,laboratory_results,text,"Date of Laboratory
",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
wbc,laboratory_results,text,White Blood Cell Count (X 10^3/uL),,to 1 decimal place,number,2,40,,,nih_all_cde
hgb,laboratory_results,text,Hemoglobin (g/dL):,,to 1 decimal place,number,5,50,,,nih_all_cde
plts,laboratory_results,text,Platelet Count (X 10^3/uL):,,,number,30,2000,,,nih_all_cde
difftype,laboratory_results,radio,Method for differential count:,"1, Auto differential | 2, Manual differential",,,,,,,nih_all_cde
neutbands,laboratory_results,text,Neutrophils + Bands (%):,,,number,0,100,[difftype] = '1',,nih_all_cde
neut,laboratory_results,text,Neutrophils (%):,,,number,0,100,[difftype] = '2',,nih_all_cde
bands,laboratory_results,text,Bands (%):,,,number,0,30,[difftype] = '2',,nih_all_cde
lym,laboratory_results,text,Lymphocytes (%):,,,,,,[difftype] = '1' or [difftype] = '2',,nih_all_cde
atyplym,laboratory_results,text,Atypical Lymphocytes (%):,,,,,,[difftype] = '2',,nih_all_cde
mono,laboratory_results,text,Monocytes (%):,,,,,,[difftype] = '1' or [difftype] = '2',,nih_all_cde
eos,laboratory_results,text,Eosinophils (%):,,,,,,[difftype] = '1' or [difftype] = '2',,nih_all_cde
basophils,laboratory_results,text,Basophils (%):,,,,,,[difftype] = '1' or [difftype] = '2',,nih_all_cde
metamyo,laboratory_results,text,Metamyelocytes + Myelocytes (%):,,,,,,,,nih_all_cde
autoanc,laboratory_results,calc,Absolute Neutrophil Count (ANC):,([wbc]*1000)*([neutbands]/100),,,,,[difftype] = '1',,nih_all_cde
mananc,laboratory_results,calc,Absolute Neutrophil Count (ANC):,([wbc]*1000)*(([neut]+[bands])/100),,,,,[difftype] = '2',,nih_all_cde
abc,laboratory_results,calc,Absolute Band Count (ABC):,"if ([bands]= """","""", [wbc]*1000*([bands]/100))",,,,,[difftype] = '2',,nih_all_cde
alc,laboratory_results,calc,Absolute Lymphocyte Count (ALC):,[lym]*[wbc],,,,,[difftype] = '1' or [difftype] = '2',,nih_all_cde
reticcount,laboratory_results,text,Reticulocyte (Retic) Count (units: %):,,,,,,,,nih_all_cde
bloodtype,laboratory_results,text,Blood Type (N/A if no blood type),,,,,,,,nih_all_cde
esrdt,laboratory_results,text,"Date of ESR: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
adminesr,laboratory_results,text,"ESR (mm/hr) 
",,,number,,141,,,nih_all_cde
crpdt,laboratory_results,text,"Date of CRP: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
unitcrp,laboratory_results,radio,Unit for CRP,"1, mg/dL | 2, mg/L",,,,,,,nih_all_cde
crpadmin,laboratory_results,text,C-reactive protein,,to 1 decimal place,number,,,[unitcrp] = '2' or [unitcrp] = '1',,nih_all_cde
chemdt,laboratory_results,text,"Date of General Chemistry: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
alt,laboratory_results,text,ALT (IU/L):,,,,,,,,nih_all_cde
ast,laboratory_results,text,AST (IU/L):,,,,,,,,nih_all_cde
ggt,laboratory_results,text,GGT (IU/L):,,,,,,,,nih_all_cde
albumin,laboratory_results,text,Albumin (G/dL):,,,,,,,,nih_all_cde
sodium,laboratory_results,text,Sodium (mmol/L):,,,,,,,,nih_all_cde
ldh,laboratory_results,text,"LDH (Lactic Acid Dehydrogenase), units U/L:",,,,,,,,nih_all_cde
tropdt,laboratory_results,text,"Date of Troponin: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
unittrop,laboratory_results,text,Unit for Troponin:,,,,,,,,nih_all_cde
trop,laboratory_results,text,Troponin value:,,,,,,,,nih_all_cde
tropnormvalue,laboratory_results,text,Troponin Institutional Normal Values:,,,,,,,,nih_all_cde
ntbnpdt,laboratory_results,text,"Date of NTproBNP: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
unitntbnp,laboratory_results,text,Unit for NT-proBNP:,,,,,,,,nih_all_cde
ntbnp,laboratory_results,text,NT-proBNP value:,,,,,,,,nih_all_cde
ntbnpnormvalue,laboratory_results,text,NT-proBNP Institutional Normal Values:,,,,,,,,nih_all_cde
bnpdt,laboratory_results,text,"Date of BNP: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
unitbnp,laboratory_results,text,Unit for BNP:,,,,,,,,nih_all_cde
bnp,laboratory_results,text,BNP value:,,,,,,,,nih_all_cde
bnpnormvalue,laboratory_results,text,BNP Institutional Normal Values:,,,,,,,,nih_all_cde
ferrdt,laboratory_results,text,"Date of Ferritin: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
ferritin,laboratory_results,text,Ferritin (ng/mL):,,,,,,,,nih_all_cde
ferrnormvalue,laboratory_results,text,Ferritin Institutional Normal Values:,,,,,,,,nih_all_cde
fibdt,laboratory_results,text,"Date of Fibrinogen: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
fibrinogen,laboratory_results,text,Fibrinogen (mg/dL):,,,,,,,,nih_all_cde
ddimdt,laboratory_results,text,"Date of D-Dimer: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
ddim,laboratory_results,text,D-Dimer (mg/mL):,,,,,,,,nih_all_cde
vfdt,cardiac_measurements,text,"Date Ventricular Function  and AV Valve measured:
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
ef,cardiac_measurements,text,LV Ejection Fraction (%): ,,,,,,,,nih_all_cde
efmethod,cardiac_measurements,radio,LV Ejection Fraction method:,"0, Bullet | 1, Biplane Simpson | 2, M-mode | 3, Other",,,,,,,nih_all_cde
efmethodother,cardiac_measurements,text,"Ejection Fraction method other, please specify",,,,,,[efmethod] = '3',,nih_all_cde
lvfshort,cardiac_measurements,text,LV Fractional Shortening: ,,,,,,,,nih_all_cde
rvfuncbase,cardiac_measurements,radio,RV Function,"0, Normal | 1, Mild | 2, Moderate | 3, Severe",,,,,,,nih_all_cde
mitralreg,cardiac_measurements,yesno,Mitral Valve regurgitation:,,,,,,,,nih_all_cde
mitralregtype,cardiac_measurements,radio,Mitral Value Regurgitation: ,"0, Trivial | 1, Mild | 2, Moderate",,,,,[mitralreg] = '1',,nih_all_cde
trireg,cardiac_measurements,yesno,Tricuspid Valve regurgitation:,,,,,,,,nih_all_cde
trireggtype,cardiac_measurements,radio,Tricuspid Value Regurgitation: ,"0, Trivial | 1, Mild | 2, Moderate",,,,,[trireg] = '1',,nih_all_cde
echodt,cardiac_measurements,text,"Date of Echocardiogram: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
echoht,cardiac_measurements,text,Height (cm),,,,,,,,nih_all_cde
echowt,cardiac_measurements,text,Weight (kg),,,,,,,,nih_all_cde
bsa_1,cardiac_measurements,calc,BSA,sqrt(([echoht]*[echowt])/3600),,,,,,,nih_all_cde
laddiaecho,cardiac_measurements,text,LAD artery internal diameter on echo (mm): ,,to 1 decimal place,,,,,,nih_all_cde
aneuladecho,cardiac_measurements,yesno,<p>Is there an aneurysm (z <u>> </u>2.5) in the LAD on the echo?</p>,,,,,,,,nih_all_cde
maxdimladecho,cardiac_measurements,text,What is the max diameter of the aneurysm in the LAD (mm):,,,,,,[aneuladecho] = '1',,nih_all_cde
rcadiaecho,cardiac_measurements,text,Proximal RCA internal diameter on echo (mm):,,to 1 decimal place,,,,,,nih_all_cde
aneurcaecho,cardiac_measurements,yesno,Is there an aneurysm (z <u>> </u>2.5) in the RCA on the echo?,,,,,,,,nih_all_cde
maxdimrcaecho,cardiac_measurements,text,What is the max diameter of the aneurysm in the RCA (mm):,,,,,,[aneurcaecho] = '1',,nih_all_cde
ct,cardiac_measurements,yesno,Did the patient get a CTA?,,,,,,,,nih_all_cde
ctdt,cardiac_measurements,text,"Date of CTA: 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,[ct] = '1',,nih_all_cde
laddiact,cardiac_measurements,text,LAD artery internal diameter from CTA (mm): ,,to 1 decimal place,,,,[ct] = '1',,nih_all_cde
aneuladct,cardiac_measurements,yesno,Is there an aneurysm in the LAD on the CTA?,,,,,,[ct] = '1',,nih_all_cde
maxdimladct,cardiac_measurements,text,What is the max diameter of the aneurysm in the LAD (mm):,,,,,,[aneuladct] = '1',,nih_all_cde
rcadiact,cardiac_measurements,text,Proximal RCA internal diameter on CTA (mm):,,to 1 decimal place,,,,[ct] = '1',,nih_all_cde
aneurcact,cardiac_measurements,yesno,Is there an aneurysm in the RCA on the CTA?,,,,,,[ct] = '1',,nih_all_cde
maxdimrcact,cardiac_measurements,text,What is the max diameter of the an aneurysm in the RCA (mm):,,,,,,[aneurcact] = '1',,nih_all_cde
ekg,cardiac_measurements,yesno,Did the patient get an EKG?,,,,,,,,nih_all_cde
ekgresult,cardiac_measurements,radio,What was the result of the EKG:,"0, Abnormal | 1, Normal",,,,,[ekg] = '1',,nih_all_cde
ekgdate,cardiac_measurements,text,Date of EKG:,,MM-DD-YYYY,date_mdy,,,[ekg] = '1',,nih_all_cde
ekgstt,cardiac_measurements,radio,ST-T CHanges:,"0, None | 1, Focal | 2, Diffuse",,,,,[ekg] = '1',,nih_all_cde
ekgarrhy,cardiac_measurements,yesno,Arrhythmia:,,,,,,[ekg] = '1',,nih_all_cde
ekfarrhydesc,cardiac_measurements,text,Please describe the arrhythmia:,,,,,,[ekgarrhy] = '1',,nih_all_cde
echocomc,cardiac_measurements,notes,Comments:,,,,,,,,nih_all_cde
cvsupport,treatments_and_outcomes,yesno,Did the patient receive Inotropic support?,,,,,,,,nih_all_cde
cvtype,treatments_and_outcomes,checkbox,What kind of Inotropic support did the patient receive:,"0, Dopamine | 1, Milrinone | 2, Epinephrine | 3, Norepinephrine | 4, Other",,,,,[cvsupport] = '1',,nih_all_cde
