variable_name,datatype,description,Value Set,units,required,Dependent Fields,source_file,source_directory,Digest (variable_name|source_file|source_directory)
institution_type,category,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,36cd4303c3622e79cf72f055dbe8a1b829de996d23d8f534b7e0a1b1be45798f1039c914d29b72780d46676e7c30e2a8cd4adfdf612592e0062d5f089b0a883c
wwtp,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c196f144b006cc773127315e612d6009aafadf89c2e074e23302cb4818ec40d2f9f20f3b52b509ff2d325c4d70521fdc253ab4f1369182290e4abd739eba5152
epaid,npdes permit number (<2-letter abbreviation><#######>),NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',[NPDES permit number],[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,52824c5d27953cf974b576caea199e42e35bd0a94fabf503f9e2465a4150a98b2bcf35b25bc57730757c6901a97ec8ca43311b60fa3b62a5c0dae9467c0c5faf
wwtp_name,string,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP,  specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.","[string, length less than or equal to 40 characters]",[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,b31ad9a565e5fc2102ae6e9a0bcd6a0587ce4bdbfa1052f2cf24add325185c3b6da6f6f27619f25d5aa77176c36b6557903812691816ab124b3e633ef9e6d7df
wwtp_jurisdiction,category,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located",,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,621cea831f49f247e467459777825e1e640af9ac05db73e6e9cb1c6ab00e1ae0350894ffcb3668f6f00ac7d2d18fc9c36d7b41a6e1939d7983bc5a1988a424e6
capacity_mgd,float,Wastewater treatment plant design capacity,[greater than or equal to 0],million gallons per day (mgd),required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,9b7f48175fd04d99dfd655bdf5f199c74f76b7cfe45b8a6fe6b1a4b498177d5ca89b52ff343f579c47e273d0a0dc39469db9fbcde4a6e5cfff916cdc5e036f25
industrial_input,float,Approximate average percentage of wastewater from industrial sources that is received by the wastewater treatment plant specified in 'wwtp_name',"[0-100];
[empty]",percent,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,4bad55f49cecdc223fa60b82ba331234fa4e77303ffd7744871cee0c9aabe34d3c2dfc787be3c49931e2b9a9cc39d5d084629e79ae27f0de001e65da9a95e15a
stormwater_input,category,"Does the wastewater treatment plant specified in 'wwtp_name' treat water from a combined sewer system (i.e., a sewer system that collects both sewage and stormwater)?",,[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,cf63789505ab606318f1e171dc843db680d3e48210dceff0772a10aa009f3c6efe86145b1fe4a5589cb11adcacfe4f01a8a7f10c835e35aab22ca85bf3a43fe7
influent_equilibrated,category,Is influent to the wastewater treatment plant specified in 'wwtp_name' ever stored prior to treatment to equilibrate or modulate the influent flow rate?,,[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,1a2c520e922ffe1980b598d6fe6faacecbbc217f9967048b9b10341c5c19a6298f8b23b9579e79f625f9ca2f4aa28867cf537c05f34bd2e0dfa77e044a40cba1
collection method,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,1eade42ce46b84b0b52107d41dab09d22ccdcab73bc0d30a62f0bca66ba92a92771f9650ee0b426abcc3709fcafff94ee27c3566434c031c02c644f0eebaf47a
sample_type,category,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.",,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,0bbc0c4a508888634ce0c3aee4af8594030af54f393cf8527dea828ecba69148b2d4e0c6410f496eea492d35a0207935b2ab4ed7859d3fd0adbf44145cf262f3
composite_freq,float,"Frequency of sub-sample collection (for composite samples only): for flow-weighted, the number of sub-samples collected per million gallons of flow; for time-weighted, the number of sub-samples per hour. Flow-weighted example: a value of 5 would indicate 5 sub-samples per million gallons, or 1 sub-sample per 200,000 gallons","[greater than or equal to 0];
[empty]",if flow-weighted composite: number per million gallons; if time-weighted or manual composite: number per hour,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,565417341091571f63df1ffcf2e8e59b49bdba22f7158e1e7c4a89f6f7b62cccfd7a2870296547ca0fb48b24c48970dcba92f25125089e3cde6f76902ffc21d2
sample_matrix,category,Wastewater matrix from which the sample was collected,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,8ad97f9562f67c00f016442afa126bdcd750725b119ec9dfc5ec56ed73c3af77fb45d1837b506f26ae71b6e3d85d4cc1b908d4838b2514b0754b1574fad0ea2f
collection_storage_time,float,Duration of time the sample was stored after collection and prior to reaching the lab,"[greater than or equal to 0];
[empty]",hours,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,eb7254fa3e165c9b8a104e77d51827ef3f28df35808de503b6773746864e1d0fd04a2a4e57c458d241b85ecedb2f8bfca7f926b93913a6fb6d9fe3aa7723c1c6
collection_storage_temp,float,Temperature at which the sample was stored after collection and prior to reaching the lab,"[float];
[empty]",celsius,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,76438ea1a0558ccc2710ed6dca9bec2154a9d1316e63fb9d7693c76e356b5cfe573708fd309aea4eced6d0bf84ed00b45d82dff6d6b970162d07dc62787dd3e4
pretreatment,category,"Was the sample treated with any chemicals prior to reaching the lab? These could include chemicals, such as stabilizers, added to the sample or chemicals, such as chlorine, added to the wastewater treatment train upstream of the sample collection point. Pasteurization should be specified in the 'pasteurized' field.",,[none],not required,"if 'pretreatment' is ""yes"", then specify in 'pretreatment_specify'",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,1dd91488c067ca79b6ef0f8c273f663cb4c5767625ec4c7543ac31c89bab098e3c765f53d09dd68fd7c0331023e91e3af393aeda416a118e0dbf4bdf1c94f006
pretreatment_specify,string,"If 'pretreatment' is ""yes"", then specify the chemicals used","[string];
[empty]",[none],not required,"if 'pretreatment' is ""yes"", then specify in 'pretreatment_specify'",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,9cf5394ba53ae6c5d3814f0041b8a564c8c592a9fa9461fbe056ef53ed6d73618995be741315f992f52f5c8246f13449f731ca15b49a6c90e812cdf9686e40b9
processing method,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,75f21b73b8e2005bc085155a75aa3910921979df2c4b86057339f12c3b5d1f35840fb86a124036c0d598154111c51d4b74016376b6d50f2502aa5c4ec0d953be
solids_separation,category,"Process used to separate solid and liquid phases of the sample, either prior to or in the absence of the concentration method specified in 'concentration_method'",,[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,ee4ea8ca4ff8d65e57d8402af7f1a7ee3cfb15df3729819f97f45a386e925b8516f6852a284a7290f22f03f37021badd8849771700aa04dd59e8259f481219e0
concentration_method,category,Method used to concentrate the sample prior to analysis of the concentrate,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,4f3ea8c39de6cc7a6b9a10b50e4a9d63a02bedd849ae54f5b4d756eae747b852ebe170c9c6b5ed77279c53295d67ca9c6130e07b4a52757fab3d17cdb8dedd30
extraction_method,category,Method used for nucleic acid extraction from the sample,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,5b2efcd946439af15ebd60ce422fffb3095cdfc06df23f35c9cece79d534efd5d1da58c0512b64ddedd65e9ddbb8d9880e97385e915fd5de946250f614d87e8f
pre_conc_storage_time,float,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),"[greater than or equal to 0];
[empty]",hours,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,fe1b5e84504726df1528fb865feaa488cbecbb00b3a548b3507ad539008ffe52d9b945df3e7211ff94f4d756dd441ed350262fad8c74a2edfa179f85a2d70521
pre_conc_storage_temp,float,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),"[float];
[empty]",celsius,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,eb2bcac90b5e7b729cf5768c39446df20f915a2821f093dd2e5d5330ffdab3f67b073ee8a54f37df1c2f52b61ad74bbc366654af0c98b75025010dd4fef56e64
pre_ext_storage_time,float,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,"[greater than or equal to 0];
[empty]",hours,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,556911b4778c74a65aae8cdd9c4a791076e85244059aa8486951c65099d524c22bdb55a6d20b09b885e087856a1bc398a09c7c970043f772d91ba4a63c810ff0
pre_ext_storage_temp,float,The storage temperature of samples after concentration (if concentrated) and prior to extraction,"[float];
[empty]",celsius,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,d9706df479997b92a4bccd32efa64ff7ea843e664f6fbc2357514dee0f59385dbb33100f83a518a9ec0c84f8277663cfad3745f23f83e0d479266d10f581339b
tot_conc_vol,float,Total volume of sample concentrated (if concentrated); this total volume is not necessarily assayed and is not necessarily equal to the value specified in 'equiv_sewage_amt',"[greater than or equal to 0];
[empty]",ml,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,9ff682b17cfd97d133e833acee279aa9a41c12a7eefd4a9898e23b97134e9e94818073efa24588c55893f9500b4211dfa7c7a92e99648263f54808c8b6351e52
ext_blank,category,Are extraction blanks included in the extraction process?,,[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,893b3907ddeec389fbda57417ab8c156c2de500cd4d725151a0b408bd8f4dba5016d55b3a1fb1c1da1e999d5587b67e3640d60dbe7f575a152a99a43dffdaa94
rec_eff_target_name,category,Name of the recovery efficiency control target that is spiked in,,[none],required,"If 'rec_eff_percent' is equal to a value other than ""-1"", then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,9e03bd26ff3c98383eaff83fe16cd61434d78694fcabc825d47a3c5e234d12034905a061a762f0b28e4162a50b09c27bc67e173e625ec62cbf6cbc8319cb6f40
rec_eff_spike_matrix,category,Matrix into which the recovery efficiency control target is spiked,,[none],required,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,117c31e7c0dea66934ac5761625b7b0747b100c62d2906acef7d5f18be97d6f17a5cf8f9bcf947288e04be6a223e687d54545fbc335309ce995598773352d98b
rec_eff_spike_conc,float,"Spike concentration, on average, of the recovery control on a per sample volume basis","[float];
[empty]",log10 copies/ml,required,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,a3ad7917b4e53115d8076cba4d2b6ddce0e56642cb114d3e6922ad4bebec66ada8b5d0b65e1287674794c501595369ebba78047e4b3204b47aa32da0fc9960b1
pasteurized,category,Was the sample pasteurized?,,[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,001538bfd56fd891eaadd4320d5d1dc0c17e724b297fe4c9eb47ad1c85f70dcfa0e5f5582c76d9126c0902cc0199ed7f1b8e17db8f2a75dd2c2b4c3c8dca9cb9
sarscov2 quantification method,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,6a59e136f790929b4411ee779f1b7c032a2424b87f4bae10926fb88ef94367167a5d2f66ea19185896091a32d4df4b5f4d73da558e62d4c95fccb4e820723cdd
pcr_target,category,The PCR gene target used to quantify SARS-CoV-2,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,af1d1b7ba071b5dd6a9d4ec748febc599fd71e30ceb70a5f88570927af521c984f5290963fdf8910b32bac9110922270c8831145fae462afe8209cec7bb40b8f
pcr_target_ref,string,"A publication, website, or brief description of the PCR gene target used",[string],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,252bb3770d2c82878a5c685865ddb103472d4e3dfe5d6d5b5d0f7b8438272ffac9c5b80c9289455e45a1689d84ae51ec37c08b35dddfb5c4bcb4cad3470edbb4
pcr_type,category,The type of PCR used to quantify SARS-CoV-2,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c26fc8aadbe66ee70ebdbb2e3cd60be8ea766eaeab01cf00c2e3a45424e7d0530f90c030d5dcb6cbc2ace33f63f2696ac75ebe4bb7b32bc75688d83f73f3b829
lod_ref,string,"A publication, website, or brief description of the method used to calculate the limit of detection",[string],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,87cb7d1ffa3ef909ba20f336d2581651730465b0ba8ae1987b2a6b3f59d9689a161d924a5b414663b6d9eb1d4f65dae2b23d28eff045d45f39cb2a7b562bf2e9
hum_frac_target_mic,category,Name of microbial target used to estimate human fecal content,,[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,f5e6dfc48a0b91d7fe41057672569a6ca7d307fa89a01ca84dca01fd5334a7adc32bbbcdb20072cb89e6d94c264e65a9d0c2ba9f16c7397267d591c7cd991d5c
hum_frac_target_mic_ref,string,"A publication, website, or brief description of the microbial target specified in 'hum_frac_target_mic'","[string];
[empty]",[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,e09d1a0288fd2f65342cadc00a54e02989fd74064d863ebe7e6043e2bdef4b2fa186d0fcb7f6aa9627aeef8d83c7dd7bf30c4ff4a29097adecc8b3202347f4e0
hum_frac_target_chem,category,Name of chemical compound used to estimate human fecal content,,[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c9edfa67d978b898d88a320d27062bbe068eb243c0c5ec8280a077b6130a6b1ba5f5830465518800396737f20e368e4fa665506ef30e5a5a96c6af5a7527c9a3
hum_frac_target_chem_ref,string,"A publication, website, or brief description of the chemical compound specified in 'hum_frac_target_chem'","[string];
[empty]",[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,2c441693094df6027c10fd206219fb73eb7dea5d1369567649ded268f56d854fffa5f1d895f13ba015e4c5d11e36ba4d06f2aa5a92874e289e593dc0673721ee
other_norm_name,category,Name of a target or compound not specified in 'hum_frac_target_mic' or 'hum_frac_target_chem' used to estimate human fecal content,,[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,969dce11d82b7877c81b127dbf3cf40dbbef3a3742c701e7a06bf4f2f8c83de6762434ff6b30c9d006af5428aa2bd5405ab39b8c42610f94d5c913e54e22a2f6
other_norm_ref,string,"A publication, website, or brief description of the target or compound specified in 'other_norm_name'","[string];
[empty]",[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,e781792184fea384d8bb58dca73be27639715fc49c4caeb3d13d48ab3656085838a73be976c980fa73e4418b84f228bfa28d2a8221f01765dccb3d1a77f4175a
quant_stan_type,category,The type of nucleic acid used as a standard for SARS-CoV-2 quantification,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c46df3f61ca505a0b5b0399ba904eee4067427c935e871605f7058eb6f8eb5f8a8baa5445fbf846dd5a811fb7f216b6d45e64b034319a97f34cfee0d358eb6b1
stan_ref,string,"A publication, website, or brief description of the quantitative standard material used",[string],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,57a2fcfc4fd463deb9cb4c237a6925f84207522821c95addb52043eef20ae8304248640c966793e91ef59916f67e62a2ad764cfca2b2d7b22665b3a7b235b2b5
inhibition_method,string,"A publication, website, or brief description of the method used to evaluate molecular inhibition","[string];
none (if inhibition not tested)",[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,f58ce1e9738edef954be74f225b4de68b5fa72fc6e5a62783f3dc0480748e7be137d0c3a721cb5fc9769e8d11d5b0dbe6401dfab563f8ac86beb3dc3cd4fbd56
num_no_target_control,category,Number of no-template controls (NTC) per instrument run,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,82259de914873c97f4adbfaa1280671c0621f37d2cc674321e185f56ae8fe573a7f9b3691132d0abe35ed376bb4a589c9dbef488f8f378235cdbe645afaa3938
sample,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,57f9bbc7cb25b487080b8b1ec245c013471ca75a849bad73364abd9146378a8e17db15e3d0ac71201027683c2c0b491b465313c0ac07a119e1f2d24a343a7298
sample_collect_date,date ([yyyy]-[mm]-[dd]),"The date of sample collection; for composite samples, specify the date on which sample collection began",[date not after tomorrow's date],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,aa795b4c8ae60cf00a21b2c7f1abad4651237535e42c72cd686a02b2e28b475fd0aa170493754c8361a89ae3b890aa2031ed77533a1b20ef527765ed6d885859
sample_collect_time,"time, 24-hr ([hh]:[mm])","The local time of sample collection; for composite samples, specify the time at which sample collection began",[time],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,0d9b2673a40dd653ab8ad5fce3505825b16f0fed5db5adaede537f2c69bec2deb2c368c97906e07213044daadbde8a1d6f32b25805e757616d7ef7ad3845f113
time_zone,time zone (utc-[hh]:[mm]),"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",[time zone],[none],not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c474c178badb7c14487a8c6aaedb9fe8c5fd17cd23170c018f3c9bb878592e082a77088f3ea98298320232026351042e8c985781a2939ca5578b28af51de133d
flow_rate,float,"Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected. If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ","[greater than or equal to 0];
[empty]",million gallons per day (mgd),required,"If 'sample_matrix' is liquid sampled from flowing source [""raw wastewater"", ""post grit removal"", ""primary effluent"", ""secondary effluent""], then this must have a non-empty value (i.e., sludge samples are permitted empty values for this field); similarly, if 'sars_cov2_units' is on a per volume wastewater basis (e.g., copies/l wastewater), then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,828082d826eb6121b31a1867d03c605fd94605d9c141426f0a0ccef342e5343d7ec57362241942e00b6058fb8c3cef109fb93094e25388e61312b8899f08299e
ph,float,"pH of wastewater sample (if sludge, pH of influent at time of collection)","[float];
[empty]",ph units,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,f33c690ddd1d6775a59d923a39a04426a70a3e239d68ef35273930f49b2c57fc4a55e7af41cd5d3cc0e07172099827cb71a12f5db29c936b8f9774e4b3fef5fa
conductivity,float,"Specific conductivity of wastewater sample (if sludge, conductivity of influent at time of collection)","[greater than or equal to 0];
[empty]",microsiemens/cm,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,8aa42463e52be791b95b3e4a2b371e53564fe9604d03e2fd6df187404732f8e9fea960f245515f6475998e953eb735590b87b881d6e7009b704ead877796793e
tss,float,"Total suspended solids of raw (or, if unavailable, post-grit removal) wastewater ","[greater than or equal to 0];
[empty]",mg/l,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,34529f432e0c79b032894e2358615f125f79c80536f1bf93a4008d264629a15cb356287e9a8064325a9c17ada98816613570845559643152dc00767ad3679966
collection_water_temp,float,Sample temperature at time of collection,"[greater than or equal to 0];
[empty]",celsius,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,77fa4d190079916edc59a7a05a835d867d528edfbb66b97ed408cd36f3360ed47dd9ddccacc52f5ca6ef722cb09a822d97e5400b5c6800703e080a8de80f1dee
