variable_name,datatype,description,Value Set,units,required,Dependent Fields
flow_rate,float,"Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected. If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ","[greater than or equal to 0];
[empty]",million gallons per day (mgd),required,"If 'sample_matrix' is liquid sampled from flowing source [""raw wastewater"", ""post grit removal"", ""primary effluent"", ""secondary effluent""], then this must have a non-empty value (i.e., sludge samples are permitted empty values for this field); similarly, if 'sars_cov2_units' is on a per volume wastewater basis (e.g., copies/l wastewater), then this must have a non-empty value"
ph,float,"pH of wastewater sample (if sludge, pH of influent at time of collection)","[float];
[empty]",ph units,not required,None
conductivity,float,"Specific conductivity of wastewater sample (if sludge, conductivity of influent at time of collection)","[greater than or equal to 0];
[empty]",microsiemens/cm,not required,None
tss,float,"Total suspended solids of raw (or, if unavailable, post-grit removal) wastewater ","[greater than or equal to 0];
[empty]",mg/l,not required,None
collection_water_temp,float,Sample temperature at time of collection,"[greater than or equal to 0];
[empty]",celsius,not required,None
equiv_sewage_amt,float,Equivalent unconcentrated volume of wastewater or mass of sludge in PCR reaction,"[greater than or equal to 0];
[empty]",ml wastewater or g sludge,not required,None
sample_id,"jurisdiction id (a string 20 characters or less, containing only numbers, english alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)",An ID assigned to a wastewater sample. It must be unique for this NWSS reporting jurisdiction. Wastewater samples that are split and measured by different labs should have the same sample ID but different lab IDs. Wastewater samples for which multiple SARS-CoV-2 PCR targets are measured should also have the same sample ID. Note: do not include PII in this field.,[sample id],[none],required,None
lab_id,"jurisdiction id (a string 20 characters or less, containing only numbers, english alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)","An ID assigned to a testing lab. It must be unique across labs used for this NWSS reporting jurisdiction's testing. If the same lab is used across multiple NWSS reporting jurisdictions, each NWSS reporting jurisdiction may assign that lab a different lab ID. Note: including PII in this field is discouraged.",[lab id],[none],required,None
sarscov2 quantification results,,,,,,
test_result_date,date ([yyyy]-[mm]-[dd]),The date on which this SARS-CoV-2 measurement was made,[date not after tomorrow's date and not before 'sample_collect_date'],[none],required,None
sars_cov2_units,category,Units of SARS-CoV-2 sample concentration,,[none],required,None
sars_cov2_avg_conc,float,"Concentration of SARS-CoV-2 back-calculated to unconcentrated sample basis; enter ""0"" if no amplification occurred, using the definition of amplification described in 'ntc_amplify'; otherwise, enter the estimated concentration; do not adjust for matrix recovery efficiency","[any float other than 0];
0 (if no amplification observed)",[units specified in 'sars_cov2_units'],required,None
sars_cov2_std_error,float,"Standard error (SE) of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. If sample replicates are always performed, use SE of sample replicates; else, if processing replicates are always performed, use SE of processing replicates; else, if qPCR is performed, use SE of PCR replicates; else, if digital PCR is performed, use error from multiple replicates if available, and Poisson error if not","[greater than or equal to 0];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value
sars_cov2_cl_95_lo,float,"Lower bound of 95% confidence interval of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)","[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value
sars_cov2_cl_95_up,float,"Upper bound of 95% confidence interval of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)","[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value
sars_cov2_below_lod,category,Was the concentration of SARS-CoV-2 below the limit of detection?,,[none],required,None
lod_sewage,float,SARS-CoV-2 limit of detection back-calculated to unconcentrated sample basis,[float],[units specified in 'sars_cov2_units'],required,None
ntc_amplify,category,"For qPCR, did any no-template controls on this instrument run have a Ct value less than 40? For ddPCR, did any no-template controls on this instrument run have 3 or more positive droplets?",,[none],required,None
rec_eff_percent,float,"Percent of spiked recovery control, specified in 'rec_eff_target_name', that was recovered","[greater than or equal to 0];
-1 (if not tested)",percent,required,None
inhibition_detect,category,Was molecular inhibition detected?,,[none],required,None
inhibition_adjust,category,Was inhibition incorporated into the SARS-CoV-2 concentration calculation?,,[none],required,"If 'inhibition_detect' is ""yes"", then this must have a non-empty value"
hum_frac_mic_conc,float,Concentration of microbial target specified in 'hum_frac_target_mic'; follow the same guidelines outline for 'sars_cov2_avg_conc',"[float];
[empty]",[units specified in 'hum_frac_mic_unit'],not required,"If 'hum_frac_mic_unit' has a non-empty value, then this must have a non-empty value"
hum_frac_mic_unit,category,Concentration units of microbial target specified in 'hum_frac_target_mic',,[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value"
hum_frac_chem_conc,float,Concentration of chemical target specified in 'hum_frac_target_chem',"[float];
[empty]",[units specified in 'hum_frac_chem_unit'],not required,"If 'hum_frac_chem_unit' has a non-empty value, then this must have a non-empty value"
hum_frac_chem_unit,category,Concentration units of chemical target  specified in 'hum_frac_target_chem',,[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value"
other_norm_conc,float,Concentration of target spcified in 'other_norm_name',"[float];
[empty]",[units specified in 'other_norm_conc'],not required,"If 'other_norm_unit' has a non-empty value, then this must have a non-empty value"
other_norm_unit,category,Concentration units of target spcified in 'other_norm_name',,[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value"
quality_flag,category,"Does this observation have quality control issues? ",,,not required,None
