Concept,label,variable_name,value_constraints,Comment,source_file,source_directory
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years old or older)",doctor_shopping,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",smoking,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,How often did you have a drink containing alcohol in the past year?,alcohol,"0,Never|1,Monthly Or Less|2,Two To Four Times Per Month|3,Two To Three Times Per Week|4,Four Or More Times Per Week",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",asthma,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Cancer (including leukemia or lymphoma) undergoing active treatment?,cancer,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Decreased kidney (renal) function or kidney (renal) failure?,ckd,"0,No|1,Yes, But Not On Dialysis|2,Yes And On Dialysis|3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal|77,Don't Know",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Diabetes? Do not include pre-diabetes.,diabetes,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,hbp,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,"Have you ever been told by a physician, psychologist, or healthcare provider that you have any mental illness (for example depression, anxiety, bipolar, schizophrenia, or other)?",mental_illness,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Have you ever been told by a physician or healthcare provider that you have sickle cell anemia?,sc_anemia,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,coronary_artery_disease,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,A heart attack (myocardial infarction)?,heart_attack,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,"Congestive Heart failure (CHF, Heart Failure)?",chf,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,stroke,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Immunodeficiency (NOT including HIV)?,immunodeficiency,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Chronic HIV infection?,hiv,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,Anemia or other blood disorder (do not include leukemia or lymphoma)?,anemia,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,History of premature birth (being born before 37 weeks of pregnancy),premature,"0,No|1,Yes, Between 32 - 37 Weeks|2,Yes, Between 28-32 Weeks|3,Yes, Less Than 28 Weeks|4,Yes, But Not Sure How Many Weeks|77,Dont Know",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,CHD,chd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,CF,cf,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,CLD BPD,cld_bpd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Medical History,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",copd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,A cough (worse than usual),cough,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,Symptoms of fever or chills,fever_chills,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,Shortness of breath,shortness_of_breath,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,Muscle aches (worse than usual),muscle_aches,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,Unable to taste or smell,unable_to_taste_or_smell,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,"Nausea, vomiting or diarrhea",nausea_vomiting_diarrhea,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,Red or painful eyes,red_eyes,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,A temperature greater than 100.4 °F,high_temp,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Symptoms,None of the above,no_symptoms,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
