variable_name,section_header,ui,label,value_constraints,field_note,min,max,branching_logic,units,CDE Reference,source_file,source_directory
walking_climbing_dis,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
dress_bathe_dis,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
errand_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
nicotine,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
alcohol_use,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
asthma,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
cancer,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
cardiovascular_disease,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
chronic_kidney_disease,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
chronic_lung_disease,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
diabetes,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
hypertension,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
immunosuppressive_conditio,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
serious_mental_illness,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
sickle_cell_disease,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
pregnancy_status,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,[sex] = '2',,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
cough,Symptoms,radio,Cough,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
fever,Symptoms,radio,Fever,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
shortness_of_breath_or_dif,Symptoms,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
headache,Symptoms,radio,Headache,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
muscle_ache,Symptoms,radio,Muscle ache,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
new_loss_of_taste_or_smell,Symptoms,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
excessive_fatigue,Symptoms,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
nausea_vomiting,Symptoms,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
abdominal_pain,Symptoms,radio,Abdominal pain,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
skin_rash,Symptoms,radio,Skin rash,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
conjunctivitis,Symptoms,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
height_feet,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,foot,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,inch,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,pound,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
