variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,description,source_file,source_directory
hypertension,form_1,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
immunosuppressive_conditio,form_1,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
serious_mental_illness,form_1,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
sickle_cell_disease,form_1,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
pregnancy_status,form_1,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,[sex] = '2',,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
cough,form_1,"Symptoms ",radio,Cough,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
fever,form_1,"Symptoms ",radio,Fever,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
shortness_of_breath_or_dif,form_1,"Symptoms ",radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
headache,form_1,"Symptoms ",radio,Headache,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
muscle_ache,form_1,"Symptoms ",radio,Muscle ache,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
new_loss_of_taste_or_smell,form_1,"Symptoms ",radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
chills,form_1,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
excessive_fatigue,form_1,"Symptoms ",radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
nausea_vomiting,form_1,"Symptoms ",radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
diarrhea,form_1,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
abdominal_pain,form_1,"Symptoms ",radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
skin_rash,form_1,"Symptoms ",radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
conjunctivitis,form_1,"Symptoms ",radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
height_embedding,form_1,Health status,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,height in feet and inches,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
height_feet,form_1,Health status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
height_inches,form_1,Health status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
weight_lbs,form_1,Health status,text,What is your weight?,,Weight in pounds,number,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
health_status,form_1,Health status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
