Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference,source_file,source_directory
clinical_sensitivity_ci_min,Clinical Performance,float,Lower bound of confidence interval for clinical sensitivity.,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
clinical_sensitivity_ci_max,Clinical Performance,float,Upper bound of confidence interval for clinical sensitivity.,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
clinical_specificity,Clinical Performance,float,The proportion of subjects without the target condition in whom the test is negative; calculated as 100xTN/(FP+TN).,,PCR is Gold standard for COVID-19. For comparison with a non-reference standard use percent agreement metrics.,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
clinical_specificity_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for clinical specificity.,,Example: 95,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
clinical_specificity_ci_min,Clinical Performance,float,Lower bound of confidence interval for clinical specificity.,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
clinical_specificity_ci_max,Clinical Performance,float,Upper bound of confidence interval for clinical specificity.,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
positive_predictive_value,Clinical Performance,float,The proportion of test positive patients who have the target condition; calculated as 100xTP/(TP+FP),,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
positive_predictive_value_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for positive predicted value.,,Example: 95,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
positive_predictive_value_ci_min,Clinical Performance,float,Lower bound of confidence interval for positive predicted value,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
positive_predictive_value_ci_max,Clinical Performance,float,Upper bound of confidence interval for positive predicted value,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
negative_predictive_value,Clinical Performance,float,The proportion of test negative patients who do not have the target condition; calculated as 100xTN/(TN+FN),,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
negative_predictive_value_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for negative predicted value.,,Example: 95,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
negative_predictive_value_ci_min,Clinical Performance,float,Lower bound of confidence interval or negative predicted value,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
negative_predictive_value_ci_max,Clinical Performance,float,Upper bound of confidence interval or negative predicted value,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,phs002700
