Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference
diabetes,Sample/Antigen,,,,,,,,,
hypertension,Sample/Antigen,,,,,,,,,
immunosuppressive_conditio,Sample/Antigen,,,,,,,,,
serious_mental_illness,Sample/Antigen,,,,,,,,,
sickle_cell_disease,Sample/Antigen,,,,,,,,,
pregnancy_status,Sample/Antigen,,,,,,,,,
cough,Sample/Antigen,,,,,,,,,
fever,Sample/Antigen,,,,,,,,,
shortness_of_breath_or_dif,Sample/Antigen,,,,,,,,,
headache,Sample/Antigen,,,,,,,,,
muscle_ache,Sample/Antigen,,,,,,,,,
new_loss_of_taste_or_smell,Sample/Antigen,,,,,,,,,
chills,Sample/Antigen,,,,,,,,,
excessive_fatigue,Sample/Antigen,,,,,,,,,
nausea_vomiting,Sample/Antigen,,,,,,,,,
diarrhea,Sample/Antigen,,,,,,,,,
abdominal_pain,Sample/Antigen,,,,,,,,,
skin_rash,Sample/Antigen,,,,,,,,,
conjunctivitis,Sample/Antigen,,,,,,,,,
height_feet,Sample/Antigen,,,,,,,,,
height_inches,Sample/Antigen,,,,,,,,,
weight_lbs,Sample/Antigen,,,,,,,,,
health_status,Sample/Antigen,,,,,,,,,
protocol_id,Sample/Antigen,,,,,,,,,
technology_platform,Sample/Antigen,,,,,,,,,
technology_description,Sample/Antigen,,,,,,,,,
biorecognition_type,Sample/Antigen,,,,,,,,,
analyte_type,Sample/Antigen,,,,,,,,,
signal_detection,Sample/Antigen,,,,,,,,,
surface,Sample/Antigen,,,,,,,,,
immobilization_reagent_name,Sample/Antigen,,,,,,,,,
immobilization_reagent_id,Sample/Antigen,,,,,,,,,
immoblization_reagent_source,Sample/Antigen,,,,,,,,,
capture_antigen_name,Sample/Antigen,,,,,,,,,
capture_antigen_region,Sample/Antigen,,,,,,,,,
capture_antigen_source,Sample/Antigen,,,,,,,,,
capture_antigen_source_url,Sample/Antigen,,,,,,,,,
capture_antibody_name,Sample/Antigen,,,,,,,,,
capture_antibody_clonality,Sample/Antigen,,,,,,,,,
capture_antibody_clone,Sample/Antigen,,,,,,,,,
capture_antibody_modification,Sample/Antigen,,,,,,,,,
capture_antibody_modification_role,Sample/Antigen,,,,,,,,,
capture_antibody_expression_system,Sample/Antigen,,,,,,,,,
capture_antibody_host_organism_name,Sample/Antigen,,,,,,,,,
capture_antibody_target_organism_name,Sample/Antigen,,,,,,,,,
capture_antibody_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,
capture_antibody_purity,Sample/Antigen,,,,,,,,,
capture_antibody_purification_method,Sample/Antigen,,,,,,,,,
capture_antibody_formulation,Sample/Antigen,,,,,,,,,
capture_antibody_source,Sample/Antigen,,,,,,,,,
capture_antibody_source_url,Sample/Antigen,,,,,,,,,
detector_antibody_name,Sample/Antigen,,,,,,,,,
detector_antibody_role,Sample/Antigen,,,,,,,,,
detector_antibody_clonality,Sample/Antigen,,,,,,,,,
detector_antibody_modification,Sample/Antigen,,,,,,,,,
detector_antibody_modification_role,Sample/Antigen,,,,,,,,,
detector_antibody_host_organism_name,Sample/Antigen,,,,,,,,,
detector_antibody_target_organism_name,Sample/Antigen,,,,,,,,,
detector_antibody_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,
detector_antibody_target_organism_subtype,Sample/Antigen,,,,,,,,,
detector_antibody_purity,Sample/Antigen,,,,,,,,,
detector_antibody_purification_method,Sample/Antigen,,,,,,,,,
detector_antibody_formulation,Sample/Antigen,,,,,,,,,
detector_antibody_source,Sample/Antigen,,,,,,,,,
detector_antibody_source_url,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_source_id,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_name,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_role,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_modification_role,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_sequence,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_expression_system,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_host_organism_name,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_host_organims_taxonomy_id,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_host_organism_subtype,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_target_organism_name,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_target_organism_subtype,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_purity,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_purification_method,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_formulation,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_source,Sample/Antigen,,,,,,,,,
detector_molecular_beacon_source_url,Sample/Antigen,,,,,,,,,
sample_id,Sample/Antigen,,,,,,,,,
sample_media,Sample/Antigen,,,,,,,,,
protocol_id,Sample/Antigen,,,,,,,,,
sample_concentration,Sample/Antigen,,,,,,,,,
sample_concentration_unit,Sample/Antigen,,,,,,,,,
target_analyte_type,Sample/Antigen,,,,,,,,,
antigen_name,Sample/Antigen,,,,,,,,,
antigen_region,Sample/Antigen,,,,,,,,,
total_fluorescence_intensity,Sample/Antigen,,,,,,,,,
result_intepret,Sample/Antigen,,,,,,,,,
sample_id,Sample/Antigen,,,,,,,,,
sample_media,Sample/Antigen,,,,,,,,,
protocol_id,Sample/Antigen,,,,,,,,,
sample_concentration,Sample/Antigen,,,,,,,,,
sample_concentration_unit,Sample/Antigen,,,,,,,,,
total_fluorescence_intensity,Sample/Antigen,,,,,,,,,
result_intepret,Sample/Antigen,,,,,,,,,
