Id,Description,Datatype,Units,Enumeration,Label,Additional Missing Value Codes,Terms,Unit,Section,ui,Notes,min,max,CDE Reference,pattern,phi_id,branching_logic,required,form_name,header,Variable Classification,Validation,Field Notes,Branching_Logic,CDE_Reference,Custom Alignment,source_file,source_directory,Program,Title,Summary
pregnant,Pregnancy status of participant,categorical,,Yes; No; Recode_NA,"""Are you currently pregnant?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
smoker,"Smoking status of participant. ",categorical,,Yes; No; Recode_NA,"""Are you a smoker?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_none,Indicates that the participant reported not being diagnosed with any of the conditions on the survey.,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_hypertension_htn,Indicates that the participant reported having been diagnosed with Hypertension,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_diabetes,Indicates that the participant reported having been diagnosed with Diabetes,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_asthma,Indicates that the participant reported having been diagnosed with Asthma,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_cardiovascular_disease,Indicates that the participant reported having been diagnosed with Cardiovascular Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_depression,Indicates that the participant reported having been diagnosed with Depression,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_chronic_kidney_disease,Indicates that the participant reported having been diagnosed with Chronic kidney disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_cancer,Indicates that the participant reported having been diagnosed with Cancer,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_chronic_lung_disease,Indicates that the participant reported having been diagnosed with Chronic Lung Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_immuno_compromised,Indicates that the participant reported having been diagnosed as Immuno - compromised,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
diagnosis_mental_health_disorder,Indicates that the participant reported having been diagnosed with Mental Health Disorder,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
date_stamp,Date and Time stamp for the survey response,date,,yyyy-mm-ddThh:mm:ss.sssZ,,,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
exposure,"Indicates whether the participant reported been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours",categorical,,Yes; No; NA,"""To the best of your knowledge have you been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours?""",,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
permitted,Indicates confirmation by the participant on being informed that they are permitted to enter a WSSC Water facility or work location if they were scheduled to on that day.,categorical,,"Yes, I understand","""(COVID-19 Not Monitored) Based on your responses, you are permitted to enter a WSSC Water facility or work location today if you are scheduled to do so.
Click “Yes, I understand” to confirm the information you provided is accurate """,,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
quarantine,Indicates whether the participant reported that either they or someone in their household were asked to Quarantine.,categorical,,Yes; No; NA,"""Have you been instructed by a health care provider or health department to isolate or quarantine or has someone in your household (spouse, roommate, family member, etc.) been instructed by a health care provider or health department to isolate or quarantine?""",,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
test_result,Indicates whether the participant reported receiving a positive COVID-19 test result or diagnosis.,categorical,,Yes; No; NA,"""Have you received a positive COVID-19 test result or diagnosis since the last time you took this survey?""",,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
