Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Unit,CDE Reference,form_name
urine nitrite,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,
urine red cell count/hpf,"Symptoms ",radio,,"1= < 5, 2= 5-10 , 3= >10-50 4= >50",,,,,,,,
urine white cell count/hpf,"Symptoms ",radio,,"1= < 5, 2= 5-10 , 3= >10-20 4= >20-50 5= >50-100 ",,,,,,,,
blood culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,
blood culture result if positive,"Symptoms ",,,,,,,,,,,
csf culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,
csf culture result if positive,"Symptoms ",,,,,,,,,,,
urine culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,
urine culture result if positive,"Symptoms ",,,,,,,,,,,
covid 19 antibody,"Symptoms ",radio,,"1= Negative, 2= Positive (>0.05)",,,,,,,,
il6,"Symptoms ",,,,,,,,,pg/mL,,
lab normal values,"Symptoms ",,,,,,,,,,,
imaging,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
imaging,"Symptoms ",radio,,1= Normal 2= Abnormal,,,,,,,,
day of hospitalization,"Symptoms ",,,,,,,,,,,
date,"Symptoms ",,,,,,,,,,,
time,"Symptoms ",,,,,,,,,,,
result,"Symptoms ",,,,,,,,,,,
impression,"Symptoms ",radio,,"1=Normal 2= Abnormal ",,,,,,,,
ejection fraction in %,"Symptoms ",,,,,,,,,,,
lv dysfunction,"Symptoms ",radio,,0= Normal function 1= mild dysfunction 2= moderate dysfunction 3= severe dysfunction,,,,,,,,
disposition,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
admitted,"Symptoms ",radio,,0=No 1= yes,,,,,,,,
type of admission,"Symptoms ",radio,,"1, < 24 hours | 2, Full admit | 3, PICU | 4, Transferred",,,,,,,,
admit diagnosis,"Symptoms ",,,,,,,,,,,
date of admission,"Symptoms ",,,,,,,,,,,
time of admission,"Symptoms ",,,,,,,,,,,
date of discharge,"Symptoms ",,,,,,,,,,,
death,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
los in hospital in days,"Symptoms ",,,,,,,,,,,
severe illness,"Symptoms ",radio,,0=No 1= yes,,,,,,,,
return visit date,"Symptoms ",,,,,,,,,,,
medications,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
respiratory medication (albuterol/duoneb),"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,
pressor 1,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
pressor 2,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
pressor 3,"Symptoms ",radio,,"0= None, 1= Epineprhine, 2= Nor epinephrine, 3= Dopamine, 4= Dobutamine, 6= Milrinone, 7= Vasopressin, 8- epi + milrinone",,,,,,,,
steroid 1,"Symptoms ",radio,,"0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
steroid 2,"Symptoms ",radio,," 0= None, 1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
steroid 3,"Symptoms ",radio,,"0= None,  1= Hydrocortisone, 2= Methylprednisolone, 3= Dexamethasone, 4= Prednisolone",,,,,,,,
remdesivir,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
ivig,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
number of doses of ivig,"Symptoms ",radio,,"1, 2, 3",,,,,,,,
aspirin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
anticoagulation,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
tocilizumab,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
anakinra,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
infliximab,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
antibiotic - ceftriaxone,"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,
antibiotic - cefepime,"Symptoms ",radio,,"0= None, 1= Yes",,,,,,,,
antibiotic - clindamycin,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
antibiotic -vancomycin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
antibiotic -meropenem,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
antibiotic- flagyl,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
antibiotic-azithromycin,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
other meds,"Symptoms ",,,,,,,,,,,
interventions,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
oxygen- non invasive (highest),"Symptoms ",radio,,"0= None, 1= nasal cannula, 2= face mask, 3= BIPAP/CPAP,4=high flow, 5= NIPPV",,,,,,,,
mechanical ventilation,"Symptoms ",radio,,"0= No, 1 =Yes",,,,,,,,
ecmo,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
redcap data,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
immunizations_utd,"Symptoms ",radio,,"1, Yes | 0, No",,,,,,,,
flu_vaccine,"Symptoms ",radio,,"0=No, 1=Yes,  2=DON'T KNOW",,,,,,,,
covid_vaccine,"Symptoms ",radio,,"1, Yes | 0, No | 2, N/A (Not of Age)",,,,,,,,
pmh_asthma,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_diabetes,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_seizures,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_cardiac,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_malignancy,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_hematological,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_immunocompromised states (other than malignancy),"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_neurological,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_technology dependent disease,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
pmh_others,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
pmh_other type,"Symptoms ",,,,,,,,,,,
family_hx_asthma,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_diabetes,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_hypertension,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_cardiac,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_seizures,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_obesity,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_not documented,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_none,"Symptoms ",radio,,"0=None, 1= Yes",,,,,,,,
family_hx_other,"Symptoms ",radio,,"0= None, 1= yes",,,,,,,,
family_other type,"Symptoms ",,,,,,,,,,,
covid_exposure,"Symptoms ",radio,,"0= None, 1= yes",,,,,,,,
contact_mother,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_father,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_sister,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_brother,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_cousin,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_schoolmate,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_others,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
contact_unknown,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
"covid_if other, exposure_type","Symptoms ",,,,,,,,,,,
covid_positive,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
covid_test_type_rt pcr,"Symptoms ",radio,,"0= No, 1= Yes",,,,,,,,
covid_test_type_cepheid,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_labcorp,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_serology (igg),"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
covid_epidemiological link,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
covid_test_type_other outside test,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief complaint,"Symptoms ",,,,,,,,,,,
chief_complaint_fever,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_cough,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_runny nose,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_sore throat,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_abdominal pain,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_nausea/vomiting,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_diarrhea,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_rash,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_red eye,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_redness/swelling of hands and feet,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_headache,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_seizures,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_malaise,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_obesity,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_others,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
chief_complaint_other_type,"Symptoms ",,,,,,,,,,,
fever_duration in days,"Symptoms ",,,,,,,,,,,
physical exam,"Symptoms ",,,,,,,,,,,
height_cms,"Symptoms ",,,,,,,,,,,
body mass index,"Symptoms ",,,,,,,,,,,
pe_irritability,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_alertness,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_conjunctival erythema,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_strawberry_tongue,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_cracked lips,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_lymphadenopathy,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_cardiac_murmur,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_gallop,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_lungs_clear,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_abd_tenderness,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_organomegaly,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_neural_focus,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_meningeal_signs,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
pe_rash,"Symptoms ",radio,,"0=No, 1= Yes, 2= Not documented",,,,,,,,
family strengths survey,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
lang_pref,"Symptoms ",radio,,"1= English, 2= Spanish",,,,,,,,
age of caretaker,"Symptoms ",radio,,"1= 18-29 years, 2= 30-44 years, 3= 45-64, 4=?65 years",,,,,,,,
no_of_adults,"Symptoms ",,How many adults (over the age of 18 years) live in your household (including yourself)?,,,,,,,,,
dependent_children,"Symptoms ",,"How many dependent children (between 0-18 years old) live in your household? ",,,,,,,,,
age groups,"Symptoms ",,"Please choose the age groups of the children in your household. ",,,,,,,,,
marital_status,"Symptoms ",radio,,"1, Married | 2, Widowed | 3, Separated | 4, Divorced | 5, Never married | 6, Living with partner",,,,,,,,
gender_identify,"Symptoms ",radio,,"1, Male | 2, Female | 3, Non-binary/third gender | 4, Gender fluid or genderqueer | 5, Different identity | 6, Prefer not to answer",,,,,,,,
hispanic,"Symptoms ",radio," Do you identify as Hispanic or Latino/a/x?; ","1, Yes | 2, No | 3, Prefer not to answer",,,,,,,,
american indian or alaska native,"Symptoms ",radio,," 0= No, 1= yes",,,,,,,,
black or african american,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
asian,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
white,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
native hawaiian / pacific islander,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
some other race,"Symptoms ",radio,," 0= No, 1= yes",,,,,,,,
prefer not to answer,"Symptoms ",radio,,"0= No, 1= yes",,,,,,,,
other_race,"Symptoms ",,,,,,,,,,,
primary_language,"Symptoms ",radio," Is English the primary language spoken in your home?","0= No, 1= Yes",,,,,,,,
"food, housing and job security","Symptoms ",,,,,,,,,,,
food_a,"Symptoms ",radio,a) We worried whether our food would run out before we got money to buy more.,"1, Often true | 2, Sometimes true | 3, Never True",,,,,,,,
food_b,"Symptoms ",radio,"b) The food we bought just didn't last, and we didn't have money to get more.","1, Often true | 2, Sometimes true | 3, Never True",,,,,,,,
type_of_housing,"Symptoms ",radio,"What is your housing situation today? What is your housing situation today? ","1= I have housing, 2= Staying with friends, 3= I do not have a house (staying in a shelter, hotel, car, staying outside on the ",,,,,,Please specify:,,
losing_your_housing,"Symptoms ",radio," Are you worried about losing your housing?","0= No, 1= yes",,,,,,,,
no_of_rooms,"Symptoms ",Integer,"How many separate rooms are in your home (house, apartment, or mobile unit)?",,,,,,,,,
clothing,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?, ","1= Yes, 2= No",,,,,,,,
utilities,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
phone,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
internet,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
child_care,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
school_supplies,"Symptoms ",radio," In the past month, have you or any family members you live with been unable to get any of the following when it was really needed?","1= Yes, 2= No",,,,,,,,
employment status,"Symptoms ",radio,"Are you working now, looking for work, retired, a student or what?","1, Working now | 2, Only temporarily laid off, maternity leave or sick leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping House (home maker, stay at home parent) | 7, Student | 8, Other | 9, Prefer not to answer/Don't Know",,,,,,,,
other_occupation,"Symptoms ",,,,,,,,,,,
pandemic related job loss,"Symptoms ",radio,"Have you or another adult in your household lost your job or experienced a decrease in income because of the COVID pandemic? ","0= No, 1= Yes",,,,,,,,
job_lost_12 months,"Symptoms ",radio,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off? ","1, Very likely | 2, Fairly likely | 3, Not too likely | 4, Not at all likely | 5, Will be leaving labor force (vol.) | 6, Not applicable",,,,,,,,
health systems and services,"Symptoms ",,,,,,,,,,,
needed_child_health,"Symptoms ",radio,"During the past 12 months, was there any time when your child needed health care but it was not received? By health care, we mean medical care as well as other kinds of care like dental care, vision care, and mental health services."," 0= No, 1= Yes",,,,,,,,
health care,"Symptoms ",radio,Which types of care were not received? Check all that apply.,"1, Medical Care for a child's illness or problem | 2, Medical Care for a check-up or well check or shots | 3, Dental Care | 4, Vision Care | 5, Hearing Care | 6, Mental Health Services | 7, Other",,,,,,,,
other_health_care,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
health insurance,"Symptoms ",radio,Is this child CURRENTLY covered by ANY kind of health insurance or health coverage plan?,"1= No, the child does not have health insurance coverage. | 2= Yes, insurance through a current or former employer or union. | 3= Yes, insurance purchased ",,,,,,,,
other_health_insurance,"Symptoms ",,,,,,,,,,,
covid19,"Symptoms ",radio,"Have you or anyone in your household been diagnosed with COVID19, hospitalized with COVID 19 or died of COVID19?","0= No, 1= Yes",,,,,,,,
"environment, safety and transportation","Symptoms ",,,,,,,,,,,
lack_of_transportation,"Symptoms ",radio," Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living? ","1, Yes | 2, No",,,,,,,,
neighborhood_help,"Symptoms ",radio,"a) People in this neighborhood help each other out. ","1, Definitely agree | 2, Somewhat agree | 3, Somewhat disagree | 4, Definitely disagree",,,,,,,,
children_safe,"Symptoms ",radio,"b) Children are safe in our neighborhood. ","1, Definitely agree | 2, Somewhat agree | 3, Somewhat disagree | 4, Definitely disagree",,,,,,,,
social environment (family relationships and social support),"Symptoms ",,,,,,,,,,,
support_needs,"Symptoms ",radio,a)My child gets the support he/she needs from our family.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
my_problems,"Symptoms ",radio,b) I have people I can turn to for help with my problems.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
who_will_listen,"Symptoms ",radio,c) I have someone who will listen to me when I need to talk.,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,
less_courtesy,"Symptoms ",radio,d)You are treated with less courtesy or respect than other people.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
poorer_service,"Symptoms ",radio,e)You receive poorer service than other people at restaurants or stores,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
not_smart,"Symptoms ",radio,f)People act as if they think you are not smart.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
afraid,"Symptoms ",radio,g) People act as if they are afraid of you.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
threatened,"Symptoms ",radio,h) You are threatened or harassed.,"1, Almost everyday | 2, At least once a week | 3, A few times a month | 4, A few times a year | 5, Less than once a year | 6, Never",,,,,,,,
what do you think is the main reason for these experiences?,"Symptoms ",radio,,"1, Your Ancestry or National Origins | 2, Your Gender | 3, Your Race | 4, Your Age | 5, Your Religion | 6, Your Height | 7, Your Weight | 8,Some other Aspect of Your Physical Appearance | 9, Your Sexual Orientation | 10, Your Education or Income Level | 11, A physical disability | 12, Your shade of skin color | 13, Your tribe | 14, Other",,,,,,,,
other_experience,"Symptoms ",,,,,,,,,,,
mental and behavioral health,"Symptoms ",radio,The following questions ask about how you have been feeling during the past 30 days.,,,,,,,,,
nervous,"Symptoms ",radio,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
hopeless,"Symptoms ",radio,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
restless_or_fidgety,"Symptoms ",radio,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
depressed,"Symptoms ",radio,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
an_effort,"Symptoms ",radio,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
worthless,"Symptoms ",,,"4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
about_feelings,"Symptoms ",radio,"The last six questions asked about feelings that might have occurred during the past 30 days. Taking them altogether, did these feelings occur more often in the past 30 days than is usual for you, about the same as usual, or less often than usual?","1, More often than usual - A lot | 2, More often than usual - Some | 3, More often than usual - A little | 4, About the same as usual | 5, Less often than usual - A little | 6, Less often than usual - Some | 7, Less often than usual - A lot",,,,,,,,
number_of_days,"Symptoms ",Integer,"During the past 30 days, how many days out of 30 were you totally unable to work or carry out your normal activities because of these feelings? (Number of days), Integer",,,,,,,,,
reported_days,"Symptoms ",Integer," How many days in the past 30 were you able to do only half or less of what you would normally have been able to do, because of these feelings? (Number of days), Integer",,,,,,,,,
health professional,"Symptoms ",Integer," During the past 30 days, how many times did you see a doctor or other health professional about these feelings? (Number of times)",,,,,,,,,
physical_health_problems,"Symptoms ",radio,"During the past 30 days, how often have physical health problems been the main cause of these feelings?","4, All of the time | 3, Most of the time | 2, Some of the time | 1, A little of the time | 0, None of the time",,,,,,,,
cut down,"Symptoms ",radio,"Have you ever felt that you ought to cut down on your drinking or drug use? ","1, Yes | 0, No",,,,,,,,
criticize drug use,"Symptoms ",radio,"Have people annoyed you by criticizing your drinking or drug use? ","1, Yes | 0, No",,,,,,,,
felt_bad_or guilty,"Symptoms ",radio,c) Have you ever felt bad or guilty about your drinking or drug use?,"1, Yes | 0, No",,,,,,,,
hangover,"Symptoms ",radio,"d) Have you ever had a drink or used drugs first thing in the morning to steady your nerves or to get rid of a hangover? ","1, Yes | 0, No",,,,,,,,
income and education,"Symptoms ",,,,,,,,,,,
highest_educ_level,"Symptoms ",radio,"What is the highest grade or level of school you have completed or the highest degree you have received? ","1, Less than 9th grade | 2, 9th-12th grade, No diploma | 3, High school graduate; GED or equivalent | 4, Some college, no degree | 5, Associate degree | 6, Bachelor's degree | 7, Graduate or professional degree",,,,,,,,
household_income,"Symptoms ",radio," What is your current yearly household income? ","1, Less than $15,000 | 2, $15,000-$24,999 | 3, $25,000-$49,999 | 4, $50,000-$74,999 | 5, $75,000-$99,999 | 6, $100,000 or higher",,,,,,,,
cytokines,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
date of sample collection,"Symptoms ",,,,,,,,,,,
listing of 8 cytokines in columns,"Symptoms ",,,,,,,,,,,
weight_kg,"Symptoms ",,,,,,,,,,,
body_weight_category,"Symptoms ",,,"1, Obese (? 95th percentile) | 2, Overweight (85th to < 95th percentile) | 3, Normal (5th to < 85th percentile) | 4, Underweight (< 5th percentile)",,,,,,,,
age_groups,"Symptoms ",radio,,"Infants/Toddler; 0= No, 1= Yes $ Preschool; 0= No, 1= Yes $ Schoolage; 0= No, 1= Yes $ Adolescent/Teenager; 0= No, 1= Yes $  Young adult; 0= No, 1= Yes",,,,,,,,
health_care,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
main_reason_for_these_experiences,"Symptoms ",radio,,"0=No, 1= Yes",,,,,,,,
