Data Type,Variable Name,Description,Permissible Values
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__GENDER_QUEER,What is your current gender? Please select all that apply. | Gender Queer,"[""""gender_queer""""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__MALE,What is your current gender? Please select all that apply. | Male,"[""""male""""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__TRANSGENDER_FEMALE_TRANS_WOMAN_MTF,What is your current gender? Please select all that apply. | Transgender Female/Trans Woman/MtF,"[""""transgender_female_trans_woman_mtf""""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__TRANSGENDER_MALE_TRANS_MAN_FTM,What is your current gender? Please select all that apply. | Transgender Male/Trans Man/FtM,"[""""transgender_male_trans_man_ftm""""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__OTHER,What is your current gender? Please select all that apply. | Other, 
TEXT,ARE_YOU_CURRENTLY_PREGNANT_OR_PLAN_TO_BECOME_PREGNANT_IN_THE_NEXT_YEAR,Are you currently pregnant or plan to become pregnant in the next year?,"[""yes_i_am_currently_pregnant"",""yes_i_am_planning_to_become_pregnant_in_the_next_year"",""no"",""i_dont_know"",""i_prefer_not_to_answer""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_PREFER_NOT_TO_ANSWER,Which racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__AMERICAN_INDIAN_OR_ALASKAN_NATIVE,Which racial or ethnic group(s) do you identify with? Please select all that apply. | American Indian or Alaskan Native,"[""""american_indian_or_alaskan_native""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__ASIAN,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Asian,"[""""asian""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__BLACK_OR_AFRICAN_AMERICAN,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Black or African American,"[""""black_or_african_american""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__HISPANIC_LATINO_OR_SPANISH,"Which racial or ethnic group(s) do you identify with? Please select all that apply. | Hispanic, Latino, or Spanish","[""""hispanic_latino_or_spanish""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__MIDDLE_EASTERN_OR_NORTH_AFRICAN,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Middle Eastern or North African,"[""""middle_eastern_or_north_african""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Native Hawaiian or Other Pacific Islander,"[""""native_hawaiian_or_other_pacific_islander""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__WHITE,Which racial or ethnic group(s) do you identify with? Please select all that apply. | White,"[""""white""""]"
TEXT,WHICH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__OTHER,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Other, 
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_PREFER_NOT_TO_ANSWER,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__BANGLADESHI,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bangladeshi,"[""""bangladeshi""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__BHUTANESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bhutanese,"[""""bhutanese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__BURMESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Burmese,"[""""burmese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__CAMBODIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Cambodian,"[""""cambodian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__CHINESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Chinese,"[""""chinese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__FILIPINO,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Filipino,"[""""filipino""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__HMONG,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Hmong,"[""""hmong""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__INDIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indian,"[""""indian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__INDONESIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indonesian,"[""""indonesian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__JAPANESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Japanese,"[""""japanese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__KOREAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Korean,"[""""korean""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__LAOTIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Laotian,"[""""laotian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__MALAYSIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Malaysian,"[""""malaysian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__MONGOLIAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Mongolian,"[""""mongolian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__NEPALESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Nepalese,"[""""nepalese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__PAKISTANI,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Pakistani,"[""""pakistani""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__SRI_LANKAN,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Sri Lankan,"[""""sri_lankan""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__THAI,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Thai,"[""""thai""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__VIETNAMESE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Vietnamese,"[""""vietnamese""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_DON_T_KNOW_I_M_NOT_SURE,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure,"[""""i_don_t_know_i_m_not_sure""""]"
TEXT,WHICH_OF_THE_FOLLOWING_ASIAN_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__OTHER,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Other, 
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_PREFER_NOT_TO_ANSWER,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer","[""""i_prefer_not_to_answer""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__ARGENTINE,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Argentine","[""""argentine""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__COLOMBIAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Colombian","[""""colombian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__CUBAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Cuban","[""""cuban""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__DOMINICAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Dominican","[""""dominican""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__ECUADORIAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Ecuadorian","[""""ecuadorian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__GUATEMALAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Guatemalan","[""""guatemalan""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__HONDURAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Honduran","[""""honduran""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__MEXICAN_MEXICAN_AMERICAN_CHICANO,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Mexican, Mexican American, Chicano","[""""mexican_mexican_american_chicano""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__NICARAGUAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Nicaraguan","[""""nicaraguan""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__PANAMANIAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Panamanian","[""""panamanian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__PERUVIAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Peruvian","[""""peruvian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__PUERTO_RICAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Puerto Rican","[""""puerto_rican""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__SALVADORAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Salvadoran","[""""salvadoran""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__SPANIARD,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Spaniard","[""""spaniard""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__VENEZUELAN,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Venezuelan","[""""venezuelan""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_DON_T_KNOW_I_M_NOT_SURE,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure","[""""i_don_t_know_i_m_not_sure""""]"
TEXT,WHICH_OF_THE_FOLLOWING_HISPANIC_LATINO_OR_SPANISH_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__OTHER,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Other", 
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_PREFER_NOT_TO_ANSWER,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__CHAMORRO,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Chamorro,"[""""chamorro""""]"
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__NATIVE_HAWAIIAN,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Native Hawaiian,"[""""native_hawaiian""""]"
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__SAMOAN,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Samoan,"[""""samoan""""]"
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__I_DON_T_KNOW_I_M_NOT_SURE,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure,"[""""i_don_t_know_i_m_not_sure""""]"
TEXT,WHICH_OF_THE_FOLLOWING_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER_RACIAL_OR_ETHNIC_GROUPS_DO_YOU_IDENTIFY_WITH__OTHER,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Other, 
TEXT,HOW_TALL_ARE_YOU_WITHOUT_SHOES__HEIGHT_FEET,How tall are you without shoes? | Height | Feet, 
TEXT,HOW_TALL_ARE_YOU_WITHOUT_SHOES__HEIGHT_INCHES,How tall are you without shoes? | Height | Inches, 
TEXT,HOW_MUCH_DO_YOU_WEIGH_WITHOUT_CLOTHES_OR_SHOES_LBS,How much do you weigh without clothes or shoes (lbs)?, 
TEXT,HOW_MUCH_DID_YOU_WEIGH_WITHOUT_CLOTHES_OR_SHOES_BEFORE_YOUR_PREGNANCY_LBS,<em>How much did you weigh without clothes or shoes before your pregnancy (lbs)?</em>, 
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__I_PREFER_NOT_TO_ANSWER,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__INSURANCE_THROUGH_A_CURRENT_OR_FORMER_EMPLOYER_OR_UNION_OF_MYSELF_OR_A_FAMILY_MEMBER,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Insurance through a current or former employer or union (of myself or a family member),"[""""insurance_through_a_current_or_former_employer_or_union_of_myself_or_a_family_member""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__INSURANCE_PURCHASED_DIRECTLY_FROM_AN_INSURANCE_COMPANY_BY_MYSELF_OR_A_FAMILY_MEMBER,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Insurance purchased directly from an insurance company (by myself or a family member),"[""""insurance_purchased_directly_from_an_insurance_company_by_myself_or_a_family_member""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__MEDICARE_FOR_PEOPLE_65_AND_OLDER_OR_PEOPLE_WITH_CERTAIN_DISABILITIES,"What best describes the type of health insurance coverage plan you have? Please select all that apply. | Medicare, for people 65 and older, or people with certain disabilities","[""""medicare_for_people_65_and_older_or_people_with_certain_disabilities""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__MEDICAID_MEDICAL_ASSISTANCE_OR_ANY_KIND_OF_GOVERNMENT_ASSISTANCE_PLAN_FOR_THOSE_WITH_LOW_INCOMES_OF_DISABILITY,"What best describes the type of health insurance coverage plan you have? Please select all that apply. | Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes of disability","[""""medicaid_medical_assistance_or_any_kind_of_government_assistance_plan_for_those_with_low_incomes_of_disability""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__TRICARE_OR_OTHER_MILITARY_HEALTH_CARE,What best describes the type of health insurance coverage plan you have? Please select all that apply. | TRICARE or other military health care,"[""""tricare_or_other_military_health_care""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__INDIAN_HEALTH_SERVICE,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Indian Health Service,"[""""indian_health_service""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__I_DONT_KNOW_IM_NOT_SURE,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I don't know / I'm not sure,"[""""i_dont_know_im_not_sure""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__I_DO_NOT_CURRENTLY_HAVE_HEALTH_INSURANCE,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I do not currently have health insurance,"[""""i_do_not_currently_have_health_insurance""""]"
TEXT,WHAT_BEST_DESCRIBES_THE_TYPE_OF_HEALTH_INSURANCE_COVERAGE_PLAN_YOU_HAVE__OTHER,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Other, 
TEXT,WHAT_IS_THE_HIGHEST_GRADE_OR_LEVEL_OF_SCHOOL_THAT_YOU_HAVE_COMPLETED_OR_THE_HIGHEST_DEGREE_YOU_HAVE_RECEIVED,What is the highest grade or level of school that you have completed or the highest degree you have received?,"[""some_elementary_and_or_middle_school_grades_1_8"",""trade_technical_vocational_training"",""high_school_degree_or_equivalent_for_example_ged"",""never_attended_or_attended_kindergarten_only"",""associate_s_degree_for_example_aa_as"",""bachelor_s_degree_for_example_ba_bs"",""professional_degree_for_example_md_dds_dvm"",""i_prefer_not_to_answer"",""some_high_school_no_diploma_or_ged"",""some_college_no_degree"",""master_s_degree_for_example_ma_ms_med"",""doctorate_for_example_phd_edd""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__I_PREFER_NOT_TO_ANSWER,What is your current employment status? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__EMPLOYED_FULL_TIME_40_OR_MORE_HOURS_PER_WEEK,What is your current employment status? Please select all that apply. | Employed full-time (40 or more hours per week),"[""""employed_full_time_40_or_more_hours_per_week""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__EMPLOYED_PART_TIME_39_OR_LESS_HOURS_PER_WEEK,What is your current employment status? Please select all that apply. | Employed part-time (39 or less hours per week),"[""""employed_part_time_39_or_less_hours_per_week""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__EMPLOYED_IN_A_TEMPORARY_POSITION,What is your current employment status? Please select all that apply. | Employed in a temporary position,"[""""employed_in_a_temporary_position""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__WORKING_AS_A_HOMEMAKER_OR_CAREGIVER_UNPAID,What is your current employment status? Please select all that apply. | Working as a homemaker or caregiver (unpaid),"[""""working_as_a_homemaker_or_caregiver_unpaid""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__NOT_CURRENTLY_EMPLOYED,What is your current employment status? Please select all that apply. | Not currently employed,"[""""not_currently_employed""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__CURRENTLY_LOOKING_FOR_EMPLOYMENT,What is your current employment status? Please select all that apply. | Currently looking for employment,"[""""currently_looking_for_employment""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__UNABLE_TO_WORK,What is your current employment status? Please select all that apply. | Unable to work,"[""""unable_to_work""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__RECEIVING_DISABILITY_GOVERNMENTAL_SUPPORT,What is your current employment status? Please select all that apply. | Receiving disability/governmental support,"[""""receiving_disability_governmental_support""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__STUDENT,What is your current employment status? Please select all that apply. | Student,"[""""student""""]"
TEXT,WHAT_IS_YOUR_CURRENT_EMPLOYMENT_STATUS__RETIRED,What is your current employment status? Please select all that apply. | Retired,"[""""retired""""]"
TEXT,HOW_MANY_ADULTS_AGE_18_ARE_IN_YOUR_HOUSEHOLD_INCLUDING_YOURSELF,"How many adults (age ? 18) are in your household <span style=""""text-decoration: underline;"""">including yourself</span>?","[""1"",""2"",""5"",""7"",""3"",""4"",""6"",""8""]"
TEXT,HOW_MANY_CHILDREN_AGE__18_ARE_IN_YOUR_HOUSEHOLD,How many children (age < 18) are in your household?,"[""0"",""3"",""5"",""7"",""1"",""2"",""4"",""6"",""8""]"
