variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
vaping,form_1,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,b0e4204b0e4dba13fab5544dcdae64207f3b4eba06092ff443783f57b226adf5a4a965fa77c21ea016f397c7c2fe8ab8e20d40228de46dd46e9cc873d543325e
nicotine,form_1,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,3a412be978aa3363fbe4dd31f6943e3ef55064c8e6fc688bf4f5d67d7bd934b59ae4bc5ed988234b4cf7cb3b2b7df59b6d01bb3af9eda122df11ed39ec674ea8
alcohol_use,form_1,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,4fdca569e8e96de9b8aeff6eb6b9f38bbd1934321ca4486096cf83c1a19b0a74aaa133e79d843dd06c7d65ab465c71043f2a8b5046d1623abf19f88ba375eb6e
asthma,form_1,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,981a6415b2257c56a01e39929eb4deb2167616bfe8be2c9fcc395bf7717cf3e6c419db4b5b08b566e64265fd2f963b959429e809953deed22be1743308df0918
cancer,form_1,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,e9a3d80a2e82a9fb5064c4a3a929361ff1f614bf84924eb5dcae5f75db4375a1b1c1aa7f0d952f5d17157ca79bad4d47ab4d103842f2b8d895fa3ea869a5dc44
cardiovascular_disease,form_1,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,167a2e99672c3535419416570991b392e09c7509b27ec954804f1b8b48fb50080355d391b3bae564d4589cb2c4743dcd7440aa4079987e5689a513ae2593c7fa
chronic_kidney_disease,form_1,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,e6d28b5131a5233e7b8a703295687a3455346e6cce0066e9d266f082f6b4b1e6ca8f9429c67898956546941f68b3af54cb175cda47c0b00937b6597d69838217
chronic_lung_disease,form_1,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,dbc3baa6d5e027347e743fabc65f7362580bdd910aeff4c6f646bc289f053879598f4a9d11d94d10f868fa76aa6edb73600d32389b4fbc82a2b7f7cf11cb958b
diabetes,form_1,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,3c31ebe56782fcd3d4ef750fb058c569ee138298b55000e0a53bdc094e8b165c992c277f40ad0d7e3b9d0924afbf5828cdf2a0521ca0264f4c23549d6f123b3b
hypertension,form_1,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,f38d97659883d3f07eae225b46314ce76aa0e8bf3930b84a10f19cb22b912f4f60123098db8aae3b4dbdb555913ecf1a57db62ddb07f8805459b4f864a9cd820
immunosuppressive_conditio,form_1,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,78521bcf431b9417300afd619616bfa520b6eddda13bb49dd232427317de9f2b1d97977aac238c0f924e02ee6b3f5900b54a37201f59bf90c998f3167c7dd285
serious_mental_illness,form_1,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,4415e72199173c70ccc35d0b795620bde3dd7241252a43af402b76a12900797cc3e2a716bdd44f3277a14966447f2e522aea0f086cea5e38d5e3a70a05ad6d57
sickle_cell_disease,form_1,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,12d952df601e7e3ea29ef962a66ff913aba72c7c7c1e950a93bb4ca3a00bd64f3007e3585cdcc70434016f4fa36e9a374678ef9c6a799e2715ce9bca53f4d00a
pregnancy_status,form_1,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,[sex] = '2',,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,96cf79541dd2f0bef284dceb940de73f29cb90a97843fc7d5e89b4cdbc197b3211b02ca51e83b3c921f0979508c7af45f95c8b55c441ac30aa57a5b9e34d0b4e
cough,form_1,"Symptoms ",radio,Cough,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,20451cfb502ccc1f399232722b7de3d0c2e72c53a6d0fccb430e02d85b137d9cddcf93613d34da604fac62b928b3a07631472a480da80e34bc144a4dfd0a41e5
fever,form_1,"Symptoms ",radio,Fever,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,6731c01ce4c22dee19a7066c4d40069f218c8c7295d52ff2dd62977c8928d18f4ad56dc8a48e24e29bb0d61cdca0189256227fd1148a680808608919711a28e9
shortness_of_breath_or_dif,form_1,"Symptoms ",radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,59b7035bbb7cbdc63b95055391bd197ca2d68ef98063f63f557acc6590b58c1e013e39dfeeddc371c4d444623525690b24d6e1f9f270b4dd44f359eb7745bb1c
headache,form_1,"Symptoms ",radio,Headache,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,d8d1ff01bd24a6c7a61b07a951e1eb96d60bc55583ae3bec17ff4569dbbe871a5ba7dbf5dd9c92e1e13289139c703f90c2a1b177ac7d30c0747903a6fdc8e3e2
muscle_ache,form_1,"Symptoms ",radio,Muscle ache,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,6b59b3067b301a5446ce879d4650bcc6b8f32127e95001641ee756a922b39a6dea27ff3a8c894823ee86fa3c5ae976ce123228ab0e3aec9e2bf475bcdf71bc69
new_loss_of_taste_or_smell,form_1,"Symptoms ",radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,0269d04e19b67656e9d017299113bdf288df2cba3c6fcc678e1f36c1063368e0900f199a699769b753bc7614c799158e562c76dc05353f2af39922694d4b9afc
chills,form_1,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,9e1b01973164e4b55c22465c2b3234f575be2ea0a7f2598a641e69ffd774acf7f0cb2624fd47cedde6549093c037feefc6aabbfe0c31dfd12fe7e8b5d50fcc94
excessive_fatigue,form_1,"Symptoms ",radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,2d89af06dfe437c11a907bb08e26d4eae4f13965feb5104ed14796bcdb13461c5308c5e8914e0cee17d6907c995a9b303037855d0017445522efbec1398dd1d6
nausea_vomiting,form_1,"Symptoms ",radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,ab03fe2b2dcd67859b0f91e4fcd8350aed40a2ff3d3e6f54c7967aba2492cec98d1579fb70af6403ec4d3df4337802952f098907b7d1a7877829dadccdc34b1b
diarrhea,form_1,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,3e2f8103e79152d021c640f9cd45922ef3a4a67055fa86224f79758c1121aed278d19b5b4c627a4b6f34a528bcca0d19d71dbee17797e7d1e42fc7552918caec
abdominal_pain,form_1,"Symptoms ",radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,9c969f461acea1c4b5e93d0d1731c72b8da49687ad0f0e7a2a66b808699a763e834f829cba83329968ccda33f4a6ebe8968990067e913b8a2d31a3cc1fa4835f
skin_rash,form_1,"Symptoms ",radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,7b3d1915d96259ffe9164f3272ef7e9161f502ed1fb5ba6cdb048730be0922fdef4d21c60337cc5325d2170bbbf56a170900e7f489a4a126ff24d73cc7469c81
conjunctivitis,form_1,"Symptoms ",radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,bd5017d55f68c9d9c1990db833900ee46a5bb82d6ba3e79a438b10747a45ed39aeed5c97d0f8a878306b55112062b9f10659d7e6be02bdd5aa5669914cfdd7a1
height_embedding,form_1,Health status,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,height in feet and inches,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,22cce3551e2cc61e1e5422ddbd82faa7bbe4fbaf411fa5800da1d019b38ec633fbab31cf9826b3bd5f42faea033dd6762db08fb8cdf831043c51f6fc3ffed144
height_feet,form_1,Health status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,31cae3b8943ec09b458f09d9d01b7bc74f338b6c7da85a3ada352f0530dd92cc610af80cb9a3b969b7ba2462569b8c3efb9a27df42ddf973bd84da24d4e62d51
height_inches,form_1,Health status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,c48d68b294b2fed92a7598fe2a8abd8d70d5972b3d5b6713135e39e69193aadefc2bd8c815b66eb8707757d34d0b9fd39cf78d39878e6860844d6702e7cbdb33
weight_lbs,form_1,Health status,text,What is your weight?,,Weight in pounds,number,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,101e7f80a650b41db79520250656e92996273b8a5a154b253722e52b6fa304c4ebcea6579fe047905f9ca0579f98620338c2baf03b37ba7931a31d231fa7a301
health_status,form_1,Health status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,221df2d4e043cf1fbaf5c6a7edd67c2c4f1cca5886483901d33f884f414447eeb4bf74ecbd86ee5d96da5c78149ce7f74a24514cf2f5a18d930f465173a65796
