Concept,label,variable_name,value_constraints,Comment,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",blind,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,1de3da273f9848ffe32fcc55f66457819109affca04b690fd90059a6cbdc1077396aa02b3d9fc7059c65f6c6a10a0e4558c6fca091f0d1ad030a4a2257af53a0
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",memory_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,19e1f57769c56d9e1aa83c93dea36083fc28de60fdaf9473901b49a2136ceeee014bc31963e26e87212f3e308dd87dd06d5ec3c582e081e1de9281caa177f314
Disability Status,Do you have serious difficulty walking or climbing stairs?,walking_climbing_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,e62de3c5049e221354c170caf52efdcee71b4a4d5302bb5097408a00712a8999baf792d9b2fc1690dbf6928bdac3ac7bd3599d75697eefd02255bcc4bdf08132
Disability Status,Do you have difficulty dressing or bathing?,dress_bathe_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,39a84e500f342d3cb4d7ab1e2b81f98388d1c851a9944d382c2d524c2cc69127a524861df1734520db3f0a47cabbf4a36dc569923383b264391ecb4abe0b5bd0
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",errand_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,736fdafb0c09c72154a0d8f688b9f1a169c079f092b7560443e203abea57ee3f9d44a5d11c8bd0be58d7bf04b2cd646229eaa4570b060868dae04f7e432d5eb3
Medical History,Vaping Use,vaping,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,710d257f15132a86f7df81ea93d8d99590693d162c6b5128f7d29b8b664a4423cf4241a097e6280b16a642a9bed030c3ed1116b41266a48409b85fdc38684b3f
Medical History,Nicotine Use,nicotine,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,326bd0df53ce113a970dc6db82cee4555544f50e475697354e91508e6637ebc89fa5670766792e388458a8f0b6619109bce84e2b7cd67ef7ba32b5168c52e37c
Medical History,Alcohol Use,alcohol_use,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,f89979e2de91a6f19dc242e6da294bfd2e09db0f7e160c068c76305535bbe18ab0b104cd5a40e1e6a6733375403fdca5aceab497c49b16ee022e4b087ade3fb9
Medical History,Asthma,asthma,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,a42f512cb55a3a1dd7d9be4593856006b2f8f0c74f040691e532df3a232518cce4b4bb25bdb3e1fcb67979dbc404cb200fc01a9b7200ea42bb3447bfcfd55c80
Medical History,Cancer,cancer,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,5ce631b4a9fdd5435006578e597e2ee5cafa32a7be9bef4cb9e7e896fa6e14c6a06c67acc5c008f15b60d0dce482465858885e29b5534429d7dc8bfacad4db79
Medical History,Cardiovascular disease,cardiovascular_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,8b762b24210c5f8f207815eda2aca5f1606677816612cc567894ba33f5a912021c8aa6728acf7cca9cb78dfab2de6e807f350c6106cb1d43d4a83e638f8e6148
Medical History,Chronic kidney disease,chronic_kidney_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,b53affe7e937b869d23543c3e01110cfc7903b803e786eaaeaf56e0ee88d9067373e4149dbbf513f4877d95397518004282082bcea9c286f63ace038f7f73094
Medical History,Chronic lung disease,chronic_lung_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,8381ccaa2cf597749bb0e98a99c09df1f41d9b9797f09d9b518a69dca2dac7db132323bdc293d66c80a571442a304da8591470db86fd1f06c1910e8cdbac8377
Medical History,Diabetes,diabetes,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,ac1c79cdda7f1048d5d61011fb6b00dd5db58c3b4511a73ed2dfd175217e38908597b78df0259c88749e4418ff3e13d560609920c674bad750a7bfcc151f5bc6
Medical History,Hypertension,hypertension,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,a1e1baa2808bdefbc7d2c83ae3635f264d594a561c39707c3bb48ea68ca8ec5eda889dcc4c20ebb990d3c4a594a523e6cc936bc27864f5e24cacc2b03b1e6116
Medical History,Immunosuppressive condition,immunosuppressive_conditio,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,c022f292f072c092d453af6f33296343ecc5e94c48c56ec83740587b4481bdb0e2063e0e6e2905f59f0ee89a6a0864e0d56dbadaa951c71292dfa0caed4708a4
Medical History,Serious mental illness,serious_mental_illness,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,4132e57b6620bf2a831e245ab1eaf2536ae2309f4b98d3ba5dfcda6051f8e74f04d28e3b11d7faf9ac503ab3ee817663eb7b78dd3afb0ea55c544962fa824a89
Medical History,Sickle cell disease,sickle_cell_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,f80c4a8da181b7124896a5dc3260bd2c89e035f51bab03729656dc6f6b1d5c010e1d7b136c290c5601faa41610e7ed6f8357cacc43dfda85e2921238748d00e6
Medical History,Pregnancy status,pregnancy_status,"1, Currently pregnant | 0, Not pregnant",,RADx-rad-global-code-book.csv,RADx-rad,7823a1c1db53f33f1454e9f2209d8e8a0c81c4e1d9f5f8e345158d0f6dbf85529435d0df92d38a956e21c43a25e9ddffba10d09ad26c263c49a618446714f342
Symptoms,Cough,cough,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,cd2de072836e5b8fdf55a7cedb04372873419431d796845def6b1963377805fae90cd3d5bcf06fd30c95ee9adbf10a2c742238033880dcb4796d7854ebf26818
Symptoms,Fever,fever,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,6f38cfd0a1e76207d57a6ee2e43fe8b710d288f8a736b99f0358566cde1022f90aa4b0526161cdab6451aac092bd523458d0dc82b9c123998c50da32a9ff3a78
Symptoms,Shortness of breath or difficulty breathing,shortness_of_breath_or_dif,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,ecba36f2e0910b08ced543c04cd2d9a0f004355855927620e112bdb5b192a1fbdf2991b63680685ce0108ff668607ea8c03e6c55d9883de22b8a20b9686ce692
Symptoms,Headache,headache,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,6d06272a3a5fa3d30dbedecd2936ad842687e4291dcdb7d1c3f4b80dccbbeeff55f096c6cda792a9cbfb7d40b8d7ee86e61813688a0a167a8fada987d961e8cd
Symptoms,Muscle ache,muscle_ache,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,00edb6a15ac4bc0266e124e115922939469bcdc475b36da387f816d8d82b5f7fe7a37055df98e1272c27062e7b215c988b75d7c6fe1e59c48ea7ba0d66d8064a
Symptoms,New loss of taste or smell,new_loss_of_taste_or_smell,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,71be87f2bf6ac866162fc7c38cc44179eafe807ca149ac9e7c88f6d993275793221df2d3bea033b16de8cf2e3d91df8f18d6d9e100968a79c559d6edaafee72a
Symptoms,Excessive fatigue,excessive_fatigue,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,04ac5092701eb90c28bfafe2e3cd9cae49e3b8bec460312f42a8ab8c3a627372794de844154edb10de925fdc53bd67e78cf39630fc15399cda7704c3954b7b3c
Symptoms,Nausea/vomiting,nausea_vomiting,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,dab68a9897dcceb8fbef05e8229b7c77400537b795aea41eeca8d817359828b6613f07669f30cc4f886f2c1a76ea3e35c8f4b634c4de9d847aaabac7d1e95637
Symptoms,Abdominal pain,abdominal_pain,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,7720d9c4829c8efe7359e3f360507c94d782f72d9deff0291615b321be060d81c9048281e697e05e07d665458ec09ee09052913267e17781b06134613c2a7804
Symptoms,Skin rash,skin_rash,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,baa89d3e8bf7e72d6dd19d89f6a6c79c54281e52c00829c601d713dc824b5e8a2a3d2b4a1820d87ec23be39a28ff4b87ed7ec8acc047b8f8cd93b86f3ea06639
Symptoms,Conjunctivitis,conjunctivitis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,a4a664bfef447d8135264e5f0e774397124682a01f89ac4c1ee3465f1eeb6ba579a0838efc5551d5ef6e486441cfdc1dc590dba50dc316264f06cb4b46864948
Health Status,"Would you say that (your) health in general is excellent, very good, good, fair or poor?",health_status,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,RADx-rad-global-code-book.csv,RADx-rad,f3578dfa296783dad36b94cc522c0e5510328749eb8b44e4e85acf448d133b6a77d3f0b16d7acbb03264bdfe272c353c5140b334cbf9fe1cb2c87818a8b526b6
Health Status,Height Feet;Height Inches,height_feet;height_inches,,Weight in pounds,RADx-rad-global-code-book.csv,RADx-rad,2b1a620300172c41184176fced8336ce103f2b33245e45ec577d6f62e32cc430f75154e5e6bf1e8a83ba9cc4abee5dfa7366b6fcdba06c54bdd4fd61834a35c6
Health Status,What is your weight?,weight_lbs,,,RADx-rad-global-code-book.csv,RADx-rad,5c35227c80b839ed37a016bb3ed5c74a44b0b1ae3d509c2791af432efa4a34346b74b83ccc65e0077a4a8c988e08158b7bfce0766d6c00d8bcc10db3e73db7d2
