variable_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
time_zone,Sample,text,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,time zone (UTC-[hh]:[mm]),,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,42f52ad60b813b6d7b7f59a0a0a3fea4ac14c6cd5d555a60c1ad4e7dc4d17cfc96b6ca8f78bde9e235385b017c855c713d3d9d1f6d964c7735bf70c3888c5295
flow_rate,Sample,float,"Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected. If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ",,,,0,,,million gallons/day,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,f15222cc27bb5f8b6695a2fdd2f5dd07fdeb7bff6f395931afb00d9c4988f316e1a5607c239d89b6686244ed0d6e09f5cd3f697030be638e1edabb74a39af5a4
ph,Sample,float,"pH of wastewater sample (if sludge, pH of influent at time of collection)",,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,cd7e4364460ae79a8c7ab686da1b567a187fed6d598acfa278b0cc0ff0aba6f7cd3cca04e3f6aaa43ca31b3a57745e5917649b5b28bdf212599c467b20d02266
conductivity,Sample,float,"Specific conductivity of wastewater sample (if sludge, conductivity of influent at time of collection)",,,,0,,,microsiemens/cm,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,e884964fc73c0c35df218e53f09c1d7dea7602df75bce4ab11d0b80166d8a3d2f837cd33fb859f7aac46766deb13375aa2ec746a6d097a62aaded94a1452e196
water_salinity,Sample,float,"Quantity of dissolved salts (NaCl, Mg2SO4, KNO3, NaHCO3), in parts per thousand",,,,0,,,parts per thousand,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,3354ec544550be0fc9dcf7fc7a5320cdff16bf559ee5519b6d738c4f7d1f4a8c319347bdb941841fee54bd25a81693c65ae7b441a0a46376336e6c166295cb38
tss,Sample,float,"Total suspended solids of raw (or, if unavailable, post-grit removal) wastewater ",,,,0,,,mg/l,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,99ee15523465d239a9591fdf0011c7785a2237e5854fafaedbed9b541c77c626da0b4c31f46534c5b3528aec72a913eed8a715257c4e2d9bc5870198ff5308b1
collection_water_temp,Sample,float,Sample temperature at time of collection,,,,0,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,51fb46ceb1c376c8221ad5b66a28557fbe881b74b5f6f1bf16353e7849bb9e650129008a63cdb88f8dcd20527fafd157bc30c7f319b20c9c76f9a43d166cadfd
location_air_temp,Sample,float,"Temperature of the air at the location and time of sampling, in C",,,,0,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,5c60a50854e7f6a6dad260e0b563f9ea6eb35d800a5c3e2a890e7d7c085ff3067df15d6c023e69b971dc6b1f489f347ddf5e06023796bde8de7e14b6a964db39
location_air_humidity,Sample,float,"Humidity of the air at the location and time of sampling, in %",,,,0,,,percent,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,d692ef777b998046d290bb9d2779f743eb24043e741d00336122907fd9330fbead4e4f7704c3e5b20b1522a5a62e94c5ed7ce5e31bbf4fc590226891a45b9d3f
sample_cbod5,Sample,float,5-day carbonacious biochemical oxygen demand (mg/L),,,,0,,,mg/l,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,f3accbb216a2afaff200adaec941217e2ef0d2c37107608c89f91a8a269b5e5ca8c931040eb61700ba4694a59f8322c7fd1bef455a49b231405317d370667ea1
sample_turbidity,Sample,float,"Turbidity (light scattering property of water that results in loss of transparency) of the sample, in nephelometric turbidity units (ntu)",,,,0,,,ntu,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,8bf85e20ddd2cdb2e1adc14e95af9f9b8a0f0f7002d033c046821b87f8b961ea676ef8a4b3f97193adee6a2d495e000f0722688c41013fa2ed3a4ae68c4e65f9
equiv_sewage_amt,Sample,float,Equivalent unconcentrated volume of wastewater or mass of sludge in PCR reaction,,mL wastewater or g sludge,,0,,,unit?,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,6b9ea945357c6643be06f0525197d560bfbc04eb42b8e68b60daf6844c98b9cb2423fd9599b67ae962f596dd44cacd3775ec2788c0a8f3926325f9c563c6d4ba
sample_dissolved_oxygen,Sample,float,"Amount of oxygen dissolved in sample, in mg/L",,,,0,,,mg/l,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,95a1e3f0fd594521286301378b9491b97d4cb522235d396ae3e7c70c40110c16b13454a870852e4546cbd2080e416faf37d428114c2c087661b790d9b0e02ca2
composite_start_date,Sample,date,Composite start date,,,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,9baf2d7f0ce7983cef54f9971fb068d96102f74475110f6b325a1ff2bfb52232232840b1e1d36eb09317edd6a50deda1c157ff8edae67bfab7fd4ed6301ac674
composite_start_time,Sample,time,Composite start time,,,time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,6ed9393703c591a6a93715a066929b6b6683663b975382e49690865626152acbd1fe0cd0a0d378cfe30fa22907848400fa70a4c4f4112760acccf69909446145
composite_end_date,Sample,date,Composite end date,,,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,1ba715b668da46bdb5d3ed26650b0b7224f3096ed1d7eeb73985ddaa2028689b203c1121cd15f849a8acde8839c531e5d6e0cc79c08409ae2349c462bfde4f6e
composite_end_time,Sample,time,Composite end time,,,time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,7ddf7cc2a8effebe1c04dd64ec8ca4796d38df0347744b436a89935c8663ce07ea7ea4249a241430876ca32bfc532a551f6bc8397ebb8aa1fc5edba0c8d5cffa
composite_aliqots_attempted,Sample,integer,Number of Aliquots Attempted per Composite,,Number of aliquots collected for composite sample,,0,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,dae927c1834c524ee6cbd80ce83526e043b185ab31a2010d247cab0e38ec5c76298be3affa4f10b60689c15ac325a4847bbd63b0f3b2b9b633b320c7d10a6bc7
composite_aliqots_obtained,Sample,integer,Aliquot Number,,Aliquot number for composite sample (this question to be asked based upon number of aliquots listed above),,0,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,b46e395c9de526c6928dedd5a0b5c707b7dec6cccec760358a51d6dba7949521f11e108ca51f1c7360c6b3c3202d734dbd1ef655ce690f066ffea8eaebaa9f6d
composite_aliqots_time,Sample,time,Aliquot Time,,Time when the aliquot was collected (this question to be asked based upon number of aliquots listed above),time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,17d72a3038643af6651cb50debb4f4dd73eb691be605f76338a4b334856c8807112dd79b851330cf322c30d8e415452d4b81896dfca688c27ee9972fc90277c8
composite_aliqots_volume,Sample,float,Aliquot Volume,,Aliquot volume collected at that time (mL) (this question to be asked based upon number of aliquots listed above),,0,,,ml,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,96d3d709b88440978de71455a8592039683e2b7f2c9219192f68041e2ef2badfac0973d2f17b8aaa5d1610dac50b85ac7a8187a77fa21238605008b3cd4ac1a3
sodium_thiosulfate_added,Sample,category,Sodium thiosulfate added,Yes | No,Added to Neutralize Chlorine Residua,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,7fe98cd41953565227872e427853f28010e5b4d634275be8fa68d051de0a28ffe2bf665444a68e402e34e523caca0e7bbf384523f25cb466fe519367517a5718
concentration_of_sodium_thiosulfate,Sample,float,Concentration of sodium thiosulfate solution,,Concentrated solution of sodium thiosulfate to minimize dilution from aliquot added to sample bottle (100 g/L usually),,0,,,g/l,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,706a87115ff2e300d6560319c6220b1db98da85a38f9c94d1adfba2ae3fffaaa5035bb80c4522f6fbb0d103f2fe5351768ee27d48de0d8dd25fcd5b32af20fe6
volume_of_sodium_thiosulfate,Sample,float,Volume of sodium thiosulfate solution added,,Volume of sodium thiosulfate solution added to bottle (0.5 ml or 1.0 ml depending upon sample bottle size)0,,0,,,ml,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,8dbfc5c7053c5318b8cd71f7d46c7b3cc4e1ea93f778e441e1013d9f98a265a5d732b29953fb342f2995ed1cc8660ab543bcf884f59c5d7851c275f799a77ead
notes,Sample,text,Any notes related to sampling,,Any notes related to sampling,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,3327838062d5ec6ca5cacbeda9cb2f2f97768017293c0d183b572f1dc97ca8ef9128e94544ae1a46524c38656fc0d8a1c77191e6baffbe3b7f426ee0a32b3373
sample_id,Sample,text,An ID assigned to a wastewater sample. It must be unique for this NWSS reporting jurisdiction. Wastewater samples that are split and measured by different labs should have the same sample ID but different lab IDs. Wastewater samples for which multiple SARS-CoV-2 PCR targets are measured should also have the same sample ID.,,"ID (Internal ID to link a unique sample to lab results), jurisdiction id (a string 20 characters or less, containing only numbers, English alphabetic characters, underscores, and hyphens; white space is not allowed)",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,37c7181dcbb5bfbfe20049503a35c8406c9e41fc1049ff1174c4d861169502a82ff15fb3eaadb001b64da7850a84878d873f10377ef5fbe42b8784b37ee447ea
lab_id,Sample,text,"An ID assigned to a testing lab. It must be unique across labs used for this NWSS reporting jurisdiction's testing. If the same lab is used across multiple NWSS reporting jurisdictions, each NWSS reporting jurisdiction may assign that lab a different lab ID.",,"jurisdiction id (a string 20 characters or less, containing only numbers, English alphabetic characters, underscores, and hyphens; white space is not allowed)",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,6f608068ce3ad802197b91da677072d5cef5ce5efc66e02c7c9a30aa551b0d1185a7a910d7cdf144c888bb3ebc2b2b5e3f0d47900c585a166f73e9e967494e35
solids_separation,Processing Method,category,"Process used to separate solid and liquid phases of the sample, either prior to or in the absence of the concentration method specified in 'concentration_method'",filtration | centrifugation | none,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,38ae3ced57ffd42985cbc40efae846023e53a08be8c6cbe03cff2602f252a0a6786a14b92623c0473fe54f5c7888207d527c9a0b6159ddd88f16f732a89ee82b
concentration_method,Processing Method,category,Method used to concentrate the sample prior to analysis of the concentrate,membrane filtration with addition of mgcl2 | membrane filtration with sample acidification | membrane filtration with acidification and mgcl2 | membrane filtration with no amendment | peg precipitation | ultracentrifugation | skimmed milk flocculation | beef extract flocculation | promega wastewater large volume tna capture kit | centricon ultrafiltration | amicon ultrafiltration | hollow fiber dead end ultrafiltration | none,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,20c474758c8d0d870acf54d6d451e4d2dd43ccd0204b58a41ee6bd42c9844b9d998fde6f0a43ae18210b5c8f558203937962f33d5acc3d4673b2375d3519dbf2
extraction_method,Processing Method,category,Method used for nucleic acid extraction from the sample,qiagen allprep powerviral dna/rna kit | qiagen allprep powerfecal dna/rna kit | qiange allprep dna/rna kit | qiagen rneasy powermicrobiome kit | qiagen powerwater kit | qiagen rneasy kit | promega ht tna kit | promega automated tna kit | promega manual tna kit | promega wastewater large volume tna capture kit | nuclisens automated magnetic bead extraction kit | nuclisens manual magnetic bead extraction kit | phenol chloroform,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,331b76da2b291e2c330b42c83eed5d2449ad361bf5bf3ea8c50dac05659f4c5c9d187b9c7d6e6d78c68c3449e0664389dbf273d8f2734b52aa39547e772b9019
