variable_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
blind,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,d9dc2c1f4ef394285e86d9e1fcb5e08cf54e5e5cfd7c6122364555844f8bce51ba8efcebe3350d550a00a003a06abe9da4b8aa6fc18831dffd61de13cc6c889f
memory_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,42a6bdd69b6e4e74515380eae711cf4fefa811430973ebc91288ca892b1ad5bd53b94e6ef2732d5b960be8b2aad57e8ff1a3286a40a0367d42b9e72a17b520f8
walking_climbing_dis,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,9b3d0f9f600633f4d0739cce1af0b547a211c3c3dd1427e4147db248f8eb48925b55286a1865e46fe18dcd05a66c6b0e74950a41317dff2c838b284a087d8ffc
dress_bathe_dis,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,5e0c398eef5a1774fd3fa22e92865c01b9bbbc108265e82abe6114a6f19fed1413319c1a0aa56097a810fc3753a55bbaa06b0e426d149dab63a0d2e43421d370
errand_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,0e874ba076a3da6ad89c449a500577abc1a8d497e627cb10e6f39f42e307882750865ad50c22dc53fa06e32a8ed081ffdd8809f828d7e9cfde1083232b848990
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,1d11efbc871fb83438bf5009217d9e790831e50964420871f9b96e413bfc2f2cd802ff656b788227bbf11e192fc565c169b3f9ae1ed42d64dbf6831754549f01
nicotine,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,75dffb9f4e6fa4954380c9445d726ace34f2375e3523d3c6fb4a9d99722c36c8ae5aa9188b88473c55bf9cb73ff459d96492588d7b6489a5e6a69f6b1c40d6a5
alcohol_use,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,d6de77c3ddb433a6806a67dec173ca7beef0874f823aa78d5f1deabdc2a9bc084b3e796357fda0bf442a33af4def06affc2beaef243b4e7129cbf2d700d219d7
asthma,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,2b11679b13c164c8b58da664e115d9adca9a534e663bb8e1b522d7cc94e4b303730b35644780e3ded4716097df95d3ad1f9eb6bc37cf359802543910e470b536
cancer,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,5014c9a58777d4c952a9f3e13418b0efc635c05bfa40a84389e927833c0acbcf845525b89abc3d7710e0b339848c6c80184671a08d3ab81b6e105d7dd48da3fc
cardiovascular_disease,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,2ca9c4d22c4814d3f4230739e433552b0f6dc558399060bf6bb3de6e831f20e5c21410564f534dd3c38b71eb7769d785389605869d60c2960640ea614f458128
chronic_kidney_disease,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,18dce17042d096e8b9a201fec8ad801668f23130b78b15d542725d91885d7668baf92fa2946e1a6e9f4e91e5a414519d63870d93a5df42069030a20a2be38807
chronic_lung_disease,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,ccef54d33f88530b0ff59b9f39372205edd11dbad68bf8b6d026f2f2892877c82c77f2d84ae126adb6810ae315f25d888fc6274ac6ad2d7f1055a538984ed09b
diabetes,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,a22f274c6ccacdfeaf43b58290986d92ce88a275943bc7504b2d1175d4738b7d8587a16728ae2e72ea89fe3804d298afeb26955d4dda4ef52f1305260a5d8a99
hypertension,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,40ae3cdffc89706f4b238b1b9070db7c9051b9a18af996e7c71da8e97fe7c80b552406a5257b1ef9cdf17e767a3617cd3fe21b90c45327d0d2e37568cfa58c47
immunosuppressive_conditio,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,7034345346d9a7a426e8e1665165008131e6c3983fb674cd0e352ab776e4dc53c45d8a824cb652594ca2e6b0b3d5ff820098e53a0ee44ed3e2913a40e7b90653
serious_mental_illness,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,7c431fa6ff0c94bd04f0c1a44c81e1d01616c3f0c2c1f050b0ccd5a147dfb512f71af4525c2e9ed86ca3af71f704cd3ff49c22c9a172a0f1afcf9bbbbca2b5c0
sickle_cell_disease,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,fbcdd7d2ac87708ede1ca26a45e60125a33dea4dfad17bb289aeeb1949f1b9be7c90dce80683eb5f4e3347b64e673afeaf5c5de08b3747dc9ba3ca90a7829f3d
pregnancy_status,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,[sex] = '2',,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,2c492e02965950a516fb9fa470f393947e03defa2d3619c0a188c1e759caeab10eeb3e317f81a814d05a618a4396887766090e4a825f0c2aa017cbbbcb9b25b4
cough,Symptoms,radio,Cough,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,a8a9e05bab6599c4114afa4dfdccc7a23b952853f729a2e44c037ca0e6a3d3160edc287ab4b3015f4e8fb264e3f3948355b28f8d7a432515d588a98372696fdc
fever,Symptoms,radio,Fever,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,e7e846e2945349e89daa560004d5419a5f0441f179da659246d9180c8cda3491e4c5e2f891ce990193f9b84b90a59a0e195033975882561f67c2a6eac0b208b6
shortness_of_breath_or_dif,Symptoms,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,aa47793c7d23ac5f8396242d7ed4d88106a6d204e07dc68b7999fc6845a2d36efe2fe6be79fe1509c7b0f7d5c189c94edc15a3de44ccd50e2d9f968671f2ca4d
headache,Symptoms,radio,Headache,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,ed88465e6ffc666352ce55528fb3c53de707c6ab0fd8a013a90914780b1f26bd8c24dd0db27cac36a1e3dcf9a48982a4904c2ad8f1cfeeb502cd6476de1b4035
muscle_ache,Symptoms,radio,Muscle ache,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,fdf118ccbe624e7e7bf203b13b2091de590ed2de1e9e035a025cd7543dae0a74688ade2ea3c8c46701d70749dbb51397ce67e48f7d5e98ab24bfafeceb9e312b
new_loss_of_taste_or_smell,Symptoms,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,ba2f6a8e0df3413767670299cefcef23231d7f6f4d41cc6fea440604ab9713f1f78c595f21daf3005ce227ce23babcdb061f36ab0db349bd1028637a38d43330
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,1a29729811a1efd5fab00a8f733213119ec57f9917bd46616be2bd7325eba15586f7df179ed5429ce5aff134b43545d817e376a4fb0171428b1c755aa3de680f
excessive_fatigue,Symptoms,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,a2813352ccbac2d4f285eb9c002670af3ce1cf7bd9ae22a9186bc2faf255221ba956db1758d05c43c6139963e1b7afb6e47e481d439c75ac582f2e5b160615e0
nausea_vomiting,Symptoms,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,7aea077c22e2970109033ee107ec1298d4b3aaeafb51819e35ffeb6b9f8c6158c276a71ac9879cafa4a4744339742ec540c7a5b50c6613768075cba56e97d9f8
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,e27322f44befd236c828c43100c51bad28a78fd1e61600ea188f7529e61072c004a290e9ce282ff1e8b351ed6e4caf517da7198648a1387ed36e837b2b6b4eef
abdominal_pain,Symptoms,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,604c535738b838587f4a3c15a98868a595f0f0865a5d65a6941eb5b5a16941399ac1e4d517ba99a9abe81fc8e9ee0217a2f960fa3174ddec701871ab84063a68
skin_rash,Symptoms,radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,f50f225aa340cfc589cde31ada0ac7fd2b88611988984bea151b70df6151d61a74c357836141831bbefd548afea7d1f1ebccc6614be4611b6ff680b1a8277638
conjunctivitis,Symptoms,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,1addca0c257942f3cf393e24cf909440ab3e166c6466ab8948e492247f4afecdbe6769fd4e517665af8de4696a4b6dc8f9323a0a24fbb3f4a2260d1476c08e04
height_feet,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,foot,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,14bfc74033585c95e9203d4a420a731e600ca8691ff4c3e8cfcf1faf6f519e728976072b9710488a3011a44634f9deaedaad19e5e07121ba40847656ca865fe3
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,inch,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,78f9cd605763fdacb47fae77f404813e300052df1935188d2c7677da379120b0882a6a248ceee00e76b8e86e182f6ddc720422f33b8a2a759e07f653e02d5350
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,,pound,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,331edeee2e2430f1a2602fcaa8e04c07c58fefcdad836931d769d404fda37ee413a7dba3e50ba730af1476ed257030c60dbb4973619db69face27c7d9f94338a
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,54bb744424128023e4dd4968bcd7c10a6132569e8b0fc597fe2aa44c0b35b356a48fb2026d8ff98369cef6711f71f98c1c31ddbbed8ad081ea06264475fbb0c4
state_names,Collection Site,list,"A pipe ""|"" separated list of US state names.",,Use the list of US state names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,RADx-rad,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,2f0b7313b1ac1cbb3bbea60a188a5f6086312b7ea4ccc807c39c4eabad245946cecf96c84679a3b37630b253baa78ed8f217f86891ec336ab9ca7fe43e760f80
county_names,Collection Site,list,"A pipe ""|"" separated list of names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",,Use the county names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,20682a7a2341024a04df27799fc6917920d458ae60e8fdc0829324c19f224420c8ac00a6d45ab59602051aea05622fea6844d2241f5d13328210c2bd88bb7bd3
county_fips,Collection Site,list,"A pipe ""|"" separated list of the FIPS codes for US counties. This is a 5-digit number consisting of the 2-digit state code followed by the 3-digit county code.",,"Concatenate the 2-digit state code and the 3-digit county code from the US Census. Example California (06) + San Diego County (073) -> 06073 
https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx",,,,,,RADx-rad,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,25657a63299f630eb02af980e1d1d652e0a2828be3346f422ff6c04d7bdf9ff6a2c5c72ae3787ce238d53e336637561bd21a7a36b0f729e045c3c441d485abb1
zipcode,Collection Site,text,ZIP code in which this sampling site is located,,,Zipcode,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,3ade1a7ccbae98759a94eb4c5eef7d46c8cab13d5ba6c72b118da5fad3a64965b4a57c320dde74d93f9909e5af8fbd240a558ccbf74f1d922f9720959e8ecf5f
sample_location,Collection Site,category,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp, A sampling location at a wastewater treatment plant or other community-scale treatment infrastructure specified in 'wwtp_name' | upstream, A sampling location other than ""wwtp""","If 'sample_location' is ""upstream"", specify in 'sample_location_specify'",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,ee4ec1f86eaa41efe8e523f99934d04975de36c2d6a7035d0016443cf335da0cefd80c09fcaed07103919884d4cd75b231de5710ec31d1c54f40353642fcfe50
sample_location_specify,Collection Site,text,"If 'sample_location' is ""upstream"", specify the collection location in the wastewater system; an arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters];
[empty], If sample_location is ""upstream"", then this must have a non-empty value",,,,[sample_location] = 'upstream',,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,ad283a6f05d0a2cf963cbf9cef784593b1620bb0d31dfe4686356ba8ea559ea67d5c271d2ed43d895c5d355b8ff79c4f4ddc12766fcbcf4d1471352f354b4a42
institution_type,Collection Site,category,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",not institution specific | correctional | long term care - nursing home | long term care - assisted living | other long term care | short stay acute care hospital | long term acute care hospital | child day care | k12 | higher ed dorm | higher ed other | social services shelter | other residential building | ship | airplane,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,db1744f6470842fb8c25670b0a502d2c24ae56d7ff94410deb29c394ac422fd6b2491e5c912d174fbd487f0fdfc6c09770450622fb88ec3a5faa51add34f8fb0
epaid,WWTP,text,NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',,NPDES permit number (<2-letter abbreviation><#######>),,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,d039b0e374fd6f5050c433c63b6f45bf7656094ef6999998a85c401bafdc504541d8eb38f4c1815480c1de71e8f012c4dc4f06e442df84b9e289fccd7d46f44b
wwtp_name,WWTP,text,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP, specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters]",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,14d64ef50488440296a5fc9f8ff798b6b209e541913e899bdb7ccd3eafcac450b94a76ce4ef76e6ea81b19f85aec886466831f8c03a67234f7e9a43a64868528
wwtp_jurisdiction,WWTP,radio,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located","AL, Alabama | AK, Alaska | AS, American Samoa | AZ, Arizona | AR, Arkansas | CA, California | CI, Chicago, IL | CO, Colorado | MP, Commonwealth of Northern Mariana Islands | CT, Connecticut | DE, Delaware | DC, District of Columbia | FM, Federated States of Micronesia | FL, Florida | GA, Georgia | GU, Guam | HI, Hawaii | HO, Houston, TX | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LC, Los Angeles County, CA | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NZ, New York City, NY | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | PH, Philadelphia, PA | PR, Puerto Rico | MH, Republic of the Marshall Islands | PW, Republic of Palau | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | VI, U.S. Virgin Islands | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming",,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,9350fbef23248957784e6228f595ef94208f8579b3cf568bf8d9e4334bad0b8279b4484218d7661767a270709450636a3f81484bf5e33c52eb8df1801f800315
capacity_mgd,WWTP,float,Wastewater treatment plant design capacity,,,,0,,,million gallons/day,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,716f2498b17ec38c0014c364db5199eff815af527f1e8c34f3c2df435f9e86970ebaee5133364fcc2c2ddc44ddc11af8b3cb452cc3d5d55f62f69f041eeb7f2d
industrial_input,WWTP,float,Approximate average percentage of wastewater from industrial sources that is received by the wastewater treatment plant specified in 'wwtp_name',,,,0,100,,percent,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,319f29f61047c41600b780f9a18c4d86940483a32ead666c810a43597bb7cc49b4b57bc0f937671009b2544e8b40a1cd8c21ae3d4519c8ef6204749905a6840b
stormwater_input,WWTP,category,"Does the wastewater treatment plant specified in 'wwtp_name' treat water from a combined sewer system (i.e., a sewer system that collects both sewage and stormwater)?",Yes | No,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,14ba1b096c2b386a382241fd9c8c5cb89c96a8397d86a604bec230bce1d45b9d12ef67b6da094bcf6c0ae572329e79f7e5eb473197830ea147b642a4432c100d
influent_equilibrated,WWTP,category,Is influent to the wastewater treatment plant specified in 'wwtp_name' ever stored prior to treatment to equilibrate or modulate the influent flow rate?,Yes | No,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,e7e798058b49e50908aa83d9852046a82759e31f57c61348554a9027cb9c68c4aeb3a2a1678fec69cbc34205360632f63f4320f3fb0d2c6dd17716f51ce39d02
sample_type,Collection Method,category,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.",24-hr flow-weighted composite | 12-hr flow-weighted composite | 8-hr flow-weighted composite | 6-hr flow-weighted composite | 3-hr flow-weighted composite | 24-hr time-weighted composite | 12-hr time-weighted composite | 8-hr time-weighted composite | 6-hr time-weighted composite | 3-hr time-weighted composite | 24-hr manual composite | 12-hr manual composite | 8-hr manual composite | 6-hr manual composite | 3-hr manual composite | grab,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,df2e9c6f6bd42e1e97c5e0e9a3307739383e509c87165c29e5f178b0b971afa834e07eb10412a03dff968fbabbc848422e6b945ee9b1a66dbcc8bb5d527bc34a
composite_freq,Collection Method,float,"Frequency of sub-sample collection (for composite samples only): for flow-weighted, the number of sub-samples collected per million gallons of flow; for time-weighted, the number of sub-samples per hour. Flow-weighted example: a value of 5 would indicate 5 sub-samples per million gallons, or 1 sub-sample per 200,000 gallons",,If flow-weighted composite: number per million gallons; if time-weighted or manual composite: number per hour,,0,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,4b5eef6c056bf8f7b1a005052e901f207220313c8c7c9edebfdef87d5cc564b42f35cc18a02667bb51a7674f523127a9c6f21c513e19ae25b80bd73cc8046bf4
sample_matrix,Collection Method,category,Wastewater matrix from which the sample was collected,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,b96e06cdda5573ccfdf9cc47d992cb6592a05188c4e8c2b58e690ede6ecd4a4bb0a4674c6cd76dccd3ea1063d7bc2f3dce9af2ed67992e9ade6ef4ebf10fc650
collection_storage_time,Collection Method,float,Duration of time the sample was stored after collection and prior to reaching the lab,,,,0,,,hour,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,5edaa46466e23b167ef9a7227ead852d68de31a4d135eaee287939ebcada7456106490d3ef060e3fc4318797fa02edaedf597feb871e31d266ca5bc850e1c26c
