variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
who_label,Target,text,WHO label for SARS-CoV-2 variant,,example: Alpha,,https://www.who.int/en/activities/tracking-SARS-CoV-2-variants,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,0d5d0acf612ea48a6c58fbe4a46ab8aedd7a0bb01f6f5d5bcb1bd5ceb224af81592ef4b93301d43e743abd5f8922c87f4635a4567149bee7b1624a9db24d94d2
target_analyte_type,Sample,list,Type of analyte(s) or target(s) to be detected,antigen | genomic RNA | inactivated virus | live virus | pseudovirus | antibody,example: antigen,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,d472a6d7efe0f9fbde0fbba0b7af99099e2f44425cc6eab4b819bfc606252b5068f200f5caf34192e75f8c496888c7d3e35cf3ff87550ef24bd674488905ef3f
antigen_name,Sample/Antigen,text,UniProt preferred protein name,,example: Spike glycoprotein,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,e7551c92853751581dccdadfc3ed0fe80fac2b835a5902467ee4c76f513fa6002863d85dbd514bc0abf735c99296811db2ed147b4d717080013e5411d19030d1
antigen_id,Sample/Antigen,text,"Protein Sequence Database id, e.g., UniProt accession number or NCBI GenPept id",,examples: P0DTC2|YP_009724390.1,,https://www.uniprot.org/ | https://www.ncbi.nlm.nih.gov/protein,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,0b3bcf6bd515d91771b3a87d2623cb7ed0df0c7d79a48d8162a847b8e814d7715bce129cb0441f6c28fafec602dbea5abadb519c9665cd9f20d26cefc8e8d931
antigen_sequence,Sample/Antigen,sequence,Protein sequence if  protein sequence database id is unavailable,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,a5462bf835d7bea527693ccf898f427cd666a5149c185453aa74f2c6d524b6967105a63c3ec166a51f771611d5a180ac8589f04cf7d80f36de770acbdd905483
antigen_nterminal_tag,Sample/Antigen,text,Name of tag attached to N-terminal,,example: HIS,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,3e7ac581c2654fd36401f58e95ba33dbd37146a2600af5fd0dacba0e7962014c87630639030a2271b675c06468fa878e405f65c7f0114724d8724103b6180b10
antigen_cterminal_tag,Sample/Antigen,text,Name of tag attached to C-terminal,,example: HIS,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,705a1e4ecd2230fe07970c8357e1bb04a885471af095bbd84bb418a806e40e8c44eb59e8a5e1d025dad9ce080cab68b0ff2baedf960e4ce94925670524896fcc
antigen_region,Sample/Antigen,text,Domain or subunit name,,examples: S1|Receptor Binding Domain,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,cb494cde66fa273cc9e1f99b4cdbc87325ae54a1d55435f4976ea4b49597bd9a16ca7d2e65b1d6ec4ce69fbb3624509e2a5646bc0058bcb2bad497597a5f2dcb
antigen_region_start,Sample/Antigen,integer,Start residue number of region,,example: 16,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,bdd944c9f9273c53be1fc58ed1df07bb2c2cba43d61c8e6402a81e9505bfb8e5a2db01913006d40d29f80f9df4b4ece6f9860179e226660ea1b27c1f30e43176
antigen_region_end,Sample/Antigen,integer,End residue number of region,,example: 685,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,0d65547e79fa0279c696762e3b35df6b19754aacae0df1b9f6508a93bce7dc356526c373981c6bda6d847a642e8a7585cf408b4052b326414e1b0314519fb245
antigen_expression_system,Sample/Antigen,text,System used to express protein,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,0e750c5e1612077575f53d859ea4aab6b632729ebabd663318bcf14340c76fbf936dbe5f33af1a39a3bd7d5c5afbc541d65d01291e9f9a9ac84c904efd462eeb
antigen_formulation,Sample/Antigen,text,Formulation of antigen,,"example: Lyophilized from sterile PBS, pH 7.4.",,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,c6bd38d41cef1cb9cbe0300232613945a250ac2c55d9c957ca9ad6d0f809417f3e253915d11b872db8e626ec23d706ff96198b664965327d949e3ec8abd5a272
antigen_source,Sample/Antigen,text,Supplier of antigen or publication,,example: Sino Biological,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,f2ed5969a55faba50d52aa81ba97f2c9eb0ec06a017a9dc666c3218b0bf89c148d0bad2803a8d5c1f0c1856d8a4e87ca83e86cabdeaa50c26e4b04210c6bc192
antigen_source_url,Sampe/Antigen,url,URL of supplier catalog page or publication DOI link,,example: https://www.sinobiological.com/recombinant-proteins/2019-ncov-cov-spike-40591-v08h,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,7586576473897341da896240143563a000aab8bff4a3ac7bec25198b3181d7db56c57b9a15e006872cd4d28477e44fd0932e95e639dc57ca8c8d4dec2a86e12a
antigen_concentration,Sample/Antigen,float,Protein concentration,,example: 1.0,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,bc7551c3c426c71b5760629442656e0269f1a5e6444b3579e6851767e7fe087b405121ec3602037d98f0955fd258f358909bc349d92a38b3995c5e26734a2212
antigen_concentration_unit,Sample/Antigen,text,Unit of protein concentration,mM | uM| nM | pM | fM,example: nM,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,63ec182b3e05a9b18259637481d33d06629c5e821c28e03cefd9d1a5adab7dd1999674916199cf33e6c06ef9b8a87c5cbb730c65c91a8d501ffef150f6c4fcb6
vqa data elements to be updated (see vqa panel),Sample/Antigen,,,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,39c9b032ad12af118a90c29dd4db3cda3d469c7d839d6aabf4018f21354cec8f6c5c7199acb632a58537ceaae073e66355e8ca155951c554de73f5c64cf1919f
virus_sample_id,Sample/Virus,text,"Identifier for virus sample, for VQA panels this is the QR code, for BEI the catalog number",,"examples: XXXX-XXXX-XXXX-XXXX (VQA panel),  NR-52286 (BEI Resources)",,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,763ad7ff8cf6f1c3f2de7f82c117abf20997f0ffc08d36b47b7ba2dc9c2251f3f83486b42882347269d958ea02388997467ff5d2da3c62271ed889809e0b3d03
virus_batch_number,Sample/Virus,text,Batch and or/lot number of virus sample,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,5a5b9a8e8d81d07cb001ced9747d852b63d81727b3c13535a384dc10cd41d7ef5fea9fbddea1b7bd34d67a75fab1b68cc5e2c0ad9f501419dd50dbf8ce32c7ca
virus_sample_formulation,Sample/Virus,text,Formulation of virus sample,,"example: Strain diluted in cell culture
media (DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 ug/ml Streptomycin).",,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,d64a9fc13b1cf3d8d3f86e1a84c4af279529dbea57678ecde59a018fb1d017b2e5f5bbd687447477c1263d8fcfc5496e46572fea1c1d050967d9171fc2fa5d68
virus_sample_provider,Sample/Virus,text,Provider from where the inactivated virus sample was procured from,,examples: UCSD|BEI Resources|ATCC,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,9b51b88fcde2502c5d670602253c9977540b1f3b606dbd68e7a94dbfeabcb0bb2b35edf64dfbd77087ea79b544970d82620a2562b04a5544f33c10897d060c9b
virus_sample_provider_url,Sample/Virus,url,URL of supplier catalog page or publication DOI link,,example:  https://www.beiresources.org/Catalog/animalviruses/NR-52281.aspx,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,861e3a6aebd5c5198190f1eac02840fe9634d38c9b690532a3a1683596452b7b8f0758febbdff9e635cf88a9c73ce1ae020e7c9290dc16183a151e0e2ce1415c
virus_source,Sample/Virus,text,Source of the live virus,,"examples: BEI Resources, UCSD ",,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,ac5eea8bd71be83f6a12475789972be32f329d7b93e8a27f777a23363c1f29e45ad296f892455296573fc9a53a05141cbe0a63d4f973365497c0cd640a31107c
virus_location,Sample/Virus,text,Location where the virus sample was collected,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,5fe5bb28a6a91eada70d3e9562aab69561dd7642e85727d22cb3a585c3efb41b96686e76917df164a34c28c16d36c07d9a5e2c98e569bff636f6b700a001806e
virus_sample_type,Sample/Virus,category,Type of virus sample,inactivated virus|life virus,example: inactivated virus,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,3bd097ebed88b47b86488408a9e15dd33dc75dd3f59f8ef87a913c0f7d280c4db5f0dce24d2564e2ad8f62518a645980c4f4b125c5ae7e298c8a4399bc0d4d50
virus_sample_inactivation_method,Sample/Virus,category,Method of virus inactivation,UV | heat | Gamma-irradiated,example: heat,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,637f2cdb09b5a0506f3cfc36ea9254a498190bb11c85e49d4c5068f495f2f1c179ae9cf40656f3312d1d0e63530d4b0e767a1c0153eccc0f1be65317b58f4efa
virus_sample_formulation,Sample/Virus,text,Formulation (media) of virus sample,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,d64a9fc13b1cf3d8d3f86e1a84c4af279529dbea57678ecde59a018fb1d017b2e5f5bbd687447477c1263d8fcfc5496e46572fea1c1d050967d9171fc2fa5d68
virus_sample_concentration,Sample/Virus,float,Concentration of virus (gene copies/ml),,example: 1.16E+09,copies/ml,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,8c417243f7d1aef933b8441b10a4ba22e97d396913c4f5596a057ce43cd561daec7476d817d274d356deb9fc363fa7580e42435d0a3fe51d9aff8c90cd1028e1
virus_sample_concentration_reference_gene,Sample/Virus,text,Reference gene used to determine concentration of virus,,example: ORF1a|N,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,c29b4d474da34d30a55873fe22b146fa98b28d53f6fe52efccd515de2d7506632b7410b0540867f2caefa8f25bee3dc7c7fb30a175735a855aeb92fe9d188097
virus_sample_tcid50,Sample/Virus,float,Tissue Culture Infectious Dose 50% (TCID50) endpoint is the 50% infectious endpoint in cell culture. The TCID50 is the dilution of virus that under the conditions of the assay can be expected to infect 50% of the culture vessels inoculated. (TCID50/ml),,,tcid50/ml,https://www.beiresources.org,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,22fd6bcfc6b1df49798b95b2c5b35cd46ce0093819f41cf4a893fc8c08cc50765c363c536c8b4036f6f9052893fdf380680d511d752d4e0514110abf1ab8ab18
virus_sample_tcid_cell_line,Sample/Virus,text,Cell line used for producing virus,,example: Calu-3,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,7f6f820493a58287f7ec7b42a64bb0b120b314f2c1c38dbd37701e384c1ce544a2e05d3e095643cdd25dcc309da1533e9ecc287bbf6440687338d3a8be20b14f
antibody data elements ... tbd,Sample/Virus,,,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,8b896415e528694652270814f3bfeeab47c16ff67d543f0574c5273fea29fc48214e64d084746ecabf93b3463202dbdeed713ba5d44c92c11832b46ce702260c
antibody_type,Sample/Antibody,category,Type of antibody,human IgA | human IgG | human IgM,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,d65974524ea0d4900c359956861e1ea39bd3b87b97bcf52971371427aca3a86a08805b3aca19e26f493e8a51c582ad5695285433a7c102dd86f055dfa9cbd25a
