Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Units,CDE Reference,source_file,source_directory
target_analyte_type,Sample,list,Type of analyte(s) or target(s) to be detected,antigen | genomic RNA | inactivated virus | live virus | pseudovirus | antibody,example: antigen,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_name,Sample/Antigen,text,UniProt preferred protein name,,example: Spike glycoprotein,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_nterminal_tag,Sample/Antigen,text,Name of tag attached to N-terminal,,example: HIS,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_cterminal_tag,Sample/Antigen,text,Name of tag attached to C-terminal,,example: HIS,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_region,Sample/Antigen,text,Domain or subunit name,,examples: S1|Receptor Binding Domain,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_expression_system,Sample/Antigen,text,System used to express protein,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_formulation,Sample/Antigen,text,Formulation of antigen,,"example: Lyophilized from sterile PBS, pH 7.4.",,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_source,Sample/Antigen,text,Supplier of antigen or publication,,example: Sino Biological,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_source_url,Sampe/Antigen,url,URL of supplier catalog page or publication DOI link,,example: https://www.sinobiological.com/recombinant-proteins/2019-ncov-cov-spike-40591-v08h,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_concentration,Sample/Antigen,float,Protein concentration,,example: 1.0,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_concentration_unit,Sample/Antigen,text,Unit of protein concentration,mM | uM| nM | pM | fM,example: nM,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
study_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
chills,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
diarrhea,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
protocol_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
technology_platform,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
technology_description,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
biorecognition_type,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
analyte_type,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
signal_detection,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
surface,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
immobilization_reagent_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
immobilization_reagent_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
immoblization_reagent_source,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antigen_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antigen_region,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antigen_source,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antigen_source_url,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_clonality,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_clone,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_modification,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_modification_role,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_expression_system,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_host_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_target_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_purity,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_purification_method,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_formulation,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_source,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
capture_antibody_source_url,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_role,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_clonality,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_modification,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_modification_role,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_host_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_target_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_target_organism_subtype,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_purity,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_purification_method,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_formulation,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_source,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_antibody_source_url,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_source_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_role,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_modification_role,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_sequence,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_expression_system,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_host_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_host_organims_taxonomy_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_host_organism_subtype,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_target_organism_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_target_organism_taxonomy_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_target_organism_subtype,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_purity,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_purification_method,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_formulation,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_source,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
detector_molecular_beacon_source_url,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_media,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
protocol_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration_unit,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
target_analyte_type,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_name,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
antigen_region,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
total_fluorescence_intensity,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
result_intepret,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_media,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
protocol_id,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration_unit,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
total_fluorescence_intensity,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
result_intepret,Sample/Antigen,,,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
