variable_name,description,datatype,source_file,source_directory
timeoffsetheartratesamples[map].key,"Collection of mappings between offset from start time (in seconds) to a heart rate value recorded for that time, in beats per minute. Each entry is a representative sample of the previous 15 seconds from the given offset. Lack of entry for a given offset should be interpreted as no data available. For example, in the response below, the user had 75 BPM for the first 30 seconds of the daily summary, took off their device until the 3180 second time slice, and took it off again after the 3255 second entry.",map,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
timeoffsetheartratesamples[map].value,"Collection of mappings between offset from start time (in seconds) to a heart rate value recorded for that time, in beats per minute. Each entry is a representative sample of the previous 15 seconds from the given offset. Lack of entry for a given offset should be interpreted as no data available. For example, in the response below, the user had 75 BPM for the first 30 seconds of the daily summary, took off their device until the 3180 second time slice, and took it off again after the 3255 second entry.",map,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
averagestresslevel,"An abstraction of the user’s average stress level in this monitoring period, measured from 1 to 100, or -1 if there is not enough data to calculate average stress.  Scores between 1 and 25 are considered “rest” (i.e not stressful), 26-50 as “low” stress, 51-75 “medium” stress, and 76-100 as “high” stress.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
maxstresslevel,The highest stress level measurement taken during this monitoring period.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
stressdurationinseconds,The number of seconds in this monitoring period where stress level measurements were in the stressful range (26-100).,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
reststressdurationinseconds,The number of seconds in this monitoring period where stress level measurements were in the restful range (1 to 25).,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
activitystressdurationinseconds,"The number of seconds in this monitoring period where the user was engaging in physical activity and so stress measurement was unreliable.  All duration in this monitoring period not covered by stress, rest, and activity stress should be considered Uncategorized, either because the device was not worn or because not enough data could be taken to generate a stress score.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
lowstressdurationinseconds,The portion of the user’s stress duration where the measured stress score was in the low range (26-50).,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
mediumstressdurationinseconds,The portion of the user’s stress duration where the measured stress score was in the medium range (51-75).,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
highstressdurationinseconds,The portion of the user’s stress duration where the measured stress score was in the high range (76-100).,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
