datatype,variable_name,description,value_constraints,source_file,source_directory
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__cough,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Cough","[""""cough""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__sore_throat,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Sore throat","[""""sore_throat""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__muscle_or_body_aches,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Muscle or body aches","[""""muscle_or_body_aches""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__fatigue_feeling_weak_or_tired,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fatigue (feeling weak or tired)","[""""fatigue_feeling_weak_or_tired""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__headache,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Headache","[""""headache""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Nasal congestion (having a stuffy nose) or a runny nose","[""""nasal_congestion_having_a_stuffy_nose_or_a_runny_nose""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__sneezing,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Sneezing","[""""sneezing""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Nausea (feeling like you wanted to throw up) and/or vomiting","[""""nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__diarrhea,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Diarrhea","[""""diarrhea""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__abdominal_stomach_or_belly_pain,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Abdominal, stomach, or belly pain","[""""abdominal_stomach_or_belly_pain""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__rash,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Rash","[""""rash""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__shortness_of_breath_or_difficulty_breathing,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Shortness of breath or difficulty breathing","[""""shortness_of_breath_or_difficulty_breathing""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__chest_pain_or_pressure_or_chest_discomfort,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Chest pain or pressure or chest discomfort","[""""chest_pain_or_pressure_or_chest_discomfort""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__new_loss_of_sense_of_smell_or_taste,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | New loss of?sense of smell or taste","[""""new_loss_of_sense_of_smell_or_taste""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__other,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Other",,survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__fever,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever","[""today"",""yesterday"",""2_days_ago"",""6_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__feeling_hot_or_feverish_or_having_chills_or_shivering,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering","[""today"",""yesterday"",""6_days_ago"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__cough,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough","[""3_days_ago"",""5_days_ago"",""6_days_ago"",""today"",""yesterday"",""4_days_ago"",""2_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__sore_throat,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat","[""today"",""3_days_ago"",""4_days_ago"",""yesterday"",""6_days_ago"",""2_days_ago"",""5_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__muscle_or_body_aches,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches","[""4_days_ago"",""6_days_ago"",""today"",""yesterday"",""2_days_ago"",""3_days_ago"",""5_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__fatigue_feeling_weak_or_tired,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired)","[""yesterday"",""3_days_ago"",""4_days_ago"",""5_days_ago"",""today"",""2_days_ago"",""6_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__headache,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache","[""today"",""2_days_ago"",""4_days_ago"",""5_days_ago"",""yesterday"",""6_days_ago"",""3_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose","[""today"",""4_days_ago"",""2_days_ago"",""5_days_ago"",""6_days_ago"",""yesterday"",""3_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__sneezing,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing","[""today"",""yesterday"",""3_days_ago"",""4_days_ago"",""2_days_ago"",""5_days_ago"",""6_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting","[""5_days_ago"",""6_days_ago"",""today"",""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__diarrhea,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea","[""6_days_ago"",""4_days_ago"",""today"",""2_days_ago"",""3_days_ago"",""5_days_ago"",""yesterday""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__abdominal_stomach_or_belly_pain,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain","[""4_days_ago"",""5_days_ago"",""6_days_ago"",""today"",""yesterday"",""2_days_ago"",""3_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__rash,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash","[""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""6_days_ago"",""today"",""5_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__shortness_of_breath_or_difficulty_breathing,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing","[""4_days_ago"",""5_days_ago"",""yesterday"",""today"",""6_days_ago"",""2_days_ago"",""3_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__chest_pain_or_pressure_or_chest_discomfort,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort","[""today"",""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago"",""6_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__new_loss_of_sense_of_smell_or_taste,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste","[""yesterday"",""2_days_ago"",""5_days_ago"",""today"",""4_days_ago"",""6_days_ago"",""3_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days2__insert_text_from_other,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other]","[""3_days_ago"",""2_days_ago"",""4_days_ago"",""5_days_ago"",""today"",""yesterday"",""6_days_ago""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fever__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__feeling_hot_or_feverish_or_having_chills_or_shivering__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__cough__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sore_throat__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__muscle_or_body_aches__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
