variable_name,description,seeAlso,datatype,source_file,source_directory
starttime,Timestamp of sleep periord start time,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
timeinbed,Total time in bed for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
type,"Category of sleep data. Possible values {'classic', 'stages'}",https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
data[array].datetime,datetime for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
data[array].level,"String level for Data groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
data[array].seconds,seconds for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
shortdata[array].datetime,datetime for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
shortdata[array].level,"String level for shortData groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
shortdata[array].seconds,seconds for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.asleep.count,Number of distinct sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.asleep.minutes,Total minutes in asleep period during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.awake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.awake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.deep.count,Number of distinct deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.deep.minutes,Total minutes in deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.deep.thirtydayavgminutes,Thirty Day Average of time spent in deep sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.light.count,Number of distinct light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.light.minutes,Total minutes in light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.light.thirtydayavgminutes,Thirty Day Average of time spent in light sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.rem.count,Number of distinct rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.rem.minutes,Total minutes in rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.rem.thirtydayavgminutes,Thirty Day Average of time spent in rem sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.restless.count,Number of distinct restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.restless.minutes,Total minutes in restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.wake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.wake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
summary.wake.thirtydayavgminutes,Thirty Day Average of time spent in awake category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
datetime,Date corresponding to sleep record,Data exists only prior to 2020-04-23,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
