question_id,variable_name,label,datatype,value_constraints,source_file,source_directory
0.0,conditions__asthma,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__cancer,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__chronic_kidney_disease,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__copd,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__depression,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__diabetes_with_complications,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__diabetes_without_complications,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__general_anxiety,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__heart_disease,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__hypertension,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__immune_condition,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__liver_disease,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__not_answered,,boolean,[False],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__pneumonia,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__other,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,conditions__skipped,,boolean,[False],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,covid_diagnostic,,string,"['no_not_tried', 'yes_tested', 'no_unavailable', 'no_not_eligibile']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,test_date,,string,[],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,location_test,,string,"['skipped', 'hospital_or_clinic', 'drive_through_facility', 'other', 'at_home_testing_kit']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__blood_test,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__dont_know,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__nasal_swab,,string,"['skipped', 'true', 'false']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__spit_tube,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__symptoms_only,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__throat_swab,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__other,,string,"['skipped', 'false', 'true']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,type_of_test__not_answered,,string,"['skipped', 'false']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,test_result,,string,"['skipped', 'positive_covid', 'negative_covid', 'waiting_for_results', 'inconclusive']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
