datatype,variable_name,description,value_constraints
text,what_is_your_current_gender__other,What is your current gender? Please select all that apply. | Other," "
text,are_you_currently_pregnant_or_plan_to_become_pregnant_in_the_next_year,Are you currently pregnant or plan to become pregnant in the next year?,"[""yes_i_am_currently_pregnant"",""yes_i_am_planning_to_become_pregnant_in_the_next_year"",""no"",""i_dont_know"",""i_prefer_not_to_answer""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,Which racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__american_indian_or_alaskan_native,Which racial or ethnic group(s) do you identify with? Please select all that apply. | American Indian or Alaskan Native,"[""""american_indian_or_alaskan_native""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__asian,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Asian,"[""""asian""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__black_or_african_american,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Black or African American,"[""""black_or_african_american""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__hispanic_latino_or_spanish,"Which racial or ethnic group(s) do you identify with? Please select all that apply. | Hispanic, Latino, or Spanish","[""""hispanic_latino_or_spanish""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__middle_eastern_or_north_african,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Middle Eastern or North African,"[""""middle_eastern_or_north_african""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__native_hawaiian_or_other_pacific_islander,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Native Hawaiian or Other Pacific Islander,"[""""native_hawaiian_or_other_pacific_islander""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__white,Which racial or ethnic group(s) do you identify with? Please select all that apply. | White,"[""""white""""]"
text,which_racial_or_ethnic_groups_do_you_identify_with__other,Which racial or ethnic group(s) do you identify with? Please select all that apply. | Other," "
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__bangladeshi,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bangladeshi,"[""""bangladeshi""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__bhutanese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Bhutanese,"[""""bhutanese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__burmese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Burmese,"[""""burmese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__cambodian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Cambodian,"[""""cambodian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__chinese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Chinese,"[""""chinese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__filipino,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Filipino,"[""""filipino""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__hmong,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Hmong,"[""""hmong""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__indian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indian,"[""""indian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__indonesian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Indonesian,"[""""indonesian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__japanese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Japanese,"[""""japanese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__korean,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Korean,"[""""korean""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__laotian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Laotian,"[""""laotian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__malaysian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Malaysian,"[""""malaysian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__mongolian,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Mongolian,"[""""mongolian""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__nepalese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Nepalese,"[""""nepalese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__pakistani,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Pakistani,"[""""pakistani""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__sri_lankan,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Sri Lankan,"[""""sri_lankan""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__thai,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Thai,"[""""thai""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__vietnamese,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Vietnamese,"[""""vietnamese""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__i_don_t_know_i_m_not_sure,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure,"[""""i_don_t_know_i_m_not_sure""""]"
text,which_of_the_following_asian_racial_or_ethnic_groups_do_you_identify_with__other,Which of the following Asian racial or ethnic group(s) do you identify with? Please select all that apply. | Other," "
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer","[""""i_prefer_not_to_answer""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__argentine,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Argentine","[""""argentine""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__colombian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Colombian","[""""colombian""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__cuban,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Cuban","[""""cuban""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__dominican,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Dominican","[""""dominican""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__ecuadorian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Ecuadorian","[""""ecuadorian""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__guatemalan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Guatemalan","[""""guatemalan""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__honduran,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Honduran","[""""honduran""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__mexican_mexican_american_chicano,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Mexican, Mexican American, Chicano","[""""mexican_mexican_american_chicano""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__nicaraguan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Nicaraguan","[""""nicaraguan""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__panamanian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Panamanian","[""""panamanian""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__peruvian,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Peruvian","[""""peruvian""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__puerto_rican,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Puerto Rican","[""""puerto_rican""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__salvadoran,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Salvadoran","[""""salvadoran""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__spaniard,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Spaniard","[""""spaniard""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__venezuelan,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Venezuelan","[""""venezuelan""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__i_don_t_know_i_m_not_sure,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure","[""""i_don_t_know_i_m_not_sure""""]"
text,which_of_the_following_hispanic_latino_or_spanish_racial_or_ethnic_groups_do_you_identify_with__other,"Which of the following Hispanic, Latino, or Spanish racial or ethnic group(s) do you identify with? Please select all that apply. | Other"," "
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__i_prefer_not_to_answer,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__chamorro,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Chamorro,"[""""chamorro""""]"
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__native_hawaiian,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Native Hawaiian,"[""""native_hawaiian""""]"
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__samoan,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Samoan,"[""""samoan""""]"
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__i_don_t_know_i_m_not_sure,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | I don?t know / I?m not sure,"[""""i_don_t_know_i_m_not_sure""""]"
text,which_of_the_following_native_hawaiian_or_other_pacific_islander_racial_or_ethnic_groups_do_you_identify_with__other,Which of the following Native Hawaiian or Other Pacific Islander racial or ethnic group(s) do you identify with? Please select all that apply. | Other," "
text,how_tall_are_you_without_shoes__height_feet,How tall are you without shoes? | Height | Feet," "
text,how_tall_are_you_without_shoes__height_inches,How tall are you without shoes? | Height | Inches," "
text,how_much_do_you_weigh_without_clothes_or_shoes_lbs,How much do you weigh without clothes or shoes (lbs)?," "
text,how_much_did_you_weigh_without_clothes_or_shoes_before_your_pregnancy_lbs,<em>How much did you weigh without clothes or shoes before your pregnancy (lbs)?</em>," "
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__i_prefer_not_to_answer,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__insurance_through_a_current_or_former_employer_or_union_of_myself_or_a_family_member,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Insurance through a current or former employer or union (of myself or a family member),"[""""insurance_through_a_current_or_former_employer_or_union_of_myself_or_a_family_member""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__insurance_purchased_directly_from_an_insurance_company_by_myself_or_a_family_member,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Insurance purchased directly from an insurance company (by myself or a family member),"[""""insurance_purchased_directly_from_an_insurance_company_by_myself_or_a_family_member""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__medicare_for_people_65_and_older_or_people_with_certain_disabilities,"What best describes the type of health insurance coverage plan you have? Please select all that apply. | Medicare, for people 65 and older, or people with certain disabilities","[""""medicare_for_people_65_and_older_or_people_with_certain_disabilities""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__medicaid_medical_assistance_or_any_kind_of_government_assistance_plan_for_those_with_low_incomes_of_disability,"What best describes the type of health insurance coverage plan you have? Please select all that apply. | Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes of disability","[""""medicaid_medical_assistance_or_any_kind_of_government_assistance_plan_for_those_with_low_incomes_of_disability""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__tricare_or_other_military_health_care,What best describes the type of health insurance coverage plan you have? Please select all that apply. | TRICARE or other military health care,"[""""tricare_or_other_military_health_care""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__indian_health_service,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Indian Health Service,"[""""indian_health_service""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__i_dont_know_im_not_sure,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I don't know / I'm not sure,"[""""i_dont_know_im_not_sure""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__i_do_not_currently_have_health_insurance,What best describes the type of health insurance coverage plan you have? Please select all that apply. | I do not currently have health insurance,"[""""i_do_not_currently_have_health_insurance""""]"
text,what_best_describes_the_type_of_health_insurance_coverage_plan_you_have__other,What best describes the type of health insurance coverage plan you have? Please select all that apply. | Other," "
text,what_is_the_highest_grade_or_level_of_school_that_you_have_completed_or_the_highest_degree_you_have_received,What is the highest grade or level of school that you have completed or the highest degree you have received?,"[""some_elementary_and_or_middle_school_grades_1_8"",""trade_technical_vocational_training"",""high_school_degree_or_equivalent_for_example_ged"",""never_attended_or_attended_kindergarten_only"",""associate_s_degree_for_example_aa_as"",""bachelor_s_degree_for_example_ba_bs"",""professional_degree_for_example_md_dds_dvm"",""i_prefer_not_to_answer"",""some_high_school_no_diploma_or_ged"",""some_college_no_degree"",""master_s_degree_for_example_ma_ms_med"",""doctorate_for_example_phd_edd""]"
text,what_is_your_current_employment_status__i_prefer_not_to_answer,What is your current employment status? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,what_is_your_current_employment_status__employed_full_time_40_or_more_hours_per_week,What is your current employment status? Please select all that apply. | Employed full-time (40 or more hours per week),"[""""employed_full_time_40_or_more_hours_per_week""""]"
text,what_is_your_current_employment_status__employed_part_time_39_or_less_hours_per_week,What is your current employment status? Please select all that apply. | Employed part-time (39 or less hours per week),"[""""employed_part_time_39_or_less_hours_per_week""""]"
text,what_is_your_current_employment_status__employed_in_a_temporary_position,What is your current employment status? Please select all that apply. | Employed in a temporary position,"[""""employed_in_a_temporary_position""""]"
text,what_is_your_current_employment_status__working_as_a_homemaker_or_caregiver_unpaid,What is your current employment status? Please select all that apply. | Working as a homemaker or caregiver (unpaid),"[""""working_as_a_homemaker_or_caregiver_unpaid""""]"
text,what_is_your_current_employment_status__not_currently_employed,What is your current employment status? Please select all that apply. | Not currently employed,"[""""not_currently_employed""""]"
text,what_is_your_current_employment_status__currently_looking_for_employment,What is your current employment status? Please select all that apply. | Currently looking for employment,"[""""currently_looking_for_employment""""]"
text,what_is_your_current_employment_status__unable_to_work,What is your current employment status? Please select all that apply. | Unable to work,"[""""unable_to_work""""]"
text,what_is_your_current_employment_status__receiving_disability_governmental_support,What is your current employment status? Please select all that apply. | Receiving disability/governmental support,"[""""receiving_disability_governmental_support""""]"
text,what_is_your_current_employment_status__student,What is your current employment status? Please select all that apply. | Student,"[""""student""""]"
text,what_is_your_current_employment_status__retired,What is your current employment status? Please select all that apply. | Retired,"[""""retired""""]"
text,how_many_adults_age_18_are_in_your_household_including_yourself,"How many adults (age ? 18) are in your household <span style=""""text-decoration: underline;"""">including yourself</span>?","[""1"",""2"",""5"",""7"",""3"",""4"",""6"",""8""]"
text,how_many_children_age__18_are_in_your_household,How many children (age < 18) are in your household?,"[""0"",""3"",""5"",""7"",""1"",""2"",""4"",""6"",""8""]"
text,do_any_children_in_your_household_attend_daycare_or_school_in_person_on_a_regular_basis_at_least_1_day_per_week,Do any children in your household attend daycare or school in-person on a regular basis (at least 1 day per week)?,"[""yes"",""no""]"
text,what_type_of_housing_do_you_live_in,What type of housing do you live in?,"[""detached_house"",""duplex_triplex"",""low_rise_housing_1_to_3_floors"",""high_rise_housing_more_than_3_floors"",""mobile_home_or_trailer"",""boat_recreational_vehicle_rv_or_van"",""i_am_currently_without_housing"",""i_prefer_not_to_answer"",""i_don_t_know"",""row_house""]"
text,what_type_of_housing_do_you_live_in__other,What type of housing do you live in? | Other," "
text,are_you_or_one_of_your_household_members_a_healthcare_worker__i_am_a_healthcare_worker_and_i_am_currently_working,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | I am a healthcare worker, and I am currently working","[""""i_am_a_healthcare_worker_and_i_am_currently_working""""]"
text,are_you_or_one_of_your_household_members_a_healthcare_worker__i_am_a_healthcare_worker_but_i_am_not_currently_working,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | I am a healthcare worker, but I am NOT currently working","[""""i_am_a_healthcare_worker_but_i_am_not_currently_working""""]"
text,are_you_or_one_of_your_household_members_a_healthcare_worker__one_of_my_household_members_is_a_healthcare_worker_and_they_are_currently_working,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | One of my household members is a healthcare worker, and they are currently working","[""""one_of_my_household_members_is_a_healthcare_worker_and_they_are_currently_working""""]"
text,are_you_or_one_of_your_household_members_a_healthcare_worker__one_of_my_household_members_is_a_healthcare_worker_but_they_are_not_currently_working,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | One of my household members is a healthcare worker, but they are NOT currently working","[""""one_of_my_household_members_is_a_healthcare_worker_but_they_are_not_currently_working""""]"
text,are_you_or_one_of_your_household_members_a_healthcare_worker__no_one_in_my_household_is_a_healthcare_worker,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | No one in my household is a healthcare worker","[""""no_one_in_my_household_is_a_healthcare_worker""""]"
text,are_you_or_one_of_your_household_members_considered_an_essential_worker__i_am_an_essential_worker_and_i_am_currently_working,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | I am an essential worker, and I am currently working","[""""i_am_an_essential_worker_and_i_am_currently_working""""]"
text,are_you_or_one_of_your_household_members_considered_an_essential_worker__i_am_an_essential_worker_but_i_am_not_currently_working,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | I am an essential worker, but I am NOT currently working","[""""i_am_an_essential_worker_but_i_am_not_currently_working""""]"
text,are_you_or_one_of_your_household_members_considered_an_essential_worker__one_of_my_household_members_is_an_essential_worker_and_they_are_currently_working,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | One of my household members is an essential worker, and they are currently working","[""""one_of_my_household_members_is_an_essential_worker_and_they_are_currently_working""""]"
text,are_you_or_one_of_your_household_members_considered_an_essential_worker__one_of_my_household_members_is_an_essential_worker_but_they_are_not_currently_working,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | One of my household members is an essential worker, but they are NOT currently working","[""""one_of_my_household_members_is_an_essential_worker_but_they_are_not_currently_working""""]"
text,are_you_or_one_of_your_household_members_considered_an_essential_worker__no_one_in_my_household_is_an_essential_worker_who_must_go_into_an_office,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | No one in my household is an essential worker who must go into an office","[""""no_one_in_my_household_is_an_essential_worker_who_must_go_into_an_office""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__i_prefer_not_to_answer,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | I prefer not to answer","[""""i_prefer_not_to_answer""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__divorced,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Divorced","[""""divorced""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__in_a_committed_partnership_or_living_with_partners,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | In a committed partnership or living with partner(s)","[""""in_a_committed_partnership_or_living_with_partners""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__married_in_a_domestic_partnership_or_civil_union,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Married / in a domestic partnership or civil union","[""""married_in_a_domestic_partnership_or_civil_union""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__separated,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Separated","[""""separated""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__single,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Single","[""""single""""]"
text,which_of_the_following_best_describes_your_current_relationship_status__widowed,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Widowed","[""""widowed""""]"
text,what_is_the_zip_code_where_you_live_most_of_the_time_if_you_are_currently_staying_in_a_different_location_for_an_extended_period_of_time,"What is the zip code where you live most of the time?<em> If you are currently staying in a different location for an extended period of time, please enter your current zip code.</em>"," "
text,have_you_been_diagnosed_by_a_healthcare_provider_with_any_of_the_following_health_conditions_at_any_point_in_your_life__no_i_have_not_been_diagnosed_with_any_of_the_above_health_conditions,"Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | No, I have <strong><span style=""text-decoration: underline;"">not</span></strong> been diagnosed with any of the above health conditions","[""""no_i_have_not_been_diagnosed_with_any_of_the_above_health_conditions""""]"
text,have_you_been_diagnosed_by_a_healthcare_provider_with_any_of_the_following_health_conditions_at_any_point_in_your_life__asthma,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Asthma,"[""""asthma""""]"
