Id,Description,Datatype,Units,Enumeration,Label,Additional Missing Value Codes,Terms,Unit,Section,ui,Notes,min,max,CDE Reference,pattern,phi_id,branching_logic,required,form_name,header,Variable Classification,Validation,Field Notes,Branching_Logic,CDE_Reference,Custom Alignment,source_file,source_directory,Program,Title,Summary,Digest (Id|source_file|source_directory)
pregnant,Pregnancy status of participant,categorical,,Yes; No; Recode_NA,"""Are you currently pregnant?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",b18912544dfe2645d28127b46a4f07b771730ec980df164478dfedb27b0b143611d103333bef7e889f39dfffd586a57654847e12b54ed95e7f38384f5a28b94f
smoker,"Smoking status of participant. ",categorical,,Yes; No; Recode_NA,"""Are you a smoker?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",54ccd868a23950dded5868d7def8579f9dc39b987285437b4bb1a02067997aa90cb52a4696ed01b1a35e0f8862c59b70f31f57c93a3a7b5bf3ca9ba32936423d
diagnosis_none,Indicates that the participant reported not being diagnosed with any of the conditions on the survey.,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",e18dd78b69d25d01c400b81b63578612a0fbd31528d61438ee3f077b6fcab08121469053f57b1ef074528be56966058e2845bda76c84fd1f05055636a0fc5221
diagnosis_hypertension_htn,Indicates that the participant reported having been diagnosed with Hypertension,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",2b035da36478bb2134807392cf8218f2df7c995203ba20e170e20554ebd5d9689ee3e372a3790dcf5bf8d6a577536f27cb956c6f2ba73d7ff6d6eee61bd7b9fe
diagnosis_diabetes,Indicates that the participant reported having been diagnosed with Diabetes,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",7c200ea487b486b282fa0567b02bdc4d1626bcf1a2a0830448ad8fc2f630900d5808b091f1a07a04b86c2dd9471c4d8f49a6ea8364d5accbaa1972dba5624e37
diagnosis_asthma,Indicates that the participant reported having been diagnosed with Asthma,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",25cfaaff1e414d5442314cc016565e7f13a248056d41b174fc40463046061723aa2d1f1a306929330eff646ae787813e26cd8e8052446f28cd9b3865994d3283
diagnosis_cardiovascular_disease,Indicates that the participant reported having been diagnosed with Cardiovascular Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",eb0ad74f11a237769d5ccd01dbea1d0c6e485aefd881d18c58d32854ea2548de3669b7df5b5cd1dc6ce3106a0c8356c99975e3254d8d1eca90c20eeaf97d8753
diagnosis_depression,Indicates that the participant reported having been diagnosed with Depression,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",d7dec323b43222e6b0e1dc05d76feb3bac381543f1afbe25c51995d4779e6089e9d48f32aaca620e846a6a7d1422beea7f41df2915a9ee7abbdd39602df624c2
diagnosis_chronic_kidney_disease,Indicates that the participant reported having been diagnosed with Chronic kidney disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",73159284884ffbdd02908923f4124729ea732a91284c7c25e23b5bccae8aa4fc4eb12b8326385a4fb3d3913e8383522bcaa163113ab8e4f6d5d2a04eab3136bb
diagnosis_cancer,Indicates that the participant reported having been diagnosed with Cancer,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",225e90321d33720e12a2689717dca57d3fbcf54fcb2a2ef1bcba6c99e51cf16e4a12a61b29154c47a816baa557c512e008518b542189389e7c296f35eef6a5ee
diagnosis_chronic_lung_disease,Indicates that the participant reported having been diagnosed with Chronic Lung Disease,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",f54c9cd2c45e8b93ce30e4ea483f3f24671f3b0fd7348c720f25f518ed3817781926add2a9a3de9f0145721f30c5f98685c8751371ebc200e9231064f602a1b1
diagnosis_immuno_compromised,Indicates that the participant reported having been diagnosed as Immuno - compromised,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",83627e441510ade52532b6e4eae00aa00595d4155fe6d83858dc88fff733627ff58c74166ca6116e9ba7b2add612a4179c4e5dac47036c03610747f16d7950ec
diagnosis_mental_health_disorder,Indicates that the participant reported having been diagnosed with Mental Health Disorder,categorical,,"1, Yes;
0, No",Have you been diagnosed with any of the following?,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",971ca06a550b101a6924c8aabe5e605424fc6c12824265ba93bb98587aed84a8b4734d388726be053c7bd7b0fd75d08cd0d0718d9ec6b0acb795294f62841c0a
date_stamp,Date and Time stamp for the survey response,date,,yyyy-mm-ddThh:mm:ss.sssZ,,,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",ee6032fab714d14493fbc35cb19af25f0dcc548b716c0e079088b2de4d83adb026282c9b83b194aae4c8688fd562a86bd129e92f0e3fa63d1dc8bc9eb3047563
